bill_id,session,session_year,primary_sponsor,all_sponsors,summary,keywords,bill_url
HB1011,2023-RS,2023,The Committee on Commerce,The Committee on Commerce and Energy at the request of the Department of Labor and Regulation,revise employer contribution rates.,Executive/Judiciary Request; Reemployment Assistance,http://sdlegislature.gov/Session/Bill/23840
HB1012,2023-RS,2023,The Committee on Commerce,The Committee on Commerce and Energy at the request of the Department of Labor and Regulation,repeal the annual grievance reporting requirements for health carriers.,Executive/Judiciary Request; Insurance,http://sdlegislature.gov/Session/Bill/23864
HB1013,2023-RS,2023,The Committee on Transportation,The Committee on Transportation at the request of the Department of Public Safety,update references to certain federal motor carrier regulations.,Executive/Judiciary Request; Public Utilities and Carriers,http://sdlegislature.gov/Session/Bill/23992
HB1014,2023-RS,2023,The Committee on Health,The Committee on Health and Human Services at the request of the Board of Examiners for Speech-Language Pathology,update provisions related to the licensure of speech-language pathologists and speech-language pathology assistants.,Boards and Commissions; Executive/Judiciary Request; Health Care; Professions and Occupations; Promulgation of Rules,http://sdlegislature.gov/Session/Bill/23811
HB1015,2023-RS,2023,The Committee on Health,The Committee on Health and Human Services at the request of the Department of Health,update provisions related to the licensure of funeral directors and the provision of funeral services.,Boards and Commissions; Executive/Judiciary Request; Fees; Professions and Occupations; Promulgation of Rules,http://sdlegislature.gov/Session/Bill/23812
HB1016,2023-RS,2023,The Joint Committee on Appropriations,The Joint Committee on Appropriations at the request of the Department of Corrections,"authorize the South Dakota Department of Corrections to construct a prison facility for offenders committed to the Department of Corrections in Rapid City, to make an appropriation therefor, and to declare an emergency.",Appropriation; Corrections; Emergency Clause; Executive/Judiciary Request; Procurement of Public Improvements,http://sdlegislature.gov/Session/Bill/23919
HB1017,2023-RS,2023,The Joint Committee on Appropriations,The Joint Committee on Appropriations at the request of the Department of Corrections,"authorize the Department of Corrections to purchase certain real property, to contract for the design of a prison facility for offenders committed to the Department of Corrections, to make an appropriation therefor, to transfer funds to the incarceration construction fund, and to declare an emergency.",Appropriation; Corrections; Emergency Clause; Executive/Judiciary Request; Procurement of Public Improvements; Transfer of Funds,http://sdlegislature.gov/Session/Bill/23949
HB1018,2023-RS,2023,The Committee on Agriculture,"The Committee on Agriculture and Natural Resources at the request of the Department of Game, Fish and Parks",repeal the authorized forfeiture of property used in the illegal capture of fish.,"Civil Forfeiture; Executive/Judiciary Request; Fishing; Game, Fish, Parks and Forestry",http://sdlegislature.gov/Session/Bill/23967
HB1019,2023-RS,2023,The Committee on Agriculture,"The Committee on Agriculture and Natural Resources at the request of the Department of Game, Fish and Parks","repeal certain requirements for Game, Fish and Parks licensing agents.","Executive/Judiciary Request; Game, Fish, Parks and Forestry",http://sdlegislature.gov/Session/Bill/23973
HB1020,2023-RS,2023,The Joint Committee on Appropriations,The Joint Committee on Appropriations at the request of the Department of Corrections,provide for the sale of certain surplus real estate in Rapid City to Pennington County and to provide for the deposit of the proceeds.,Corrections; Executive/Judiciary Request,http://sdlegislature.gov/Session/Bill/24012
HB1021,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Department of Agriculture and Natural Resources,make an appropriation to the State Conservation Commission and to declare an emergency.,Agriculture and Horticulture; Appropriation; Boards and Commissions; Emergency Clause; Executive/Judiciary Request; Water Management,http://sdlegislature.gov/Session/Bill/23930
HB1022,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Department of Health,"make an appropriation for increased costs related to the construction of the new state public health laboratory, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Procurement of Public Improvements; Public Health and Safety,http://sdlegislature.gov/Session/Bill/23936
HB1023,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Department of Public Safety,make an appropriation for the construction of a maintenance shop for the Wildland Fire Suppression Division in Rapid City and to declare an emergency.,"Appropriation; Emergency Clause; Executive/Judiciary Request; Firefighters; Game, Fish, Parks and Forestry; Procurement of Public Improvements",http://sdlegislature.gov/Session/Bill/23956
HB1024,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Department of Public Safety,make an appropriation for the construction of a maintenance shop for the Wildland Fire Suppression Division in Hot Springs and to declare an emergency.,"Appropriation; Emergency Clause; Executive/Judiciary Request; Firefighters; Game, Fish, Parks and Forestry; Procurement of Public Improvements",http://sdlegislature.gov/Session/Bill/23957
HB1025,2023-RS,2023,The Committee on Agriculture,The Committee on Agriculture and Natural Resources at the request of the Department of Agriculture and Natural Resources,revise the fees for registration of an apiary.,Agriculture and Horticulture; Executive/Judiciary Request; Fees,http://sdlegislature.gov/Session/Bill/23934
HB1026,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Department of Public Safety,make an appropriation for costs related to suppression of wildfires in the state and to declare an emergency.,Appropriation; Emergency Clause; Executive/Judiciary Request; Firefighters; Public Health and Safety,http://sdlegislature.gov/Session/Bill/23952
HB1027,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Department of Public Safety,make an appropriation for costs related to disasters in the state and to declare an emergency.,Appropriation; Emergency Clause; Executive/Judiciary Request; Public Health and Safety,http://sdlegislature.gov/Session/Bill/23953
HB1028,2023-RS,2023,The Committee on Agriculture,The Committee on Agriculture and Natural Resources at the request of the Department of Agriculture and Natural Resources,modify expiration dates and enforcement actions pertaining to pesticide applicator licenses.,Agriculture and Horticulture; Executive/Judiciary Request; Pesticide,http://sdlegislature.gov/Session/Bill/23982
HB1029,2023-RS,2023,The Committee on Agriculture,The Committee on Agriculture and Natural Resources at the request of the Department of Agriculture and Natural Resources,revise certain provisions regarding the county zoning and appeals process.,"Counties; Executive/Judiciary Request; Planning, Zoning and Housing Programs",http://sdlegislature.gov/Session/Bill/23986
HB1030,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Board of Regents,"make an appropriation for the revised construction costs of the bioproducts facility in Brookings, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Higher Education; Procurement of Public Improvements,http://sdlegislature.gov/Session/Bill/23925
HB1031,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Board of Regents,"make an appropriation for the revised construction costs of the dairy research and extension farm at South Dakota State University, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Higher Education; Procurement of Public Improvements,http://sdlegislature.gov/Session/Bill/23926
HB1032,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Board of Regents,"make an appropriation for the demolition and reconstruction of agricultural-use structures at South Dakota State University, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Higher Education; Procurement of Public Improvements,http://sdlegislature.gov/Session/Bill/23928
HB1033,2023-RS,2023,The Committee on Commerce,The Committee on Commerce and Energy at the request of the Department of Revenue,provide for the uniform administration of tobacco products taxes.,Executive/Judiciary Request; Taxation,http://sdlegislature.gov/Session/Bill/23842
HB1034,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Department of Revenue,"modify tax refunds for elderly persons and persons with a disability, to make an appropriation therefor, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Taxation,http://sdlegislature.gov/Session/Bill/23913
HB1035,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Department of Revenue,"make an appropriation to the Department of Revenue for the modernization of the motor vehicle administration system, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Motor Vehicles,http://sdlegislature.gov/Session/Bill/23914
HB1036,2023-RS,2023,The Committee on Transportation,The Committee on Transportation at the request of the Department of Public Safety,increase civil penalties for commercial driver's license holders and motor carriers.,Driver License; Executive/Judiciary Request; Motor Vehicles; Penalty,http://sdlegislature.gov/Session/Bill/23989
HB1037,2023-RS,2023,The Committee on Military,The Committee on Military and Veterans Affairs at the request of the Department of Veterans Affairs,amend the eligibility for admission to the state veterans’ home and repeal the residency requirement.,Executive/Judiciary Request; Nursing Homes; Veterans Affairs,http://sdlegislature.gov/Session/Bill/23960
HB1038,2023-RS,2023,The Committee on Military,The Committee on Military and Veterans Affairs at the request of the Department of Veterans Affairs,revise certain provisions pertaining to the Department of Veterans Affairs and residency in the State Veterans Home.,Executive/Judiciary Request; Veterans Affairs,http://sdlegislature.gov/Session/Bill/24023
HB1039,2023-RS,2023,The Committee on Military,The Committee on Military and Veterans Affairs at the request of the Department of the Military,revise certain provisions regarding the payment of tuition for members of the South Dakota National Guard.,Executive/Judiciary Request; Higher Education; Military Affairs; Tuition,http://sdlegislature.gov/Session/Bill/24028
HB1040,2023-RS,2023,Representative Blare (prime),"Representatives Blare (prime), Jensen (Kevin), Perry, and Teunissen and Senator Novstrup",reduce the time in which certain civil actions may be commenced.,Civil Procedure; Liability,http://sdlegislature.gov/Session/Bill/23571
HB1041,2023-RS,2023,Representative Rehfeldt (prime),"Representatives Rehfeldt (prime), Arlint, Aylward, Bartels, Blare, Deutsch, Duba, Emery, Healy, Koth, Krull, Kull, Lesmeister, May, Mulder, Nelson, Otten (Ernie), Perry, Pourier, St. John, Stevens, Teunissen, Tordsen, and Wittman and Senators Nesiba (prime), Bordeaux, Davis, Diedrich, Hunhoff, Johnson, Larson, Pischke, Reed, and Rohl",provide an exception to the definition of drug paraphernalia.,Controlled Substances; Crimes,http://sdlegislature.gov/Session/Bill/23639
HB1042,2023-RS,2023,Representative Otten (Ernie) (prime),"Representatives Otten (Ernie) (prime), Bahmuller, Blare, and Fitzgerald and Senators Duhamel (prime) and Deibert",update additional charges allowed for mailing decals and plates and to declare an emergency.,Fees; Motor Vehicles,http://sdlegislature.gov/Session/Bill/23684
HB1043,2023-RS,2023,Representative Ladner (prime),"Representatives Ladner (prime), Cammack, Derby, Koth, and Lesmeister and Senators Kolbeck (Jack) (prime), Castleberry, Crabtree, and Zikmund at the request of the Study Committee on Property Tax Structure and Tax Burden",make an exemption from certain property taxation for owner-occupied single-family dwellings.,Property Tax; Tax Exemptions; Taxation,http://sdlegislature.gov/Session/Bill/23694
HB1044,2023-RS,2023,Representative Rehfeldt (prime),"Representatives Rehfeldt (prime), Deutsch, Healy, Otten (Ernie), and Stevens and Senators Tobin (prime), Reed, Schoenfish, and Wheeler at the request of the Study Committee on Juvenile Justice","establish scholarships for individuals pursuing careers in the behavioral health field, to make an appropriation therefor, and to declare an emergency.",Appropriation; Health Care; Higher Education; Juvenile Justice; Scholarships,http://sdlegislature.gov/Session/Bill/23739
HB1045,2023-RS,2023,The Committee on Military,The Committee on Military and Veterans Affairs at the request of the Department of Veterans Affairs,increase the basic salary schedule for county veterans' service officers.,Counties; Executive/Judiciary Request; Veterans Affairs,http://sdlegislature.gov/Session/Bill/23891
HB1046,2023-RS,2023,The Committee on Military,The Committee on Military and Veterans Affairs at the request of the Department of Veterans Affairs,provide free tuition at Board of Technical Education institutions for children or spouses of members of the South Dakota National Guard disabled or deceased in the line of duty.,Executive/Judiciary Request; Higher Education; Tuition; Veterans Affairs,http://sdlegislature.gov/Session/Bill/23892
HB1047,2023-RS,2023,The Committee on Military,The Committee on Military and Veterans Affairs at the request of the Department of the Military,revise certain provisions regarding military affairs.,Military Affairs,http://sdlegislature.gov/Session/Bill/23908
HB1048,2023-RS,2023,Representative Bahmuller (prime),"Representatives Bahmuller (prime), Blare, Emery, Krohmer, Moore, Nelson, Olson, Overweg, Perry, Reimer, Shorma, Teunissen, Tordsen, and Wittman and Senators Kolbeck (Jack) (prime), Bordeaux, Crabtree, Davis, Hoffman, Johnson, Nesiba, Pischke, Schoenbeck, and Stalzer",repeal and make technical changes to provisions regarding the Board of Military Affairs.,Boards and Commissions; Military Affairs,http://sdlegislature.gov/Session/Bill/23909
HB1049,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Bureau of Finance and Management,revise the General Appropriations Act for fiscal year 2023.,Appropriation; Executive/Judiciary Request,http://sdlegislature.gov/Session/Bill/23980
HB1050,2023-RS,2023,Representative Otten (Ernie) (prime),Representatives Otten (Ernie) (prime) and Jamison and Senator Novstrup (prime),authorize counties to issue bonds for certain expenditures funded by a gross receipts tax.,Bonds (Public Debt); Counties; Promulgation of Rules; Retail Sales and Service Tax; Taxation,http://sdlegislature.gov/Session/Bill/23855
HB1051,2023-RS,2023,Representative Teunissen (prime),Representative Teunissen (prime),require counties to hire veteran service officers in proportion to the number of veterans residing in the county.,Counties; Veterans Affairs,http://sdlegislature.gov/Session/Bill/23856
HB1052,2023-RS,2023,Representative Teunissen (prime),Representative Teunissen (prime),change the eligibility requirements of a property tax relief program for disabled veterans and surviving spouses.,Property Tax; Tax Exemptions; Taxation; Veterans Affairs,http://sdlegislature.gov/Session/Bill/23875
HB1053,2023-RS,2023,Representative Deutsch (prime),"Representatives Deutsch (prime), Blare, Fitzgerald, Jensen (Kevin), Lems, Mills, Moore, Mulally, Otten (Ernie), Perry, Pinnow, and Randolph and Senators Novstrup (prime), Frye-Mueller, Stalzer, and Wiik",prohibit the issuance of a written certification to a pregnant woman or breastfeeding mother for purposes of medical cannabis use.,Health Care; Medical Cannabis; Public Health and Safety,http://sdlegislature.gov/Session/Bill/24035
HB1054,2023-RS,2023,Representative Reisch (prime),"Representatives Reisch (prime), Arlint, Bahmuller, Blare, Callies, Chaffee, Deutsch, Duba, Emery, Fitzgerald, Gross, Koth, Krohmer, Lems, Massie, Mills, Moore, Mulally, Nelson, Odenbach, Olson, Perry, Pinnow, Pourier, Rehfeldt, Sauder, Shorma, Teunissen, and Tordsen and Senators Stalzer (prime), Crabtree, Deibert, Frye-Mueller, Hoffman, Johnson, Kolbeck (Jack), Larson, Nesiba, Novstrup, Otten (Herman), Pischke, Rohl, and Zikmund",provide a stipend for the erection of a private headstone for a deceased veteran.,Cemeteries; Veterans Affairs,http://sdlegislature.gov/Session/Bill/23900
HB1055,2023-RS,2023,Representative Venhuizen (prime),"Representatives Venhuizen (prime), Arlint, Bahmuller, Bartels, Blare, Deutsch, Duba, Duffy, Healy, Kassin, Koth, Kull, Lesmeister, Moore, Mortenson, Olson, Otten (Ernie), Perry, Peterson (Drew), Rehfeldt, Reisch, Sauder, Shorma, St. John, Stevens, and Tordsen and Senators Maher (prime), Bolin, Crabtree, Davis, Diedrich, Duhamel, Hoffman, Kolbeck (Jack), Nesiba, Reed, Rohl, Wheeler, and Zikmund",increase the dollar amount of South Dakota opportunity scholarships.,Education; Higher Education; Scholarships,http://sdlegislature.gov/Session/Bill/23814
HB1056,2023-RS,2023,Representative Venhuizen (prime),"Representatives Venhuizen (prime), Arlint, Bartels, Blare, Chase, Deutsch, Duba, Jamison, Kassin, Koth, Krull, Moore, Mortenson, Olson, Otten (Ernie), Perry, Peterson (Drew), Rehfeldt, Reimer, Reisch, Sauder, Schneider, Shorma, Stevens, Tordsen, and Weisgram and Senators Bolin (prime), Crabtree, Davis, Hunhoff, Johnson, Kolbeck (Jack), Reed, Rohl, Wheeler, and Zikmund",modify the limit of consecutive terms for members of the Board of Technical Education.,Boards and Commissions; Education; Higher Education,http://sdlegislature.gov/Session/Bill/23817
HB1057,2023-RS,2023,Representative Schaefbauer (prime),"Representatives Schaefbauer (prime), Aylward, Bahmuller, Bartels, Blare, Emery, Gross, Hansen, Jensen (Kevin), Koth, Krohmer, Lems, Moore, Otten (Ernie), Perry, Pourier, Reimer, Reisch, St. John, Stevens, Tordsen, and Wittman and Senators Mehlhaff (prime), Bolin, Deibert, Hoffman, Hunhoff, Novstrup, and Rohl",allow for the appointment of county coroner by all counties.,Counties,http://sdlegislature.gov/Session/Bill/23984
HB1058,2023-RS,2023,Representative Overweg (prime),"Representatives Overweg (prime), Aylward, Blare, Emery, Gross, Jensen (Kevin), Karr, Krohmer, Lems, Lesmeister, May, Moore, Perry, Reimer, Sjaarda, and Wittman and Senators Tobin (prime), Klumb, and Pischke",revise the water resources projects list.,Water Management,http://sdlegislature.gov/Session/Bill/24052
HB1059,2023-RS,2023,Representative Emery (prime),"Representatives Emery (prime), Duba, Healy, Jensen (Kevin), Lesmeister, Moore, Nelson, Perry, Pinnow, Pourier, Reimer, Schaefbauer, St. John, and Wittman and Senators Davis (prime), Bordeaux, and Larson",establish a community paramedic endorsement.,Boards and Commissions; Fees; Health Care; Professions and Occupations; Promulgation of Rules,http://sdlegislature.gov/Session/Bill/23897
HB1060,2023-RS,2023,Representative Callies (prime),"Representatives Callies (prime), Bahmuller, Bartels, Koth, Kull, Moore, Mortenson, Perry, Pinnow, Reisch, and Weisgram and Senators Mehlhaff (prime), Crabtree, Deibert, Reed, Rohl, Stalzer, and Wiik",modify provisions related to procurement for the state and other purchasing agencies.,"Public Property, Purchases and Contracts",http://sdlegislature.gov/Session/Bill/23971
HB1061,2023-RS,2023,The Committee on Judiciary,The Committee on Judiciary at the request of the Chief Justice,repeal provisions regarding criminal jury trials effective upon the adoption of Supreme Court rules.,Criminal Procedure; Delayed Effective Date; Executive/Judiciary Request,http://sdlegislature.gov/Session/Bill/23762
HB1062,2023-RS,2023,The Committee on Judiciary,The Committee on Judiciary at the request of the Chief Justice,clarify the convening of recount boards for primary elections.,Counties; Election Verification; Elections; Executive/Judiciary Request,http://sdlegislature.gov/Session/Bill/23763
HB1063,2023-RS,2023,The Committee on Judiciary,The Committee on Judiciary at the request of the Chief Justice,require the Unified Judicial System to assemble a task force to address barriers to services for emerging adults involved in the justice system in South Dakota.,Corrections; Courts and Judiciary; Executive/Judiciary Request; Reports,http://sdlegislature.gov/Session/Bill/23962
HB1064,2023-RS,2023,The Committee on Judiciary,The Committee on Judiciary at the request of the Chief Justice,require the Unified Judicial System to assemble a task force to address the provision of legal services to indigent parties within the South Dakota court system and to declare an emergency.,Courts and Judiciary; Executive/Judiciary Request; Reports,http://sdlegislature.gov/Session/Bill/23963
HB1065,2023-RS,2023,Representative Reisch (prime),"Representatives Reisch (prime), Bahmuller, Blare, Chase, Deutsch, Duba, Emery, Fitzgerald, Gross, Jensen (Kevin), Kassin, Kull, Lesmeister, Massie, Mills, Moore, Nelson, Odenbach, Olson, Perry, Pinnow, Pourier, Shorma, Teunissen, Tordsen, Venhuizen, and Wittman and Senators Stalzer (prime), Castleberry, Crabtree, Deibert, Hoffman, Johnson, Kolbeck (Jack), Larson, Nesiba, Otten (Herman), Pischke, Rohl, and Zikmund",increase the maximum amount of dollars payable by the state to erect the headstone of a deceased veteran.,Cemeteries; Veterans Affairs,http://sdlegislature.gov/Session/Bill/23901
HB1066,2023-RS,2023,Representative Perry (prime),"Representatives Perry (prime), Bartels, Deutsch, Moore, Shorma, Sjaarda, and Wangsness",require the use of fuel that is thirty percent ethanol by volume by the state motor vehicle pool in certain circumstances.,"Delayed Effective Date; Motor Vehicles; Public Property, Purchases and Contracts; State Employees",http://sdlegislature.gov/Session/Bill/23753
HB1067,2023-RS,2023,Representative Perry (prime),"Representatives Perry (prime), Deutsch, Fitzgerald, Jensen (Kevin), Krohmer, Mills, Moore, and Otten (Ernie) and Senators Novstrup (prime), Hoffman, Mehlhaff, and Stalzer",provide for a rebuttable presumption of intent to distribute methamphetamine when in possession of more than five grams.,Controlled Substances; Crimes; Criminal Procedure,http://sdlegislature.gov/Session/Bill/23755
HB1068,2023-RS,2023,Representative Perry (prime),"Representatives Perry (prime), Auch, Aylward, Deutsch, Jensen (Kevin), Moore, Overweg, Peterson (Sue), Rehfeldt, Schaefbauer, and Sjaarda and Senators Novstrup (prime), Bolin, Otten (Herman), Pischke, Stalzer, and Tobin",prohibit deceptive practices in the advertising and sale of food products as meat and poultry.,Crimes; Food and Drugs; Meat and Meat Products,http://sdlegislature.gov/Session/Bill/23783
HB1069,2023-RS,2023,Representative Perry (prime),"Representatives Perry (prime), Aylward, Deutsch, Jensen (Kevin), Moore, and Reisch and Senators Pischke (prime), Frye-Mueller, and Hoffman",prohibit the acquisition of agricultural land by foreign governments.,Agricultural Land; Property,http://sdlegislature.gov/Session/Bill/23784
HB1070,2023-RS,2023,Representative Odenbach (prime),"Representatives Odenbach (prime), Deutsch, Gross, Hansen, Moore, Perry, Reisch, Shorma, and Venhuizen and Senators Maher (prime), Beal, Castleberry, Hoffman, Mehlhaff, and Pischke","create the Center for American Exceptionalism at Black Hills State University, make an appropriation therefor, and declare an emergency.",Appropriation; Education; Emergency Clause; Higher Education; School Curriculum,http://sdlegislature.gov/Session/Bill/23692
HB1071,2023-RS,2023,Representative Jensen (Kevin) (prime),"Representatives Jensen (Kevin) (prime), Blare, Callies, Deutsch, Jensen (Phil), Koth, Lems, Lesmeister, May, Mortenson, Mulally, Otten (Ernie), Perry, Pourier, Reimer, Stevens, and Tordsen and Senators Stalzer (prime), Crabtree, Diedrich, Frye-Mueller, Hoffman, Kolbeck (Steve), Larson, Novstrup, Otten (Herman), Pischke, and Rohl",establish use of force course standards.,Firearms; Law Enforcement; Promulgation of Rules,http://sdlegislature.gov/Session/Bill/23667
HB1072,2023-RS,2023,Representative Chaffee (prime),"Representatives Chaffee (prime), Drury, Fitzgerald, Massie, Olson, and Perry and Senators Frye-Mueller (prime) and Deibert",subject lithium to severance tax.,Counties; Minerals; Taxation,http://sdlegislature.gov/Session/Bill/23761
HB1073,2023-RS,2023,Representative Drury (prime),Representative Drury (prime) and Senators Diedrich and Reed,rename separate maintenance as legal separation.,Domestic Relations; Technical/Cleanup Changes,http://sdlegislature.gov/Session/Bill/23703
HB1074,2023-RS,2023,Representative Drury (prime),Representative Drury (prime) and Senator Reed,authorize division of property between parties when legal separation is granted.,Domestic Relations,http://sdlegislature.gov/Session/Bill/23822
HB1075,2023-RS,2023,Representative Fitzgerald (prime),"Representatives Fitzgerald (prime), Aylward, Chaffee, Deutsch, Donnell, Jensen (Phil), Krull, Lems, Mills, Nelson, Perry, Peterson (Sue), Pinnow, Pourier, and Tordsen and Senators Wiik (prime), Castleberry, Hoffman, Nesiba, and Otten (Herman)",lower the state sales tax rate and the state use tax rate on food to zero percent.,Food Tax; Retail Sales and Service Tax; Tax Exemptions; Taxation,http://sdlegislature.gov/Session/Bill/23876
HB1076,2023-RS,2023,Representative Fitzgerald (prime),"Representatives Fitzgerald (prime), Aylward, Olson, and Pourier",provide for supervised practice.,Courts and Judiciary,http://sdlegislature.gov/Session/Bill/23637
HB1077,2023-RS,2023,Representative Fitzgerald (prime),"Representatives Fitzgerald (prime), Blare, Drury, Jensen (Kevin), Krull, Kull, Lems, Moore, Mulally, Perry, and Reimer and Senators Castleberry (prime), Deibert, Hoffman, Mehlhaff, Reed, Stalzer, and Wiik",prohibit eligibility for a suspended imposition of sentence for certain rape offenses.,Criminal Procedure; Sex Offenses,http://sdlegislature.gov/Session/Bill/23621
HB1078,2023-RS,2023,Representative Rehfeldt (prime),"Representatives Rehfeldt (prime), Arlint, Bahmuller, Duba, Emery, Healy, Heermann, Kull, Lesmeister, Moore, Mulder, Nelson, Olson, Perry, Pourier, Shorma, St. John, Tordsen, and Wittman and Senators Hunhoff (prime), Davis, Johnson, Kolbeck (Jack), Kolbeck (Steve), Larson, Nesiba, and Rohl",make an appropriation to the Department of Human Services for the development and expansion of adult day services programs and to declare an emergency.,Appropriation; Emergency Clause; Grants; Human Services,http://sdlegislature.gov/Session/Bill/24031
HB1079,2023-RS,2023,Representative Rehfeldt (prime),"Representatives Rehfeldt (prime), Bahmuller, Deutsch, Drury, Duba, Emery, Healy, Heermann, Kassin, Kull, Lesmeister, Moore, Mulder, Nelson, Perry, Pinnow, Pourier, Reisch, St. John, Tordsen, and Wittman and Senators Davis (prime), Bordeaux, Diedrich, Johnson, Larson, Nesiba, Otten (Herman), Reed, and Rohl","make an appropriation to the Department of Health to provide grants to support mental health and suicide prevention programs, and to declare an emergency.",Appropriation; Emergency Clause; Grants; Health Care,http://sdlegislature.gov/Session/Bill/24053
HB1080,2023-RS,2023,Representative Soye (prime),"Representatives Soye (prime), Auch, Aylward, Bahmuller, Callies, Deutsch, Gross, Hansen, Jensen (Kevin), Jensen (Phil), Karr, Krohmer, Kull, Ladner, Lems, May, Mills, Moore, Mulally, Odenbach, Otten (Ernie), Overweg, Perry, Peterson (Sue), Pinnow, Randolph, Reimer, Schaefbauer, and Sjaarda and Senators Novstrup (prime), Bolin, Frye-Mueller, Hoffman, Pischke, Stalzer, Wiik, and Zikmund",prohibit certain medical and surgical interventions on minor patients.,Health Care; Minors; Public Health and Safety,http://sdlegislature.gov/Session/Bill/24100
HB1081,2023-RS,2023,Representative Randolph (prime),"Representatives Randolph (prime), Auch, Aylward, Jensen (Phil), Lems, May, Mulally, and Perry and Senators Frye-Mueller and Pischke",limit the manner in which legislation may be introduced.,Legislature and Statutes,http://sdlegislature.gov/Session/Bill/24069
HB1082,2023-RS,2023,Representative Randolph (prime),"Representatives Randolph (prime), Aylward, Jensen (Phil), Lems, May, Mulally, and Perry and Senators Frye-Mueller, Johnson, and Pischke","establish a standing committee on federal review, and to declare an emergency.",Emergency Clause; Legislative Oversight; Legislature and Statutes; Organization of the Legislature,http://sdlegislature.gov/Session/Bill/23975
