bill_id,term,session,title,long_title,subjects,commem
HB0022,2023_2024,135,Regards stroke care data; recognize stroke centers,"To amend sections 3727.11, 3727.12, 3727.13, and 3727.14 and to enact section 3727.131 of the Revised Code regarding the collection of stroke care data and the recognition of thrombectomy-capable stroke centers.",Health and Human Services : Health Care; Health and Human Services : Public Health,0
HB0023,2023_2024,135,Enact FY 2024-2025 transportation budget,"To amend sections 117.16, 124.152, 303.02, 306.353, 519.02, 723.52, 4503.10, 4503.103, 4503.11, 4503.191, 4503.29, 4503.44, 4506.01, 4506.11, 4507.01, 4507.061, 4507.13, 4507.52, 4511.093, 4513.34, 4981.02, 4981.04, 5503.031, 5517.011, 5525.16, 5531.09, 5531.10, 5540.01, 5540.02, 5540.03, 5540.06, 5543.19, 5575.01, 5577.044, and 5709.50; to enact sections 746.01, 746.02, 746.03, 746.04, 746.05, 746.06, 746.07, 4503.107, 4505.131, 4506.072, 4507.021, 4507.063, 4507.511, 4517.262, 4955.50, 4955.51, 4999.09, 5501.521, and 5501.60; and to repeal section 5501.09 of the Revised Code and to amend Section 265.325 of H.B. 110 of the 134th General Assembly and Sections 223.15 as subsequently amended, 243.10, and 243.20 of H.B. 687 of the 134th General Assembly; and to repeal Section 15149 of the General Code, Section 1 of Am. S.B. 200 of the 98th General Assembly, and Section 3 of H.B. 69 of the 112th General Assembly to make current expense appropriations for fiscal year 2023, to make appropriations for programs related to transportation for the biennium beginning July 1, 2023, and ending June 30, 2025, and to provide authorization and conditions for the operation of those programs.","Crimes, Corrections, and Law Enforcement : Law Enforcement; Finance and Appropriations; Public Safety; State and Local Government; Transportation; Transportation : Highways, Roads, and Bridges",0
HB0024,2023_2024,135
",To enact sections 3902.64 and 5164.13 of the Revised Code to require health benefit plan and Medicaid program coverage of biomarker testing.,Commerce : Insurance; Health and Human Services : Medicaid,0
HB0025,2023_2024,135,Create Ohio Asian-American and Pacific Islander Affairs Comm,To enact sections 121.34 and 121.341 of the Revised Code to create the Ohio Asian-American and Pacific Islander Affairs Commission and the Office of Asian American and Pacific Islander Affairs and to make an appropriation.,State and Local Government,0
HB0026,2023_2024,135,Designate Town and Country Firefighter Lt. Philip M. Wigal Hwy,"To enact section 5534.485 of the Revised Code to designate a portion of State Route 301 in Wayne County as the ""Town and Country Firefighter Lt. Philip M. Wigal Memorial Highway.""",Public Safety; Special Designations; Special Designations : Memorial Highways and Bridges; Transportation,1
HB0027,2023_2024,135,Require state higher ed provide financial cost and aid disclosure,"To amend sections 5101.192, 5101.193, 5101.194, and to enact section 3345.026 of the Revised Code and to amend Sections 307.10 and 307.140 of H.B. 33 of the 135th General Assembly to amend the versions of sections 5101.193 and 5101.194 of the Revised Code that are scheduled to take effect on January 1, 2025, to continue the changes on and after that date, to require state institutions of higher education to provide financial cost and aid disclosure forms, to make an appropriation for the Adoption Grant Program, and to make certain capital appropriations and reappropriations for the biennium ending June 30, 2026.",Education; Education : Higher Education,0
HB0028,2023_2024,135
","To enact section 5.2535 of the Revised Code to designate March as ""Triple Negative Breast Cancer Awareness Month.""",Health and Human Services : Public Health; Special Designations,1
HB0029,2023_2024,135,Regards driver's license suspensions-failure to pay child support,To amend sections 3123.56 and 3123.58 of the Revised Code to make changes to the law governing driver's license suspensions for failure to pay child support.,Health and Human Services : Public Health; Juvenile and Family Law : Child Custody and Support; Transportation; Transportation : Drivers' Licenses; Transportation : Motor Vehicles,0
HB0030,2023_2024,135,Require correctional facilities supply feminine hygiene products,"To enact sections 341.261, 753.321, and 5120.631 of the Revised Code regarding inmates' access to feminine hygiene products and showers by municipal and county correctional facilities and state correctional institutions.","Crimes, Corrections, and Law Enforcement; Crimes, Corrections, and Law Enforcement : Crime and Punishment; Crimes, Corrections, and Law Enforcement : Prisons",0
HB0031,2023_2024,135,Enact FY 2024-2025 workers' compensation budget,"To amend sections 4121.021, 4123.30, 4123.34, 4123.341, 4123.342, and 4123.36 of the Revised Code to make appropriations for the Bureau of Workers' Compensation for the biennium beginning July 1, 2023, and ending June 30, 2025, to provide authorization and conditions for the operation of the Bureau's programs, to make changes to the Workers' Compensation Law, and to enact a three-day interim budget.",Finance and Appropriations,0
HB0032,2023_2024,135,Enact FY 2024-2025 Industrial Commission budget,"To make appropriations for the Industrial Commission for the biennium beginning July 1, 2023, and ending June 30, 2025, and to provide authorization and conditions for the operation of Commission programs.",Employment : Workers' Compensation; Finance and Appropriations,0
