LD_num,paper_num,term,session,title,primary_sponsor,cosponsors,reference_comm,reference_date,status,chapter_num,bill_url,chamber_status_url
,HC0008,131,,"Pursuant to my authority under Senate Rule 201.3, I have temporarily made the following appointments to the Joint Standing Committee on Appropriations and Financial Affairs, effective immediately: Troy D. Jackson, Chair (D-Aroostook) Eloise A. Vitelli (D-Sagadahoc) 
Harold Trey L. Stewart (R-Aroostook)",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC8,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085081
,HC0009,131,,"Pursuant to my authority under Title 5 MRSA, Chapter 631-A, §25002, I am pleased to appoint Deb Ibonwa to the Permanent Commission on the Status of Racial, Indigenous and Maine Tribal Populations. 

With this appointment, she will be serving as a representative of an organization with expertise in legal and policy matters related to public benefit programs that assists individuals with low incomes, effective the date of this letter.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC9,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085085
,HC0010,131,,"Pursuant to my authority under House Rule 201.1 (I) (a), I am rescinding the appointments of the following House members from the Joint Standing Committee on Appropriations and Financial Affairs, effective immediately:",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC10,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085104
,HC0011,131,,"Communication Speaker Appointments Joint Standing Committees, pursuant to House Rule 201.1 (I) (a)",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC11,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085105
,HC0012,131,,"Communication Speaker Appointments  pursuant to Joint Rule 354, House members to the Joint Select Committee on Joint Rules:",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC12,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085106
,HC0013,131,,"Communication Speaker Appointment Pursuant to my authority under House Rule 201.1 (J), appointments to the Standing Committees of the House",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC13,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085107
,HC0014,131,,Communication Secretary of State - Tabulated returns votes for Governor,,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC14,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085163
,HC0015,131,,Communication President Appointments to Joint Standing Committees pursuant to Senate Rule 201.3,,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC15,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085165
,HC0016,131,,Communication President Appointment to the Government Oversight Committee pursuant to Joint Rule 371,,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC16,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085167
,HC0017,131,,Communication President Appointment to the Joint Rules Committee pursuant to Joint Rule 354,,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC17,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085168
,HC0018,131,,"Communication President Appointment In compliance with Joint Order (S.P. 9), I am pleased to appoint the following members to the Gubernatorial Vote Committee:",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC18,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085171
,HC0019,131,,"Communication President Appointment In compliance with Joint Order (S.P. #44), I am pleased to appoint the following members to inform the Honorable Janet T. Mills that she has been duly elected Governor of the State of Maine for the political years 2023, 2024, 2025 and 2026:",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC19,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085199
,HC0020,131,,"Communication Clerk to Secretary, informing Senate of Speaker appointments to the Joint Select Committee on Gubernatorial Vote and Committee to wait upon the Governor to inform her the she has been duly elected",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC20,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085208
,HC0021,131,,Communication Child Welfare Ombudsman Annual Report pursuant to 22 MRSA §4087-A,,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC21,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085218
,HC0022,131,,"Communication The Joint Select Committee of the One Hundred and Thirty First Legislature on returns of votes for Governor given in the several cities, towns, and plantations of this State for the political years 2023, 2024, 2025 and 2026  has attended to its duty and asks leave to report that the tabulation of the return of votes cast for Governor at the General Election held on November 6, 2018 as reported by the Secretary of State Bellows is a true and accurate account.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC22,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085222
,HC0023,131,,"COMMUNICATION SEC OF STATE Pursuant to 5 MRSA §12009, I am submitting to you the report of Board and Commission appointments or reappointments for calendar year 2023. Additionally, I am providing a report that list appointments or re-appointments that have not been made from previous years through December 31, 2022,  and where vacancies actually exist on a board or commission that need a new appointment.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC23,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085244
,HC0024,131,,"Communication Speaker/President  Pursuant to our authority under Title 12, MRSA, Chapter 419, §4652, we are pleased to appoint Allison Hepler of Woolwich to the Atlantic State Marine Fisheries Commission.

Furthermore, we are appointing Senator Cameron Reny of Lincoln as a permanent proxy member of the commission, who may also attend meetings of the commission. Additionally, Senator Reny may vote in the event of Representative Hepler's absence.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC24,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085289
,HC0025,131,,"Communication Pursuant to 5 M.R.S.A., Section 12023, please consider this the letter of transmittal for the required report from the Maine Health and Higher Educational Facilities Authority due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC25,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085348
,HC0026,131,,"Communication Pursuant to 5 MRSA, Section 12023, please consider this the letter of transmittal for the required report from the Maine Governmental Facilities Authority due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC26,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085351
,HC0027,131,,"Communication Pursuant to 5 M.R.S.A., Section 12023, please consider this the letter of transmittal for the required report from the Maine Municipal Bond Bank due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC27,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085353
,HC0028,131,,"Communication Pursuant to 5 M.R.S.A., Section 12023, please consider this the letter of transmittal for the required report from the Midcoast Regional Redevelopment Authority.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC28,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085393
,HC0029,131,,"Communication Speaker Appointment Pursuant to my authority under 22 MRSA, Subtitle 3, Part 3, Ch. 1058 (2) (B), I have reappointed Representative Margaret Craven of Lewiston to the Maine Childrens' Trust Incorporated, effective immediately.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC29,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085397
,HC0030,131,,"Communication Speaker Appointment Pursuant to my authority under Title 5, MRSA, Part 10-A, Ch. 319, §3371.2-B, I am pleased to reappoint the Honorable Bruce White of Waterville as a member of the House to the Maine Fire Protection Services Commission, effective immediately.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC30,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085398
,HC0031,131,,"Communication - In accordance with Title 9-B M.R.S. §217, as amended, enclosed please find a copy of the Annual Report from the Superintendent of the Bureau of Financial Institutions to the Legislature.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC31,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085417
,HC0032,131,,"In accordance with 3 MRSA §995(4), I respectfully submit the Office of Program Evaluation and Government Accountability (OPEGA) Annual Report for 2022.  OPEGA's service to the Legislature as an independent, non-partisan resource is meant to support the important role of legislative oversight and to help improve the performance of State government.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC32,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085483
,HC0033,131,,"Communication Speaker Appointment Pursuant to my authority under Title 5, MRSA, Part 10-A, Ch. 319, §3371.2-B, I am pleased to reappoint the Honorable Bruce White of Waterville as a member of the House to the Maine Fire Protection Services Commission, effective immediately.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC33,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085485
,HC0034,131,,"Communication I am pleased to provide you with the Maine Human Rights Commission's report of quasi-independent state entity activity for the preceding year, as required by 5 M.R.S. §12023.  The Maine Human Rights Commission (MHRC) is committed to ensuring that its governing body has all the information needed to oversee the MHRC's activities and expenditures responsibly.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC34,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085486
,HC0035,131,,"CommunicationPursuant to 5 M.R.S.A., Section 12023, please consider this the letter of transmittal for the required report from the Maine Municipal and Rural Electrification Cooperative Agency due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC35,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085490
,HC0036,131,,"Communication Pursuant to 5 M.R.S.A., Section 12023, please consider this the letter of transmittal for the attached Report to Legislature for FY 2022 on behalf of the quasi-independent state entity, Small Enterprise Growth Board, due February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC36,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085500
,HC0037,131,,"Communication Pursuant to 5 M.R.S.A., Section 12023, please consider this the letter of transmittal for the required report from the Maine Public Employees Retirement System due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC37,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085501
,HC0038,131,,"Communication Governor nominations, 1/24/23",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC38,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085503
,HC0039,131,,"Communication Speaker Appointment Pursuant to my authority under Title 5 MRSA, §20065, I am pleased to reappoint Representative Colleen Madigan of Waterville to the Substance Use Disorder Services Commission, effective immediately.

Representative Madigan will continue to serve on this commission as a member of the House of Representatives who is also a member of the joint standing committee having jurisdiction over health and human services matters.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC39,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085563
,HC0040,131,,"Communication On behalf of the Board of Trustees of the Maine Community College System (MCCS), I respectfully submit the attached report on certain procurements, contributions, and policy changes for the period July l, 2021, through June 30, 2022, as required by 5 M.R.S.A.§ 12023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC40,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085566
,HC0041,131,,"Communication Communication Pursuant to 5 MRSA, Section 12023, please consider this the letter of transmittal for the required report from the Maine Maritime Academy due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC41,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085599
,HC0042,131,,"CommunicationI am pleased to submit the Communication with Those Charged with Governance at the Conclusion of the Audit in reference to the financial statement audit for the fiscal year ended June 30, 2022. Auditing standards require us to communicate audit matters that are, in our professional judgment, significant and relevant to those charged with Governance in overseeing the financial reporting process. This report is being communicated in accordance with 5 MRSA §243.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC42,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085611
,HC0043,131,,"CommunicationPursuant to 5 M.R.S.A., Section 12023, please consider this the letter of transmittal for the required report from the Loring Development Authority of Maine due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC43,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085634
,HC0044,131,,"Communication Governor nominations, 1/30/23 and 2/1/23",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC44,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085671
,HC0045,131,,"Communication Pursuant to 5 M.R.S.A., Section 12023,  I am pleased to deliver this the letter of transmittal for the required report from Efficiency Maine Trust due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC45,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085672
,HC0046,131,,"Communication Pursuant to 5 MRSA, Section 12023, please consider this the letter of transmittal for the required report from the Northern New England Passenger Rail Authority (NNEPRA) due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC46,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085673
,HC0047,131,,"Communication Pursuant to MRSA Title 5, section 12023, the Sunrise County Economic Council (SCEC) is pleased to submit the 2021-2022 Quasi-Independent State Entities Report to the Legislature on behalf of the Washington County Development Authority (WCDA).",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC47,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085688
,HC0048,131,,"Communication Pursuant to my authority under Title 38, Chapter 3, Subchapter 2-B, §568-B, 1, F, of the Maine Revised Statutes, I have appointed Thomas Schwarm of Freeport to the Clean-up and Response Fund Review Board, effective immediately.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC48,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085689
,HC0049,131,,"On behalf of the 131st Maine Legislature, we would like to invite you to deliver your State of the State Address.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC49,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085692
,HC0050,131,,"I am honored to accept your invitation to deliver the State of the Budget Address before a Joint Convention of the Legislature on Tuesday, February 14, 2023 at 7:00 p.m.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC50,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085695
,HC0051,131,,"Communication Pursuant to 5 M.R.S.A., § 12023, please consider this the transmittal letter for the required report from the Workers' Compensation Board due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC51,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085705
,HC0052,131,,"Communication Pursuant to 5 M.R.S.A. § 12023, please consider this the letter of transmittal for the required report from the Finance Authority of Maine due February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC52,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085720
,HC0053,131,,"Communication Pursuant to 5 M.R.S.A., Section 12023, please consider this the letter of transmittal for the required report from the Maine Technology Institute (MTI) due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC53,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085722
,HC0054,131,,"Communication Pursuant to 5 M.R.S.A., Section 12023, please consider this the letter of transmittal for the required report from the Maine State Housing Authority due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC54,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085728
,HC0055,131,,"Communication Pursuant to 5 M.R.S.A., Section 12023, please consider this the letter of transmittal for the required report due by Feb. 1, 2023 from the University of Maine System (UMS) documenting our qualifying FY22 sole-source procurements and contributions.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC55,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085738
,HC0056,131,,"Communication Enclosed are the reports required under 5 M.R.S.A. §12023, due February 1, 2023. The reports include: a list of all procurements in 2022 exceeding $10,000 for which competitive procurement was waived; a list of contributions made in 2022 that exceed $1,000.  Section 12023(2c) requires a description of changes to the written policies and procedures required by Section 12022. There were no changes to the policies and procedures required by this section in 2022, therefore, there is nothing to report.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC56,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085746
,HC0057,131,,"Communication Pursuant to my authority under House Rule 201.1 (I) (a) and Joint Rule 371, I rescind the appointment of Representative Clinton E. Collamore Sr. of Waldoboro from the Joint Standing Committee on Inland Fisheries and Wildlife, effective immediately.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC57,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085749
,HC0058,131,,"Communication Pursuant to 5 M.R.S.A., Section 12023, please consider this the letter of transmittal for the required report from the Maine Connectivity Authority due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC58,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085789
,HC0059,131,,"Communication Pursuant to 5 MRSA, Section 12023, the Maine Port Authority is pleased to submit the following report to the Legislature, due by February 1, 2023.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC59,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085793
,HC0060,131,,"Communication President Appointment Pursuant to my authority under Title 22, MRSA, §3883, I am pleased to re-appoint Senator Marianne Moore to the Maine Children's Trust Incorporated, representing a member of the Senate.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC60,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085797
,HC0061,131,,"Communication President AppointmentPursuant to my authority under Title 5, MRSA, §3371, I am pleased to reappoint Senator Chip Curry to the Maine Fire Protection Services Commission. With this appointment, he will be serving in seat number one on the commission, effective the date of this letter.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC61,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085798
