bill_number,term,bill_type,intro_date,primary_sponsor,cosponsors,title,summary,approp_bill,veto,partial_veto,companion,bill_url
HB1649,2023-2024,Bill,2023-01-27,"Hackney, David","Berry, Liz; Taylor, Jamila; Stonier, Monica Jurado; Pollet, Gerry; Macri, Nicole; Fosse, Mary",AN ACT Relating to prejudgment interest;,Concerning prejudgment interest.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1649
HB1650,2023-2024,Bill,2023-01-27,"Wylie, Sharon","Kloba, Shelley",AN ACT Relating to requiring voter approval for local government prohibitions on the operation and siting of cannabis retail businesses;,Requiring voter approval for local government prohibitions on cannabis businesses.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1650
HB1651,2023-2024,Bill,2023-01-30,"Reeves, Kristine","Pollet, Gerry","AN ACT Relating to debts arising from infractions for standing, stopping, and parking violations, and violations captured by safety cameras;","Concerning debts arising from infractions for standing, stopping, and parking violations, and violations captured by safety cameras.",false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1651
HB1652,2023-2024,Bill,2023-01-30,"Taylor, Jamila","Couture, Travis; Rule, Alicia",AN ACT Relating to child support pass through;,Concerning child support pass through.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1652
HB1653,2023-2024,Bill,2023-01-30,"Caldier, Michelle","Walen, Amy; Duerr, Davina",AN ACT Relating to providing a business and occupation tax exemption for amounts derived from animal adoption fees collected by a nonprofit;,Providing a business and occupation tax exemption for amounts derived from animal adoption fees collected by a nonprofit.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1653
HB1654,2023-2024,Bill,2023-01-30,"Harris, Paul","Taylor, Jamila; Leavitt, Mari; Santos, Sharon Tomiko; Ramel, Alex; Eslick, Carolyn; Macri, Nicole",AN ACT Relating to enhanced behavior support homes;,Establishing an enhanced behavior support homes model.,false,false,false,SB5506,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1654
HB1655,2023-2024,Bill,2023-01-30,"Harris, Paul","Stonier, Monica Jurado",AN ACT Relating to provider contract compensation;,Concerning provider contract compensation.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1655
HB1656,2023-2024,Bill,2023-01-30,"Schmidt, Suzanne","Fosse, Mary; Berry, Liz; Robertson, Eric; Christian, Leonard; Ormsby, Timm; Riccelli, Marcus",AN ACT Relating to unemployment insurance benefits appeal procedures;,Concerning unemployment insurance benefits appeal procedures.,false,false,false,SB5240,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1656
HB1657,2023-2024,Bill,2023-01-30,"Street, Chipalo","Cheney, Greg; Simmons, Tarra; Taylor, Jamila; Ormsby, Timm; Hutchins, Spencer","AN ACT Relating to the authority of justices, judges, and judicial officers of federal courts to solemnize marriages;","Authorizing justices, judges, and judicial officers of federal courts to solemnize marriages.",false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1657
HB1658,2023-2024,Bill,2023-01-30,"Shavers, Clyde","Santos, Sharon Tomiko; Morgan, Melanie; Ramel, Alex; Taylor, Jamila; Ormsby, Timm",AN ACT Relating to authorizing public high school students to earn elective credit for paid work experience;,Authorizing public high school students to earn elective credit for paid work experience.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1658
HB1659,2023-2024,Bill,2023-01-30,"Dye, Mary","Klicker, Mark",AN ACT Relating to preventing carbon market price manipulation;,Preventing carbon market price manipulation.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1659
HB1660,2023-2024,Bill,2023-01-30,"Christian, Leonard","Riccelli, Marcus; Hutchins, Spencer; Schmidt, Suzanne; Couture, Travis; Connors, April; Sandlin, Bryan; Bergquist, Steve; Eslick, Carolyn; Chambers, Kelly",AN ACT Relating to setting a minimum bid for abandoned recreational vehicles sold at auction;,Setting a minimum bid for abandoned recreational vehicles sold at auction.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1660
HB1661,2023-2024,Bill,2023-01-30,"Maycumber, Jacquelin","Springer, Larry; Robertson, Eric; Chapman, Mike; Mosbrucker, Gina; Rule, Alicia; Eslick, Carolyn; Taylor, Jamila; Paul, Dave",AN ACT Relating to establishing a pilot project for mobile mental health crisis intervention;,Establishing a pilot project for mobile mental health crisis intervention.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1661
HB1662,2023-2024,Bill,2023-01-30,"Tharinger, Steve","Chapman, Mike",AN ACT Relating to payments for certain sole community hospitals under medical assistance programs;,Concerning payments for certain sole community hospitals under medical assistance programs.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1662
EHB1663,2023-2024,Bill,2023-01-30,"Goehner, Keith","Steele, Mike",AN ACT Relating to allowing port districts that have been functionally consolidated to adopt a unified levy;,Allowing functionally consolidated port districts to adopt a unified levy.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1663
HB1664,2023-2024,Bill,2023-01-30,"Goehner, Keith","Barnard, Stephanie; Corry, Chris; Couture, Travis; Dye, Mary; Schmidt, Suzanne; Eslick, Carolyn; McClintock, Stephanie; Schmick, Joe; Klicker, Mark; Dent, Tom",AN ACT Relating to ensuring rural representation on the environmental justice council;,Ensuring rural representation on the environmental justice council.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1664
HB1665,2023-2024,Bill,2023-01-30,"Stonier, Monica Jurado","Santos, Sharon Tomiko; Pollet, Gerry",AN ACT Relating to allowing pharmacists to treat certain conditions;,Allowing pharmacists to treat certain conditions.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1665
HB1666,2023-2024,Bill,2023-01-30,"Reeves, Kristine",,AN ACT Relating to making changes to certain fee and debt collection practices;,Making changes to certain fee and debt collection practices.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1666
HB1667,2023-2024,Bill,2023-01-30,"Schmidt, Suzanne","Chapman, Mike; Christian, Leonard",AN ACT Relating to determining the prevailing wage for public works;,Concerning how the prevailing wage for public works is determined.,false,false,false,SB5563,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1667
HB1668,2023-2024,Bill,2023-01-30,"Donaghy, Brandy","Low, Sam; Reeves, Kristine; Ramel, Alex; Chambers, Kelly; Bronoske, Dan; Eslick, Carolyn; Chapman, Mike; Macri, Nicole; Schmidt, Suzanne; Kloba, Shelley; Robertson, Eric; Hutchins, Spencer; Davis, Lauren; Ryu, Cindy",AN ACT Relating to restitution for surviving minor children of deceased victims of vehicular homicide;,Concerning restitution for surviving minor children of deceased victims of vehicular homicide.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1668
HB1669,2023-2024,Bill,2023-01-30,"Chambers, Kelly","Riccelli, Marcus; Robertson, Eric; Leavitt, Mari; Jacobsen, Cyndy; Graham, Jenny; Stonier, Monica Jurado; Reeves, Kristine; Christian, Leonard; Chapman, Mike; Schmidt, Suzanne; Rule, Alicia; Eslick, Carolyn; Taylor, Jamila; Paul, Dave",AN ACT Relating to the Washington auto theft prevention authority account;,Concerning the Washington auto theft prevention authority account.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1669
HB1670,2023-2024,Bill,2023-01-30,"Ormsby, Timm","Fitzgibbon, Joe; Walen, Amy; Macri, Nicole; Senn, Tana; Bergquist, Steve; Gregerson, Mia; Springer, Larry; Goodman, Roger; Chopp, Frank; Bateman, Jessica; Wylie, Sharon; Fey, Jake; Ryu, Cindy; Stonier, Monica Jurado; Riccelli, Marcus; Reeves, Kristine; Duerr, Davina; Ramel, Alex; Alvarado, Emily; Pollet, Gerry",AN ACT Relating to raising the limit factor for property taxes;,Raising the limit factor for property taxes.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1670
HB1671,2023-2024,Bill,2023-01-30,"Couture, Travis","Volz, Mike; Sandlin, Bryan; McEntire, Joel; Waters, Kevin; Klicker, Mark; McClintock, Stephanie; Christian, Leonard; Orcutt, Ed; Corry, Chris; Walsh, Jim; Jacobsen, Cyndy; Mosbrucker, Gina; Chambers, Kelly; Schmidt, Suzanne; Stokesbary, Drew; Low, Sam",AN ACT Relating to securing honesty and valor of elected representatives and senators;,Securing honesty and valor of elected representatives and senators.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1671
HB1672,2023-2024,Bill,2023-01-30,"Couture, Travis","Mosbrucker, Gina; Corry, Chris; Volz, Mike; Christian, Leonard; McEntire, Joel; Walsh, Jim; Eslick, Carolyn",AN ACT Relating to a spirits tax exemption on spirits purchased for use as fund-raising prizes by veterans' service organizations;,Providing a spirits tax exemption on spirits purchased for veterans' service organizations' fund-raising.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1672
HB1673,2023-2024,Bill,2023-01-30,"McEntire, Joel","Leavitt, Mari; Rule, Alicia; Pollet, Gerry",AN ACT Relating to supporting child welfare workers;,Supporting child welfare workers.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1673
HB1674,2023-2024,Bill,2023-01-30,"Ramel, Alex","Fey, Jake; Peterson, Strom; Reed, Julia; Berry, Liz; Duerr, Davina; Kloba, Shelley",AN ACT Relating to improving protections for pedestrians and other vulnerable roadway users from dangers posed by certain pickup trucks and sport utility vehicles;,Improving protections for pedestrians and other vulnerable roadway users from dangers posed by certain pickup trucks and sport utility vehicles.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1674
HB1675,2023-2024,Bill,2023-01-30,"McEntire, Joel","Eslick, Carolyn",AN ACT Relating to establishing a school safety dashboard;,Establishing a school safety dashboard.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1675
HB1676,2023-2024,Bill,2023-01-30,"Senn, Tana","Couture, Travis; Taylor, Jamila; Stonier, Monica Jurado; Pollet, Gerry; Callan, Lisa; Rule, Alicia; Goodman, Roger; Kloba, Shelley",AN ACT Relating to special education early support for infants and toddlers;,Concerning special education early support for infants and toddlers.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1676
HB1677,2023-2024,Bill,2023-01-30,"Walsh, Jim","Gregerson, Mia; Pollet, Gerry",AN ACT Relating to improving transparency in campaign finance disclosure;,Concerning campaign finance disclosure.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1677
HB1678,2023-2024,Bill,2023-01-30,"Riccelli, Marcus","Lekanoff, Debra; Stonier, Monica Jurado; Morgan, Melanie; Bateman, Jessica; Macri, Nicole; Ormsby, Timm; Slatter, Vandana; Entenman, Debra; Ramos, Bill; Peterson, Strom; Tharinger, Steve; Chopp, Frank; Ryu, Cindy; Pollet, Gerry; Davis, Lauren; Harris, Paul; Taylor, Jamila; Simmons, Tarra; Kloba, Shelley; Gregerson, Mia",AN ACT Relating to establishing and authorizing the profession of dental therapy to practice in federally qualified health centers and look-alikes;,Establishing and authorizing the profession of dental therapy.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1678
HB1679,2023-2024,Bill,2023-01-30,"Rule, Alicia","Eslick, Carolyn; Reeves, Kristine; Gregerson, Mia; Pollet, Gerry","AN ACT Relating to modifying and extending requirements of a work group convened to address the needs of students in foster care, experiencing homelessness, or both, by adding reporting and other requirements related to students in or exiting institutional education facilities;","Modifying and extending requirements of a work group convened to address the needs of students in foster care, experiencing homelessness, or both.",false,false,false,SB5719,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1679
HB1680,2023-2024,Bill,2023-01-31,"Kretz, Joel",,AN ACT Relating to protecting intercounty rural library districts' ability to fund public library services through exclusion from tax increment financing apportionment;,Protecting intercounty rural library districts' ability to fund public library services through exclusion from tax increment financing apportionment.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1680
HB1681,2023-2024,Bill,2023-01-31,"Stearns, Chris","Lekanoff, Debra; Davis, Lauren; Leavitt, Mari; Reeves, Kristine; Pollet, Gerry; Orwall, Tina",AN ACT Relating to problem gambling;,Concerning problem gambling.,false,false,false,SB5634,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1681
HB1682,2023-2024,Bill,2023-01-31,"Maycumber, Jacquelin","Chapman, Mike; Barnard, Stephanie; Reeves, Kristine; Riccelli, Marcus; Bateman, Jessica; Springer, Larry; Volz, Mike; Chambers, Kelly; Mosbrucker, Gina; Robertson, Eric; Leavitt, Mari; Jacobsen, Cyndy; Christian, Leonard; Rule, Alicia",AN ACT Relating to the Washington auto theft prevention authority account;,Concerning the Washington auto theft prevention authority account.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1682
HB1683,2023-2024,Bill,2023-01-31,"Barnard, Stephanie","Macri, Nicole; Harris, Paul; Walen, Amy; Caldier, Michelle; Gregerson, Mia; Christian, Leonard; Riccelli, Marcus",AN ACT Relating to health carriers offering dental only coverage;,Concerning health carriers offering dental only coverage.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1683
HB1684,2023-2024,Bill,2023-01-31,"Slatter, Vandana","Lekanoff, Debra",AN ACT Relating to clarifying procedures for federally recognized tribes to report standard occupational classifications or job titles of workers under the employment security act;,Clarifying procedures for federally recognized tribes to report standard occupational classifications or job titles of workers under the employment security act.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1684
HB1685,2023-2024,Bill,2023-01-31,"Rule, Alicia","Dent, Tom; Eslick, Carolyn; Pollet, Gerry",AN ACT Relating to resource and assessment centers;,Concerning resource and assessment centers.,false,false,false,ESB5691,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1685
HB1686,2023-2024,Bill,2023-01-31,"Lekanoff, Debra","Kretz, Joel; Chapman, Mike; Dent, Tom; Doglio, Beth; Barkis, Andrew; Springer, Larry; Hutchins, Spencer; Peterson, Strom; Reed, Julia; Stokesbary, Drew; Fey, Jake; Timmons, Joe; Robertson, Eric; Leavitt, Mari; Reeves, Kristine; Ortiz-Self, Lillian; Ramel, Alex; Pollet, Gerry",AN ACT Relating to salmon recovery reform;,Concerning salmon recovery reform.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1686
HB1687,2023-2024,Bill,2023-01-31,"Eslick, Carolyn","Goodman, Roger; Low, Sam; Robertson, Eric; Leavitt, Mari; Bronoske, Dan; Barkis, Andrew; Dent, Tom",AN ACT Relating to vehicle service fees;,Addressing vehicle service fees.,false,false,false,SB5548,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1687
HB1688,2023-2024,Bill,2023-01-31,"Hackney, David","Barkis, Andrew",AN ACT Relating to payments to tow truck operators for the release of vehicles to indigent citizens;,Concerning payments to tow truck operators for the release of vehicles to indigent citizens.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1688
HB1689,2023-2024,Bill,2023-01-31,"Doglio, Beth","Bateman, Jessica; Pollet, Gerry",AN ACT Relating to forest practices in cities;,Concerning forest practices in cities.,false,false,false,SB5636,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1689
HB1690,2023-2024,Bill,2023-01-31,"Reeves, Kristine","Leavitt, Mari; Jacobsen, Cyndy",AN ACT Relating to creating exemptions from certificate of need requirements for kidney disease centers due to temporary emergency situations;,Creating exemptions from certificate of need requirements for kidney disease centers.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1690
HB1691,2023-2024,Bill,2023-01-31,"Connors, April","Chapman, Mike; Maycumber, Jacquelin; Robertson, Eric; Rude, Skyler; Couture, Travis; Sandlin, Bryan; Volz, Mike; McClintock, Stephanie; Graham, Jenny; Cheney, Greg; McEntire, Joel; Corry, Chris; Schmidt, Suzanne; Hutchins, Spencer; Low, Sam; Klicker, Mark; Jacobsen, Cyndy; Barnard, Stephanie; Eslick, Carolyn; Christian, Leonard; Barkis, Andrew",AN ACT Relating to expanding penalties for the crime of attempting to elude a pursuing police vehicle;,Expanding penalties for the crime of attempting to elude a pursuing police vehicle.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1691
HB1692,2023-2024,Bill,2023-01-31,"Bergquist, Steve","Christian, Leonard; Gregerson, Mia; Santos, Sharon Tomiko; Pollet, Gerry; Macri, Nicole; Simmons, Tarra",AN ACT Relating to increasing youth engagement in the legislative process by creating student advisory groups to examine issues important to youth;,Creating student advisory groups.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1692
HB1693,2023-2024,Bill,2023-01-31,"Lekanoff, Debra","Chopp, Frank; Reed, Julia; Leavitt, Mari; Reeves, Kristine; Eslick, Carolyn; Ortiz-Self, Lillian; Ramel, Alex; Pollet, Gerry; Macri, Nicole; Timmons, Joe",AN ACT Relating to expanding the students experiencing homelessness and foster youth pilot program;,Expanding the students experiencing homelessness and foster youth pilot program.,false,false,false,SB5702,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1693
HB1694,2023-2024,Bill,2023-01-31,"Alvarado, Emily","Tharinger, Steve; Berry, Liz; Lekanoff, Debra; Reed, Julia; Leavitt, Mari; Fitzgibbon, Joe; Callan, Lisa; Santos, Sharon Tomiko; Chopp, Frank; Ortiz-Self, Lillian; Senn, Tana; Taylor, Jamila; Pollet, Gerry; Macri, Nicole; Riccelli, Marcus; Simmons, Tarra",AN ACT Relating to addressing home care workforce shortages;,Addressing home care workforce shortages.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1694
HB1695,2023-2024,Bill,2023-01-31,"Alvarado, Emily","Lekanoff, Debra; Reed, Julia; Santos, Sharon Tomiko; Senn, Tana; Ramel, Alex; Pollet, Gerry; Macri, Nicole; Simmons, Tarra",AN ACT Relating to defining affordable housing for purposes of using surplus public property for public benefit;,Defining affordable housing for purposes of using surplus public property for public benefit.,false,false,false,SB5674,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1695
HB1696,2023-2024,Bill,2023-01-31,"Davis, Lauren","Mosbrucker, Gina; Orwall, Tina; Griffey, Dan; Duerr, Davina; Reed, Julia; Leavitt, Mari; Barnard, Stephanie; Walen, Amy; Eslick, Carolyn; Ramel, Alex; Pollet, Gerry",AN ACT Relating to stalking-related offenses;,Concerning stalking-related offenses. ,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1696
HB1697,2023-2024,Bill,2023-01-31,"Walsh, Jim","Corry, Chris; Eslick, Carolyn; Schmick, Joe; Jacobsen, Cyndy; Schmidt, Suzanne",AN ACT Relating to making the early achievers quality rating and improvement system voluntary;,Making the early achievers quality rating and improvement system voluntary.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1697
HB1698,2023-2024,Bill,2023-02-01,"Kretz, Joel","Chapman, Mike; Lekanoff, Debra; Dent, Tom; Maycumber, Jacquelin; Springer, Larry; Morgan, Melanie; Eslick, Carolyn",AN ACT Relating to providing flexibility for the department of fish and wildlife to collaborate with local governments to manage gray wolves;,Providing flexibility for the department of fish and wildlife to collaborate with local governments to manage gray wolves.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1698
HB1699,2023-2024,Bill,2023-02-01,"Kretz, Joel","Chapman, Mike; Lekanoff, Debra; Schmick, Joe; Springer, Larry; Dent, Tom; Morgan, Melanie",AN ACT Relating to establishing salaries for the Washington fish and wildlife commission;,Concerning establishing salaries for the Washington fish and wildlife commission.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1699
HB1700,2023-2024,Bill,2023-02-01,"Kretz, Joel","Chapman, Mike; Dent, Tom; Barnard, Stephanie; Ormsby, Timm; Timmons, Joe",AN ACT Relating to establishing a memorial on the capitol campus to commemorate eastern Washington;,Establishing a memorial on the capitol campus to commemorate eastern Washington.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1700
HB1701,2023-2024,Bill,2023-02-01,"Callan, Lisa","Stonier, Monica Jurado; Simmons, Tarra; Senn, Tana; Reed, Julia; Kloba, Shelley; Pollet, Gerry; Santos, Sharon Tomiko; Ortiz-Self, Lillian; Ormsby, Timm; Macri, Nicole; Bergquist, Steve",AN ACT Relating to assigning the superintendent of public instruction the responsibility for the delivery and oversight of basic education services to justice-involved youth served through institutional education programs in facilities that are not under the jurisdiction of the department of social and health services;,Concerning basic education services to youth who are served through institutional education programs.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1701
HB1702,2023-2024,Bill,2023-02-01,"Orcutt, Ed","Abbarno, Peter; Volz, Mike; Jacobsen, Cyndy",AN ACT Relating to imposing a local sales tax wholly credited against the state sales tax to support programs for senior citizens;,Imposing a local sales tax wholly credited against the state sales tax to support programs for senior citizens.,false,false,false,SB5686,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1702
HB1703,2023-2024,Bill,2023-02-01,"Orcutt, Ed","Abbarno, Peter; Volz, Mike; Jacobsen, Cyndy; Eslick, Carolyn",AN ACT Relating to imposing local property tax levies wholly credited against the state property tax to provide support and services for veterans' assistance and for persons with developmental disabilities or mental health needs;,Imposing local property tax levies wholly credited against the state property tax to provide support and services for veterans' assistance and for persons with developmental disabilities or mental health needs.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1703
HB1704,2023-2024,Bill,2023-02-01,"Orcutt, Ed","Barnard, Stephanie; Volz, Mike; Jacobsen, Cyndy; Eslick, Carolyn",AN ACT Relating to reducing the state sales and use tax rate;,Reducing the state sales and use tax rate.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1704
HB1705,2023-2024,Bill,2023-02-01,"Griffey, Dan","Couture, Travis; Wylie, Sharon",AN ACT Relating to stormwater control facilities and county jurisdiction;,Concerning stormwater control facilities and county jurisdiction.,false,false,false,SB5645,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1705
HB1706,2023-2024,Bill,2023-02-01,"Entenman, Debra","Chapman, Mike; Ramel, Alex; Jacobsen, Cyndy; Reed, Julia; Doglio, Beth; Thai, My-Linh; Ryu, Cindy; Fitzgibbon, Joe; Bateman, Jessica; Fey, Jake; Berry, Liz; Orwall, Tina; Callan, Lisa; Robertson, Eric; Ormsby, Timm; Eslick, Carolyn; Duerr, Davina; Slatter, Vandana; Macri, Nicole","AN ACT Relating to the operation, authorization, and permitting of microenterprise home kitchens;","Concerning the operation, authorization, and permitting of microenterprise home kitchens.",false,false,false,SB5708,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1706
HB1707,2023-2024,Bill,2023-02-01,"Kloba, Shelley","Reed, Julia; Eslick, Carolyn",AN ACT Relating to bingo conducted by bona fide charitable or nonprofit organizations;,Concerning bingo conducted by bona fide charitable or nonprofit organizations.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1707
HB1708,2023-2024,Bill,2023-02-01,"Volz, Mike","Abbarno, Peter; Walsh, Jim; Schmidt, Suzanne; Schmick, Joe; Corry, Chris; Couture, Travis; Hutchins, Spencer; Harris, Paul; Dent, Tom; Low, Sam; Klicker, Mark; Cheney, Greg; McClintock, Stephanie; Chambers, Kelly; Robertson, Eric; Barnard, Stephanie; Sandlin, Bryan; Jacobsen, Cyndy; Eslick, Carolyn",AN ACT Relating to requiring each ballot to have a unique serial number that permits a voter to view their voted ballot through an online portal;,Requiring each ballot to have a unique serial number that permits a voter to view their voted ballot through an online portal.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1708
HB1709,2023-2024,Bill,2023-02-01,"Tharinger, Steve","Macri, Nicole; Alvarado, Emily; Ramel, Alex; Reed, Julia",AN ACT Relating to housing programs administered by the department of commerce;,Concerning housing programs administered by the department of commerce.,false,false,false,SB5301,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1709
HB1710,2023-2024,Bill,2023-02-01,"Rude, Skyler","Stokesbary, Drew; Sandlin, Bryan; Jacobsen, Cyndy; Eslick, Carolyn",AN ACT Relating to using COVID-19 relief funding on high quality tutoring and rigorous extended learning programs;,Using COVID-19 relief funding on high quality tutoring and rigorous extended learning programs.,false,false,false,SB5248,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1710
HB1711,2023-2024,Bill,2023-02-01,"Chapman, Mike","Tharinger, Steve; Lekanoff, Debra; Ryu, Cindy; Callan, Lisa; Reed, Julia; Volz, Mike; Kloba, Shelley; Stearns, Chris; Stokesbary, Drew; Santos, Sharon Tomiko",AN ACT Relating to providing a sales and use tax exemption related to internet and telecommunications infrastructure projects involving a federally recognized Indian tribe;,Providing a sales and use tax exemption related to internet and telecommunications infrastructure projects involving a federally recognized Indian tribe.,false,false,false,SB5689,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1711
HB1712,2023-2024,Bill,2023-02-01,"Schmick, Joe","Chapman, Mike",AN ACT Relating to protecting workers displaced as a result of finfish aquaculture facility closures;,Protecting workers displaced due to finfish aquaculture facility closure.,false,false,false,SB5621,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1712
