bill_id,LD_num,term,session,title,commem
HP0029,LD0054,2023_2024,SS1,An Act to Require Compliance with Natural or Agricultural Resource Protection Ordinances,0
HP0030,LD0055,2023_2024,RS1,An Act to Move the Headquarters for the Department of Inland Fisheries and Wildlife,0
HP0031,LD0056,2023_2024,RS2,An Act to Provide Free Admission to State Parks and Historic Sites for the Immediate Family Members of Veterans and Active Military Personnel,0
HP0032,LD0057,2023_2024,SS1,An Act to Amend Maine's Endangered and Threatened Species List,0
HP0033,LD0058,2023_2024,SS1,"Resolve, Directing the Commissioner of Inland Fisheries and Wildlife to Establish Seasons That Do Not Overlap for Hunting Bear over Bait and Hunting Bear with Dogs",0
HP0034,LD0059,2023_2024,SS1,An Act to Prohibit Inclusion of the COVID-19 Vaccine in the Universal Childhood Immunization Program,0
HP0035,LD0060,2023_2024,SS1,An Act to Require a 72-hour Waiting Period After the Sale of a Firearm,0
HP0036,LD0061,2023_2024,RS1,An Act to Conserve Coastal Habitat by Restricting Rockweed Harvesting on Private Property,0
HP0037,LD0062,2023_2024,SS1,An Act to Require Antipinch Sensors on School Bus Doors,0
HP0038,LD0063,2023_2024,RS2,An Act to Clarify That Certain Imported Motor Vehicles Are Not Off-road Vehicles,0
HP0039,LD0064,2023_2024,RS1,An Act to Ensure In-state Tuition for Postsecondary Students Who Are Registered to Vote in the State,0
HP0040,LD0065,2023_2024,RS1,An Act to Require That Printing Services Provided to the General Public by the University of Maine System Be Provided at Market Rates,0
HP0041,LD0066,2023_2024,SS1,An Act to Prohibit the Taxation of Drinking Water,0
HP0042,LD0067,2023_2024,SS1,An Act to Increase the Number of Educational Professionals by Accepting Out-of-state Certification,0
HP0043,LD0068,2023_2024,SS1,"Resolve, Directing the Office of Tax Policy to Study the Impact of Exempting Certain Nonprofit Organizations from the Sales and Use Tax and the Service Provider Tax",0
HP0044,LD0069,2023_2024,SS1,"Resolve, to Direct the Public Utilities Commission to Consider Methods to Educate Customers About Electricity Supply",0
HP0045,LD0070,2023_2024,RS2,An Act to Raise the Cap on Retirement Benefits for State Employees and Teachers to Which a Cost-of-living Adjustment Is Made,0
HP0046,LD0071,2023_2024,SS1,"Resolve, Regarding Legislative Review of Chapter 171:  Control of Petroleum Storage Facilities, a Major Substantive Rule of the Department of Environmental Protection",0
HP0047,LD0072,2023_2024,SS1,"An Act to Make Allocations from Maine Turnpike Authority Funds for the Maine Turnpike Authority for the Calendar Year Ending December 31, 2024",0
SP0045,LD0073,2023_2024,SS1,An Act to Require Bottled Water Companies to Monitor for Perfluoroalkyl and Polyfluoroalkyl Substances,0
SP0046,LD0074,2023_2024,SS1,An Act to Update the Responsibilities of the Clean-up and Response Fund Review Board,0
SP0047,LD0075,2023_2024,RS2,An Act to Establish Maximum Contaminant Levels Under the State's Drinking Water Rules to Prohibit Certain Perfluoroalkyl and Polyfluoroalkyl Substances,0
SP0048,LD0076,2023_2024,RS1,"Resolve, Directing the Department of Transportation to Study the Width of Road Shoulders",0
SP0049,LD0077,2023_2024,RS1,An Act to Require the Bureau of Parks and Lands to Maintain Public Restrooms at State Parks,0
HP0049,LD0079,2023_2024,SS1,"An Act to Ensure a High-quality Education for Students with Disabilities by Clarifying the Definition of ""State Agency Client"" and Who Provides Special Education Programs and Services",0
HP0050,LD0080,2023_2024,SS1,An Act to Improve Family Economic Security Under the Temporary Assistance for Needy Families Program,0
HP0051,LD0081,2023_2024,SS1,An Act to Address Recovery Residence Participation in the Municipal General Assistance Program,0
HP0052,LD0082,2023_2024,SS1,An Act to Improve Access to Children's Behavioral Health Services,0
SP0050,LD0083,2023_2024,RS1,An Act to Clarify State Policy Regarding Cannabis Paraphernalia in the Maine Medical Use of Cannabis Act and the Cannabis Legalization Act,0
SP0051,LD0084,2023_2024,SS1,An Act to Strengthen Third-party Liability Requirements for the MaineCare Program,0
SP0052,LD0085,2023_2024,SS1,"Resolve, Directing the Maine Turnpike Authority to Study Adding Exits off the Maine Turnpike to Aid Economic Development",0
HP0054,LD0086,2023_2024,RS2,An Act to Restore the Former State of Maine Flag,0
HP0055,LD0087,2023_2024,SS1,An Act to Permit Emergency Funding for Food Banks When a State of Emergency Is Declared,0
HP0056,LD0088,2023_2024,SS1,An Act to Provide Qualifying Municipalities a Percentage of Adult Use Cannabis Sales and Excise Tax Revenues,0
HP0057,LD0089,2023_2024,SS1,An Act to Clarify Eligibility for Property Tax Stabilization for Individuals 65 Years of Age or Older,0
HP0058,LD0090,2023_2024,SS1,An Act to Allow Persons 70 Years of Age or Older to Use a Subpermittee to Harvest Deer,0
HP0059,LD0091,2023_2024,RS2,An Act to Adopt the National 2022 Amendments to the Uniform Commercial Code,0
HP0060,LD0092,2023_2024,SS1,An Act to Minimize the Propagation of Invasive Aquatic Plants,0
HP0061,LD0093,2023_2024,RS2,An Act to Ensure Access for All Caregivers to Diaper Changing Stations in State Buildings Open to the Public,0
HP0062,LD0094,2023_2024,SS1,An Act Regarding the Use of Medical Cannabis by Minors,0
HP0063,LD0095,2023_2024,SS1,An Act Concerning the Membership of the State Emergency Response Commission and Fees for Registering Facilities Required to Report to That Commission,0
HP0064,LD0096,2023_2024,SS1,An Act to Ensure Release of Relevant Background Investigation Material to Current Employers of Law Enforcement and Corrections Officers,0
HP0065,LD0097,2023_2024,SS1,An Act to Repeal the Hospital and Health Care Provider Cooperation Act,0
HP0066,LD0098,2023_2024,SS1,An Act to Update the Special Education Laws,0
HP0067,LD0099,2023_2024,RS1,An Act to Clarify the Allowable Temperature Range in Certain Long-term Care Facilities,0
HP0068,LD0100,2023_2024,SS1,An Act to Require Annual Financial Audits of Certain Private Schools Approved for Tuition Purposes,0
HP0069,LD0101,2023_2024,SS1,An Act to Return to the Former Owner Any Excess Funds Remaining After the Sale of Foreclosed Property,0
HP0070,LD0102,2023_2024,SS1,An Act to Increase the Length of Registration for Antique Autos,0
HP0071,LD0103,2023_2024,SS1,"Resolve, Directing the Maine Children's Cabinet Early Childhood Advisory Council to Study Incentives for the Provision of Child Care in Maine",0
HP0072,LD0104,2023_2024,SS1,An Act to Make It a Crime Not to Report a Death,0
HP0073,LD0105,2023_2024,SS1,An Act to Prohibit Minimum Usage or Tank Rental Fees for Certain Propane Customers,0
HP0074,LD0106,2023_2024,SS1,An Act to Allow Members of the Maine Public Employees Retirement System With Service in Multiple Plans to Defer Retirement Service Benefits Until Normal Retirement Age to Avoid a Reduction in Benefits,0
HP0075,LD0107,2023_2024,SS1,An Act Regarding Municipal Efforts to Avert Evictions and Heating Shut-offs During Winter,0
HP0076,LD0108,2023_2024,RS1,An Act to Establish a Logger Relations Advocate Within the Maine Forest Service,0
HP0077,LD0109,2023_2024,SS1,"Resolve, to Establish the Commission to Study Measures to Improve Safety for Residents of Recovery Residences",0
HP0078,LD0110,2023_2024,RS1,An Act to Prohibit Leaving a Child Under 10 Years of Age Alone in a Motor Vehicle,0
HP0079,LD0111,2023_2024,RS2,An Act Requiring the State to Pay a Share of a Retired State Employee's or Retired Teacher's Premium for Medicare Part B Under Medicare Advantage,0
HP0080,LD0112,2023_2024,SS1,An Act to Increase the State's Share of Retired Teacher Health Insurance,0
HP0081,LD0113,2023_2024,RS2,An Act to Provide Funding for Children's Guardians Ad Litem,0
SP0053,LD0114,2023_2024,SS1,An Act to Make Technical Amendments to Banking Laws,0
SP0054,LD0115,2023_2024,SS1,An Act to Protect Minors from Exploitation by Adults for Violation of Privacy,0
SP0055,LD0116,2023_2024,SS1,An Act to Establish a Minimum Wage for All Health Care Workers Including All Support Staff,0
SP0056,LD0117,2023_2024,SS1,An Act to Prohibit the Use of Electronic Benefits Transfer System Cards for Cash Withdrawals,0
SP0057,LD0118,2023_2024,SS1,An Act to Ensure Continuity of Care for Pretrial Defendants,0
SP0058,LD0119,2023_2024,RS1,An Act to Clarify the Boundary Between Waldo and Knox Counties in Penobscot Bay,0
SP0059,LD0120,2023_2024,RS1,An Act Regarding the Committee Structure of the State Workforce Board,0
SP0060,LD0121,2023_2024,SS1,An Act to Expand Health Insurance Coverage for Certain Legislative Employees,0
SP0061,LD0122,2023_2024,RS2,An Act to Update the Electric Vehicle Rebate Program and to Establish a Pilot Program to Support the Uptake of Medium Duty and Heavy Duty Zero-emission Vehicles,0
SP0062,LD0123,2023_2024,SS1,An Act to Eliminate the Educational Purposes Exception to the Prohibition on the Dissemination of Obscene Matter to Minors,0
SP0063,LD0124,2023_2024,RS1,An Act to Ensure the Maintenance of Circular Intersections on State and State Aid Highways,0
SP0064,LD0125,2023_2024,RS1,An Act to Allow Driver Education Instructors to Administer Driver's License Road Tests,0
SP0065,LD0126,2023_2024,SS1,An Act to Improve the Fairness of Adaptive Management Study Moose Hunt Permits by Exempting Those Permittees from the 4-year Limitation on Receiving Another Permit,0
SP0066,LD0127,2023_2024,RS1,An Act to Eliminate Television Recycling Fees for Charitable Entities,0
SP0067,LD0128,2023_2024,SS1,An Act to Remove the Limit on Sets of Special Veterans Registration Plates,0
SP0068,LD0129,2023_2024,SS1,"Resolve, to Direct the University of Maine System to Study the Feasibility of Establishing a Public Allopathic Medical School in Penobscot County",0
SP0069,LD0130,2023_2024,SS1,An Act to Eliminate Senior Citizen Property Tax Stabilization and Expand the Homestead Property Tax Exemption,0
SP0070,LD0131,2023_2024,SS1,An Act to Clarify and Correct Inland Fisheries and Wildlife Laws,0
SP0071,LD0132,2023_2024,RS2,An Act to Require Health Insurance Carriers to Provide Coverage for Blood Testing for Perfluoroalkyl and Polyfluoroalkyl Substances,0
SP0072,LD0133,2023_2024,SS1,An Act to Include a Representative of Newspaper and Other Press Interests on the Archives Advisory Board and to Require the Member Representing a Historical Society to Have Expertise in Archival Records,0
SP0073,LD0134,2023_2024,SS1,An Act to Increase the Handling Fee for Beverage Containers Reimbursed to Dealers and Redemption Centers,0
SP0074,LD0135,2023_2024,SS1,An Act to Require Manure Bags for Horse-drawn Vehicles,0
