bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 1769,78R,Relating to jurisdiction of a sheriff's department civil service commission.,County Government--Employees/Officers (I0095); Labor--Management Relations (I0465); Law Enforcement (I0510); SHERIFFS (S1013),Lindsay,,,,,,Intergovernmental Relations,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1769
SB 1770,78R,Relating to the 334th Civil District Court of Harris County.,HARRIS COUNTY (G0330); Courts--District (I0120),Lindsay,,,,,,Jurisprudence,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1770
SB 1782,78R,Relating to the precedence of highway access rules and ordinances of certain counties and municipalities over highway access management orders of the Texas Transportation Commission.,"City Government--Roads (I0066); Highways (I0390); TRANSPORTATION COMMISSION, TEXAS (V0040)",Lindsay,,Hamric,,Transportation,Out of committee,Infrastructure Development and Security,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1782
SB 1790,78R,Relating to prohibiting the use of certain live bait in saltwater fishing; providing a penalty.,Parks & Wildlife--Hunting & Fishing (I0560),Lindsay,,,,,,Natural Resources,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1790
SB 1939,78R,Relating to road and bridge improvements by certain metropolitan rapid transit authorities.,County Government--Roads (I0099); Special Districts & Authorities--Miscellaneous (I0770); BRIDGES & CAUSEWAYS (S0277),Lindsay,,,,,,Infrastructure Development and Security,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1939
SJR 8,78R,"Proposing a constitutional amendment to repeal the constitutional provision that prohibits state employees, and other employees who are compensated with state money, from receiving a salary for serving on the governing body of a city, town, or district.",Ethics (I0345); Resolutions--Constitutional Amendments (I0661); Salaries & Expenses (I0745); State Employees (I0626),Lindsay,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SJR8
SJR 14,78R,Proposing a constitutional amendment to allow election judges to hold other civil offices.,Elections--Election Officers (I0305); Ethics (I0345); Resolutions--Constitutional Amendments (I0661),Lindsay,,,,,,Jurisprudence,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SJR14
SJR 27,78R,Proposing a constitutional amendment dedicating certain revenue derived from motor fuel taxes for funding group health benefits for  employees of school districts and for the Texas Department of Transportation.,"Education--Primary & Secondary--Finance (I0250); Insurance--Health & Accident (I0422); Resolutions--Constitutional Amendments (I0661); Taxation--Motor Fuels (I0809); TRANSPORTATION, TEXAS DEPARTMENT OF (V8796)",Lindsay,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SJR27
SJR 30,78R,Proposing a constitutional amendment relating to the provision of parks and recreational facilities by certain conservation and reclamation districts.,Parks & Wildlife--Parks (I0555); Resolutions--Constitutional Amendments (I0661); Special Districts & Authorities--Water & Utility (I0755); RECREATIONAL & CULTURAL FACILITIES (S0286),Lindsay,,Callegari,,State Cultural and Recreational Resources,Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SJR30
SJR 54,78R,Proposing a constitutional amendment to include a constitutional county court judge on the membership of the State Commission on Judicial Conduct.,"Courts--Judges (I0140); Resolutions--Constitutional Amendments (I0661); JUDICIAL CONDUCT, STATE COMMISSION ON (V0014)",Lindsay,,,,,,Jurisprudence,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SJR54
SR 37,78R,"Commending Charles Allen Perry, Jr., of Cypress on achieving the rank of Eagle Scout.","Resolutions--Congratulatory & Honorary (I0705); PERRY, CHARLES ALLEN, JR. (N0052)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR37
SR 38,78R,Commending Christopher Cody Peterson of Houston on achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); PETERSON, CHRISTOPHER CODY (N0053)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR38
SR 39,78R,Commending Justin Markel of Houston on achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); MARKEL, JUSTIN (N0054)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR39
SR 40,78R,Commending Melissa Markel of Houston on earning the Girl Scout Gold Award.,"Resolutions--Congratulatory & Honorary (I0705); MARKEL, MELISSA (N0055)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR40
SR 41,78R,Commending David Markel of Houston on achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); MARKEL, DAVID (N0056)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR41
SR 85,78R,Congratulating Jonathan Joseph McCavitt of Houston on achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); MCCAVITT, JONATHAN JOSEPH (N0158)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR85
SR 116,78R,Commending Robert J. Bodman of Spring for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); BODMAN, ROBERT J. (N0248)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR116
