bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
HR 54,811,Congratulating Judy Brown on her retirement from the Texas Department of Public Safety.,"Resolutions--Congratulatory & Honorary (I0705); BROWN, JUDY (N1705)",Merritt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR54
HR 55,811,Congratulating Reed Hilary Ellis Johnson on his graduation from Westlake High School.,"Resolutions--Congratulatory & Honorary (I0705); JOHNSON, REED HILARY ELLIS (N1624)",Merritt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR55
HR 84,811,Honoring Principal Jamie Holder of Lindale High School for being named Region 7 Secondary Principal of the Year by the Texas Education Agency.,"Resolutions--Congratulatory & Honorary (I0705); HOLDER, JAMIE (N1712)",Merritt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR84
HR 85,811,Congratulating Second Lieutenant David Andrew Shore on his graduation from the United States Military Academy at West Point.,"Resolutions--Congratulatory & Honorary (I0705); SHORE, DAVID ANDREW (N1724)",Merritt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR85
HR 86,811,Honoring the City of Longview on being named the Fittest City in Texas.,"LONGVIEW, CITY OF (G0184); Resolutions--Congratulatory & Honorary (I0705)",Merritt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR86
HR 69,811,Congratulating the Smithson Valley High School softball team on winning the 2009 University Interscholastic League 5A state championship.,SMITHSON VALLEY HIGH SCHOOL (E1030); Resolutions--Congratulatory & Honorary (I0705),"Miller, Doug",,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR69
HR 70,811,Congratulating the Canyon High School Cougarettes softball team to on winning the 2009 UIL 4A state championship.,CANYON HIGH SCHOOL (E0289); Resolutions--Congratulatory & Honorary (I0705),"Miller, Doug",,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR70
HR 71,811,Congratulating Andrea Hannasch on her high school career.,"Resolutions--Congratulatory & Honorary (I0705); HANNASCH, ANDREA (N1715)","Miller, Doug",,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR71
HR 57,811,"Honoring retired U.S. Army Brigadier General Reyes Rodriguez, Jr., on his 90th birthday.","Resolutions--Congratulatory & Honorary (I0705); RODRIGUEZ, REYES, JR. (N1707)","Ortiz, Jr.",,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR57
HR 58,811,Recognizing Gloria Hicks for her service to students in the Corpus Christi Independent School District on the occasion of a new campus being named in her honor.,"Resolutions--Congratulatory & Honorary (I0705); HICKS, GLORIA (N1708)","Ortiz, Jr.",,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR58
HR 74,811,In memory of Mary Bernadete Rendon Arellano of Corpus Christi.,"Resolutions--Memorial (I0710); ARELLANO, MARY BERNADETE RENDON (N1717)","Ortiz, Jr.",,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR74
HR 75,811,Honoring the baseball team from Moody High School in Corpus Christi on its achievements during the 2009 season.,FOY H. MOODY HIGH SCHOOL (E1031); Resolutions--Congratulatory & Honorary (I0705),"Ortiz, Jr.",,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR75
HR 72,811,In memory of Anita Rhea Newman Roach of Frisco.,"Resolutions--Memorial (I0710); ROACH, ANITA RHEA NEWMAN (N1716)",Paxton,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR72
HR 79,811,Honoring the North Texas Enterprise Center for Medical Technology on its receipt of the 2009 Health Care Heroes--Innovator Award from the Dallas Business Journal.,Resolutions--Congratulatory & Honorary (I0705); NORTH TEXAS ENTERPRISE CENTER FOR MEDICAL TECHNOLOGY (N1720),Paxton,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR79
HR 80,811,Congratulating Kevin Lofgren of Farstar in Frisco on his nomination for the 2009 Small Business of the Year Award from the Texas Association of Business.,"Resolutions--Congratulatory & Honorary (I0705); LOFGREN, KEVIN (N1721)",Paxton,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR80
HR 81,811,Honoring Tamme Harty on her nomination for the Texas Small Business of the Year Award from the Texas Association of Business.,"Resolutions--Congratulatory & Honorary (I0705); HARTY, TAMME (N1722)",Paxton,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR81
HR 28,811,Honoring Deputy Chief Ubaldo Perez of the Edinburg Volunteer Fire Department on his selection as the 2009 Firefighter of the Year by the State Firemen's and Fire Marshals' Association of Texas.,"Resolutions--Congratulatory & Honorary (I0705); PEREZ, UBALDO (N1664)",Pena,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR28
HR 91,811,Commemorating the 10th anniversary of the founding of Victor's Chicken restaurant in Edinburg.,Resolutions--Congratulatory & Honorary (I0705); VICTOR'S CHICKEN (N1728),Pena,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR91
HB 3,811,"Relating to the design, development, financing, construction, and operation of certain toll projects; granting the authority to issue bonds.","Highways (I0390); BONDS (S6060); TOLL ROADS & TOLL BRIDGES (S1090); TRANSPORTATION, TEXAS DEPARTMENT OF (V8796)",Pickett,,,,Transportation,Out of committee,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HB3
HB 4,811,Relating to the authority of certain transportation entities to enter into a comprehensive development agreement.,"Highways (I0390); TOLL ROADS & TOLL BRIDGES (S1090); TRANSPORTATION, TEXAS DEPARTMENT OF (V8796)",Pickett,,,,Transportation,In committee,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HB4
HR 27,811,Congratulating Dinah Weable of Waxahachie on her selection as the 2009 Crape Myrtle Queen.,"Resolutions--Congratulatory & Honorary (I0705); WEABLE, DINAH (N1663)",Pitts,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR27
HR 106,811,Commemorating the 65th wedding anniversary of Sam and Strelsa Burks of Austin.,"Resolutions--Congratulatory & Honorary (I0705); BURKS, SAM & STRELSA (N1742)",Riddle,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR106
HR 92,811,Commending Edward Gonzales for his service as chief of staff for State Representative Tara Rios Ybarra.,"Resolutions--Congratulatory & Honorary (I0705); GONZALES, EDWARD (N1729)",Rios Ybarra,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR92
HR 93,811,Honoring Rogelio Ernesto Chanes for his service as legislative director in the office of State Representative Tara Rios Ybarra.,"Resolutions--Congratulatory & Honorary (I0705); CHANES, ROGELIO ERNESTO (N7395)",Rios Ybarra,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR93
HR 94,811,Honoring Cesar de Leon Zendejas for his service as a legislative aide in the office of State Representative Tara Rios Ybarra.,"Resolutions--Congratulatory & Honorary (I0705); ZENDEJAS, CESAR DE LEON (N1730)",Rios Ybarra,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR94
HR 68,811,Recognizing the Bad Precedents as the official band of the Regular and 1st Called Session of the 81st Texas Legislature.,Resolutions--Official Designations--Miscellaneous (I0719); BAD PRECEDENTS (N7983),Rodriguez,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR68
HCR 5,811,Honoring the musical drama TEXAS in Palo Duro Canyon on the occasion of its 44th season.,Resolutions--Congratulatory & Honorary (I0705); TEXAS (MUSICAL DRAMA) (N1254),Smithee,,Seliger,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HCR5
HR 105,811,Honoring Jack Sorenson for his professional achievements as an artist.,"Resolutions--Congratulatory & Honorary (I0705); SORENSON, JACK (N1741)",Smithee,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR105
HR 88,811,Honoring Derek Ryan for his service to the Republican Party of Texas.,"Resolutions--Congratulatory & Honorary (I0705); RYAN, DEREK (N1725)","Taylor, Larry",,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR88
HR 83,811,Honoring U.S. Air Force Technical Sergeant Adrian David Saenz of Alice for his service to this country.,"Resolutions--Congratulatory & Honorary (I0705); SAENZ, ADRIAN DAVID (N1723)",Gonzalez Toureilles,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR83
HJR 1,811,Proposing a constitutional amendment authorizing the governor to grant a posthumous pardon for actual innocence.,"Corrections--Parole, Probation & Pardons (I0093); Criminal Procedure--General (I0208); Governor (I0375); Resolutions--Constitutional Amendments (I0661); PARDONS & PAROLES, BOARD OF (V6037)",Veasey,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HJR1
