bill_num,term,session,bill_type,companion,primary_sponsors,cosponsors,short_title,attributes,counties,statutes,keywords,bill_url
HB0497,2023_2024,2023-RS,Bill,,Carney; Elmore; K. Hall; Paré,Ager; Alston; Autry; A. Baker; Ball; Belk; Bradford; T. Brown; Butler; Cervania; Clemmons; Crawford; Faircloth; Gill; Gillespie; Harris; Harrison; Hawkins; F. Jackson; John; Liu; Lofton; Logan; Longest; Lucas; Majeed; Morey; Moss; Pickett; Pierce; Price; Quick; Reeder; Riddell; Ross; Rudow; Setzer; Shepard; Charles Smith; von Haefen; Ward; Wheatley; Wray,Funds for NC Arts Council.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, arts, budgeting, councils, natural & cultural resources dept., public, arts council",https://www.ncleg.gov/BillLookUp/2023/H497
HB0498,2023_2024,2023-RS,Bill,,Carney; Elmore; K. Hall; Paré,Ager; Autry; A. Baker; Ball; Belk; G. Brown; T. Brown; Butler; Cervania; Clemmons; Cotham; Crawford; Gill; Gillespie; Harris; Harrison; Hawkins; F. Jackson; John; Logan; Longest; Majeed; Miller; Morey; Moss; Pickett; Pierce; Price; Quick; Reeder; Rudow; Shepard; Charles Smith; Strickland; Ward; Wheatley; Wray,K-5 Art and Music.,Public,No counties specifically cited,"115C (Chapters); 115C-81.90, 115C-81.91 (Sections)","arts, boards, cultural resources, curriculum, education, education boards, elementary education, kindergarten, local government, public, secondary education",https://www.ncleg.gov/BillLookUp/2023/H498
HR0499,2023_2024,2023-RS,Resolution,,Lowery; B. Jones; Pierce; Cotham,Alexander; Alston; Balkcom; Blackwell; T. Brown; Cervania; Crutchfield; Harris; Harrison; Hawkins; Liu; Logan; Longest; Lucas; Majeed; Miller; Morey; Moss; Pickett; Reeder; Shepard; Charles Smith; Strickland; Tyson; Ward; Wheatley; White,Support Lumbee Fairness Act.,Public,No counties specifically cited,No affected General Statutes,"general assembly, local government, minorities, resolutions, simple, tribes & tribal government, memorializing resolutions",https://www.ncleg.gov/BillLookUp/2023/H499
HB0500,2023_2024,2023-RS,Bill,,Stevens,Ward,NCCWBTC Recs./Medicaid.,Public; Text has changed; Uncodified,No counties specifically cited,No affected General Statutes,"boards, dhhs, education, education boards, elementary education, health services, insurance, health, kindergarten, local government, medicaid, pilot programs, poverty, public, public instruction dept., reports, secondary education, social services, students",https://www.ncleg.gov/BillLookUp/2023/H500
HB0501,2023_2024,2023-RS,Bill,,Ward; Wray,John; Kidwell; Penny; Pike,Funds for TriCounty Airport at H Joyner Field.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"airports, appropriations, aviation, budgeting, capital spending, counties, municipalities, public, transportation, transportation dept., hertford county, ahoskie",https://www.ncleg.gov/BillLookUp/2023/H501
HB0502,2023_2024,2023-RS,Bill,,Lucas,Autry; T. Brown; Hawkins; F. Jackson; Charles Smith,Funds for Spring Lake Software Update.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budget & management office, budgeting, counties, information technology, local government, municipalities, public, purchasing, stem, cumberland county, spring lake (town)",https://www.ncleg.gov/BillLookUp/2023/H502
HB0503,2023_2024,2023-RS,Bill,,Strickland; K. Hall; Torbett,Ager; Autry; Ball; Cervania; Crawford; Dixon; Everitt; Gillespie; Harris; Harrison; F. Jackson; Liu; Loftis; Logan; Longest; Rudow; Watford,Storm Resiliency Study.,Public; Contains Appropriations; Contains Local Appropriations; Requests Study,No counties specifically cited,No affected General Statutes,"appropriations, budgeting, disasters & emergencies, electricity generation & distribution, emergency management, emergency services, infrastructure, public, reports, studies, unc, utilities, policy collaboratory",https://www.ncleg.gov/BillLookUp/2023/H503
HB0504,2023_2024,2023-RS,Bill  (=S),SB   543,Morey; Autry; Alston; Butler,A. Baker; Ball; Belk; K. Brown; T. Brown; Cervania; Crawford; Harrison; Hawkins; F. Jackson; Logan; Longest; Lucas; Majeed; Pierce; Price; Quick; Rudow; von Haefen,Remove Barriers to Labor Organizing.,Public,No counties specifically cited,"95 (Chapters); 95-78, 95-79, 95-80, 95-81, 95-82, 95-83, 95-84 (Sections)","commerce, employment, local government, organized labor, personnel, public, state employees, government employees, local government employees",https://www.ncleg.gov/BillLookUp/2023/H504
HB0505,2023_2024,2023-RS,Bill,,Everitt; Autry,,Make Legislators' Docs Public Records.,Public,No counties specifically cited,"120 (Chapters); 120-130, 120-131, 120-132 (Sections)","confidentiality, general assembly, membership, privacy, public, public records, records",https://www.ncleg.gov/BillLookUp/2023/H505
HB0506,2023_2024,2023-RS,Bill,,Staton-Williams,Autry; Hawkins; Majeed,Funds for Logan Community Projects.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, bridges, budget & management office, budgeting, corporations, nonprofit, counties, funding, grants, housing, infrastructure, local government, municipalities, public, transportation, concord, cabarrus county",https://www.ncleg.gov/BillLookUp/2023/H506
HB0507,2023_2024,2023-RS,Bill,,Ward,Hawkins; Riddell; Tyson,Funds for Union Rural FD of Hertford Co.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budget & management office, budgeting, counties, emergency services, firefighters & firefighting, funding, grants, public, purchasing, hertford county, emergency equipment",https://www.ncleg.gov/BillLookUp/2023/H507
HB0508,2023_2024,2023-RS,Bill,,Ward,,Funds for Gates Co. Sheriff's Office.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budget & management office, budgeting, counties, emergency services, funding, grants, law enforcement, local government, public, purchasing, sheriffs, gates county, emergency equipment",https://www.ncleg.gov/BillLookUp/2023/H508
HB0509,2023_2024,2023-RS,Bill,,Cunningham; Arp; Brody; Carney,Autry; Ball; Belk; Blackwell; G. Brown; K. Brown; T. Brown; Buansi; Cotham; Crawford; Gill; Gillespie; Harris; Harrison; Hawkins; F. Jackson; John; Logan; Longest; Lowery; Lucas; Majeed; Morey; Moss; Pierce; Pike; Price; Quick; Rudow; Charles Smith; von Haefen; Ward,Reduce School Lunch Debt.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, boards, budgeting, debtor & creditor, education, education, state board of, elementary education, foods & beverages, nutrition, public, public instruction dept., secondary education, social services, students, food & nutrition programs",https://www.ncleg.gov/BillLookUp/2023/H509
HB0510,2023_2024,2023-RS,Bill,,von Haefen; Gill; Everitt; Ball,Autry; Belk; G. Brown; T. Brown; Buansi; Carney; Crawford; Cunningham; Harrison; Hawkins; F. Jackson; John; Logan; Lucas; Majeed; Morey; Price; Quick,School Supplies Act of 2023.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budgeting, education, elementary education, public, public instruction dept., secondary education",https://www.ncleg.gov/BillLookUp/2023/H510
HB0511,2023_2024,2023-RS,Bill,,Loftis; Blackwell; T. Brown,Autry; A. Baker; Ball; Bradford; G. Brown; Carney; Greene; Harrison; Hawkins; F. Jackson; Lucas; Riddell; Saine; Ward,Enhance Urban Stormwater Management.,Public; Text has changed,No counties specifically cited,143 (Chapters); 143-214.7 (Sections),"infrastructure, local government, public, utilities, water & sewer systems",https://www.ncleg.gov/BillLookUp/2023/H511
HB0512,2023_2024,2023-RS,Bill,,Warren,,Forgivable Loans/HBCU Supplemental Funding.,Public; Roll Call,No counties specifically cited,"105, 116, 14, 18C (Chapters); 105-102.7, 105-153.5, 105-259, 116-209.92, 116-209.93, 116-209.94, 116-209.95, 14-298, 14-299, 14-306, 14-306.1A, 14-306.4, 18C-103, 18C-120, 18C-122, 18C-161, 18C-200, 18C-201, 18C-203, 18C-204, 18C-205, 18C-210, 18C-211, 18C-214, 18C-215, 18C-220, 18C-221, 18C-222, 18C-223, 18C-224, 18C-225, 18C-230, 18C-231, 18C-232, 18C-233, 18C-234, 18C-235, 18C-236, 18C-237, 18C-240, 18C-241, 18C-242, 18C-243, 18C-244 (Sections)","auditing & audits, authorities, budgeting, colleges & universities, commissions, community colleges, counties, crimes, education, education assistance authority, emergency services, fees, financial services, funding, funds & accounts, gaming, higher education, information technology, internet, law enforcement, licenses & permits, loans, local government, lottery, minorities, municipalities, public, sheriffs, students, taxation, taxes, privilege, telecommunications, teleservices, tuition, lottery comn., cumberland county, durham county, robeson county, fayetteville, guilford county, greensboro, forsyth county, pembroke, durham, elizabeth city, pasquotank county, winston-salem, scholarships & financial aid, public safety dept.",https://www.ncleg.gov/BillLookUp/2023/H512
HB0513,2023_2024,2023-RS,Bill,,Cairns; Iler; Carson Smith; Shepard,Autry; Crutchfield; Harris; Harrison; Hawkins; Penny; Riddell; Sossamon; Ward; White; Zenger,Adopt Osprey as State Raptor.,Public,No counties specifically cited,145 (Chapters); 145-52 (Sections),"animals, environment, fish & wildlife, public, state symbols",https://www.ncleg.gov/BillLookUp/2023/H513
HB0514,2023_2024,2023-RS,Bill  (=S),SB   390,Lofton; Reives; Harris,Ager; Autry; Ball; Belk; G. Brown; T. Brown; Buansi; Carney; Clemmons; Cunningham; Everitt; Gill; Harrison; Hawkins; F. Jackson; John; Logan; Longest; Lucas; Majeed; Morey; Price; Rudow; von Haefen,Reenact Child Tax Credit.,Public,No counties specifically cited,105 (Chapters); 105-153.10 (Sections),"minors, public, revenue dept., tax credits, tax returns, taxation, taxes, individual income",https://www.ncleg.gov/BillLookUp/2023/H514
HB0515,2023_2024,2023-RS,Bill,,Ward,,Funds for Camden Co. Sheriff's Office.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budgeting, counties, emergency services, funding, grants, law enforcement, local government, motor vehicles, public, purchasing, sheriffs, transportation, camden county, emergency equipment",https://www.ncleg.gov/BillLookUp/2023/H515
HB0516,2023_2024,2023-RS,Bill,,Alexander,Carney; Logan; Majeed; Ward,Funds for Historic Morgan School.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budget & management office, budgeting, buildings, capital spending, community development, corporations, nonprofit, counties, cultural resources, education, historic preservation, municipalities, public, school buildings & property, mecklenburg county, charlotte, public buildings, property-local government",https://www.ncleg.gov/BillLookUp/2023/H516
HB0517,2023_2024,2023-RS,Bill,,Alexander,Logan,Liability Protection/Disposal of Remains.,Public,No counties specifically cited,"90 (Chapters); 90-210.129, 90-210.29C (Sections)","cremation, death & dying, disasters & emergencies, diseases & health disorders, funeral services, public, public health, liability",https://www.ncleg.gov/BillLookUp/2023/H517
HB0518,2023_2024,2023-RS,Bill  (=S),SB   398,Alston; Harrison; Buansi; Price,Ager; Autry; A. Baker; Ball; Belk; G. Brown; K. Brown; T. Brown; Carney; Crawford; Gill; Hawkins; F. Jackson; John; Logan; Longest; Lucas; Majeed; Reives; Roberson; Rudow; Staton-Williams; von Haefen,Equality for All.,Public; Requests Study,No counties specifically cited,"115C-112.10, 115C-218.45, 115C-218.55, 115C-47, 115C-562.5, 115D-77, 116-11, 126-16, 126-34.02, 143-422.10A, 143-422.11A, 143-422.12A, 143-422.13A, 143-422.2, 15A-1214, 41A-3, 41A-4, 41A-5, 41A-6, 58-3-25, 75-44 (Sections)","courts, discrimination, education, employment, financial services, lgbtq & gender issues, housing, insurance, juries, minorities, personnel, public",https://www.ncleg.gov/BillLookUp/2023/H518
HB0519,2023_2024,2023-RS,Bill  (=S),SB   399,Ball; Harrison; Butler; Price,Alston; Autry; Belk; K. Brown; T. Brown; Buansi; Carney; Crawford; Gill; Hawkins; John; Logan; Longest; Lucas; Roberson; Staton-Williams; von Haefen,Mental Health Protection Act.,Public,No counties specifically cited,"90 (Chapters); 90-21.140, 90-21.141, 90-21.142, 90-21.143 (Sections)","disabled persons, guardianship, health services, lgbtq & gender issues, mental health, psychiatry, psychology, public, patient rights",https://www.ncleg.gov/BillLookUp/2023/H519
HB0520,2023_2024,2023-RS,Bill  (=S),SB   400,Autry; Butler; Ball; Staton-Williams,Alston; Belk; G. Brown; K. Brown; Buansi; Carney; Crawford; Gill; Harrison; Logan; Longest; Price; Roberson; von Haefen,Prohibit Defense Based on Sex or Gender.,Public,No counties specifically cited,"14 (Chapters); 14-18.3, 14-34.11 (Sections)","assault, courts, crimes, criminal procedure, death & dying, lgbtq & gender issues, public, homicide",https://www.ncleg.gov/BillLookUp/2023/H520
HB0521,2023_2024,2023-RS,Bill,,Cotham; Bell; McNeely; Rudow,Blackwell; Crawford; Crutchfield; Fontenot; F. Jackson; John; Miller; Moss; Penny; Pickett; Pyrtle; Riddell; Ross; Strickland; Ward; White; Winslow; Zenger,Funds for NC Troopers Assoc. Caisson Unit.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"animals, corporations, nonprofit, death & dying, emergency services, funding, funeral services, grants, law enforcement, public, highway patrol, horses & mules, public safety dept.",https://www.ncleg.gov/BillLookUp/2023/H521
HB0522,2023_2024,2023-RS,Bill,,Everitt; Autry,,Repeal Prelitigation Public Records Mediation.,Public,No counties specifically cited,"132, 7A (Chapters); 132-9, 7A-38.2, 7A-38.3E (Sections)","civil procedure, courts, mediation & arbitration, public, public records, supreme court, records, civil actions",https://www.ncleg.gov/BillLookUp/2023/H522
HB0523,2023_2024,2023-RS,Bill,,Clampitt; White; Saine; Reeder,Ager; A. Baker; K. Baker; Ball; Biggs; Blackwell; Bradford; G. Brown; K. Brown; Buansi; Carney; Clemmons; Crawford; Crutchfield; Cunningham; Gillespie; Hardister; Harrison; Hawkins; F. Jackson; John; Loftis; Lofton; Lowery; Lucas; Moss; Penny; Pickett; Pierce; Riddell; Ross; Carson Smith; Charles Smith; Staton-Williams; Ward; Wheatley; Winslow; Zenger,First Responders Mental Health.,Public,No counties specifically cited,"58 (Chapters); 58-86A-1, 58-86A-2, 58-86A-3, 58-86A-4, 58-86A-5, 58-86A-6 (Sections)","counseling, emergency medical services, emergency services, firefighters & firefighting, health services, insurance, insurance, health, mental health, psychiatry, psychology, public, rescue squads, insurance, disability",https://www.ncleg.gov/BillLookUp/2023/H523
HB0524,2023_2024,2023-RS,Bill,,Clampitt,F. Jackson; John,WRC & Crime Lab/Increases/Positions/Study.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budgeting, commissions, employment, environment, fish & wildlife, justice dept., laboratories, law enforcement, personnel, public, salaries & benefits, wildlife resources comn., state crime lab",https://www.ncleg.gov/BillLookUp/2023/H524
HB0525,2023_2024,2023-RS,Bill,,Ward,,Roanoke-Chowan CC Funds.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budgeting, buildings, capital spending, colleges & universities, community colleges, community colleges office, construction, counties, health services, higher education, public, stem, hertford county",https://www.ncleg.gov/BillLookUp/2023/H525
HB0526,2023_2024,2023-RS,Bill,,Ball; Prather; G. Brown; T. Brown,Carney; Gill; Hawkins; F. Jackson; John; Lucas; Majeed,Turning High Achieving Students into Teachers.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budgeting, corporations, nonprofit, education, elementary education, higher education, occupations, professional education, public, public instruction dept., secondary education, state employees, teachers, government employees",https://www.ncleg.gov/BillLookUp/2023/H526
HB0527,2023_2024,2023-RS,Bill  (=S),SB   462,Logan; Belk; Carney; Hawkins,Autry; F. Jackson; Lucas; Majeed,Highway Safety Omnibus/Addit'l Magistrates.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,"132-1.1, 132-1.7B, 20-192, 20-217, 7A-133 (Sections)","buses, counties, courts, crimes, criminal procedure, dmv, evidence, fines & penalties, infrastructure, law enforcement, license plates, licenses & permits, magistrates, motor vehicles, public, roads & highways, safety, transportation, transportation dept., mecklenburg county, traffic offenses, highway patrol, public safety dept., traffic cameras, cameras, traffic control devices",https://www.ncleg.gov/BillLookUp/2023/H527
HB0528,2023_2024,2023-RS,Bill,,Sossamon,Ward; Winslow,Butner Transportation Study Funds.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budgeting, counties, infrastructure, local government, municipalities, planning & zoning, property, public, roads & highways, studies, transportation, granville county, butner",https://www.ncleg.gov/BillLookUp/2023/H528
HB0529,2023_2024,2023-RS,Bill,,Alexander,,Limit Health Care Power of Attorney.,Public,No counties specifically cited,"32A, 90 (Chapters); 32A-19, 90-210.124, 90-210.63A (Sections)","death & dying, estates, funeral services, health services, power of attorney, public, wills",https://www.ncleg.gov/BillLookUp/2023/H529
HB0530,2023_2024,2023-RS,Bill,,Crawford; Carney; Liu,Autry; A. Baker; Ball; Belk; G. Brown; Gill; Harrison; F. Jackson; John; Lucas; Majeed; Moss; Riddell; Staton-Williams; Ward,Advocacy for Bone Marrow Educ. & Registration.,Public,No counties specifically cited,103 (Chapters); 103-12.5 (Sections),"data & records systems, dhhs, dmv, health education, health services, human blood & organs, information technology, motor vehicles, organ donations, public, public health, transportation dept., records, named laws",https://www.ncleg.gov/BillLookUp/2023/H530
HB0531,2023_2024,2023-RS,Bill,,Stevens; Blackwell; Brody; Pyrtle,Crutchfield; Miller; Riddell; Ward,Chtr Schs & Out-of-State/Foreign Exch Stud.,Public; Text has changed,No counties specifically cited,115C (Chapters); 115C-218.45 (Sections),"charter schools, education, elementary education, immigration, public, secondary education, students, tuition, aliens, international cooperation, residency",https://www.ncleg.gov/BillLookUp/2023/H531
HB0532,2023_2024,2023-RS,Bill,,Stevens,Blackwell; Penny; Ward; White,Modify Judicial Retirement Ages.,Public,No counties specifically cited,"135, 7A (Chapters); 135-57, 7A-140.1, 7A-170, 7A-39.15, 7A-39.3, 7A-39.6, 7A-40.1, 7A-45.2, 7A-5, 7A-52, 7A-53 (Sections)","court of appeals, courts, district court, judges, public, retirement, supreme court, superior court",https://www.ncleg.gov/BillLookUp/2023/H532
HB0533,2023_2024,2023-RS,Bill,,Kidwell; Moss; Goodwin,,Human Life Protection Act of 2023.,Public,No counties specifically cited,"131E, 14, 90 (Chapters); 131E-269, 14-23.7, 14-44, 14-45.2 (Sections)","abortion, crimes, health services, occupations, physicians, pregnancy, public, public health, women",https://www.ncleg.gov/BillLookUp/2023/H533
HB0534,2023_2024,2023-RS,Bill,,N. Jackson; Carson Smith; Stevens; Biggs,Balkcom; Cairns; Fontenot; F. Jackson; Loftis; Lowery; Miller; Moss; Penny; Pike; Reeder; Riddell; Ward; White; Winslow,Age Verification to Protect Children Act.,Public; Text has changed,No counties specifically cited,"66 (Chapters); 66-500, 66-501 (Sections)","assault, attorney general, commerce, council of state, crimes, definitions, education, education administration, electronic commerce, elementary education, fines & penalties, information technology, internet, justice dept., minors, obscenity, occupations, principals, public, public officials, secondary education, state employees, teachers, telecommunications, teleservices, volunteers, government employees, school staff",https://www.ncleg.gov/BillLookUp/2023/H534
HB0535,2023_2024,2023-RS,Bill,,K. Hall; McNeely; Paré; Carney,Ager; Alexander; Autry; Ball; Harris; Harrison; Hawkins; F. Jackson; Logan; Longest; Lucas; Pickett; Pike; Strickland; Ward,Solar Capacity Limit Increase.,Public; Text has changed,No counties specifically cited,62 (Chapters); 62-126.5 (Sections),"buildings, commerce, commissions, electricity generation & distribution, infrastructure, rentals & leasing, public, utilities, utilities comn., alternative energy",https://www.ncleg.gov/BillLookUp/2023/H535
HB0536,2023_2024,2023-RS,Bill,,Iler; Carson Smith,T. Brown; Harris; Harrison; Hawkins; Moss; Penny; Riddell; Ward; White,Loggerhead Turtle/State Saltwater Reptile.,Public,No counties specifically cited,145 (Chapters); 145-52 (Sections),"animals, environment, fish & wildlife, public, state symbols",https://www.ncleg.gov/BillLookUp/2023/H536
HB0537,2023_2024,2023-RS,Bill,,Zenger; Biggs; Lowery; Fontenot,Hawkins; Rudow; Ward; Willingham,Workforce Housing Act.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,"122A-5.15, 146-29.1, 160A-280.1, 160D-917 (Sections)","appropriations, armed forces, budgeting, financial services, funds & accounts, housing, housing finance agency, loans, local government, mortgages, personnel, planning & zoning, property, public, real estate, veterans",https://www.ncleg.gov/BillLookUp/2023/H537
HB0538,2023_2024,2023-RS,Bill,,Johnson,McNeely,Isothermal Community College Capital Funds.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budgeting, capital spending, colleges & universities, community colleges, construction, counties, education, funds & accounts, health services, higher education, infrastructure, municipalities, public, rutherford county, spindale, capital & infrastructure fund",https://www.ncleg.gov/BillLookUp/2023/H538
HB0539,2023_2024,2023-RS,Bill,,Dixon; McNeely; Bell; D. Hall,Ager; Alston; Arp; Balkcom; Ball; Biggs; Blackwell; Brisson; G. Brown; K. Brown; T. Brown; Cairns; Cervania; Clampitt; Cunningham; Faircloth; Gill; Gillespie; K. Hall; Harris; Harrison; Hawkins; Humphrey; F. Jackson; N. Jackson; Jeffers; John; Johnson; B. Jones; Kidwell; Liu; Longest; Lowery; Lucas; Majeed; Miller; Morey; Moss; Penny; Pickett; Pierce; Prather; Price; Pyrtle; Quick; Reeder; Rudow; Strickland; Ward; Wheatley; White; Willingham; Winslow; Zenger,North Carolina Farmers Appreciation Day.,Public; Text has changed,No counties specifically cited,103 (Chapters); 103-17 (Sections),"agriculture, agriculture dept., appropriations, budgeting, calendar, corporations, nonprofit, public, reports, ngos",https://www.ncleg.gov/BillLookUp/2023/H539
HB0540,2023_2024,2023-RS,Bill,,Dahle; Ward; Longest; Harrison,Ager; Alston; Ball; G. Brown; Buansi; Butler; Cervania; Gill; Harris; F. Jackson; John; Liu; Morey,Fiona Mae Wagglebottom's Act.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,14-360 (Sections),"agriculture, agriculture dept., animals, appropriations, budgeting, crimes, domestic animals, public, named laws, animal welfare",https://www.ncleg.gov/BillLookUp/2023/H540
HB0541,2023_2024,2023-RS,Bill,,Harrison; Morey; T. Brown; A. Baker,Ball; G. Brown; Butler; Gill; Price,Economic Security Act.,Public; Contains Appropriations; Contains Local Appropriations; Roll Call; Requests Study,No counties specifically cited,"105-151.31, 105-151.34, 126-100, 126-101, 126-102, 126-103, 126-104, 126-105, 126-34.02, 126-5, 126-8, 126-8.6, 95-241, 95-25.13, 95-25.2, 95-25.22, 95-25.23, 95-25.23D, 95-25.26, 95-25.27, 95-25.28, 95-25.3, 95-31.1, 95-31.2, 95-31.3, 95-31.4, 95-31.5, 95-31.6, 95-31.7, 95-31.8, 95-31.9, 95-98, 96-14.2, 96-14.3, 97-53 (Sections)","appropriations, budget & management office, budgeting, commissions, day care, disasters & emergencies, discrimination, diseases & health disorders, employment, general assembly, insurance, insurance, unemployment, legislative research comn., local government, minimum wage, minors, personnel, public, public health, salaries & benefits, social services, state employees, studies, tax credits, taxation, taxes, individual income, unemployment, workers compensation, government employees, leave, local government employees, human resources office, public health emergency",https://www.ncleg.gov/BillLookUp/2023/H541
HB0542,2023_2024,2023-RS,Bill,,Liu; Brody; Tyson; Iler,Ager; Bradford; G. Brown; K. Brown; Buansi; Butler; Cervania; Crawford; Fontenot; Gill; Harrison; F. Jackson; Longest; Lowery; Morey; Prather; Rudow; Setzer; Ward; Willingham,HOA Revisions/Foreclosure Trustee Auctions.,Public; Text has changed,No counties specifically cited,"115C, 161, 45, 47C, 47F (Chapters); 115C-457.1, 115C-457.2, 161-14, 45-21.23, 45-21.25A, 45-21.4, 47C-3-102, 47C-3-107.1, 47C-3-116, 47C-3-118, 47F-3-102, 47F-3-107.1, 47F-3-116, 47F-3-118 (Sections)","auctions, debtor & creditor, foreclosures, housing, liens, notification, property, public, real estate, homeowners associations",https://www.ncleg.gov/BillLookUp/2023/H542
HB0543,2023_2024,2023-RS,Bill  (=S),SB   116,Cervania; Lambeth; K. Baker; Ball,Brisson; G. Brown; K. Brown; T. Brown; Buansi; Butler; Carney; Faircloth; Gill; Harris; Harrison; F. Jackson; John; Liu; Lucas; Majeed; Morey; Pierce; Potts; Quick; Rudow; Sasser; White,2023 Youth END Act.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,"14-313.5, 143C-9-3 (Sections)","armed forces, corporations, nonprofit, dhhs, economic development, funds & accounts, health depts., health education, health services, local government, minors, public, public health, rural development, tobacco, golden l.e.a.f, inc., tobacco products",https://www.ncleg.gov/BillLookUp/2023/H543
HB0544,2023_2024,2023-RS,Bill  / SL  -,,Miller,T. Brown; Harrison; White,Limited Shark Fishing Tournament Moratorium.,Public; Text has changed,No counties specifically cited,113 (Chapters); 113-192 (Sections),"animals, coastal resources, commissions, counties, environment, fish & wildlife, fisheries, interstate cooperation, marine fisheries comn., moratoriums, municipalities, presented, public, ratified, sports, brunswick county, new hanover county, kure beach, carolina beach, holden beach, oak island, chaptered, bald head island, caswell beach",https://www.ncleg.gov/BillLookUp/2023/H544
HB0545,2023_2024,2023-RS,Bill,,Miller,Clampitt; Fontenot; McNeely; Ward,Willful or Wanton Gun Discharge/Expand Scope.,Public,No counties specifically cited,14 (Chapters); 14-34.1 (Sections),"crimes, public, weapons",https://www.ncleg.gov/BillLookUp/2023/H545
HB0546,2023_2024,2023-RS,Bill  (=S),SB   197,Hawkins; Alston,Ball; G. Brown; T. Brown; Cervania; Gill; Harris; F. Jackson; Lucas; Majeed; Morey; Prather; Price; Quick,Capital Project Funding for NCCU.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,143C-5-2 (Sections),"appropriations, budgeting, buildings, capital spending, colleges & universities, counties, education, higher education, municipalities, public, school buildings & property, sports, unc, durham county, durham",https://www.ncleg.gov/BillLookUp/2023/H546
HB0547,2023_2024,2023-RS,Bill,,A. Baker,Autry; K. Brown; Harris; Harrison; Hawkins; Logan; Majeed; Quick,Funds to Winston-Salem for Fire Truck.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budget & management office, budgeting, counties, emergency services, firefighters & firefighting, funding, grants, municipalities, public, forsyth county, winston-salem, emergency equipment",https://www.ncleg.gov/BillLookUp/2023/H547
HB0548,2023_2024,2023-RS,Bill,,A. Baker,Autry; Ball; G. Brown; K. Brown; T. Brown; Butler; Carney; Cervania; Cunningham; Dahle; Gill; Harris; Harrison; Hawkins; F. Jackson; Majeed; Price; Quick,Funds for National Black Theatre Festival.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"arts, budget & management office, counties, cultural resources, festivals, funding, grants, local government, minorities, municipalities, public, forsyth county, winston-salem",https://www.ncleg.gov/BillLookUp/2023/H548
HB0549,2023_2024,2023-RS,Bill,,A. Baker; Willingham,Ager; Autry; G. Brown; K. Brown; Butler; Gill; Harrison; F. Jackson; Majeed; Morey; Prather; Quick,Civilian Traffic Investigators.,Public,No counties specifically cited,160A (Chapters); 160A-499.6 (Sections),"crimes, education, investigations, local government, motor vehicles, municipalities, personnel, professional education, public, traffic offenses",https://www.ncleg.gov/BillLookUp/2023/H549
HB0550,2023_2024,2023-RS,Bill,,Lucas,Autry; T. Brown; F. Jackson; Majeed; Quick; Charles Smith,Spring Lake Water/Sewer Infrastructure Funds.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budgeting, capital spending, counties, infrastructure, local government, municipalities, public, utilities, water & sewer systems, cumberland county, spring lake (town)",https://www.ncleg.gov/BillLookUp/2023/H550
