bill_id,term,session_year,session,short_title,sponsor,house_sponsors,senate_sponsors,summary,bill_url
HB0035,2022-2023,2022,2022 SESSION,"HB 35 Absentee voting; excuse required to vote absentee by mail, etc.",Ronnie R. Campbell (chief patron),Ronnie R. Campbell (chief patron); Dave A. LaRock; Wendell S. Walker; Wren M. Williams,"Amanda F. Chase; Frank M. Ruff, Jr.","Absentee voting; excuse required to vote absentee by mail;  excuse required to vote absentee in person prior to the second Saturday  preceding an election. Requires a registered voter to provide a reason for  being absent or unable to vote at his polling place on election day in order to  receive an absentee ballot to vote by mail. Registered voters offering to vote  absentee in person are similarly required by the bill  to provide a reason until the second Saturday immediately preceding an  election, at which time an excuse is not required to vote absentee in person. The bill provides that an application for an absentee  ballot is required to receive an absentee ballot by mail and to vote absentee  in person before the second Saturday immediately preceding an election. The  bill also repeals the permanent absentee voter list and limits the special  annual application to those voters with an illness or disability.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB35
HB0036,2022-2023,2022,2022 SESSION,HB 36 Absentee voting; permanent absentee voter list repealed.,Ronnie R. Campbell (chief patron),"Ronnie R. Campbell (chief patron); G. ""John"" Avoli; Glenn R. Davis; Karen S. Greenhalgh; Dave A. LaRock; Chris S. Runion; Wendell S. Walker; Wren M. Williams",Amanda F. Chase,"Absentee voting; permanent absentee  voter list repealed. Repeals the provisions of law by which any registered  voter may apply to receive absentee ballots for all elections in which he is  eligible to vote and remains on the list until the voter requests in writing to  be removed from the list, the voter's registration is canceled or placed on  inactive status pursuant to law, or the voter moves to a different address not  in the same county or city of his registration.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB36
HB0037,2022-2023,2022,2022 SESSION,HB 37 School boards; employment of at least one school resource officer in public middle and high school.,Timothy V. Anderson (chief patron),Timothy V. Anderson (chief patron),,"School boards; school resource officers; employment; threat  assessment. Requires each school board to enter into a collaborative  agreement with the local law-enforcement agency to employ at least one school  resource officer in each public middle and high school in the local school  division and at least one school resource officer per five public elementary  schools in the local school division, who is required to serve in each such  elementary school on a rotating basis. The bill also requires each division  superintendent to include on the threat assessment team established for each  public elementary and secondary school in the local school division at least  one school resource officer employed in the school.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB37
HB0038,2022-2023,2022,2022 SESSION,"HB 38 Constitutional officers; appointed deputies, dual office holding.",Kelly K. Convirs-Fowler (chief patron),Kelly K. Convirs-Fowler (chief patron),,Constitutional officers; appointed deputies; dual office  holding. Subjects any person appointed by a constitutional officer to serve  as deputy as provided by law to the same dual office  holding requirements and prohibitions applicable to the constitutional  officer.,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB38
HB0039,2022-2023,2022,2022 SESSION,HB 39 Absentee voting in person; available beginning on the fourteenth day prior to election.,Phillip A. Scott (chief patron),Phillip A. Scott (chief patron); Dave A. LaRock (chief co-patron); Timothy V. Anderson; Ronnie R. Campbell; Nicholas J. Freitas; Chris S. Runion; Wendell S. Walker; Wren M. Williams; Scott A. Wyatt,,"Absentee voting in person; available  beginning on the fourteenth day prior to election; hours of operation.  Limits absentee voting in person to the two weeks immediately preceding an  election. During these two weeks, the bill requires that  absentee voting in person be available Monday through Saturday, from 7:00 a.m.  to 7:00 p.m. each day.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB39
HB0040,2022-2023,2022,2022 SESSION,HB 40 Disabled veteran special license plate; transferral to surviving spouse.,Phillip A. Scott (chief patron),"Phillip A. Scott (chief patron); G. ""John"" Avoli; Jason S. Ballard; Emily M. Brewer; Ronnie R. Campbell; Mike A. Cherry; A.C. Cordoza; Tara A. Durant; Nicholas J. Freitas; Dave A. LaRock; Chris S. Runion; Michael J. Webert; Wren M. Williams",Bryce E. Reeves; Richard H. Stuart,"Disabled veteran special license plate; surviving spouse. Authorizes  a disabled veteran special license plate issued to a disabled veteran to be  transferred, upon his death, to his unremarried surviving spouse.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB40
HB0041,2022-2023,2022,2022 SESSION,"HB 41 Early childhood care and education; publicly funded providers, assessment of children.",Phillip A. Scott (chief patron),Phillip A. Scott (chief patron),,"Early childhood care and education; publicly funded  providers; assessment of children. Provides that, except as otherwise  required by federal law, no child who is enrolled at a publicly funded provider  shall be required to participate in the Virginia Kindergarten Readiness Program  or any other program for the assessment of the child's cognitive ability,  development, learning, or readiness for kindergarten.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB41
HB0042,2022-2023,2022,2022 SESSION,HB 42 Improper driving; person may be charged with offense when conduct constitutes reckless driving.,Timothy V. Anderson (chief patron),Timothy V. Anderson (chief patron),,"Improper driving. Provides that a person may be charged  with the offense of improper driving when his conduct is of the kind that  constitutes reckless driving but when his degree of culpability is slight.  Currently, a law-enforcement officer is not able to charge a person with  improper driving, but a charge of reckless driving may be reduced to improper  driving by the court or the attorney for the Commonwealth.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB42
HB0043,2022-2023,2022,2022 SESSION,HB 43 Retail marijuana stores; requirement for local referendum.,R. Lee Ware (chief patron),"R. Lee Ware (chief patron); Thomas C. Wright, Jr.",,"Retail marijuana stores; requirement for local referendum. Provides  that if an act of assembly is passed by the 2022 Session of the General  Assembly that authorizes the operation of retail marijuana stores in the Commonwealth,  such retail marijuana stores may be located only in localities that have  approved the operation of retail marijuana stores through a referendum held in  accordance with the provisions of the bill.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB43
HB0044,2022-2023,2022,2022 SESSION,HB 44 Life insurance; decreases the minimum nonforfeiture amount interest rate.,R. Lee Ware (chief patron),R. Lee Ware (chief patron),,Standard nonforfeiture provisions for life insurance;  minimum nonforfeiture amounts; interest rates. Decreases the minimum  nonforfeiture amount interest rate from one percent to 0.15 percent.,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB44
