bill_id,term,session,short_title,attributes,keywords,commem
HB0398,2023_2024,2023-RS,Child Care Act.,Public; Contains Appropriations; Contains Local Appropriations,"apprenticeships, appropriations, boards, budgeting, colleges & universities, community colleges, community colleges office, curriculum, day care, education, education boards, elementary education, employment, foods & beverages, health services, higher education, kindergarten, local government, minors, nutrition, public, public health, secondary education, social services, students, tax credits, taxation, taxes, individual income, vocational education, early childhood education, newborns & infants, food & nutrition programs",0
HB0399,2023_2024,2023-RS,The North Carolina Judicial Privacy Act.,Public,"confidentiality, courts, judges, privacy, public, public records, records",0
HB0400,2023_2024,2023-RS,Create New Public Defender District 22A.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, attorneys, budgeting, counties, courts, indigents, judicial dept., personnel, public, public defenders, state employees, alexander county, iredell county, indigent defense services office, government employees",0
HB0401,2023_2024,2023-RS,Funds for Dolly Parton's Imagination Library.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, budgeting, corporations, nonprofit, dhhs, education, literacy, minors, partnership for children, public, social services, ngos",0
HB0402,2023_2024,2023-RS,Motor Vehicle Insurance Reform.,Public; Text has changed,"boards, insurance, insurance, liability, insurance, motor vehicle, motor vehicles, public, reinsurance facility board, surety & fidelity, liability",0
HB0403,2023_2024,2023-RS,Funds/Prospera.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, budgeting, commerce, commerce dept., corporations, nonprofit, economic development, languages, minorities, public",0
HB0404,2023_2024,2023-RS,Funds for GTCC FAME Partnership.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, budgeting, capital spending, colleges & universities, commerce, community colleges, community colleges office, counties, curriculum, education, higher education, manufacturing, public, guilford county",0
HB0405,2023_2024,2023-RS,"Funds for Ready for School, Ready for Life.",Public; Contains Appropriations; Contains Local Appropriations,"appropriations, budgeting, corporations, nonprofit, curriculum, education, elementary education, kindergarten, minors, public, early childhood education",0
HB0406,2023_2024,2023-RS,Guilford County Schools Funding Requests.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, budgeting, counties, education, elementary education, local, personnel, public instruction dept., secondary education, session laws, state employees, students, guilford county, government employees, school staff",0
HB0407,2023_2024,2023-RS,NC Semiquincentennial Legislative Commission.,Public; Uncodified,"appointments, commissions, cultural resources, general assembly, membership, president pro tempore, public, reporting, speaker, semiquincentennial comn.",0
HB0408,2023_2024,2023-RS,Char. FC Plate/Extend Meals Tax & OT Sunset.,Public; Text has changed; Roll Call,"budgeting, counties, cultural resources, dmv, funding, license plates, licenses & permits, motor vehicles, municipalities, museums, public, sports, travel & tourism, mecklenburg county, charlotte",0
HB0409,2023_2024,2023-RS,Regulation of Accessory Dwelling Units.,Public; Text has changed,"building codes, buildings, counties, definitions, housing, local government, municipalities, planning & zoning, property, public, local ordinances",0
HB0410,2023_2024,2023-RS,Credit Union Update.,Public; Text has changed,"auditing & audits, commerce, commissions, credit union comn., credit unions, fees, financial institutions, fines & penalties, funds & accounts, investments, management, public",0
HB0411,2023_2024,2023-RS,General Assembly Appointments.,Public; Text has changed; Uncodified,"acupuncture, acupuncture licensing board, appointments, armed forces, attorneys, authorities, banking comn., banks, barbers & cosmetologists, boards, child care comn., cje & training standards comn., commerce, commissions, compacts, corporations, nonprofit, councils, courts, crimes, cultural resources, natural & cultural resources dept., day care, disciplinary hearing comn., domestic violence, domestic violence comn., education, emergency services, ethics, financial institutions, fisheries products, funds & accounts, general assembly, governor, governor's crime comn., grants, health services, housing, housing partnership, human blood & organs, indigent defense comn., indigents, information technology, institute of medicine, interstate cooperation, languages, law enforcement, law enforcement officers, licensing & certification, medical board, minorities, minors, occupations, organ donations, partnership for children, physicians, president pro tempore, private protective services bd., public, public defenders, public instruction dept., railroads, ratified, respiratory care board, retirement, roads & highways, stem, school of science & math board, marine industrial park authority, secondary education, security services, session laws, speaker, state bar, state treasurer, telecommunications, telephones, recreational therapy board, toll roads & bridges, transportation, transportation board, unc, vocational education, dare county, turnpike authority board, barber examiners board, interpreter licensing board, chaptered, interpreters & transliterators, license to give trust fund comn., high-speed rail compact comn., recreational therapy, african-american heritage comn., education for military children compact comn., pension & retirement funds, education & workforce innovation comn., family issues, mobile phones & devices, supplemental retirement board, information technology dept., education commission of the states, it strategy board, school of science & math, 911 board",0
HB0412,2023_2024,2023-RS,Modify Property Transfer to Pender County.,Public; Text has changed; Uncodified,"correctional institutions, counties, county commissioners, deeds, jails, local government, presented, property, public, ratified, real estate, sales & conveyances, session laws, surety & fidelity, pender county, chaptered, property-local government, property-state government",0
HB0413,2023_2024,2023-RS,Topsail Beach Special Registration Plate.,Public,"counties, dmv, fees, license plates, licenses & permits, motor vehicles, municipalities, public, pender county, topsail beach",0
HB0414,2023_2024,2023-RS,Broadband Speed Standardization.,Public,"economic development, information technology, infrastructure, internet, public, rural development, telecommunications, teleservices",0
HB0415,2023_2024,2023-RS,Stop Addiction Fraud Ethics Act of 2023.,Public; Text has changed,"advertising & marketing, commerce, communications, counseling, crimes, fraud, health services, hospitals, mental health, presented, public, public health, ratified, substance abuse, chaptered, patient rights",0
HB0416,2023_2024,2023-RS,Environmental Justice Considerations.,Public,"commerce, commissions, deq, discrimination, environment, environmental health, environmental management comn., industrial location, licenses & permits, manufacturing, minorities, planning & zoning, public, public health, waste management",0
HB0417,2023_2024,2023-RS,Anti-Boycott Divestiture.,Public,"bids & bidding, commerce, constitution, us, contracts, corporations, for-profit, council of state, electricity generation & distribution, infrastructure, investments, public, public officials, purchasing, state treasurer, utilities, protests & demonstrations",0
HB0418,2023_2024,2023-RS,ABC/Community College Athletic Facility.,Public,"alcoholic beverages, colleges & universities, commerce, commissions, community colleges, education, higher education, licenses & permits, public, retailing, sports, abc comn.",0
HB0419,2023_2024,2023-RS,Youngsville Charter Revised & Consolidated.,Local; Text has changed; Roll Call; Uncodified,"charters, counties, local, local government, municipalities, ratified, session laws, franklin county, chaptered, youngsville",0
HB0420,2023_2024,2023-RS,Expand & Consolidate K-12 Scholarships.,Public,"authorities, boards, children with special needs, colleges & universities, disabled persons, education, education assistance authority, education boards, elementary education, funds & accounts, higher education, kindergarten, local government, minors, private schools, public, secondary education, session laws, students, tuition, unc, unc board of governors, scholarships & financial aid, vouchers",0
HB0421,2023_2024,2023-RS,Medicaid Coverage for Doula Services.,Public; Contains Appropriations; Contains Local Appropriations; Requests Study,"dhhs, health services, insurance, health, medicaid, midwifery, poverty, pregnancy, public, social services, women",0
HB0422,2023_2024,2023-RS,Unfair Real Estate Agreements Act.,Public; Text has changed,"commerce, consumer protection, contracts, corporations, for-profit, crimes, fraud, licensing & certification, occupations, presented, property, public, ratified, real estate, warranties, chaptered",0
HB0423,2023_2024,2023-RS,Funds for Lost Colony Amphitheater.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, arts, budgeting, buildings, capital spending, corporations, nonprofit, counties, cultural resources, natural & cultural resources dept., historic preservation, public, dare county",0
HB0424,2023_2024,2023-RS,Private Parking Immobilization.,Public,"landowners, motor vehicles, property, public, trespassing, traffic offenses, parking & parking structures",0
HB0425,2023_2024,2023-RS,Stop Counterfeit Pills Act.,Public,"controlled substances, courts, crimes, criminal procedure, fines & penalties, fraud, health services, pharmaceuticals, public, sentencing",0
HB0426,2023_2024,2023-RS,Various Environmental Amendments.,Public; Text has changed,"administration dept., administrative code, administrative rules, aquaculture, building codes, buildings, coastal resources, coastal resources comn., commerce, commissions, conservation, definitions, deq, environment, environmental management comn., erosion, fisheries, fisheries products, licenses & permits, local government, pollution, property, public, soils, title change, water resources, local ordinances, property-state government",0
HB0427,2023_2024,2023-RS,Honor Women Veterans Plate/Women Veterans Day.,Public; Text has changed,"armed forces, dmv, license plates, licenses & permits, motor vehicles, personnel, public, veterans, women",1
HB0428,2023_2024,2023-RS,Volunteer Firefighters Property Tax Exclusion.,Public,"emergency services, firefighters & firefighting, local government, personnel, property, public, real estate, revenue dept., tax exemptions, taxation, taxes, property, volunteers, government employees, local government employees",0
