bill_number,session,chamber,action_date,action,journal_page,action_note,chamber_order
HF5384,2023_RS,House,2024-04-18,"Author added Hansen, R.",13769,,2
HF5383,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Legacy Finance",13315,Intro,1
HF5382,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Education Policy",13315,Intro,1
HF5381,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Judiciary Finance and Civil Law",13315,Intro,1
HF5381,2023_RS,House,2024-04-30,"Committee report, to adopt as amended and re-refer to Education Finance",15292a,,2
HF5381,2023_RS,House,2024-04-30,"Joint rule 2.03, Deadlines, re-referred to Rules and Legislative Administration",15293,,3
HF5381,2023_RS,House,2024-04-30,Authors added Norris and Hill,15348,,4
HF5380,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Education Finance",13315,Intro,1
HF5379,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Capital Investment",13315,Intro,1
HF5378,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Legacy Finance",13314,Intro,1
HF5377,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Legacy Finance",13314,Intro,1
HF5377,2023_RS,House,2024-04-18,Author added Norris,13769,,2
HF5376,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Capital Investment",13314,Intro,1
HF5375,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Elections Finance and Policy",13314,Intro,1
HF5374,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Transportation Finance and Policy",13314,Intro,1
HF5374,2023_RS,House,2024-04-26,Author added Her,15029,,2
HF5374,2023_RS,House,2024-05-06,"Authors added Perryman, Knudsen, Dotseth and Myers",15768,,3
HF5374,2023_RS,House,2024-05-07,Author added Harder,16047,,4
HF5374,2023_RS,House,2024-05-09,Author added Zeleznikar,16408,,5
HF5373,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Capital Investment",13314,Intro,1
HF5372,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Capital Investment",13313,Intro,1
