bill_id,session,intro_date,H_author,S_author,coauthors,title,bill_url
SB1105,2023-RS,2023-02-06,,Dahm (S),,Homicide; requiring state to award reimbursement for certain costs and expenses; establishing criteria for claim of malicious prosecution. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1105&Session=2300
SB1106,2023-RS,2023-02-06,,Jett (S),,Political party of candidates; requiring inclusion of certain affiliation on declaration of candidacy form; requiring inclusion of certain affiliation on printed ballot. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1106&Session=2300
SB1107,2023-RS,2023-02-06,,Dahm (S),,Owners' associations; prohibiting deed restrictions or covenants that prohibit display of political signs; authorizing certain rules regarding display and removal of political signs. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1107&Session=2300
SB1108,2023-RS,2023-02-06,,Dahm (S),,Oklahoma Open Meeting Act; adding Judicial Nominating Commission to definition of public body; establishing purposes for permissible executive sessions. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1108&Session=2300
SB1109,2023-RS,2023-02-06,,Dahm (S),,Firearms; modifying procedures for asserting claim of self-defense in criminal prosecution. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1109&Session=2300
SB1110,2023-RS,2023-02-06,,Jett (S),,Initiative and referendum; adding requirement for ballot title. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1110&Session=2300
SB1111,2023-RS,2023-02-06,,Jett (S),,Justices and judges; establishing mandatory retirement age for certain judicial officers; providing for filling of certain vacancy. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1111&Session=2300
SB1112,2023-RS,2023-02-06,,Dahm (S),,Elections; modifying prohibited activities at polling place or voting site; modifying elements of certain misdemeanor offense. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1112&Session=2300
SB1113,2023-RS,2023-02-06,,Dahm (S),,Presidential electors; modifying eligibility requirements for certain nominees. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1113&Session=2300
SB1114,2023-RS,2023-02-06,,Dahm (S),,Elections; requiring the State Election Board to update certain system; requiring ballots to be digitized and made available to the public. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1114&Session=2300
SB1115,2023-RS,2023-02-06,,Jett (S),,Oklahoma Children's Code; authorizing order entered by special judge in certain proceedings to be appealed to district court. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1115&Session=2300
SB1116,2023-RS,2023-02-06,,Jett (S),,Conduct of elections; requiring proof of identity for certain purpose to include a photograph. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1116&Session=2300
SB1117,2023-RS,2023-02-06,,Rogers (S),,Income tax; providing deduction for certain expenses of licensed medical marijuana business. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1117&Session=2300
