bill_id,session,intro_date,H_author,S_author,coauthors,title,bill_url
SB17,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Revenue and Taxation; railroad rehabilitation tax credits; modifying taxable year references. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB17&Session=231X
SB18,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Medical marijuana; modifying the Oklahoma Medical Marijuana Authority Revolving Fund: limiting funding source; creating the Medical Marijuana Tax Fund. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB18&Session=231X
SB19,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Munson (H); Martinez (H); Hall (S),Legal representation for children and parents; creating the Family Representation and Advocacy Program Revolving Fund; stating purpose; directing disbursement of funds. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB19&Session=231X
SB20,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB20&Session=231X
SB21,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hill (H); Hall (S),OMES information technology infrastructure; creating the Oklahoma Employment Security Commission Information Technology Innovation Revolving Fund. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB21&Session=231X
SB22,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Oklahoma Historical Society; creating the Oklahoma Museum of Popular Culture Supplemental Revolving Fund; stating source of funds. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB22&Session=231X
SB23,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Ambulance Service Provider Access Payment Program; relating to supplemental Medicaid reimbursement for ground emergency transportation; deleting certain requirement for reimbursement. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB23&Session=231X
SB24,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Oklahoma State Bureau of Investigation; establishing the Oklahoma State Bureau of Investigation Centennial Revolving Fund; providing purpose. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB24&Session=231X
SB25,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB25&Session=231X
SB26,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Boren (S); Hall (S),Tribal-State agreements; affirming and offering supplemental compact term; enacting law to offer the restoration of compact.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB26&Session=231X
