bill_number,session_year,session_type,primary_sponsor,cosponsors,summary,subjects,companion,bill_url
SB0011,2023,RS,Grady,Roberts; Phillips; Tarr; Woodrum; Maynard; Rucker; Taylor; Martin; Karnes; Smith,Prohibiting excessive government limitations on exercise of religion,Human Rights,HB2492,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=11&year=2023&sessiontype=RS&btype=bill
SB0012,2023,RS,Karnes,Rucker; Woelfel,Increasing limit on value of agricultural products under Farm-To-Food Bank Tax Credit,Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=12&year=2023&sessiontype=RS&btype=bill
SB0013,2023,RS,Smith,,"Establishing annual oversight fee for wells producing more than 10,000 cubic feet of gas per day",Environment,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=13&year=2023&sessiontype=RS&btype=bill
SB0014,2023,RS,Smith,Hunt,"Allocating proceeds of sales tax from sale of parts, tires, repair and maintenance services for motor vehicles to State Road Fund",Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=14&year=2023&sessiontype=RS&btype=bill
SB0015,2023,RS,Smith,Clements; Maroney,Relating to apportionment of oil and gas severance taxes and funding WV DEP Office of Oil and Gas,Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=15&year=2023&sessiontype=RS&btype=bill
SB0016,2023,RS,Swope,,Local Government Labor and Consumer Marketing Regulatory Limitation Act,Labor,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=16&year=2023&sessiontype=RS&btype=bill
SB0017,2023,RS,Woodrum,,Extending expiration date of current cap on per diem cost for incarcerated inmates in regional jail,Corrections,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=17&year=2023&sessiontype=RS&btype=bill
SB0018,2023,RS,Woodrum,Phillips; Hunt,Clarifying amount of deputy sheriff annual salary increase,Salaries,SB294,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=18&year=2023&sessiontype=RS&btype=bill
SB0019,2023,RS,Woodrum,,Revised Uniform Athlete Agents Act,Uniform Laws,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=19&year=2023&sessiontype=RS&btype=bill
SB0020,2023,RS,Woodrum,,Relating to authorization and administration of county sales and use taxes,Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=20&year=2023&sessiontype=RS&btype=bill
SB0021,2023,RS,Swope,Roberts,Requiring certain documents that contain wage records be considered confidential,Labor,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=21&year=2023&sessiontype=RS&btype=bill
SB0022,2023,RS,Swope,,Local Government Labor and Consumer Marketing Regulatory Limitation Act,Labor,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=22&year=2023&sessiontype=RS&btype=bill
SB0023,2023,RS,Smith,Karnes; Phillips,Fetal Heartbeat Act,Health,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=23&year=2023&sessiontype=RS&btype=bill
SB0024,2023,RS,Smith,Hamilton,Relating to long-term care and substance abuse treatment,Health; Human Services,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=24&year=2023&sessiontype=RS&btype=bill
SB0025,2023,RS,Smith,,"Requiring disclaimers on third-party, nongovernment solicitations of services for filing business annual reports with Secretary of State",Elections,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=25&year=2023&sessiontype=RS&btype=bill
SB0026,2023,RS,Phillips,Maroney; Hamilton; Oliverio,Requiring WV State Police to provide medical care for illness or injury received in line of duty,Public Safety,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=26&year=2023&sessiontype=RS&btype=bill
SB0027,2023,RS,Smith,Phillips; Rucker; Hunt,Assessing wildlife impact fee on wind power projects,Natural Resources,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=27&year=2023&sessiontype=RS&btype=bill
SB0028,2023,RS,Smith,,Relating to nonferrous metal sales and transportation to secondary recycler,Crime; Environment,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=28&year=2023&sessiontype=RS&btype=bill
SB0029,2023,RS,Smith,Phillips,Relating to funding for volunteer fire departments and emergency medical services units,Public Safety,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=29&year=2023&sessiontype=RS&btype=bill
SB0030,2023,RS,Smith,,Transferring child welfare enforcement responsibilities to WV State Police,Human Services; Juveniles; Public Safety,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=30&year=2023&sessiontype=RS&btype=bill
SB0031,2023,RS,Swope,Jeffries; Maynard; Plymale,Relating to permissible expenditures by Water Development Authority from Infrastructure Fund,Utilities,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=31&year=2023&sessiontype=RS&btype=bill
SB0032,2023,RS,Karnes,Rucker; Maynard,Allowing parents to decline required medication administered to newborns,Health,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=32&year=2023&sessiontype=RS&btype=bill
SB0033,2023,RS,Karnes,,"Prohibiting certain divisive acts or concepts from schools, state agencies and any groups receiving state funding",Human Rights,HB2423,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=33&year=2023&sessiontype=RS&btype=bill
SB0034,2023,RS,Karnes,,Establishing 80 miles per hour speed limit on interstate highways,Roads and Transportation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=34&year=2023&sessiontype=RS&btype=bill
SB0035,2023,RS,Karnes,,Limiting DEP employees entering private lands for environmental purposes only,Environment,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=35&year=2023&sessiontype=RS&btype=bill
SB0036,2023,RS,Woelfel,,Authorizing child or child care tax credit,Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=36&year=2023&sessiontype=RS&btype=bill
SB0037,2023,RS,,,Granting all public employees 10 percent per year permanent pay increase,State Personnel,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=37&year=2023&sessiontype=RS&btype=bill
SB0038,2023,RS,,,Eliminating restrictions on voting rights for formerly incarcerated individuals,Public Safety,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=38&year=2023&sessiontype=RS&btype=bill
SB0039,2023,RS,,,Relating to assessment of real property,Counties; Real and Personal Property,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=39&year=2023&sessiontype=RS&btype=bill
SB0040,2023,RS,Weld,Phillips; Oliverio,"Providing waiver of fees for emergency responders disabled in line of duty for hunting, trapping, and fishing licenses",Natural Resources,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=40&year=2023&sessiontype=RS&btype=bill
SB0041,2023,RS,Clements,Grady; Queen,Establishing minimum student enrollment for school aid formula,Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=41&year=2023&sessiontype=RS&btype=bill
SB0042,2023,RS,Clements,,Adjusting interest rate paid in condemnation cases,Roads and Transportation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=42&year=2023&sessiontype=RS&btype=bill
SB0043,2023,RS,Clements,Phillips; Jeffries,Permitting Commissioner of DOH to make money transfers within State Road Fund,Roads and Transportation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=43&year=2023&sessiontype=RS&btype=bill
SB0044,2023,RS,Hamilton,,Requiring certain municipalities pay for incarceration of inmates,Corrections; Municipalities,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=44&year=2023&sessiontype=RS&btype=bill
SB0045,2023,RS,Rucker,,Requiring coverage of treatment for certain pediatric autoimmune neuropsychiatric disorders in certain circumstances,Insurance,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=45&year=2023&sessiontype=RS&btype=bill
SB0046,2023,RS,Rucker,Deeds,Allowing WV Professional Charter School Board to vote for employees to participate in Teachers’ Retirement System,Education (K12); Retirement,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=46&year=2023&sessiontype=RS&btype=bill
SB0047,2023,RS,Rucker,Oliverio; Roberts,Creating Charter Schools Stimulus Fund,Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=47&year=2023&sessiontype=RS&btype=bill
SB0048,2023,RS,Rucker,,Relating to licensed school psychologists salary supplement and expense reimbursements,Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=48&year=2023&sessiontype=RS&btype=bill
SB0049,2023,RS,Hamilton,Hunt,Establishing criminal offense for being under influence of controlled substance unless specifically prescribed,Crime,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=49&year=2023&sessiontype=RS&btype=bill
SB0050,2023,RS,Hamilton,,Requiring one-year residency within district or county to fill vacancy in Legislature,Elections,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=50&year=2023&sessiontype=RS&btype=bill
SB0051,2023,RS,Rucker,Grady; Maynard; Chapman,Requiring impact statement in certain instances of school closing or consolidation,Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=51&year=2023&sessiontype=RS&btype=bill
SB0052,2023,RS,Rucker,Taylor; Woodrum; Smith; Maynard; Hunt; Karnes; Caputo; Martin; Queen; Roberts,Relating to administration of anesthetics,Professions and Occupations,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=52&year=2023&sessiontype=RS&btype=bill
SB0053,2023,RS,Rucker,Woodrum; Woelfel; Stuart; Hunt; Plymale; Taylor; Maynard,Relating to DNA data maintained for law enforcement purposes,Public Safety,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=53&year=2023&sessiontype=RS&btype=bill
SB0054,2023,RS,Karnes,,Authorizing public retirement system participants to receive cash value of retirement benefits in lieu of regular payments,Retirement; State Personnel,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=54&year=2023&sessiontype=RS&btype=bill
SB0055,2023,RS,Karnes,Maynard; Taylor,WV Freedom of Conscience Protection Act,Human Rights,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=55&year=2023&sessiontype=RS&btype=bill
SB0056,2023,RS,Weld,Roberts,Relating to employment of retired bus operators as substitutes in areas of critical need and shortage,Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=56&year=2023&sessiontype=RS&btype=bill
SB0057,2023,RS,Hamilton,,Requiring political action committee to disclose contributors' names and addresses to Secretary of State,Elections,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=57&year=2023&sessiontype=RS&btype=bill
SB0058,2023,RS,Hamilton,,Creating mechanism for enforcement of spousal support,Domestic Relations,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=58&year=2023&sessiontype=RS&btype=bill
SB0059,2023,RS,Takubo,Woodrum; Hunt; Barrett,Requiring work search activities to qualify for unemployment benefits,Unemployment Compensation,HB2589,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=59&year=2023&sessiontype=RS&btype=bill
SB0060,2023,RS,Trump,,Relating to tax on income of nonresidents from natural resources royalty payments,Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=60&year=2023&sessiontype=RS&btype=bill
SB0061,2023,RS,Nelson,Phillips; Queen,Providing personal property tax credit to graduates of certain higher education institutions or trade schools,Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=61&year=2023&sessiontype=RS&btype=bill
SB0062,2023,RS,Nelson,,Establishing secondary location for racetrack video lottery terminals,Boards and Commissions,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=62&year=2023&sessiontype=RS&btype=bill
SB0063,2023,RS,Nelson,,Relating to wages and salary under Parental Leave Act,Labor,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=63&year=2023&sessiontype=RS&btype=bill
SB0064,2023,RS,Nelson,,Relating to WV Public Employees Retirement Act,Retirement; State Personnel,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=64&year=2023&sessiontype=RS&btype=bill
SB0065,2023,RS,Nelson,Hamilton; Stuart,Granting municipal fire marshal authority to assist law-enforcement officer,Municipalities; Public Safety,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=65&year=2023&sessiontype=RS&btype=bill
SB0066,2023,RS,Nelson,Hamilton,Relating to regulation and control of elections,Elections,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=66&year=2023&sessiontype=RS&btype=bill
SB0067,2023,RS,Smith,,Requiring DHHR file petition to terminate parental rights under certain circumstances,Crime; Health; Human Services,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=67&year=2023&sessiontype=RS&btype=bill
SB0068,2023,RS,Smith,Hunt; Chapman; Maynard,"Relating to use of force, including deadly force, in defense of self, real, and personal property",Crime,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=68&year=2023&sessiontype=RS&btype=bill
SB0069,2023,RS,Phillips,Hunt,Patrolman Cassie Johnson Memorial Act,Courts; Crime,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=69&year=2023&sessiontype=RS&btype=bill
SB0070,2023,RS,Phillips,Rucker,Permitting special registration plates for persons with medical conditions that cause erratic behavior,Motor Vehicles,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=70&year=2023&sessiontype=RS&btype=bill
SB0071,2023,RS,Weld,,Relating to real property conveyed by land installment agreement,Real and Personal Property,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=71&year=2023&sessiontype=RS&btype=bill
SB0072,2023,RS,Weld,Woelfel; Jeffries; Caputo,Modifying definition of sexual contact,Crime,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=72&year=2023&sessiontype=RS&btype=bill
SB0073,2023,RS,Weld,,Removing PEIA exemption from provisions of chapters 5 and 33 of Code of WV,Insurance,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=73&year=2023&sessiontype=RS&btype=bill
SB0074,2023,RS,Weld,Roberts; Rucker,Providing for substantial deference to State Superintendent's interpretations of school laws,Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=74&year=2023&sessiontype=RS&btype=bill
SB0075,2023,RS,Weld,,"Exempting certain persons from hunting, trapping, and fishing license fees",Natural Resources,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=75&year=2023&sessiontype=RS&btype=bill
SB0076,2023,RS,Weld,Smith,Modifying requirement that racetrack participate in WV Thoroughbred Development Fund by certain date,Legal Gaming,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=76&year=2023&sessiontype=RS&btype=bill
SB0077,2023,RS,Weld,Caputo,Updating language regarding Fairmont State University alumni license plates,Motor Vehicles,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=77&year=2023&sessiontype=RS&btype=bill
SB0078,2023,RS,Weld,Woelfel,Creating felony offense of aggravated cruelty to animals,Crime,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=78&year=2023&sessiontype=RS&btype=bill
SB0079,2023,RS,Weld,Hamilton; Woelfel; Queen; Barrett; Oliverio,Relating to compensable diseases of certain firefighters covered by workers' compensation,Workers Compensation,HB2128,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=79&year=2023&sessiontype=RS&btype=bill
SB0080,2023,RS,Grady,Phillips; Smith,Modifying witness fee and mileage rate paid by state to match federal court system,Insurance,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=80&year=2023&sessiontype=RS&btype=bill
SB0081,2023,RS,Grady,Queen,Allowing Tier II Teachers Retirement System members to apply accrued annual and sick leave toward an increase in retirement benefits,Retirement,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=81&year=2023&sessiontype=RS&btype=bill
SB0082,2023,RS,Takubo,,Relating to unemployment benefits program,Unemployment Compensation,HB2588,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=82&year=2023&sessiontype=RS&btype=bill
SB0083,2023,RS,Takubo,Phillips; Hamilton,Authorizing tactical medical professionals to carry firearms,Professions and Occupations,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=83&year=2023&sessiontype=RS&btype=bill
SB0084,2023,RS,Takubo,,Tobacco Products Excise Tax Act,Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=84&year=2023&sessiontype=RS&btype=bill
SB0085,2023,RS,Takubo,Phillips; Plymale; Woodrum,Establishing tax credit for certain physicians who locate to practice in WV,Professions and Occupations; Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=85&year=2023&sessiontype=RS&btype=bill
SB0086,2023,RS,Takubo,Phillips,Exempting physicians from specified traffic laws when responding to emergencies,Roads and Transportation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=86&year=2023&sessiontype=RS&btype=bill
SB0087,2023,RS,Phillips,,Restoring major health care benefits to certain public employees who retired and then returned to employment,Retirement,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=87&year=2023&sessiontype=RS&btype=bill
SB0088,2023,RS,Woelfel,Caputo,Permitting medical marijuana be prescribed in edible form,Health,HB2219,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=88&year=2023&sessiontype=RS&btype=bill
SB0089,2023,RS,Woelfel,Grady; Woodrum; Hamilton; Rucker; Plymale,Requiring hospitals to staff qualified personnel to perform sexual assault forensic exams,Public Safety,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=89&year=2023&sessiontype=RS&btype=bill
SB0090,2023,RS,Woelfel,,Amending penalty of simple possession of marijuana from misdemeanor crime to civil violation,Crime,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=90&year=2023&sessiontype=RS&btype=bill
SB0091,2023,RS,Phillips,Caputo; Woodrum; Hamilton; Oliverio; Plymale,Relating to distribution of certain taxes and surcharges to benefit fire departments and emergency medical services providers,Public Safety,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=91&year=2023&sessiontype=RS&btype=bill
SB0092,2023,RS,Phillips,Rucker; Stuart,Providing compensation to victims of abusive lawsuits,"Actions, Suits and Liens",,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=92&year=2023&sessiontype=RS&btype=bill
SB0093,2023,RS,Azinger,Roberts; Karnes; Maynard,Prohibiting teaching of divisive acts and critical race theory in public schools,Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=93&year=2023&sessiontype=RS&btype=bill
SB0094,2023,RS,Rucker,,Removing limitations on nonintoxicating craft beer delivery licenses,Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=94&year=2023&sessiontype=RS&btype=bill
SB0095,2023,RS,Nelson,Woelfel; Plymale,Establishing WV business growth in low-income communities tax credit,Corporations,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=95&year=2023&sessiontype=RS&btype=bill
SB0096,2023,RS,Azinger,,Timber Co-tenancy Modernization and Majority Protection Act and Unknown and Unlocatable Timber Interest Owners Act,Natural Resources,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=96&year=2023&sessiontype=RS&btype=bill
SB0097,2023,RS,Nelson,,Modifying contribution levels of certain judges who participate in retirement system,Retirement,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=97&year=2023&sessiontype=RS&btype=bill
SB0098,2023,RS,Nelson,Chapman,Exempting capital gains from personal and corporate taxation,Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=98&year=2023&sessiontype=RS&btype=bill
SB0099,2023,RS,Nelson,Roberts; Oliverio,Relating to meetings among county boards of education,Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=99&year=2023&sessiontype=RS&btype=bill
SB0100,2023,RS,Nelson,Woodrum; Jeffries,Permitting newly hired 911 personnel to participate in Emergency Medical Services Retirement System,Retirement,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=100&year=2023&sessiontype=RS&btype=bill
SB0101,2023,RS,Nelson,Roberts; Queen; Woelfel; Chapman; Taylor; Smith; Stuart; Rucker,Exempting Social Security from personal income tax,Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=101&year=2023&sessiontype=RS&btype=bill
SB0102,2023,RS,Takubo,Grady; Woodrum; Woelfel; Queen,Prohibiting smoking in vehicle when minor 16 or under is present.,Crime; Health; Juveniles,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=102&year=2023&sessiontype=RS&btype=bill
SB0103,2023,RS,Tarr,Roberts; Karnes; Maynard,Prohibiting certain funding and attendance of minors to drag shows,Appropriations; Juveniles,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=103&year=2023&sessiontype=RS&btype=bill
SB0104,2023,RS,Karnes,Maynard; Tarr; Woodrum,Campus Self-Defense Act,Crime; Education (Higher),"HB2421
HB2633",http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=104&year=2023&sessiontype=RS&btype=bill
SB0105,2023,RS,Smith,Hamilton,Allowing county commissions to impose amusement tax,Counties; Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=105&year=2023&sessiontype=RS&btype=bill
SB0106,2023,RS,Smith,,Protecting albino deer,Environment; Natural Resources,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=106&year=2023&sessiontype=RS&btype=bill
SB0107,2023,RS,Smith,Caputo; Takubo,Relating to time limitation for filing occupational pneumoconiosis claims,Workers Compensation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=107&year=2023&sessiontype=RS&btype=bill
SB0108,2023,RS,Smith,,Requiring certain probationers to participate in work release program and spend six months in work release center,Corrections; Crime,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=108&year=2023&sessiontype=RS&btype=bill
SB0109,2023,RS,Smith,,Orphan Oil and Gas Well Prevention Act,Environment; Natural Resources,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=109&year=2023&sessiontype=RS&btype=bill
SB0110,2023,RS,Smith,Chapman; Taylor,Relating to maintenance and repair of roads and highways,Roads and Transportation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=110&year=2023&sessiontype=RS&btype=bill
SB0111,2023,RS,Smith,,Relating to pollution control facilities tax treatment,Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=111&year=2023&sessiontype=RS&btype=bill
SB0112,2023,RS,Karnes,Taylor; Hunt; Martin; Azinger; Maynard,Relating to financial institutions engaged in boycotts of firearms companies,Finance and Administration,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=112&year=2023&sessiontype=RS&btype=bill
SB0113,2023,RS,Karnes,,Restricting participation in Teachers Retirement System by members who serve as officer in professional teaching association,Education (K12); Retirement,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=113&year=2023&sessiontype=RS&btype=bill
SB0114,2023,RS,Karnes,Taylor; Rucker; Roberts,Prohibiting abortion coverage in certain qualified health care plans,Insurance,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=114&year=2023&sessiontype=RS&btype=bill
SB0115,2023,RS,Karnes,Taylor,Providing procedure for WV to select delegates to Article V Convention,Legislature,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=115&year=2023&sessiontype=RS&btype=bill
SB0116,2023,RS,Karnes,,Collecting and analyzing statistical information pertaining to terminating pregnancies under Medicaid Program,Health,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=116&year=2023&sessiontype=RS&btype=bill
SB0117,2023,RS,Karnes,Chapman,Relating to mandatory state inspections of motor vehicles,Motor Vehicles,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=117&year=2023&sessiontype=RS&btype=bill
SB0118,2023,RS,Karnes,,Relating to outdoor advertising regulated by DOH,Roads and Transportation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=118&year=2023&sessiontype=RS&btype=bill
SB0119,2023,RS,Rucker,,Requiring notice be sent to owners of record before real property can be sold due to nonpayment of taxes,Taxation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=119&year=2023&sessiontype=RS&btype=bill
SB0120,2023,RS,Azinger,Tarr; Hunt; Jeffries,Requiring registered sex offenders pay annual fee,Crime; Public Safety,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=120&year=2023&sessiontype=RS&btype=bill
SB0121,2023,RS,Azinger,Roberts; Tarr; Maynard,Creating Student Journalist Press Freedom Protection Act,Education (Higher); Education (K12); Human Rights,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=121&year=2023&sessiontype=RS&btype=bill
SB0122,2023,RS,Martin,Roberts; Phillips; Stover; Maynard,"Preventing public water and sewer utilities from prohibiting customer from constructing, installing, or maintaining connection to public utility",Public Service Commission,HB2456,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=122&year=2023&sessiontype=RS&btype=bill
