bill_number,session_year,session_type,primary_sponsor,cosponsors,summary,subjects,companion,bill_url
HB5523,2024,RS,Cooper,Horst; Smith; Winzenreid; Hornby; Forsht; Hite; Butler; Jennings; Heckert; Ridenour,Authorizing cancellation of voter registration records for individuals who are no longer West Virginia citizens and have obtained a driver’s license in another state,Elections,SB674,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5523&year=2024&sessiontype=RS&btype=bill
HB5524,2024,RS,Coop-Gonzalez,,Regulating and restricting the shipment and receipt of abortion-inducing drugs and paraphernalia,Health,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5524&year=2024&sessiontype=RS&btype=bill
HB5525,2024,RS,Ridenour,Longanacre; Steele; Hillenbrand; Butler; Sheedy; Kirby; McGeehan; Phillips,To revise and update all provisions of state code to relating to the West Virginia State Guard,Military and Veterans,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5525&year=2024&sessiontype=RS&btype=bill
HB5526,2024,RS,Rowe,"Pinson; Burkhammer; Hall, W.; Pushkin; Hornbuckle; Griffith; Hamilton; Hansen",Program Design and Outcomes of Selected Pre-Petition Legal Representation Programs,Courts,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5526&year=2024&sessiontype=RS&btype=bill
HB5527,2024,RS,Horst,Dean; Crouse; Longanacre; Foster; Bridges; Coop-Gonzalez; Mallow; Hott; Kump,To allow those with a concealed carry license to carry a concealed handgun in public school property and buildings.,Education (K12); Public Safety,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5527&year=2024&sessiontype=RS&btype=bill
HB5528,2024,RS,Anderson,"Zatezalo; Heckert; Fehrenbacher; Clark, T; Hansen; Rowe; Young; Hott",Relating to the renewable energy facilities program,Energy,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5528&year=2024&sessiontype=RS&btype=bill
HB5529,2024,RS,Pinson,Hanshaw (Mr. Speaker); Ellington; Sheedy; Toney; Statler; Hardy; Burkhammer; Stephens; Hornby; Young,Relating to foster care support services,Human Services,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5529&year=2024&sessiontype=RS&btype=bill
HB5530,2024,RS,Summers,Tully; Jeffries,Relating to requiring a hospital to disclose price and fee information for certain health care services,Health,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5530&year=2024&sessiontype=RS&btype=bill
HB5531,2024,RS,Young,Garcia; Williams; Kump,Increasing correctional officer pay by 12% increase,Corrections,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5531&year=2024&sessiontype=RS&btype=bill
HB5532,2024,RS,Young,,Establishes the Stop Addictive Feeds Exploitation (SAFE) For Kids Act prohibiting the provision of addictive feeds to minors by addictive social media platforms,Juveniles,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5532&year=2024&sessiontype=RS&btype=bill
