bill_number,session_year,session_type,chamber,action_date,action,journal_page,order
SB0002,2024,RS,S,2024-01-11,Committee substitute reported,1,6
SB0002,2024,RS,S,2024-01-10,To Judiciary,2,5
SB0002,2024,RS,S,2024-01-10,Introduced in Senate,2,4
SB0002,2024,RS,S,2024-01-10,To Judiciary,,3
SB0002,2024,RS,S,2024-01-10,Filed for introduction,,2
SB0003,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0003,2024,RS,S,2024-01-10,To Judiciary,2,4
SB0003,2024,RS,S,2024-01-10,Introduced in Senate,2,3
SB0003,2024,RS,S,2024-01-10,To Judiciary,,2
SB0003,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0004,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0004,2024,RS,S,2024-01-10,To Judiciary,2,4
SB0004,2024,RS,S,2024-01-10,Introduced in Senate,2,3
SB0004,2024,RS,S,2024-01-10,To Judiciary,,2
SB0004,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0005,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0005,2024,RS,S,2024-01-10,To Judiciary,2,4
SB0005,2024,RS,S,2024-01-10,Introduced in Senate,2,3
SB0005,2024,RS,S,2024-01-10,To Judiciary,,2
SB0005,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0006,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0006,2024,RS,S,2024-01-10,To Judiciary,2,4
SB0006,2024,RS,S,2024-01-10,Introduced in Senate,2,3
SB0006,2024,RS,S,2024-01-10,To Judiciary,,2
SB0006,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0007,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0007,2024,RS,S,2024-01-10,To Judiciary,3,4
SB0007,2024,RS,S,2024-01-10,Introduced in Senate,2,3
SB0007,2024,RS,S,2024-01-10,To Judiciary,,2
SB0007,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0008,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0008,2024,RS,S,2024-01-10,To Judiciary,3,4
SB0008,2024,RS,S,2024-01-10,Introduced in Senate,3,3
SB0008,2024,RS,S,2024-01-10,To Judiciary,,2
SB0008,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0009,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0009,2024,RS,S,2024-01-10,To Judiciary,3,4
SB0009,2024,RS,S,2024-01-10,Introduced in Senate,3,3
SB0009,2024,RS,S,2024-01-10,To Judiciary,,2
SB0009,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0010,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0010,2024,RS,S,2024-01-10,To Judiciary,3,4
SB0010,2024,RS,S,2024-01-10,Introduced in Senate,3,3
SB0010,2024,RS,S,2024-01-10,To Judiciary,,2
SB0010,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0011,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0011,2024,RS,S,2024-01-10,To Judiciary,3,4
SB0011,2024,RS,S,2024-01-10,Introduced in Senate,3,3
SB0011,2024,RS,S,2024-01-10,To Judiciary,,2
SB0011,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0012,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0012,2024,RS,S,2024-01-10,To Judiciary,3,4
SB0012,2024,RS,S,2024-01-10,Introduced in Senate,3,3
SB0012,2024,RS,S,2024-01-10,To Judiciary,,2
SB0012,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0013,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0013,2024,RS,S,2024-01-10,To Judiciary,3,4
SB0013,2024,RS,S,2024-01-10,Introduced in Senate,3,3
SB0013,2024,RS,S,2024-01-10,To Judiciary,,2
SB0013,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0014,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0014,2024,RS,S,2024-01-10,To Judiciary,4,4
SB0014,2024,RS,S,2024-01-10,Introduced in Senate,3,3
SB0014,2024,RS,S,2024-01-10,To Judiciary,,2
SB0014,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0015,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0015,2024,RS,S,2024-01-10,To Judiciary,4,4
SB0015,2024,RS,S,2024-01-10,Introduced in Senate,4,3
SB0015,2024,RS,S,2024-01-10,To Judiciary,,2
SB0015,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0016,2024,RS,S,2024-01-11,Reported in Com. Sub. for S. B. 2,1,5
SB0016,2024,RS,S,2024-01-10,To Judiciary,4,4
SB0016,2024,RS,S,2024-01-10,Introduced in Senate,4,3
SB0016,2024,RS,S,2024-01-10,To Judiciary,,2
SB0016,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0017,2024,RS,S,2024-04-23,"Chapter 173, Acts, Regular Session, 2024",,57
SB0017,2024,RS,H,2024-03-09,Approved by Governor 3/26/24 - House Journal,,56
SB0017,2024,RS,S,2024-03-09,Approved by Governor 3/26/2024 - Senate Journal,618,55
SB0017,2024,RS,S,2024-03-26,Approved by Governor 3/26/2024,,54
SB0017,2024,RS,H,2024-03-09,To Governor 3/14/2024 - House Journal,,53
SB0017,2024,RS,S,2024-03-09,To Governor 3/14/2024 - Senate Journal,594,52
SB0017,2024,RS,S,2024-03-14,To Governor 3/14/2024,,51
SB0017,2024,RS,S,2024-03-09,House Message received,573,50
SB0017,2024,RS,H,2024-03-09,Completed legislative action,,49
SB0017,2024,RS,H,2024-03-09,Communicated to Senate,,48
SB0017,2024,RS,H,2024-03-09,Effective from passage (Roll No. 739),,47
SB0017,2024,RS,H,2024-03-09,House receded in part and passed (Roll No. 738),,46
SB0017,2024,RS,H,2024-03-09,House received Senate message,,45
SB0017,2024,RS,S,2024-03-08,Senate requests House to concur,63,44
SB0017,2024,RS,S,2024-03-08,Effective from passage (Roll No. 458),63,43
SB0017,2024,RS,S,2024-03-08,Passed Senate (Roll No. 458),62,42
SB0017,2024,RS,S,2024-03-08,Senate concur in part; refuse concur in part; request House recede,61-62,41
SB0017,2024,RS,S,2024-03-08,House Message received,61,40
SB0017,2024,RS,H,2024-03-05,Communicated to Senate,,39
SB0017,2024,RS,H,2024-03-05,Effective from passage (Roll No. 463),,38
SB0017,2024,RS,H,2024-03-05,Passed House (Roll No. 462),,37
SB0017,2024,RS,H,2024-03-05,Read 3rd time,,36
SB0017,2024,RS,H,2024-03-05,"On 3rd reading, Special Calendar",,35
SB0017,2024,RS,H,2024-03-04,Amendment adopted (Voice vote),,34
SB0017,2024,RS,H,2024-03-04,Amendment reported by the Clerk,,33
SB0017,2024,RS,H,2024-03-04,Amendment adopted (Voice vote),,32
SB0017,2024,RS,H,2024-03-04,Amendment reported by the Clerk,,31
SB0017,2024,RS,H,2024-03-04,Committee amendment withdrawn (Voice),,30
SB0017,2024,RS,H,2024-03-04,Amendment reported by the Clerk,,29
SB0017,2024,RS,H,2024-03-04,Read 2nd time,,28
SB0017,2024,RS,H,2024-03-04,"From House Calendar, 2nd reading, placed on Special Calendar",,27
SB0017,2024,RS,H,2024-02-14,"On 2nd reading, House Calendar",,26
SB0017,2024,RS,H,2024-02-14,Placed on House Calendar,,25
SB0017,2024,RS,H,2024-02-14,"On 2nd reading, Special Calendar",,24
SB0017,2024,RS,H,2024-02-13,"Postponed on 2nd reading, Special Calendar, until 2/14/2024",,23
SB0017,2024,RS,H,2024-02-13,Motion to postpone action one day adopted (Roll No. 172),,22
SB0017,2024,RS,H,2024-02-13,"On 2nd reading, Special Calendar",,21
SB0017,2024,RS,H,2024-02-12,Read 1st time,,20
SB0017,2024,RS,H,2024-02-12,"On 1st reading, Special Calendar",,19
SB0017,2024,RS,H,2024-02-09,"With amendment, do pass",,18
SB0017,2024,RS,H,2024-01-24,To House Health and Human Resources,,17
SB0017,2024,RS,H,2024-01-24,Introduced in House,,16
SB0017,2024,RS,S,2024-01-23,Ordered to House,12,15
SB0017,2024,RS,S,2024-01-23,Effective from passage (Roll No. 43),12,14
SB0017,2024,RS,S,2024-01-23,Passed Senate (Roll No. 43),11,13
SB0017,2024,RS,S,2024-01-23,Read 3rd time,11,12
SB0017,2024,RS,S,2024-01-23,On 3rd reading,,11
SB0017,2024,RS,S,2024-01-22,Read 2nd time,8,10
SB0017,2024,RS,S,2024-01-19,On 2nd reading,,9
SB0017,2024,RS,S,2024-01-18,Read 1st time,7,8
SB0017,2024,RS,S,2024-01-18,On 1st reading,,7
SB0017,2024,RS,S,2024-01-17,Committee substitute reported,1,6
SB0017,2024,RS,S,2024-01-10,To Judiciary,4,5
SB0017,2024,RS,S,2024-01-10,Introduced in Senate,4,4
SB0017,2024,RS,S,2024-01-10,To Judiciary,,3
SB0017,2024,RS,S,2024-01-10,Filed for introduction,,2
SB0018,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0018,2024,RS,S,2024-01-10,To Judiciary,4,4
SB0018,2024,RS,S,2024-01-10,Introduced in Senate,4,3
SB0018,2024,RS,S,2024-01-10,To Judiciary,,2
SB0018,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0019,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0019,2024,RS,S,2024-01-10,To Judiciary,4,4
SB0019,2024,RS,S,2024-01-10,Introduced in Senate,4,3
SB0019,2024,RS,S,2024-01-10,To Judiciary,,2
SB0019,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0020,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0020,2024,RS,S,2024-01-10,To Judiciary,4,4
SB0020,2024,RS,S,2024-01-10,Introduced in Senate,4,3
SB0020,2024,RS,S,2024-01-10,To Judiciary,,2
SB0020,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0021,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0021,2024,RS,S,2024-01-10,To Judiciary,5,4
SB0021,2024,RS,S,2024-01-10,Introduced in Senate,4,3
SB0021,2024,RS,S,2024-01-10,To Judiciary,,2
SB0021,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0022,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0022,2024,RS,S,2024-01-10,To Judiciary,5,4
SB0022,2024,RS,S,2024-01-10,Introduced in Senate,5,3
SB0022,2024,RS,S,2024-01-10,To Judiciary,,2
SB0022,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0023,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0023,2024,RS,S,2024-01-10,To Judiciary,5,4
SB0023,2024,RS,S,2024-01-10,Introduced in Senate,5,3
SB0023,2024,RS,S,2024-01-10,To Judiciary,,2
SB0023,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0024,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0024,2024,RS,S,2024-01-10,To Judiciary,5,4
SB0024,2024,RS,S,2024-01-10,Introduced in Senate,5,3
SB0024,2024,RS,S,2024-01-10,To Judiciary,,2
SB0024,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0025,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0025,2024,RS,S,2024-01-10,To Judiciary,5,4
SB0025,2024,RS,S,2024-01-10,Introduced in Senate,5,3
SB0025,2024,RS,S,2024-01-10,To Judiciary,,2
SB0025,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0026,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0026,2024,RS,S,2024-01-10,To Judiciary,5,4
SB0026,2024,RS,S,2024-01-10,Introduced in Senate,5,3
SB0026,2024,RS,S,2024-01-10,To Judiciary,,2
SB0026,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0027,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0027,2024,RS,S,2024-01-10,To Judiciary,5,4
SB0027,2024,RS,S,2024-01-10,Introduced in Senate,5,3
SB0027,2024,RS,S,2024-01-10,To Judiciary,,2
SB0027,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0028,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0028,2024,RS,S,2024-01-10,To Judiciary,5,4
SB0028,2024,RS,S,2024-01-10,Introduced in Senate,5,3
SB0028,2024,RS,S,2024-01-10,To Judiciary,,2
SB0028,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0029,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0029,2024,RS,S,2024-01-10,To Judiciary,6,4
SB0029,2024,RS,S,2024-01-10,Introduced in Senate,6,3
SB0029,2024,RS,S,2024-01-10,To Judiciary,,2
SB0029,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0030,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0030,2024,RS,S,2024-01-10,To Judiciary,6,4
SB0030,2024,RS,S,2024-01-10,Introduced in Senate,6,3
SB0030,2024,RS,S,2024-01-10,To Judiciary,,2
SB0030,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0031,2024,RS,S,2024-04-23,"Chapter 174, Acts, Regular Session, 2024",,36
SB0031,2024,RS,H,2024-02-16,Approved by Governor 2/16/2024 - House Journal,,35
SB0031,2024,RS,S,2024-02-16,Approved by Governor 2/15/2024 - Senate Journal,5,34
SB0031,2024,RS,S,2024-02-15,Approved by Governor 2/15/2024,,33
SB0031,2024,RS,H,2024-02-09,To Governor 2/9/2024 - House Journal,,32
SB0031,2024,RS,S,2024-02-12,To Governor 2/9/2024 - Senate Journal,14,31
SB0031,2024,RS,S,2024-02-09,To Governor 2/9/2024,,30
SB0031,2024,RS,S,2024-02-06,House Message received,1,29
SB0031,2024,RS,H,2024-02-05,Completed legislative action,,28
SB0031,2024,RS,H,2024-02-05,Communicated to Senate,,27
SB0031,2024,RS,H,2024-02-05,Effective from passage (Roll No. 92),,26
SB0031,2024,RS,H,2024-02-05,Passed House (Roll No. 91),,25
SB0031,2024,RS,H,2024-02-05,Read 3rd time,,24
SB0031,2024,RS,H,2024-02-05,"On 3rd reading, Special Calendar",,23
SB0031,2024,RS,H,2024-02-02,Read 2nd time,,22
SB0031,2024,RS,H,2024-02-02,"On 2nd reading, Special Calendar",,21
SB0031,2024,RS,H,2024-02-01,Read 1st time,,20
SB0031,2024,RS,H,2024-02-01,"On 1st reading, Special Calendar",,19
SB0031,2024,RS,H,2024-01-31,Do pass,,18
SB0031,2024,RS,H,2024-01-24,To House Health and Human Resources,,17
SB0031,2024,RS,H,2024-01-24,Introduced in House,,16
SB0031,2024,RS,S,2024-01-23,Ordered to House,13,15
SB0031,2024,RS,S,2024-01-23,Effective from passage (Roll No. 44),12,14
SB0031,2024,RS,S,2024-01-23,Passed Senate (Roll No. 44),12,13
SB0031,2024,RS,S,2024-01-23,Read 3rd time,12,12
SB0031,2024,RS,S,2024-01-23,On 3rd reading,,11
SB0031,2024,RS,S,2024-01-22,Read 2nd time,8,10
SB0031,2024,RS,S,2024-01-19,On 2nd reading,,9
SB0031,2024,RS,S,2024-01-18,Read 1st time,7,8
SB0031,2024,RS,S,2024-01-18,On 1st reading,,7
SB0031,2024,RS,S,2024-01-17,Committee substitute reported,2,6
SB0031,2024,RS,S,2024-01-10,To Judiciary,6,5
SB0031,2024,RS,S,2024-01-10,Introduced in Senate,6,4
SB0031,2024,RS,S,2024-01-10,To Judiciary,,3
SB0031,2024,RS,S,2024-01-10,Filed for introduction,,2
SB0032,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0032,2024,RS,S,2024-01-10,To Judiciary,6,4
SB0032,2024,RS,S,2024-01-10,Introduced in Senate,6,3
SB0032,2024,RS,S,2024-01-10,To Judiciary,,2
SB0032,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0033,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 17,1,5
SB0033,2024,RS,S,2024-01-10,To Judiciary,6,4
SB0033,2024,RS,S,2024-01-10,Introduced in Senate,6,3
SB0033,2024,RS,S,2024-01-10,To Judiciary,,2
SB0033,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0034,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 31,2,5
SB0034,2024,RS,S,2024-01-10,To Judiciary,6,4
SB0034,2024,RS,S,2024-01-10,Introduced in Senate,6,3
SB0034,2024,RS,S,2024-01-10,To Judiciary,,2
SB0034,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0035,2024,RS,S,2024-01-17,Reported in Com. Sub. for S. B. 31,2,5
SB0035,2024,RS,S,2024-01-10,To Judiciary,6,4
SB0035,2024,RS,S,2024-01-10,Introduced in Senate,6,3
SB0035,2024,RS,S,2024-01-10,To Judiciary,,2
SB0035,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0036,2024,RS,S,2024-04-23,"Chapter 175, Acts, Regular Session, 2024",,42
SB0036,2024,RS,H,2024-03-09,Approved by Governor 3/26/24 - House Journal,,41
SB0036,2024,RS,S,2024-03-09,Approved by Governor 3/26/2024 - Senate Journal,618,40
SB0036,2024,RS,S,2024-03-26,Approved by Governor 3/26/2024,,39
SB0036,2024,RS,H,2024-03-09,To Governor 3/14/2024 - House Journal,,38
SB0036,2024,RS,S,2024-03-09,To Governor 3/14/2024 - Senate Journal,594,37
SB0036,2024,RS,S,2024-03-14,To Governor 3/14/2024,,36
SB0036,2024,RS,S,2024-03-08,Completed legislative action,,35
SB0036,2024,RS,S,2024-03-08,Communicated to House,64,34
SB0036,2024,RS,S,2024-03-08,Effective from passage (Roll No. 459),64,33
SB0036,2024,RS,S,2024-03-08,Senate concurred in House amendments and passed bill (Roll No. 459),63,32
SB0036,2024,RS,S,2024-03-08,House Message received,63,31
SB0036,2024,RS,H,2024-03-07,Communicated to Senate,,30
SB0036,2024,RS,H,2024-03-07,Effective from passage (Roll No. 531),,29
SB0036,2024,RS,H,2024-03-07,Passed House (Roll No. 530),,28
SB0036,2024,RS,H,2024-03-07,Read 3rd time,,27
SB0036,2024,RS,H,2024-03-07,"On 3rd reading, Special Calendar",,26
SB0036,2024,RS,H,2024-03-06,Amendment adopted (Voice vote),,25
SB0036,2024,RS,H,2024-03-06,Amendment reported by the Clerk,,24
SB0036,2024,RS,H,2024-03-06,Read 2nd time,,23
SB0036,2024,RS,H,2024-03-06,"On 2nd reading, Special Calendar",,22
SB0036,2024,RS,H,2024-03-05,Read 1st time,,21
SB0036,2024,RS,H,2024-03-05,"On 1st reading, Special Calendar",,20
SB0036,2024,RS,H,2024-03-04,"With amendment, do pass",,19
SB0036,2024,RS,H,2024-01-30,To House Judiciary,,18
SB0036,2024,RS,H,2024-01-30,Introduced in House,,17
SB0036,2024,RS,H,2024-01-30,House received Senate message,,16
SB0036,2024,RS,S,2024-01-29,Ordered to House,7,15
SB0036,2024,RS,S,2024-01-29,Effective from passage (Roll No. 69),7,14
SB0036,2024,RS,S,2024-01-29,Passed Senate (Roll No. 69),7,13
SB0036,2024,RS,S,2024-01-29,Read 3rd time,6,12
SB0036,2024,RS,S,2024-01-29,On 3rd reading,,11
SB0036,2024,RS,S,2024-01-26,Read 2nd time,13,10
SB0036,2024,RS,S,2024-01-26,On 2nd reading,,9
SB0036,2024,RS,S,2024-01-25,Read 1st time,12,8
SB0036,2024,RS,S,2024-01-25,On 1st reading,,7
SB0036,2024,RS,S,2024-01-24,Committee substitute reported,2,6
SB0036,2024,RS,S,2024-01-10,To Judiciary,7,5
SB0036,2024,RS,S,2024-01-10,Introduced in Senate,6,4
SB0036,2024,RS,S,2024-01-10,To Judiciary,,3
SB0036,2024,RS,S,2024-01-10,Filed for introduction,,2
SB0037,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0037,2024,RS,S,2024-01-10,To Judiciary,7,4
SB0037,2024,RS,S,2024-01-10,Introduced in Senate,7,3
SB0037,2024,RS,S,2024-01-10,To Judiciary,,2
SB0037,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0038,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0038,2024,RS,S,2024-01-10,To Judiciary,7,4
SB0038,2024,RS,S,2024-01-10,Introduced in Senate,7,3
SB0038,2024,RS,S,2024-01-10,To Judiciary,,2
SB0038,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0039,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0039,2024,RS,S,2024-01-10,To Judiciary,7,4
SB0039,2024,RS,S,2024-01-10,Introduced in Senate,7,3
SB0039,2024,RS,S,2024-01-10,To Judiciary,,2
SB0039,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0040,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0040,2024,RS,S,2024-01-10,To Judiciary,7,4
SB0040,2024,RS,S,2024-01-10,Introduced in Senate,7,3
SB0040,2024,RS,S,2024-01-10,To Judiciary,,2
SB0040,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0041,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0041,2024,RS,S,2024-01-10,To Judiciary,7,4
SB0041,2024,RS,S,2024-01-10,Introduced in Senate,7,3
SB0041,2024,RS,S,2024-01-10,To Judiciary,,2
SB0041,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0042,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0042,2024,RS,S,2024-01-10,To Judiciary,7,4
SB0042,2024,RS,S,2024-01-10,Introduced in Senate,7,3
SB0042,2024,RS,S,2024-01-10,To Judiciary,,2
SB0042,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0043,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0043,2024,RS,S,2024-01-10,To Judiciary,8,4
SB0043,2024,RS,S,2024-01-10,Introduced in Senate,7,3
SB0043,2024,RS,S,2024-01-10,To Judiciary,,2
SB0043,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0044,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0044,2024,RS,S,2024-01-10,To Judiciary,8,4
SB0044,2024,RS,S,2024-01-10,Introduced in Senate,8,3
SB0044,2024,RS,S,2024-01-10,To Judiciary,,2
SB0044,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0045,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0045,2024,RS,S,2024-01-10,To Judiciary,8,4
SB0045,2024,RS,S,2024-01-10,Introduced in Senate,8,3
SB0045,2024,RS,S,2024-01-10,To Judiciary,,2
SB0045,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0046,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0046,2024,RS,S,2024-01-10,To Judiciary,8,4
SB0046,2024,RS,S,2024-01-10,Introduced in Senate,8,3
SB0046,2024,RS,S,2024-01-10,To Judiciary,,2
SB0046,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0047,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0047,2024,RS,S,2024-01-10,To Judiciary,8,4
SB0047,2024,RS,S,2024-01-10,Introduced in Senate,8,3
SB0047,2024,RS,S,2024-01-10,To Judiciary,,2
SB0047,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0048,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0048,2024,RS,S,2024-01-10,To Judiciary,8,4
SB0048,2024,RS,S,2024-01-10,Introduced in Senate,8,3
SB0048,2024,RS,S,2024-01-10,To Judiciary,,2
SB0048,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0049,2024,RS,S,2024-01-24,Reported in Com. Sub. for S. B. 36,2,5
SB0049,2024,RS,S,2024-01-10,To Judiciary,8,4
SB0049,2024,RS,S,2024-01-10,Introduced in Senate,8,3
SB0049,2024,RS,S,2024-01-10,To Judiciary,,2
SB0049,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0050,2024,RS,S,2024-04-23,"Chapter 176, Acts, Regular Session, 2024",,44
SB0050,2024,RS,H,2024-03-09,Approved by Governor 3/26/24 - House Journal,,43
SB0050,2024,RS,S,2024-03-09,Approved by Governor 3/26/2024 - Senate Journal,618,42
SB0050,2024,RS,S,2024-03-26,Approved by Governor 3/26/2024,,41
