bill_number,session,primary_sponsor,cosponsors,status,chapter_num,shortTitle,title,bill_url
HB0011,2023-RS,Judiciary,,enrolled,CH0136,State park rangers-retirement.,AN ACT relating to retirement; providing for full-time state park ranger participation in the law enforcement plan under the Wyoming Retirement Act; making conforming amendments; authorizing election by current full-time state park rangers; specifying implementation; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0011
HB0012,2023-RS,Judiciary,,enrolled,CH0014,Presumptive child support amounts-updated tables.,AN ACT relating to child support; amending the presumptive child support amounts; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0012
HB0013,2023-RS,Judiciary,,enrolled,CH0063,Office of guardian ad litem-program references.,"AN ACT relating to children; clarifying the duties, powers, and authority of the office of guardian ad litem by amending references from the guardian ad litem program to the office of guardian ad litem; specifying applicability; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0013
HB0014,2023-RS,Judiciary,,enrolled,CH0161,Civil case filing fees-amendments.,AN ACT relating to courts; increasing the original filing fee required for commencing or filing civil matters in district court; providing appropriations; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0014
HB0015,2023-RS,Judiciary,,enrolled,CH0065,County authority to dissolve museum boards-clarification.,"AN ACT relating to counties; clarifying that boards of county commissioners do not have authority to dissolve archaeological, geological and historical museums under their general authority to dissolve county-created boards and commissions; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0015
HB0016,2023-RS,Agriculture,,enrolled,CH0120,State land leasing-improvements.,AN ACT relating to state lands; increasing the monetary threshold for improvements to leased state lands that do not require permission of the director of the office of state lands; replacing the standard to determine payment for the use and benefit of improvements; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0016
HB0017,2023-RS,Agriculture,,enrolled,CH0158,State lands-grazing of non-owned livestock.,"AN ACT relating to state lands; providing for lessees of state lands to graze livestock they do not own, but for which they retain management responsibility, on leased lands without obtaining permission from the director of the office of state lands and investments; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0017
HB0018,2023-RS,Tribal Relations,,enrolled,CH0045,Missing person alert systems.,"AN ACT relating to missing person alert systems; amending duties for the office of homeland security and highway patrol for emergency alert communications networks; amending state cooperation with federal, tribal and local law enforcement for alert systems; providing a definition; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0018
HB0019,2023-RS,Tribal Relations,,enrolled,CH0041,State Indian Child Welfare Act Task Force.,AN ACT relating to children; creating the state Indian Child Welfare Act task force; specifying members and duties of the task force; requiring a report; providing a termination date for the task force; providing appropriations; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0019
HB0020,2023-RS,Agriculture,,enrolled,CH0061,Land exchanges-notice.,AN ACT relating to state lands; requiring notice and opportunity to comment before completing an exchange; specifying applicability; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0020
HB0021,2023-RS,Agriculture,,enrolled,CH0081,State lands-use of land qualification requirements.,AN ACT relating to state lands; requiring an applicant to have actual and necessary use of state lands to be qualified to lease state lands; making conforming amendments; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0021
HB0022,2023-RS,Agriculture,,enrolled,CH0159,State land lease deficiencies-cure process.,AN ACT relating to state lands; providing for notification of noncompliance in a state land lease renewal; providing opportunities for compliance; conforming time frames for lessee compliance; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0022
HB0023,2023-RS,Labor,,inactive,,Burial-transit permit amendments.,AN ACT relating to public health and safety; amending the requirements for issuance of a burial-transit permit; authorizing the issuance of a temporary burial-transit permit under specified circumstances; amending a definition; amending the requirements for issuance of a permit for disinterment and reinterment; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0023
HB0024,2023-RS,Cap Fin & Inv,,enrolled,CH0036,State investments-compensation and relocation amendments.,AN ACT relating to the administration of government; amending performance compensation payment limits for senior analysts and analysts employed by the state treasurer and the Wyoming retirement system; authorizing relocation expenses for investment staff hired by the state treasurer and the Wyoming retirement system; establishing maximum compensation amounts for investment staff employed by the state treasurer and the Wyoming retirement system; providing appropriations; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0024
HB0025,2023-RS,Sel Sch Fac,,inactive,,School capital construction-transfers and distributions.,AN ACT relating to public funds; revising distribution of funds from the school major maintenance subaccount within the strategic investments and projects account and the school lands mineral royalties account to the school capital construction account as specified; clarifying the timing of transfers from the strategic investments and projects account; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0025
HB0026,2023-RS,Sel Sch Fac,,enrolled,CH0015,School facilities-appropriations.,AN ACT relating to appropriations for K-12 school facilities; modifying the required budget recommendation from the select committee on school facilities; clarifying the legislature's ability to appropriate one (1) sum for design and construction for each project; clarifying reporting requirements; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0026
HB0027,2023-RS,Sel Sch Fac,,enrolled,CH0083,School facilities-consolidated remediation schedule.,AN ACT relating to the consolidated school facility remediation schedule for public schools; eliminating the consolidated remediation index and associated rulemaking authority; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0027
HB0028,2023-RS,Education,,enrolled,CH0003,Community college capital construction.,AN ACT relating to the duties of the Wyoming community college commission; increasing the minimum estimated cost of community college capital construction projects which require approval of the community college commission; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0028
HB0029,2023-RS,Education,,enrolled,CH0002,Community college funding-distance education credit hours.,AN ACT relating to community college funding; modifying the definition of distance education for community colleges; eliminating the full-time weighted equivalency for distance education class credit hours for calculations in the community college funding allocation model; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0029
HB0030,2023-RS,Education,,inactive,,Wyoming's tomorrow scholarship program amendments.,AN ACT relating to the Wyoming's tomorrow scholarship program; modifying the transfer of funds from the Wyoming's tomorrow scholarship expenditure account to the Wyoming's tomorrow scholarship endowment fund; modifying the calculation of the average market value of the Wyoming's tomorrow scholarship endowment fund as specified; transferring funds as specified; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0030
HB0031,2023-RS,Education,,enrolled,CH0082,BOCES as local education agencies.,AN ACT relating to education; authorizing a board of cooperative educational services to act as a local education agency for the purpose of applying for and receiving state and federal grants; authorizing rulemaking; making conforming amendments; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0031
HB0032,2023-RS,Education,,inactive,,Education mill levy amendments.,AN ACT relating to education; providing for a reauthorization of the adult education mill levy; clarifying the maximum mill levies school districts and community college districts may levy for board of cooperative services agreements; making conforming amendments; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0032
HB0033,2023-RS,Education,,enrolled,CH0164,School finance-career technical education grants.,"AN ACT relating to school finance; establishing competitive grants for public schools to purchase career and technical education supplies, materials and equipment; requiring rulemaking; requiring reporting; making conforming amendments; appropriating funds; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0033
HB0034,2023-RS,Education,,inactive,,School finance-mental health services.,AN ACT relating to school finance; creating a program for school districts to apply for competitive grants to assist in providing mental health services to K-12 public education students for two (2) years; providing an appropriation; requiring reporting; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0034
HB0035,2023-RS,Representative Heiner,Senator Dockstader,enrolled,CH0037,Day-care certification requirement amendments.,AN ACT relating to child care facilities; providing an exception to child care facility certification for specified part-time day-care facilities; requiring rulemaking; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0035
HB0036,2023-RS,Transportation,,inactive,,Space force amendments.,AN ACT relating to defense forces and affairs; modifying references to federal uniformed services to include the space force; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0036
HB0037,2023-RS,Transportation,,inactive,,Telecommunicator cardiopulmonary resuscitation.,AN ACT relating to administration of the government; requiring telecommunicator cardiopulmonary resuscitation training for dispatchers as specified; requiring the peace officer standards and training commission to amend its standards and rules; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0037
HB0038,2023-RS,Transportation,,enrolled,CH0128,Wyoming national guard member referral.,AN ACT relating to defense forces and affairs; creating the Wyoming national guard member referral incentive program; authorizing monetary incentive bonus payments as specified; providing definitions; requiring an annual report; providing a sunset date for the program; providing an appropriation; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0038
HB0039,2023-RS,Transportation,,enrolled,CH0011,Verifying the veteran designation on a WY driver's license.,AN ACT relating to motor vehicles; authorizing the department of transportation to accept specified documentation to verify honorable discharge of a veteran for the veteran designation on a Wyoming driver's license; amending the veteran designation on a Wyoming driver's license; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0039
HB0040,2023-RS,Transportation,,inactive,,Airport districts.,AN ACT relating to aeronautics; authorizing counties and municipalities to establish airport districts; specifying requirements; specifying duties and powers of airport districts; specifying duties of municipalities and counties; authorizing assessments; authorizing the airport district to issue bonds and incur debt as specified; authorizing distribution from fuel taxes to airport districts; requiring cooperation from the aeronautics commission with airport districts and joint powers boards; making conforming amendments; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0040
HB0041,2023-RS,Transportation,,enrolled,CH0068,Lightweight trailers-permanent registration.,AN ACT relating to motor vehicles; providing for the permanent registration of specified trailers; providing a fee exemption for permanently registered trailers; specifying requirements upon transfer of ownership; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0041
HB0042,2023-RS,Transportation,,enrolled,CH0091,Off-road recreational vehicle operation.,AN ACT relating to motor vehicles; specifying requirements for operating an off-road recreational vehicle near an interstate; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0042
HB0043,2023-RS,Transportation,,inactive,,Winter road closures.,AN ACT relating to highways; striking the requirement to willfully fail to observe a road closure notification necessary to be guilty of the criminal offense; increasing the fine amount for failing to observe road closure notifications; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0043
HB0044,2023-RS,Transportation,,enrolled,CH0077,Road and bridge construction-alternative contracting.,AN ACT relating to highways; providing for the transportation commission to use alternate contracting methods as specified; requiring rulemaking; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0044
HB0045,2023-RS,Transportation,,enrolled,CH0004,Peace officer retirement and rehiring.,"AN ACT relating to administration of the government; allowing rehiring of persons who have retired under the Wyoming State Highway Patrol, Game and Fish Warden and Criminal Investigator Retirement Act; repealing the mandatory retirement age under the Wyoming State Highway Patrol, Game and Fish Warden and Criminal Investigator Retirement Act; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0045
HB0046,2023-RS,Transportation,,inactive,,Wyoming public safety communications system trust fund.,AN ACT relating to public safety communications; creating the Wyoming public safety communications system trust fund to be administered by the state treasurer; authorizing the receipt of donations and gifts; authorizing distribution of investment earnings; amending permissible state investments; providing for a continuous appropriation; providing an appropriation; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0046
HB0047,2023-RS,Corporations,,enrolled,CH0122,Election equipment-federal certification.,AN ACT relating to elections; codifying the secretary of state's rules for certification of electronic voting systems; providing a definition of vendor; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0047
HB0048,2023-RS,Travel,,inactive,,Active transportation and recreation grant program.,"AN ACT relating to public health; authorizing grants for projects that increase trails, routes or pathways for bicycling, walking or horseback riding; providing an appropriation; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0048
HB0049,2023-RS,Corporations,,inactive,,Municipal nonpartisan rank choice elections.,AN ACT relating to municipal elections; creating a pilot program authorizing municipalities to conduct nonpartisan ranked-choice elections as specified; making conforming amendments; requiring rulemaking; specifying applicability; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0049
HB0050,2023-RS,Minerals,,enrolled,CH0012,Solid waste cease and transfer program funding.,AN ACT relating to the prioritization of municipal solid waste facilities cease and transfer projects; authorizing expenditure of previously appropriated funds; establishing a prioritized list of projects; establishing a maximum amount to be expended on projects; granting the department of environmental quality limited discretionary authority to modify the prioritized list; specifying expenditures for a carcass management project; providing definitions; requiring reports; repealing a prior list of priority cease and transfer projects; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0050
HB0051,2023-RS,Mgt Council,,inactive,,Legislator constituent service allowance.,AN ACT relating to the legislature; increasing the quarterly legislator constituent service allowance; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0051
HB0052,2023-RS,Mgt Council,,enrolled,CH0160,Revisor's bill.,AN ACT relating to the revision of statutes and other legislative enactments; correcting statutory references and language resulting from inadvertent errors and omissions in previously adopted legislation; amending obsolete references; repealing obsolete provisions; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0052
HB0053,2023-RS,Mgt Council,,inactive,,State officials' compensation commission.,AN ACT relating to state officials; creating the independent commission on state officials' compensation; providing for the appointment of members; providing for terms of members on the commission; providing for reports; providing an appropriation; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0053
HB0054,2023-RS,Representative Sommers,Senator Baldwin,inactive,,Homestead exemption.,AN ACT relating to taxation; establishing a homestead exemption for primary residences; providing a penalty for false claims; providing a sunset date; providing an appropriation; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0054
HB0055,2023-RS,Corporations,,inactive,,Election ballot order and party affiliation.,AN ACT relating to elections; amending the process to determine the position of candidates on the general election ballot; allowing independent candidates to list a party affiliation; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0055
HB0056,2023-RS,Representative Brown,Representative Andrew; Representative Harshman; Representative Henderson; Representative Neiman; Representative Northrup; Representative O'Hearn; Senator Barlow; Senator Boner; Senator Ellis,enrolled,CH0075,Purple star schools.,AN ACT relating to education; providing for the designation of purple star schools that take specific actions to assist military connected students; specifying requirements for purple star schools; providing rulemaking authority; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0056
HB0057,2023-RS,Representative Brown,Representative Crago; Representative Knapp; Representative Niemiec; Representative Oakley; Representative Pendergraft; Senator Baldwin; Senator Barlow; Senator Salazar,enrolled,CH0048,Armed forces-amendments.,AN ACT relating to defense forces and affairs; adopting uniform definitions of armed forces and uniformed services to align with federal law; expanding uniformed service members entitled to participate in programs under state law; making conforming amendments; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0057
HB0058,2023-RS,Revenue,,inactive,,Cigarette tax.,AN ACT relating to tobacco tax; increasing the tax rate on cigarettes; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0058
HB0059,2023-RS,Transportation,,enrolled,CH0127,Wyoming national guard tuition benefits.,AN ACT relating to defense forces and affairs; extending existing educational assistance benefits for Wyoming national guard members in exchange for additional service commitments; allowing transfer of educational assistance benefits to spouses and dependents; correcting terminology; providing appropriations; authorizing a full-time position; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0059
HB0060,2023-RS,Representative Sommers,Senator Hicks,inactive,,Colorado river authority.,AN ACT relating to water; establishing the Colorado River authority within the office of state engineer; establishing the river commissioner; providing the powers and duties of the authority and the commissioner; providing rulemaking authority; specifying duties of the attorney general; authorizing employees; making conforming changes; specifying initial terms of authority members; providing an appropriation; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0060
HB0061,2023-RS,Minerals,,enrolled,CH0046,Source material associated with mining-agreement.,AN ACT relating to environmental quality; authorizing the governor to begin negotiations with the nuclear regulatory commission to seek an agreement for the state to assume regulation of source material recovered from any mineral resources processed primarily for purposes other than obtaining the source material content; authorizing the governor to negotiate and enter into a final agreement with the nuclear regulatory commission; providing definitions; providing for the department of environmental quality to administer the agreement; providing rulemaking authority; requiring the department of environmental quality to adopt fees as specified; making conforming amendments; providing an appropriation; authorizing positions; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0061
HB0062,2023-RS,Minerals,,enrolled,CH0087,Open banking.,AN ACT relating to banking; authorizing state chartered banks to participate in open banking as specified; providing definitions; requiring rulemaking; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0062
HB0063,2023-RS,Corporations,,inactive,,Vacancies in elected office.,AN ACT relating to elections; amending procedures for filling vacancies in specified federal and state offices; requiring special elections as specified if more than half of the term of the office remains at the time of the vacancy; making conforming amendments; repealing provisions; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0063
HB0064,2023-RS,Cap Fin & Inv,,enrolled,CH0165,Legislative stabilization reserve account-obligations.,AN ACT relating to public funds; amending or eliminating unnecessary or obsolete borrowing authority or guarantees from the legislative stabilization reserve account as specified; repealing interfund loan authority for the unemployment compensation fund; repealing borrowing authority for the department of administration and information for purposes of school districts joining the state employees' and officials' group insurance plan; amending the source and amount of loans for the department of transportation as specified; making conforming amendments; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0064
HB0065,2023-RS,Revenue,,enrolled,CH0070,988 suicide prevention.,AN ACT relating to suicide prevention; establishing the 988 system for suicide prevention and mental health crises; providing requirements for the 988 system; establishing duties of the department of health; providing rulemaking authority; providing for an advisory board; establishing the 988 trust fund and a related reserve account; providing for allocation of funds within and between the accounts; specifying immunity for telecommunications providers; specifying confidentiality of information; providing for implementation of the act; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0065
HB0066,2023-RS,Representative Ward,Representative Allemand; Representative Angelos; Representative Banks; Representative Haroldson; Representative Hornok; Representative Knapp; Representative Locke; Representative Ottman; Representative Penn; Representative Rodriguez-Williams; Representative Slagle; Representative Smith; Representative Strock; Representative Styvar; Representative Winter; Senator Hutchings; Senator Salazar,inactive,,"Prohibiting mask, vaccine and testing discrimination.","AN ACT relating to public health and safety; prohibiting discrimination and publishing or advertising based on a person's vaccination, face covering or medical testing status as specified; providing a criminal penalty; providing definitions; making conforming amendments; repealing immunization requirements; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0066
HB0067,2023-RS,Representative Styvar,Representative Bear; Representative Jennings; Representative Penn; Representative Ward; Senator Boner; Senator Hutchings; Senator Salazar,enrolled,CH0125,Special license plate decals-women veterans.,AN ACT relating to motor vehicles; providing for a decal designating a woman veteran to attach to a veteran's special license plate; making clarifying amendments; providing for a decal fee; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0067
HB0068,2023-RS,Representative Henderson,Representative Northrup; Senator Schuler,inactive,,School zone crosswalks.,AN ACT relating to motor vehicles; requiring vehicles to stop for pedestrians in school zone crosswalks as specified; authorizing video systems within school zones; providing for the use of video obtained from the video systems; providing a penalty; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0068
HB0069,2023-RS,"Representative Larsen, L",Representative Knapp; Senator Barlow; Senator Dockstader,enrolled,CH0006,Coal-fired facility closures litigation funding-amendments.,AN ACT relating to the administration of government; continuing the coal-fired facility closures litigation funding account; amending permissible purposes and uses for the coal-fired facility closures litigation funding account for commencing and prosecuting lawsuits against states relating to coal exportation and coal-fired electric generation facilities; making conforming amendments; requiring reports; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0069
HB0070,2023-RS,Representative Neiman,Representative Allemand; Representative Andrew; Representative Banks; Representative Bear; Representative Byron; Representative Crago; Representative Haroldson; Representative Heiner; Representative Jennings; Representative Knapp; Representative Oakley; Representative Pendergraft; Representative Rodriguez-Williams; Representative Smith; Representative Strock; Representative Tarver; Representative Ward; Senator Baldwin; Senator Barlow; Senator Boner; Senator Bouchard; Senator Brennan; Senator Cooper; Senator Driskill; Senator Gierau; Senator Hicks; Senator McKeown; Senator Salazar; Senator Steinmetz,enrolled,CH0016,Definition of home-based educational program.,AN ACT relating to education; modifying the definition of home-based educational program; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0070
HB0071,2023-RS,Representative Brown,Representative Andrew; Representative Olsen; Representative Styvar; Senator Salazar; Senator Schuler,inactive,,Sales tax holiday-back to school.,AN ACT relating to sales and use taxes; providing for a back to school sales and use tax holiday; specifying items that are and are not subject to the tax holiday exemption; providing rulemaking authority; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0071
HB0072,2023-RS,Representative Brown,Representative Nicholas; Representative Niemiec; Senator Driskill,inactive,,Sales tax revisions.,AN ACT relating to sales and use tax; providing that the sales tax shall apply to sales of specified services; reducing the sales and use tax rates; repealing the sales tax exemption on food for domestic home consumption; authorizing counties to hold an election to exempt from local excise taxes on food for domestic home consumption; repealing additional sales and use tax exemptions; making conforming amendments; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0072
HB0073,2023-RS,Representative Styvar,Representative Jennings; Representative Neiman; Senator Hutchings,inactive,,Annexation-vote requirement.,AN ACT relating to cities and towns; requiring written approval from a simple majority of all landowners owning a parcel of the land in an area before annexation into a municipality; modifying notice requirements to landowners; specifying applicability; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0073
HB0074,2023-RS,Travel,,enrolled,CH0153,Wyoming outdoor recreation and tourism trust fund.,AN ACT relating to state lands; creating a Wyoming outdoor recreation and tourism trust fund account; providing funding for the trust account; providing an appropriation; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0074
HB0075,2023-RS,Representative Banks,Representative Allemand; Representative Crago; Representative Slagle; Senator Driskill; Senator Schuler,inactive,,Painted fence posts-no trespassing.,AN ACT relating to crimes and offenses; specifying how property may be designated to prevent trespass by use of fluorescent orange or fluorescent pink paint; requiring the game and fish commission and the department of state parks and cultural resources to inform permittees concerning trespassing and rights-of-way through private land; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0075
HB0076,2023-RS,"Representative Zwonitzer, Dn",Representative Andrew; Representative Banks; Representative Harshman; Representative Lawley; Representative Newsome; Representative Olsen; Representative Ottman; Representative Trujillo; Senator Baldwin; Senator Landen,enrolled,CH0163,Licensing boards amendments.,AN ACT relating to professions and occupations; removing a requirement that examinations for cosmetology and related licensure be conducted by the state board of cosmetology; reducing the number of practice years required for a license to practice veterinary medicine without an examination; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0076
HB0077,2023-RS,Representative Harshman,Representative Allred; Representative Andrew; Representative Berger; Representative Brown; Representative Lawley; Representative Provenza; Senator Rothfuss; Senator Schuler,inactive,,School finance-average daily membership.,AN ACT relating to school finance; modifying the definition of average daily membership as specified; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0077
HB0078,2023-RS,Representative Stith,Representative Haroldson; Representative Neiman; Representative Olsen; Representative Wylie; Senator Kinskey; Senator Schuler; Senator Steinmetz,inactive,,Protection of parental rights.,AN ACT relating to parental rights; specifying applicability of parental rights protections; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0078
HB0079,2023-RS,Representative Crago,Representative Olsen; Representative Washut; Senator Barlow; Senator Hutchings; Senator Kinskey,enrolled,CH0064,Voter I.D. requirements.,AN ACT relating to elections; providing that a concealed carry permit is acceptable identification for purposes of in-person voter identification requirements; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0079
HB0080,2023-RS,Revenue,,inactive,,Medical treatment opportunity act-Medicaid reform.,AN ACT relating to Medicaid; providing for the expansion of Medicaid eligibility; limiting the continued expansion of Medicaid eligibility as specified; repealing prior authorizations; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0080
