bill_number,session,primary_sponsor,cosponsors,status,chapter_num,shortTitle,title,bill_url
SF0064,2024-RS,Fed Nat Res,,inactive,,Mineral royalties-proportional severance tax refunds.,"AN ACT relating to severance taxes; establishing severance tax refunds for specified oil, gas and coal severance taxes based on increased federal mineral royalty rates; authorizing the transfer of government royalty revenue as specified; providing for distribution of the state's share of specified federal mineral royalties; providing for severance tax and ad valorem distributions from federal mineral royalties as specified; requiring rulemaking; providing an appropriation; and providing for effective dates.",https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0064
SF0065,2024-RS,Water,,inactive,,Temporary water use agreements amendments.,AN ACT relating to water; amending temporary water rights as specified; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0065
SF0066,2024-RS,Water,,enrolled,CH0049,Water exchange amendments.,AN ACT relating to water; clarifying that water rights are not lost in an exchange as specified; clarifying the applicable source of water in an exchange; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0066
SF0067,2024-RS,Appropriations,,enrolled,,Public employee retirement plan-contributions.,AN ACT relating to public employee retirement; increasing the employer and employee contributions for the public employee retirement plan; specifying how increased employee contributions shall be paid; removing obsolete language; providing appropriations; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0067
SF0068,2024-RS,Senator McKeown,,inactive,,Tangible personal property-tax exemption.,AN ACT relating to property taxes; providing a property tax exemption for tangible personal property; specifying applicability; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0068
SF0069,2024-RS,Senator Landen,Representative Chadwick; Representative Clouston; Representative Harshman; Representative Walters; Senator Anderson; Senator Baldwin; Senator Barlow; Senator Nethercott,enrolled,CH0103,Hospice care reimbursements.,AN ACT relating to welfare; increasing the Medicaid reimbursement rate for hospice care as specified; providing an appropriation; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0069
SF0070,2024-RS,Cap Fin & Inv,,inactive,,Investment modernization-state nonpermanent funds-2.,AN ACT relating to public funds; amending specified statutory funds to remove their inviolate status in order to enhance their investment potential; establishing spending policies for specified statutory funds; providing for the investment of specified statutory funds; redirecting the deposit of investment earnings into the corpuses of specified statutory funds; removing specified statutory funds from the pool A investment account; making conforming amendments; repealing inconsistent statutory provisions; repealing obsolete statutory provisions; providing for the treatment of prior deposits; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0070
SF0071,2024-RS,Appropriations,,inactive,,Salaries and allowances for judges-amendments.,AN ACT relating to courts; amending the salaries of judges and justices to reflect salaries adopted in the 2023 general session; striking obsolete provisions; authorizing the award of cost-of-living assistance to judges and justices as specified; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0071
SF0072,2024-RS,Senator Case,,inactive,,Utility donations.,AN ACT relating to public utilities; requiring that the public service commission prohibit rate recovery of all costs resulting from voluntary donations by a utility; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0072
SF0073,2024-RS,Senator Barlow,Representative Conrad; Representative Crago; Representative Niemiec; Representative Provenza; Senator Cooper; Senator Nethercott,enrolled,CH0114,Concealed firearms-permit eligibility.,AN ACT relating to weapons; amending the eligibility requirements for a person to receive a permit to carry a concealed firearm as specified; specifying applicability; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0073
