bill_number,session,action_date,chamber,action,voteid,order
HB0004,2023-RS,2023-02-06,House,H COW:Passed,,8
HB0004,2023-RS,2023-01-17,House,H Placed on General File,,7
HB0004,2023-RS,2023-01-17,House,H02 - Appropriations:Recommend Do Pass 7-0-0-0-0,-115,6
HB0004,2023-RS,2023-01-13,House,:Rerefer to H02 - Appropriations,,5
HB0004,2023-RS,2023-01-13,House,H10 - Labor:Recommend Amend and Do Pass 5-4-0-0-0,-58,4
HB0004,2023-RS,2023-01-10,House,H Introduced and Referred to H10 - Labor,,3
HB0004,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0004,2023-RS,2022-11-30,LSO,Bill Number Assigned,,1
HB0005,2023-RS,2023-02-21,LSO,Assigned Chapter Number 67,,22
HB0005,2023-RS,2023-02-21,Governor,Governor Signed HEA No. 0030,,21
HB0005,2023-RS,2023-02-17,Senate,S President Signed HEA No. 0030,,20
HB0005,2023-RS,2023-02-16,House,H Speaker Signed HEA No. 0030,,19
HB0005,2023-RS,2023-02-15,LSO,Assigned Number HEA No. 0030,,18
HB0005,2023-RS,2023-02-15,House,H Concur:Passed 55-0-7-0-0,5473,17
HB0005,2023-RS,2023-02-14,House,H Received for Concurrence,,16
HB0005,2023-RS,2023-02-14,Senate,S 3rd Reading:Passed 31-0-0-0-0,906,15
HB0005,2023-RS,2023-02-13,Senate,S 2nd Reading:Passed,,14
HB0005,2023-RS,2023-02-09,Senate,S COW:Passed,,13
HB0005,2023-RS,2023-02-09,Senate,S Placed on General File,,12
HB0005,2023-RS,2023-02-09,Senate,S07 - Corporations:Recommend Amend and Do Pass 4-1-0-0-0,-612,11
HB0005,2023-RS,2023-02-02,Senate,S Introduced and Referred to S07 - Corporations,,10
HB0005,2023-RS,2023-01-17,Senate,S Received for Introduction,,9
HB0005,2023-RS,2023-01-17,House,H 3rd Reading:Passed 60-0-2-0-0,5042,8
HB0005,2023-RS,2023-01-16,House,H 2nd Reading:Passed,,7
HB0005,2023-RS,2023-01-13,House,H COW:Passed,,6
HB0005,2023-RS,2023-01-12,House,H Placed on General File,,5
HB0005,2023-RS,2023-01-12,House,H07 - Corporations:Recommend Amend and Do Pass 9-0-0-0-0,-27,4
HB0005,2023-RS,2023-01-10,House,H Introduced and Referred to H07 - Corporations,,3
HB0005,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0005,2023-RS,2022-11-30,LSO,Bill Number Assigned,,1
HB0006,2023-RS,2023-02-07,House,H:Died in Committee Returned Bill Pursuant to HR 5-4,,6
HB0006,2023-RS,2023-02-07,House,H No report prior to CoW Cutoff,,5
HB0006,2023-RS,2023-01-12,House,H07 - Corporations:Do Pass Failed 3-6-0-0-0,-29,4
HB0006,2023-RS,2023-01-10,House,H Introduced and Referred to H07 - Corporations,,3
HB0006,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0006,2023-RS,2022-11-30,LSO,Bill Number Assigned,,1
HB0007,2023-RS,2023-02-23,LSO,Assigned Chapter Number 73,,24
HB0007,2023-RS,2023-02-23,Governor,Governor Signed HEA No. 0044,,23
HB0007,2023-RS,2023-02-22,Senate,S President Signed HEA No. 0044,,22
HB0007,2023-RS,2023-02-21,House,H Speaker Signed HEA No. 0044,,21
HB0007,2023-RS,2023-02-17,LSO,Assigned Number HEA No. 0044,,20
HB0007,2023-RS,2023-02-17,House,H Concur:Passed 40-21-1-0-0,5497,19
HB0007,2023-RS,2023-02-17,House,H Received for Concurrence,,18
HB0007,2023-RS,2023-02-16,Senate,S 3rd Reading:Passed 23-7-1-0-0,978,17
HB0007,2023-RS,2023-02-15,Senate,S 3rd Reading:Laid Back,,16
HB0007,2023-RS,2023-02-14,Senate,S 2nd Reading:Passed,,15
HB0007,2023-RS,2023-02-13,Senate,S 2nd Reading:Laid Back,,14
HB0007,2023-RS,2023-02-09,Senate,S COW:Passed,,13
HB0007,2023-RS,2023-02-09,Senate,S Placed on General File,,12
HB0007,2023-RS,2023-02-09,Senate,S07 - Corporations:Recommend Do Pass 4-0-1-0-0,-603,11
HB0007,2023-RS,2023-02-02,Senate,S Introduced and Referred to S07 - Corporations,,10
HB0007,2023-RS,2023-01-24,Senate,S Received for Introduction,,9
HB0007,2023-RS,2023-01-20,House,H 3rd Reading:Passed 36-25-1-0-0,5149,8
HB0007,2023-RS,2023-01-19,House,H 2nd Reading:Passed,,7
HB0007,2023-RS,2023-01-18,House,H COW:Passed,,6
HB0007,2023-RS,2023-01-17,House,H Placed on General File,,5
HB0007,2023-RS,2023-01-17,House,H03 - Revenue:Recommend Do Pass 6-3-0-0-0,-116,4
HB0007,2023-RS,2023-01-13,House,H Introduced and Referred to H03 - Revenue,,3
HB0007,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0007,2023-RS,2022-11-30,LSO,Bill Number Assigned,,1
HB0008,2023-RS,2023-02-07,House,H:Died in Committee Returned Bill Pursuant to HR 5-4,,5
HB0008,2023-RS,2023-02-07,House,H No report prior to CoW Cutoff,,4
HB0008,2023-RS,2023-01-17,House,H Introduced and Referred to H10 - Labor,,3
HB0008,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0008,2023-RS,2022-12-01,LSO,Bill Number Assigned,,1
HB0009,2023-RS,2023-03-02,LSO,Assigned Chapter Number 150,,24
HB0009,2023-RS,2023-03-02,Governor,Governor Signed HEA No. 0071,,23
HB0009,2023-RS,2023-02-27,Senate,S President Signed HEA No. 0071,,22
HB0009,2023-RS,2023-02-27,House,H Speaker Signed HEA No. 0071,,21
HB0009,2023-RS,2023-02-24,LSO,Assigned Number HEA No. 0071,,20
HB0009,2023-RS,2023-02-15,Senate,S Appointed JCC01 Members,,19
HB0009,2023-RS,2023-02-14,House,H Appointed JCC01 Members,,18
HB0009,2023-RS,2023-02-14,House,H Concur:Failed 0-59-3-0-0,5452,17
HB0009,2023-RS,2023-02-13,House,H Received for Concurrence,,16
HB0009,2023-RS,2023-02-13,Senate,S 3rd Reading:Passed 31-0-0-0-0,878,15
HB0009,2023-RS,2023-02-09,Senate,S 2nd Reading:Passed,,14
HB0009,2023-RS,2023-02-08,Senate,S COW:Passed,,13
HB0009,2023-RS,2023-02-08,Senate,S Placed on General File,,12
HB0009,2023-RS,2023-02-08,Senate,S01 - Judiciary:Recommend Do Pass 5-0-0-0-0,-580,11
HB0009,2023-RS,2023-02-02,Senate,S Introduced and Referred to S01 - Judiciary,,10
HB0009,2023-RS,2023-01-17,Senate,S Received for Introduction,,9
HB0009,2023-RS,2023-01-16,House,H 3rd Reading:Passed 59-2-1-0-0,5028,8
HB0009,2023-RS,2023-01-13,House,H 2nd Reading:Passed,,7
HB0009,2023-RS,2023-01-12,House,H COW:Passed,,6
HB0009,2023-RS,2023-01-11,House,H Placed on General File,,5
HB0009,2023-RS,2023-01-11,House,H01 - Judiciary:Recommend Amend and Do Pass 9-0-0-0-0,-13,4
HB0009,2023-RS,2023-01-10,House,H Introduced and Referred to H01 - Judiciary,,3
HB0009,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0009,2023-RS,2022-12-02,LSO,Bill Number Assigned,,1
HB0010,2023-RS,2023-02-15,LSO,Assigned Chapter Number 13,,20
HB0010,2023-RS,2023-02-15,Governor,Governor Signed HEA No. 0010,,19
HB0010,2023-RS,2023-02-14,Senate,S President Signed HEA No. 0010,,18
HB0010,2023-RS,2023-02-13,House,H Speaker Signed HEA No. 0010,,17
HB0010,2023-RS,2023-02-09,LSO,Assigned Number HEA No. 0010,,16
HB0010,2023-RS,2023-02-09,Senate,S 3rd Reading:Passed 29-2-0-0-0,844,15
HB0010,2023-RS,2023-02-08,Senate,S 2nd Reading:Passed,,14
HB0010,2023-RS,2023-02-07,Senate,S COW:Passed,,13
HB0010,2023-RS,2023-02-07,Senate,S Placed on General File,,12
HB0010,2023-RS,2023-02-07,Senate,S06 - Travel:Recommend Do Pass 5-0-0-0-0,-554,11
HB0010,2023-RS,2023-02-02,Senate,S Introduced and Referred to S06 - Travel,,10
HB0010,2023-RS,2023-01-24,Senate,S Received for Introduction,,9
HB0010,2023-RS,2023-01-24,House,H 3rd Reading:Passed 60-1-1-0-0,5164,8
HB0010,2023-RS,2023-01-20,House,H 2nd Reading:Passed,,7
HB0010,2023-RS,2023-01-19,House,H COW:Passed,,6
HB0010,2023-RS,2023-01-18,House,H Placed on General File,,5
HB0010,2023-RS,2023-01-18,House,H01 - Judiciary:Recommend Amend and Do Pass 9-0-0-0-0,-145,4
HB0010,2023-RS,2023-01-11,House,H Introduced and Referred to H01 - Judiciary,,3
HB0010,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0010,2023-RS,2022-12-02,LSO,Bill Number Assigned,,1
HB0011,2023-RS,2023-03-02,LSO,Assigned Chapter Number 136,,24
HB0011,2023-RS,2023-03-02,Governor,Governor Signed HEA No. 0072,,23
HB0011,2023-RS,2023-02-27,Senate,S President Signed HEA No. 0072,,22
HB0011,2023-RS,2023-02-27,House,H Speaker Signed HEA No. 0072,,21
HB0011,2023-RS,2023-02-27,LSO,Assigned Number HEA No. 0072,,20
HB0011,2023-RS,2023-02-27,Senate,S 3rd Reading:Passed 29-2-0-0-0,1157,19
HB0011,2023-RS,2023-02-24,Senate,S 2nd Reading:Passed,,18
HB0011,2023-RS,2023-02-23,Senate,S COW:Passed,,17
HB0011,2023-RS,2023-02-23,Senate,S Placed on General File,,16
HB0011,2023-RS,2023-02-23,Senate,S02 - Appropriations:Recommend Do Pass 5-0-0-0-0,-823,15
HB0011,2023-RS,2023-02-22,Senate,:Rerefer to S02 - Appropriations,,14
HB0011,2023-RS,2023-02-22,Senate,S05 - Agriculture:Recommend Do Pass 5-0-0-0-0,-795,13
HB0011,2023-RS,2023-02-16,Senate,S Introduced and Referred to S05 - Agriculture,,12
HB0011,2023-RS,2023-01-27,Senate,S Received for Introduction,,11
HB0011,2023-RS,2023-01-20,House,H 3rd Reading:Passed 60-1-1-0-0,5143,10
HB0011,2023-RS,2023-01-19,House,H 2nd Reading:Passed,,9
HB0011,2023-RS,2023-01-18,House,H COW:Passed,,8
HB0011,2023-RS,2023-01-17,House,H Placed on General File,,7
HB0011,2023-RS,2023-01-17,House,H02 - Appropriations:Recommend Do Pass 7-0-0-0-0,-112,6
HB0011,2023-RS,2023-01-13,House,:Rerefer to H02 - Appropriations,,5
HB0011,2023-RS,2023-01-13,House,H01 - Judiciary:Recommend Do Pass 9-0-0-0-0,-54,4
HB0011,2023-RS,2023-01-11,House,H Introduced and Referred to H01 - Judiciary,,3
HB0011,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0011,2023-RS,2022-12-02,LSO,Bill Number Assigned,,1
HB0012,2023-RS,2023-02-15,LSO,Assigned Chapter Number 14,,20
HB0012,2023-RS,2023-02-15,Governor,Governor Signed HEA No. 0009,,19
HB0012,2023-RS,2023-02-14,Senate,S President Signed HEA No. 0009,,18
HB0012,2023-RS,2023-02-13,House,H Speaker Signed HEA No. 0009,,17
HB0012,2023-RS,2023-02-09,LSO,Assigned Number HEA No. 0009,,16
HB0012,2023-RS,2023-02-09,Senate,S 3rd Reading:Passed 24-7-0-0-0,845,15
HB0012,2023-RS,2023-02-08,Senate,S 2nd Reading:Passed,,14
HB0012,2023-RS,2023-02-07,Senate,S COW:Passed,,13
HB0012,2023-RS,2023-02-07,Senate,S Placed on General File,,12
HB0012,2023-RS,2023-02-07,Senate,S06 - Travel:Recommend Do Pass 5-0-0-0-0,-555,11
HB0012,2023-RS,2023-02-02,Senate,S Introduced and Referred to S06 - Travel,,10
HB0012,2023-RS,2023-01-19,Senate,S Received for Introduction,,9
HB0012,2023-RS,2023-01-19,House,H 3rd Reading:Passed 35-25-2-0-0,5108,8
HB0012,2023-RS,2023-01-18,House,H 2nd Reading:Passed,,7
HB0012,2023-RS,2023-01-17,House,H COW:Passed,,6
HB0012,2023-RS,2023-01-16,House,H Placed on General File,,5
HB0012,2023-RS,2023-01-16,House,H01 - Judiciary:Recommend Do Pass 7-2-0-0-0,-87,4
HB0012,2023-RS,2023-01-12,House,H Introduced and Referred to H01 - Judiciary,,3
HB0012,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0012,2023-RS,2022-12-02,LSO,Bill Number Assigned,,1
HB0013,2023-RS,2023-02-21,LSO,Assigned Chapter Number 63,,22
HB0013,2023-RS,2023-02-21,Governor,Governor Signed HEA No. 0024,,21
HB0013,2023-RS,2023-02-16,Senate,S President Signed HEA No. 0024,,20
HB0013,2023-RS,2023-02-15,House,H Speaker Signed HEA No. 0024,,19
HB0013,2023-RS,2023-02-15,LSO,Assigned Number HEA No. 0024,,18
HB0013,2023-RS,2023-02-14,House,H Concur:Passed 60-0-2-0-0,5453,17
HB0013,2023-RS,2023-02-13,House,H Received for Concurrence,,16
HB0013,2023-RS,2023-02-13,Senate,S 3rd Reading:Passed 31-0-0-0-0,879,15
HB0013,2023-RS,2023-02-09,Senate,S 2nd Reading:Passed,,14
HB0013,2023-RS,2023-02-08,Senate,S COW:Passed,,13
HB0013,2023-RS,2023-02-08,Senate,S Placed on General File,,12
HB0013,2023-RS,2023-02-08,Senate,S01 - Judiciary:Recommend Amend and Do Pass 5-0-0-0-0,-581,11
HB0013,2023-RS,2023-02-02,Senate,S Introduced and Referred to S01 - Judiciary,,10
HB0013,2023-RS,2023-01-16,Senate,S Received for Introduction,,9
HB0013,2023-RS,2023-01-16,House,H 3rd Reading:Passed 61-0-1-0-0,5029,8
HB0013,2023-RS,2023-01-13,House,H 2nd Reading:Passed,,7
HB0013,2023-RS,2023-01-12,House,H COW:Passed,,6
HB0013,2023-RS,2023-01-11,House,H Placed on General File,,5
HB0013,2023-RS,2023-01-11,House,H01 - Judiciary:Recommend Do Pass 9-0-0-0-0,-14,4
HB0013,2023-RS,2023-01-10,House,H Introduced and Referred to H01 - Judiciary,,3
HB0013,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0013,2023-RS,2022-12-02,LSO,Bill Number Assigned,,1
HB0014,2023-RS,2023-03-09,LSO,Assigned Chapter Number 161,,31
HB0014,2023-RS,2023-03-09,Governor,Governor Signed HEA No. 0089,,30
HB0014,2023-RS,2023-03-03,Senate,S President Signed HEA No. 0089,,29
HB0014,2023-RS,2023-03-02,House,H Speaker Signed HEA No. 0089,,28
HB0014,2023-RS,2023-03-02,LSO,Assigned Number HEA No. 0089,,27
HB0014,2023-RS,2023-02-27,Senate,Pursuant to JR 2-1(c):S Appointed JCC02 Members,,26
HB0014,2023-RS,2023-02-24,House,Pursuant to JR 2-1(c): H Appointed JCC02 Members,,25
HB0014,2023-RS,2023-02-15,Senate,S Appointed JCC01 Members,,24
HB0014,2023-RS,2023-02-14,House,H Appointed JCC01 Members,,23
HB0014,2023-RS,2023-02-14,House,H Concur:Failed 8-53-1-0-0,5454,22
HB0014,2023-RS,2023-02-13,House,H Received for Concurrence,,21
HB0014,2023-RS,2023-02-13,Senate,S 3rd Reading:Passed 21-10-0-0-0,880,20
HB0014,2023-RS,2023-02-09,Senate,S 2nd Reading:Passed,,19
HB0014,2023-RS,2023-02-08,Senate,S COW:Passed,,18
HB0014,2023-RS,2023-02-08,Senate,S Placed on General File,,17
HB0014,2023-RS,2023-02-08,Senate,S02 - Appropriations:Recommend Do Pass 4-1-0-0-0,-576,16
HB0014,2023-RS,2023-02-06,Senate,:Rerefer to S02 - Appropriations,,15
HB0014,2023-RS,2023-02-06,Senate,S01 - Judiciary:Recommend Amend and Do Pass 5-0-0-0-0,-537,14
HB0014,2023-RS,2023-01-31,Senate,S Introduced and Referred to S01 - Judiciary,,13
HB0014,2023-RS,2023-01-27,Senate,S Received for Introduction,,12
HB0014,2023-RS,2023-01-20,House,H 3rd Reading:Passed 35-26-1-0-0,5144,11
HB0014,2023-RS,2023-01-19,House,H 2nd Reading:Passed,,10
HB0014,2023-RS,2023-01-18,House,H COW:Passed,,9
HB0014,2023-RS,2023-01-17,House,H Placed on General File,,8
HB0014,2023-RS,2023-01-17,House,H02 - Appropriations:Recommend Do Pass 7-0-0-0-0,-113,7
HB0014,2023-RS,2023-01-17,House,H COW:Rerefer to H02 - Appropriations,,6
HB0014,2023-RS,2023-01-16,House,H Placed on General File,,5
HB0014,2023-RS,2023-01-16,House,H01 - Judiciary:Recommend Do Pass 6-3-0-0-0,-88,4
HB0014,2023-RS,2023-01-12,House,H Introduced and Referred to H01 - Judiciary,,3
HB0014,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0014,2023-RS,2022-12-02,LSO,Bill Number Assigned,,1
HB0015,2023-RS,2023-02-21,LSO,Assigned Chapter Number 65,,23
HB0015,2023-RS,2023-02-21,Governor,Governor Signed HEA No. 0029,,22
HB0015,2023-RS,2023-02-17,Senate,S President Signed HEA No. 0029,,21
HB0015,2023-RS,2023-02-16,House,H Speaker Signed HEA No. 0029,,20
HB0015,2023-RS,2023-02-15,LSO,Assigned Number HEA No. 0029,,19
HB0015,2023-RS,2023-02-15,House,H Concur:Passed 44-10-8-0-0,5475,18
HB0015,2023-RS,2023-02-14,House,H Received for Concurrence,,17
HB0015,2023-RS,2023-02-14,Senate,S 3rd Reading:Passed 24-7-0-0-0,912,16
HB0015,2023-RS,2023-02-13,Senate,S 2nd Reading:Passed,,15
HB0015,2023-RS,2023-02-09,Senate,S COW:Passed,,14
HB0015,2023-RS,2023-02-09,Senate,S Placed on General File,,13
HB0015,2023-RS,2023-02-09,Senate,S06 - Travel:Recommend Do Pass 5-0-0-0-0,-598,12
HB0015,2023-RS,2023-02-03,Senate,:Refer to S06 - Travel,,11
HB0015,2023-RS,2023-01-31,Senate,S Introduced and Referred to S01 - Judiciary,,10
HB0015,2023-RS,2023-01-25,Senate,S Received for Introduction,,9
HB0015,2023-RS,2023-01-24,House,H 3rd Reading:Passed 39-22-1-0-0,5165,8
HB0015,2023-RS,2023-01-20,House,H 2nd Reading:Passed,,7
HB0015,2023-RS,2023-01-19,House,H COW:Passed,,6
HB0015,2023-RS,2023-01-18,House,H Placed on General File,,5
HB0015,2023-RS,2023-01-18,House,H01 - Judiciary:Recommend Do Pass 7-2-0-0-0,-141,4
HB0015,2023-RS,2023-01-13,House,H Introduced and Referred to H01 - Judiciary,,3
HB0015,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0015,2023-RS,2022-12-02,LSO,Bill Number Assigned,,1
HB0016,2023-RS,2023-02-27,LSO,Assigned Chapter Number 120,,24
HB0016,2023-RS,2023-02-27,Governor,Governor Signed HEA No. 0059,,23
HB0016,2023-RS,2023-02-23,Senate,S President Signed HEA No. 0059,,22
HB0016,2023-RS,2023-02-22,House,H Speaker Signed HEA No. 0059,,21
HB0016,2023-RS,2023-02-22,LSO,Assigned Number HEA No. 0059,,20
HB0016,2023-RS,2023-02-15,Senate,S Appointed JCC01 Members,,19
HB0016,2023-RS,2023-02-14,House,H Appointed JCC01 Members,,18
HB0016,2023-RS,2023-02-14,House,H Concur:Failed 0-61-1-0-0,5455,17
HB0016,2023-RS,2023-02-13,House,H Received for Concurrence,,16
HB0016,2023-RS,2023-02-13,Senate,S 3rd Reading:Passed 29-0-0-0-2,888,15
HB0016,2023-RS,2023-02-09,Senate,S 2nd Reading:Passed,,14
HB0016,2023-RS,2023-02-08,Senate,S COW:Passed,,13
HB0016,2023-RS,2023-02-08,Senate,S Placed on General File,,12
HB0016,2023-RS,2023-02-08,Senate,S05 - Agriculture:Recommend Do Pass 5-0-0-0-0,-573,11
HB0016,2023-RS,2023-01-31,Senate,S Introduced and Referred to S05 - Agriculture,,10
HB0016,2023-RS,2023-01-17,Senate,S Received for Introduction,,9
HB0016,2023-RS,2023-01-17,House,H 3rd Reading:Passed 60-0-2-0-0,5046,8
HB0016,2023-RS,2023-01-16,House,H 2nd Reading:Passed,,7
HB0016,2023-RS,2023-01-13,House,H COW:Passed,,6
HB0016,2023-RS,2023-01-12,House,H Placed on General File,,5
HB0016,2023-RS,2023-01-12,House,H05 - Agriculture:Recommend Amend and Do Pass 9-0-0-0-0,-40,4
HB0016,2023-RS,2023-01-10,House,H Introduced and Referred to H05 - Agriculture,,3
HB0016,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0016,2023-RS,2022-12-05,LSO,Bill Number Assigned,,1
HB0017,2023-RS,2023-03-09,LSO,Assigned Chapter Number 158,,24
HB0017,2023-RS,2023-03-09,Governor,Governor Signed HEA No. 0082,,23
HB0017,2023-RS,2023-03-02,Senate,S President Signed HEA No. 0082,,22
HB0017,2023-RS,2023-03-01,House,H Speaker Signed HEA No. 0082,,21
HB0017,2023-RS,2023-02-28,LSO,Assigned Number HEA No. 0082,,20
HB0017,2023-RS,2023-02-28,House,H Concur:Passed 57-5-0-0-0,5590,19
HB0017,2023-RS,2023-02-28,House,H Received for Concurrence,,18
HB0017,2023-RS,2023-02-28,Senate,S 3rd Reading:Passed 27-2-0-0-2,1185,17
HB0017,2023-RS,2023-02-27,Senate,S 3rd Reading:Laid Back,,16
HB0017,2023-RS,2023-02-24,Senate,S 3rd Reading:Laid Back,,15
HB0017,2023-RS,2023-02-23,Senate,S 2nd Reading:Passed,,14
HB0017,2023-RS,2023-02-22,Senate,S COW:Passed,,13
HB0017,2023-RS,2023-02-22,Senate,S Placed on General File,,12
HB0017,2023-RS,2023-02-22,Senate,S05 - Agriculture:Recommend Amend and Do Pass 3-2-0-0-0,-794,11
HB0017,2023-RS,2023-01-31,Senate,S Introduced and Referred to S05 - Agriculture,,10
HB0017,2023-RS,2023-01-17,Senate,S Received for Introduction,,9
HB0017,2023-RS,2023-01-17,House,H 3rd Reading:Passed 60-0-2-0-0,5043,8
HB0017,2023-RS,2023-01-16,House,H 2nd Reading:Passed,,7
HB0017,2023-RS,2023-01-13,House,H COW:Passed,,6
HB0017,2023-RS,2023-01-12,House,H Placed on General File,,5
HB0017,2023-RS,2023-01-12,House,H05 - Agriculture:Recommend Amend and Do Pass 9-0-0-0-0,-41,4
HB0017,2023-RS,2023-01-10,House,H Introduced and Referred to H05 - Agriculture,,3
