state,bill_id,term_session_title,summary,commem,comments
KS,HB2331,2023_2024|2023-2024-RS|Designating Lehigh Portland state park.,,1,"tricky, but keeping this C because designation & no visible policy impact"
KY,SB0270,2023_2024|2023-RS|AN ACT relating to state holidays.,"Amend KRS 2.147 and 18A.190 to make June 19, also known as ""Juneteenth National Freedom Day,"" a state holiday for state employees.",0,"state holiday w/day off clearly S, upgraded"
KY,HB0367,2023_2024|2023-RS|AN ACT relating to state symbols.,Amend KRS 2.091 to name and designate coal as the official rock of Kentucky; amend KRS 2.094 to name and designate chalcedony agate as the official mineral of Kentucky.,1,"designating rocks & minerals, stays at C"
KY,SB0133,2023_2024|2023-RS|AN ACT designating the state dog breed.,Create a new section of KRS Chapter 2 to designate the Treeing Walker Coonhound as the official state dog of Kentucky.,1,"designating official state dog, stays at C"
KY,HB0211,2023_2024|2023-RS|AN ACT relating to public holidays.,Amend KRS 2.110  to revise the public holidays on which public offices in the Commonwealth may be closed.,0,"upgraded, deals with dates on which offices closed"
KY,HB0218,2023_2024|2023-RS|AN ACT relating to the Honor and Remember flag.,"Create a new section of KRS Chapter 2 to define and designate the Honor and Remember flag as the state's emblem of the service and sacrifice of the brave men and women of the United States Armed Forces who have given their lives in the line of duty; specify locations, dates, and circumstances under which the flag may be displayed; and provide that if Congress designates a flag to honor those service members who have given their lives in the line of duty, then that flag shall be used instead of the one created by Honor and Remember, Inc.",1,"stays at C, honoring fallen vets, flags, desig state emblem"
KY,HB0166,2023_2024|2023-RS|AN ACT relating to state symbols.,Create a new section of KRS Chapter 2 to name and designate as the official pets of Kentucky domestic cats and dogs that reside in or have been adopted from Kentucky animal shelters or rescue organizations.,1,"stays at C, designating official pets"
KY,HB0183,2023_2024|2023-RS|AN ACT relating to state holidays.,Amend KRS 2.110 to replace the third day of June with the nineteenth of June as a public holiday to commemorate Juneteenth National Freedom Day.,0,"upgraded to S, ""public holiday"""
KY,HB0206,2023_2024|2023-RS|AN ACT relating to state holidays.,Amend KRS 2.110 to add the nineteenth day of June as a state holiday commemorating Juneteenth National Freedom Day.,0,"upgraded to S, state holiday w/day off"
KY,HB0100,2023_2024|2023-RS|AN ACT relating to the Legislative Research Commission.,"Create new sections of KRS Chapter 7 to define ""federal action,"" ""global organization action,"" and ""subcommittee"";  establish the Committee on Constitutional Enforcement; establish subcommittee membership, terms, and quorum requirements; allow the subcommittee to review and comment on any federal action or global organization action; require the subcommittee, upon its review to refer a federal action or global organization action to the Attorney General or to make a recommendation to the General Assembly to adopt a resolution urging Congress to take action if it finds the federal action or global organization action violates the Kentucky Constitution.",0,"upgraed to S, new legisl committee with new responsibility"
KY,HB0076,2023_2024|2023-RS|AN ACT relating to dates of recognition.,Create a new section of KRS Chapter 2 to annually honor dates of agricultural recognition.,1,"stays C,  ""honoring"" and ""recognition"""
KY,HB0014,2023_2024|2023-RS|AN ACT relating to special license plates.,"Create a new section of KRS Chapter 186 to create an EMS special license plate; limit eligibility to certain licensed EMS personnel or retirees with 20 years of service; specify that the EMS plate requires no minimum number of applications prior to production; amend KRS 186.162 to establish the fees for the EMS special license plate, including an additional contribution to the Kentucky EMS Memorial Foundation; amend KRS 186.166 to update the list of special license plates to be perpetually produced; EFFECTIVE January 1, 2024.",0,upgrade because providing funds for this license plate
KY,HB0028,2023_2024|2023-RS|AN ACT relating to Tuskegee Airmen Commemoration Day.,Create a new section of KRS Chapter 2 to designate the fourth Thursday in March of each year as Tuskegee Airmen Commemoration Day.,1,"designation of day, nothing is closing/changes, stays at C"
KY,HB0065,"2023_2024|2023-RS|AN ACT relating to allowing the Freedom Flag to be flown as a Flag of Remembrance each September 11, which is known as Patriots Day.",Create a new section of KRS Chapter 2 to allow the Freedom Flag to be flown as a Flag of Remembrance each September 11.,1,"stays C, deals with flying flags"
KY,HB0634,2023_2024|2024-RS|AN ACT relating to posthumous name changes.,"Amend KRS 401.010 to allow a family member of a deceased person to posthumously change the deceased person's name if the name is the result of marriage to a person arrested for or charged with committing an offense intentionally, knowingly, or wantonly, which resulted in the death of the deceased;  provide that the order of priority of family members is the same as in KRS 367.93117.",0,"weird law, but changed due to changing legal names"
KY,SB0204,2023_2024|2024-RS|AN ACT designating the state dog breed.,Create a new section of KRS Chapter 2 to designate the Treeing Walker Coonhound as the official state dog of Kentucky.,1,"stays C, designating official state dog"
KY,HB0494,2023_2024|2024-RS|AN ACT relating to state symbols.,Create a new section of KRS Chapter 2 to name and designate as the official pets of Kentucky domestic cats and dogs that reside in or have been adopted from Kentucky animal shelters or rescue organizations.,1,"stays at C, designating official pets"
KY,HB0004,2023_2024|2024-RS|AN ACT proposing to amend the Constitution of Kentucky relating to sessions of the General Assembly.,Propose to create a new section of the Constitution of Kentucky to establish that the General Assembly shall determine the date a regular session shall end unless another date is agreed upon by three-fifths of the membership of each House; establish that the General Assembly may be convened upon a Joint Proclamation of the President of the Senate and the Speaker of the House for no more than 12 legislative days annually; provide ballot language; submit to voters for ratification or rejection.,0,"upgraded, seems S, rules change, referenda to voters"
KY,SB0164,2023_2024|2024-RS|AN ACT relating to building trade professions.,"Creates a new section of KRS Chapter 198B to allow articulation agreements between licensed proprietary schools and public school districts or state area technology centers to establish academic or training equivalencies needed to obtain licensure, and to require that the Department of Housing, Buildings and Construction recognize and honor the articulation agreements toward licensure in the professions regulated by the department, including electricians, plumbers, and HVAC.",0,"upgraded, seems S, agreements between schools"
KY,HB0421,2023_2024|2024-RS|AN ACT relating to child care programs.,"Amend KRS 199.894 to define ""Child Care and Development Fund"", ""Child Care Assistance Program"" and to rename and redefine the family child-care home program to the ""family, friend, and neighbor child-care home""; create a new section of KRS 199.892 to 199.896 to expand eligibility requirements for the Child Care Assistance Program; amend KRS 199.8982 to rename the family child-care home program to the family, friend, and neighbor child-care home program; establish that certified family, friend, and neighbor child-care home providers shall be eligible for payments from the Child Care Assistance Program; amend various other sections to conform.",0,"""expanding eligibility"" for funding, upgraded to S"
KY,HB0378,2023_2024|2024-RS|AN ACT relating to state symbols.,Amends KRS 2.091 to designate coal as the official rock of Kentucky; amends KRS 2.092 to designate Kentucky agate as the official gemstone of Kentucky; and amends KRS 2.094 to designate calcite as the official mineral of Kentucky.,1,designating coal/limestone stays at C
KY,HB0360,"2023_2024|2024-RS|AN ACT relating to dependency, neglect, and abuse.","Amend KRS 620.030 to require any person with reasonable knowledge of the matter to notify the local law enforcement agency or the Department of Kentucky State Police, the Cabinet for Health and Family Services or its designated representative, the Commonwealth's attorney, or the county attorney that a child has been born to a parent who has another child in the care, custody, or control of the cabinet or other person as a result of removal pursuant to KRS Chapter 620; amend KRS 620.040 to require the local law enforcement agency or the Department of Kentucky State Police, the Cabinet for Health and Family Services or its designated representative, the Commonwealth's attorney, or the county attorney to be notified a child has been born to a parent who has another child in the care, custody, or control of the cabinet or other person as a result of removal pursuant to KRS Chapter 620; establish a rebuttable presumption that a child born to a parent who has another child in the care, custody, or control of the cabinet or other person as a result of removal pursuant to this chapter is in immediate danger of dependency, neglect, or abuse; amend KRS 620.050 to require the Cabinet for Health and Family Services to investigate when it receives notice that a child has been born to a parent who has another child in the care, custody, or control of the cabinet or other person as a result of removal pursuant to KRS Chapter 620; amend KRS 620.060 to establish that ex parte emergency custody order may be issued when a parent or other person exercising custodial control or supervision has another child in the care, custody, or control of the Cabinet for Health and Family Services or other person as a result a removal pursuant to this chapter, creating a rebuttable presumption that the child is in immediate danger of dependency, neglect, or abuse; amend KRS 620.080 to establish a rebuttable presumption that the child would be dependent, neglected, or abused if returned to or left in the custody of his or her parent or other person exercising custodial control or supervision if the parent or other person exercising custodial control or supervision has another child in the care, custody, or control of the Cabinet for Health and Family Services or other person as a result a removal pursuant to this chapter.",0,"upgraded, seems S, deals with children & police"
KY,HB0369,2023_2024|2024-RS|AN ACT relating to public holidays.,"Amend KRS 2.110 to remove Robert E. Lee Day, Confederate Memorial Day, and Jefferson Davis Day from the list of public holidays.",1,"stays at C, because still workdays for state employees"
