bill_id,session,primary_sponsor,floor_sponsor,drafting_attorney,chapter_num,last_action,title,description,comm_note,bill_url
H.B. 437,2024-RS,"Rep. Snider, Casey","Sen. McKell, Michael K.",Patricia Owen,,"12 Mar 2024, Governor Signed",Fire Amendments,This bill modifies provisions concerning control and funding related to fire.,,https://le.utah.gov/~2024/bills/static/HB0437.html
H.B. 438,2024-RS,"Rep. Peterson, Karen M.","Sen. Vickers, Evan J.",RuthAnne Oakey-Frost,,"12 Mar 2024, Governor Signed",Higher Education Revisions,This bill modifies the responsibilities of a president of a degree-granting institution.,,https://le.utah.gov/~2024/bills/static/HB0438.html
H.B. 439,2024-RS,"Rep. Loubet, Anthony E.","Sen. Weiler, Todd D.",Christine R. Gilbert,,"1 Mar 2024, House/ filed",Workers' Compensation Revisions,This bill modifies provisions of the Workers' Compensation Act related to home and community based services.,,https://le.utah.gov/~2024/bills/static/HB0439.html
H.B. 440,2024-RS,"Rep. Clancy, Tyler", ,Tyler Moore,,"1 Mar 2024, House/ filed",Money Transmission Fees,This bill creates a refundable fee to be imposed on wire transfers.,,https://le.utah.gov/~2024/bills/static/HB0440.html
H.B. 441,2024-RS,"Rep. Thurston, Norman K","Sen. McCay, Daniel",Kami Orton,,"20 Mar 2024, Governor Signed",Registration of Novel Vehicles,"This bill amends Title 41, Motor Vehicles, in relation to novel vehicles.",,https://le.utah.gov/~2024/bills/static/HB0441.html
H.B. 442,2024-RS,"Rep. Elison, Joseph","Sen. Owens, Derrin R.",Gus Harb,,"1 Mar 2024, House/ filed",Local Option Sales Tax Amendments,This bill modifies provisions related to local option sales and use taxes.,,https://le.utah.gov/~2024/bills/static/HB0442.html
H.B. 443,2024-RS,"Rep. Cobb, James F.","Sen. Cullimore, Kirk A.",Austin Weenig,,"13 Mar 2024, Governor Signed",Utah Consumer Sales Practices Act Amendments,This bill amends provisions of the Utah Consumer Sales Practices Act relating to class action lawsuits.,,https://le.utah.gov/~2024/bills/static/HB0443.html
H.B. 444,2024-RS,"Rep. King, Brian S.", ,Alan Houston,,"1 Mar 2024, House/ filed",Clergy Reporting Requirements,This bill modifies the clergy exemption related to reporting requirements for child abuse and neglect.,,https://le.utah.gov/~2024/bills/static/HB0444.html
H.B. 445,2024-RS,"Rep. Eliason, Steve","Sen. Bramble, Curtis S.",Eric N. Weeks,,"1 Mar 2024, House/ filed",Indigent Defense Funding Amendments,This bill amends provisions relating to the 24-7 sobriety program.,,https://le.utah.gov/~2024/bills/static/HB0445.html
H.B. 446,2024-RS,"Rep. Stenquist, Jeffrey D.", ,Kami Orton,,"1 Mar 2024, House/ filed",Recreational Vehicle Grant Program,This bill creates the Recreational Vehicle Grant Program and establishes funding for the program.,,https://le.utah.gov/~2024/bills/static/HB0446.html
H.B. 447,2024-RS,"Rep. Stoddard, Andrew", ,Jacqueline Carlton,,"1 Mar 2024, House/ filed",Jury Amendments,This bill amends jury composition.,,https://le.utah.gov/~2024/bills/static/HB0447.html
H.B. 448,2024-RS,"Rep. Ward, Raymond P.","Sen. Weiler, Todd D.",Patricia Owen,,"1 Mar 2024, House/ filed",State Water Program Reporting Requirements,This bill addresses reporting regarding legislative water optimization efforts.,,https://le.utah.gov/~2024/bills/static/HB0448.html
H.B. 449,2024-RS,"Rep. Abbott, Nelson T.","Sen. Riebe, Kathleen A.",Kami Orton,,"21 Mar 2024, Governor Signed",Pedestrian Safety and Facilities Act Modifications,This bill makes changes to the Pedestrian Safety and Facilities Act.,,https://le.utah.gov/~2024/bills/static/HB0449.html
H.B. 450,2024-RS,"Rep. Christofferson, Kay J.","Sen. Buxton, David G.",Michael Cipriano,,"1 Mar 2024, House/ filed",State Agency Capital Development Amendments,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2024 and ending June 30, 2025.",,https://le.utah.gov/~2024/bills/static/HB0450.html
H.B. 451,2024-RS,"Rep. Gricius, Stephanie","Sen. Harper, Wayne A.",Alan Houston,,"14 Mar 2024, Governor Signed",Foster Care Amendments,This bill addresses licensing related to foster care.,,https://le.utah.gov/~2024/bills/static/HB0451.html
H.B. 452,2024-RS,"Rep. Chew, Scott H.","Sen. Hinkins, David P.",Patricia Owen,,"12 Mar 2024, Governor Signed",Carbon Capture Amendments,This bill address regulation of carbon capture.,,https://le.utah.gov/~2024/bills/static/HB0452.html
H.B. 453,2024-RS,"Rep. Snider, Casey","Sen. Sandall, Scott D.",Patricia Owen,,"14 Mar 2024, House/ enrolled bill to Printing",Great Salt Lake Revisions,This bill addresses actions affecting the Great Salt Lake.,,https://le.utah.gov/~2024/bills/static/HB0453.html
