Date,State,Bill No,Title,Action
"March 4, 2024",OR,SB 1532,Establishes a Plan for the Education of Students who are Immigrants,"Bill Passed
                           - Senate
                      

                      
                          (22 - 8)"
"March 4, 2024",OR,SB 1595,Increases Protections from Debt Collectors,"Bill Passed
                           - Senate
                      

                      
                          (22 - 8)"
"March 4, 2024",OR,HB 4045,Reduces Retirement Age for Firefighters and Police with 5 Years Left on the Job from 60 to 55,"Bill Passed
                           - House
                      

                      
                          (55 - 2)"
"March 1, 2024",OR,HB 5204,Appropriates Resources for State Agencies,"Bill Passed
                           - Senate
                      

                      
                          (27 - 3)"
"March 1, 2024",OR,HB 4002,Amends State Law to Re-Criminalize Drug Possession,"Bill Passed
                           - Senate
                      

                      
                          (21 - 8)"
"Feb. 29, 2024",OR,SB 1537,Increases Housing Production by Reducing Permit Application Processes,"Bill Passed
                           - Senate
                      

                      
                          (21 - 7)"
"Feb. 29, 2024",OR,HB 4002,Amends State Law to Re-Criminalize Drug Possession,"Bill Passed
                           - House
                      

                      
                          (51 - 7)"
"Feb. 29, 2024",OR,SB 1530,Appropriates Money for State Agencies and Organizations,"Bill Passed
                           - Senate
                      

                      
                          (21 - 7)"
"Feb. 28, 2024",OR,SB 1506,Authorizes Pharmacists to Test for COVID-19 and Administer Treatments Covered by State Health Insurance Plans,"Bill Passed
                           - House
                      

                      
                          (51 - 3)"
"Feb. 28, 2024",OR,SB 1566,Authorizes Counties to Charge Permit Fees to Build Move or Change Facilities that are in the Right of Way,"Bill Passed
                           - Senate
                      

                      
                          (24 - 6)"
"Feb. 27, 2024",OR,SB 1583,Prohibits School Boards Or Employees from Prohibiting Certain Materials,"Bill Passed
                           - Senate
                      

                      
                          (17 - 12)"
"Feb. 27, 2024",OR,SB 1515,Amends and Implements Changes to Paid Family and Medical Leave,"Bill Passed
                           - House
                      

                      
                          (48 - 5)"
"Feb. 26, 2024",OR,SB 1571,Requires Disclosure of AI in Political Campaign Advertisements,"Bill Passed
                           - Senate
                      

                      
                          (23 - 7)"
"Feb. 22, 2024",OR,SB 1576,Amends Liability Laws to make Owners Immune from Liability when they Allow Recreation on Their Land,"Bill Passed
                           - Senate
                      

                      
                          (25 - 2)"
"Feb. 21, 2024",OR,SB 1502,Requires Most Public Schools and College Boards to Video Record Their Meetings,"Bill Passed
                           - Senate
                      

                      
                          (29 - 1)"
"Feb. 21, 2024",OR,HB 4146,Prohibits Revenge Porn and Increases Penalties,"Bill Passed
                           - House
                      

                      
                          (54 - 0)"
"Feb. 21, 2024",OR,SB 1581,Requires Electric Companies to Report Each Year on the Steps Being Taken to be Part of an Energy Market,(24 - 6)
"Feb. 20, 2024",OR,SB 1596,Authorizes the Individual Right to Repair,"Bill Passed
                           - Senate
                      

                      
                          (25 - 5)"
"Feb. 20, 2024",OR,HB 4160,Prohibits Student Teacher Relationships for a Year After a Students Graduation,"Bill Passed
                           - House
                      

                      
                          (58 - 0)"
"Feb. 20, 2024",OR,SB 1527,Requires Taxpayers to Keep Records,"Bill Passed
                           - Senate
                      

                      
                          (30 - 0)"
"Feb. 20, 2024",OR,SB 1506,Authorizes Pharmacists to Test for COVID-19 and Administer Treatments Covered by State Health Insurance Plans,"Bill Passed
                           - Senate
                      

                      
                          (26 - 4)"
"Feb. 19, 2024",OR,SB 1580,Prohibits Employer Falsifying of Payroll Report Records,"Bill Passed
                           - Senate
                      

                      
                          (24 - 5)"
"Feb. 19, 2024",OR,SB 1568,Requires Pay for Electricians be Equal to the Pay in Union Contracts,"Bill Passed
                           - Senate
                      

                      
                          (26 - 3)"
"Feb. 19, 2024",OR,HB 4147,Authorizes Usage of Stop Arm Cameras on School Buses,"Bill Passed
                           - House
                      

                      
                          (49 - 5)"
"Feb. 15, 2024",OR,HB 4119,"Expands Protections for Student Athletes Regarding Usage of Image, Name, and Likeness","Bill Passed
                           - House
                      

                      
                          (50 - 4)"
"Feb. 15, 2024",OR,HB 4015,Amends Regulations Governing Energy Storage Systems,"Bill Passed
                           - House
                      

                      
                          (44 - 13)"
"Feb. 14, 2024",OR,SB 1515,Amends and Implements Changes to Paid Family and Medical Leave,"Bill Passed
                           - Senate
                      

                      
                          (25 - 2)"
"Feb. 13, 2024",OR,SB 1508,Limits Insulin Costs for Insured Individuals to $35 Per Month and $105 Per 90 Day Supply,"Bill Passed
                           - Senate
                      

                      
                          (27 - 3)"
"Feb. 6, 2024",OR,HB 4104,Requires Alerting Health Care Providers if a Patient Overdoses,"Bill Passed
                           - House
                      

                      
                          (52 - 2)"
