bill_number,session_year,session_type,sponsors,title,status,comm_reports,bill_url
HB0191,2024,RS,Tara L. Lujan; Joseph L. Sanchez; Cynthia Borrego,ANIMAL WELFARE FUNDING ACT,Died (API.),HCPAC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=191&year=24
HB0192,2024,RS,Tara L. Lujan; Reena Szczepanski,SANTA FE PROGRAMS FOR PEOPLE IN NEED,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=192&year=24
HB0193,2024,RS,Art De La Cruz; Meredith A. Dixon; Alan T. Martinez; Natalie Figueroa,LAW ENFORCEMENT RETENTION DISBURSEMENTS,Chaptered,HJC Committee Report; HAFC Committee Report; SJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=193&year=24
HB0194,2024,RS,Christine Chandler,PROJECT CONTRACTOR REIMBURSEMENT,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=194&year=24
HB0195,2024,RS,Linda Serrato; Meredith A. Dixon; Joy Garratt; Michael Padilla,HOUSING FUND & CHANGES,Chaptered,HCPAC Committee Report; HAFC Committee Report; SHPAC Committee Report; SFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=195&year=24
HB0196,2024,RS,Nathan P. Small,GOV'T ACCOUNTABILITY TRUST & FUND,Chaptered,HAFC Committee Report; SFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=196&year=24
HB0197,2024,RS,Eleanor Chávez,EDUCATION BENEFIT NONDISCRIMINATION,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=197&year=24
HB0198,2024,RS,Dayan Hochman-Vigil,FELON IN POSSESSION OF FIREARM PENALTY,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=198&year=24
HB0199,2024,RS,Susan K. Herrera; G. Andres Romero; Raymundo Lara; Brian G. Baca; Yanira Gurrola,EDUCATIONAL ASSISTANT SALARY,Died (API.),HEC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=199&year=24
HB0200,2024,RS,Tara Jaramillo; Patricia A. Lundstrom; Harry Garcia; Ambrose Castellano; Joseph L. Sanchez,SECOND DEGREE MURDER SENTENCING,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=200&year=24
