bill_number,session_year,session_type,action_date,legislative_day,action,order
HB0163,2024,RS,2024-01-18,LD: 2,Sent to HHHC - Referrals: HHHC/HTRC,1
HB0163,2024,RS,2024-01-30,LD: 5,HHHC: Reported by committee with Do Pass recommendation with amendment(s),2
HB0163,2024,RS,,,Action Postponed Indefinitely,3
HB0164,2024,RS,2024-01-18,LD: 2,Sent to HAAWC - Referrals: HAAWC/HAFC,1
HB0164,2024,RS,2024-01-24,LD: 3,HAAWC: Reported by committee with Do Pass recommendation,2
HB0164,2024,RS,,,Action Postponed Indefinitely,3
HB0165,2024,RS,2024-01-18,LD: 2,Sent to HHHC - Referrals: HHHC/HAFC,1
HB0165,2024,RS,2024-01-30,LD: 5,HHHC: Reported by committee with Do Pass recommendation,2
HB0165,2024,RS,2024-02-10,LD: 12,HAFC: Reported by committee with Do Pass recommendation with amendment(s),3
HB0165,2024,RS,2024-02-12,LD: 14,Passed in the House of Representatives - Y:66 N:0,4
HB0165,2024,RS,2024-02-12,LD: 9,Sent to SHPAC - Referrals: SHPAC,5
HB0165,2024,RS,2024-02-13,LD: 9,SHPAC: Reported by committee with Do Pass recommendation,6
HB0165,2024,RS,2024-02-14,LD: 14,Passed in the Senate - Y:37 N:0,7
HB0165,2024,RS,,,Signed by Governor - Chapter 35 - Mar. 1,8
HB0166,2024,RS,2024-01-18,LD: 2,Sent to HCEDC - Referrals: HCEDC/HTRC,1
HB0166,2024,RS,2024-01-25,LD: 4,HCEDC: Reported by committee with Do Pass recommendation,2
