bill_id,term,session,title,summary,approp_bill,commem
HB1458,2023_2024,2023_2024,AN ACT Relating to unemployment insurance benefits for individuals participating in an apprenticeship program;,Concerning unemployment insurance benefits for apprenticeship program participants.,0,0
HB1459,2023_2024,2023_2024,AN ACT Relating to providing an annual adjustment in the public employees' retirement system and teachers' retirement system plan 1 benefits capped at $110 per month by adjusting the long-term investment rate of return assumption;,Providing an annual adjustment in the public employees' retirement system and teachers' retirement system plan 1 benefits capped at $110 per month by adjusting the long-term investment rate of return assumption.,0,0
HB1460,2023_2024,2023_2024,AN ACT Relating to the department of natural resources trust land management;,"Concerning the department of natural resources land transactions, revenue distributions, and creation and management of a trust land transfer program.",0,0
HB1461,2023_2024,2023_2024,AN ACT Relating to a pilot project for providing basic law enforcement training in eastern Washington;,Concerning a pilot project for providing basic law enforcement training in eastern Washington.,0,0
HB1462,2023_2024,2023_2024,AN ACT Relating to journey level electrician certifications of competency;,Concerning journey level electrician certifications of competency.,0,0
HB1463,2023_2024,2023_2024,AN ACT Relating to requiring the state to provide transportation to state employees with disabilities when certain conditions are met;,Requiring the state to provide transportation to state employees when certain conditions are met.,0,0
HB1464,2023_2024,2023_2024,AN ACT Relating to the protection of critical constituent and state operational data against the financial and personal harm caused by ransomware and other malicious cyber activities;,Concerning the protection of critical constituent and state operational data against the financial and personal harm caused by ransomware and other malicious cyber activities.,0,0
HB1465,2023_2024,2023_2024,AN ACT Relating to cost-sharing fairness;,Concerning cost-sharing fairness.,0,0
HB1466,2023_2024,2023_2024,AN ACT Relating to currently credentialed dental auxiliaries;,Concerning currently credentialed dental auxiliaries.,0,0
HB1467,2023_2024,2023_2024,AN ACT Relating to infill for properties uniquely situated between boundaries and existing development;,Concerning infill for properties uniquely situated between boundaries and existing development.,0,0
EHB1468,2023_2024,2023_2024,AN ACT Relating to impact fee deferrals;,Concerning impact fee deferrals.,0,0
HB1469,2023_2024,2023_2024,AN ACT Relating to protecting access to reproductive health care services and gender-affirming treatment in Washington state;,Concerning access to reproductive health care services and gender-affirming treatment in Washington state.,0,0
HB1470,2023_2024,2023_2024,AN ACT Relating to private detention facilities;,Concerning private detention facilities.,0,0
HB1471,2023_2024,2023_2024,"AN ACT Relating to modifying state procurement procedures for competitive, sole source, convenience, and emergency goods and services contracts;","Modifying state procurement procedures for competitive, sole source, convenience, and emergency goods and services contracts.",0,0
HB1472,2023_2024,2023_2024,AN ACT Relating to dedicating the state sales tax on motor vehicles for transportation;,Dedicating the state sales tax on motor vehicles for transportation.,0,0
HB1473,2023_2024,2023_2024,"AN ACT Relating to investing in Washington families and creating a more fair tax system by enacting a narrowly tailored property tax on extreme wealth derived from the ownership of stocks, bonds, and other financial intangible property;","Investing in Washington families and creating a more fair tax system by enacting a narrowly tailored property tax on extreme wealth derived from the ownership of stocks, bonds, and other financial intangible property.",0,0
HB1474,2023_2024,2023_2024,AN ACT Relating to creating the covenant homeownership account and program to address the history of housing discrimination due to racially restrictive real estate covenants in Washington state;,Creating the covenant homeownership account and program to address the history of housing discrimination due to racially restrictive real estate covenants in Washington state.,0,0
HB1475,2023_2024,2023_2024,AN ACT Relating to increasing access to elections by allowing certain populations to return ballots using an online ballot portal;,Increasing access to elections by allowing certain populations to return ballots using an online ballot portal.,0,0
HB1476,2023_2024,2023_2024,AN ACT Relating to allowing the use of impact fees for law enforcement;,Concerning allowing the use of impact fees for law enforcement.,0,0
HB1477,2023_2024,2023_2024,"AN ACT Relating to making changes to the working families' tax credit that clarify program qualification requirements, allow applications to be submitted for up to three years, and require a biennial program report from the department of revenue;",Making changes to the working families' tax credit.,0,0
EHB1478,2023_2024,2023_2024,AN ACT Relating to a statement of student rights that reaffirms and promotes the constitutional and statutory rights of public school students;,Establishing a statement of student rights.,0,0
HB1479,2023_2024,2023_2024,AN ACT Relating to restraint or isolation of students in public schools and educational programs;,Concerning restraint or isolation of students in public schools and educational programs.,0,0
HB1480,2023_2024,2023_2024,AN ACT Relating to all-hazard emergency management in energy contingency plans;,"Concerning energy resilience, cybersecurity, and all-hazard emergency management.",0,0
HB1481,2023_2024,2023_2024,AN ACT Relating to permitting general authority peace officers certificated by the criminal justice training commission and employed on a full-time basis by the government of a federally recognized tribe to participate in the law enforcement officers' and firefighters' retirement system plan 2;,Permitting general authority peace officers certificated by the criminal justice training commission and employed on a full-time basis by the government of a federally recognized tribe to participate in the law enforcement officers' and firefighters' retirement system plan 2.,0,0
HB1482,2023_2024,2023_2024,AN ACT Relating to protecting senior citizens' and disabled veterans' property tax exemption eligibility;,Protecting senior citizens' and disabled veterans' property tax exemption eligibility.,0,0
HB1483,2023_2024,2023_2024,AN ACT Relating to providing property tax relief by reducing both parts of the state school levies based on an amount that approximates the fiscal impact of extraordinary growth in property values that exceeded the valuation growth assumptions of budget writers when part two of the state school levy was enacted;,Providing property tax relief by reducing both parts of the state school levies.,0,0
HB1484,2023_2024,2023_2024,AN ACT Relating to updating the estate tax exclusion amount;,Updating the estate tax exclusion amount.,0,0
HB1485,2023_2024,2023_2024,AN ACT Relating to roadside safety measures;,Concerning roadside safety measures.,0,0
HB1486,2023_2024,2023_2024,AN ACT Relating to authorizing military surplus vehicles to operate on public highways;,Authorizing military surplus vehicles to operate on public highways.,0,0
HB1487,2023_2024,2023_2024,AN ACT Relating to improving motorcycle safety by authorizing the use of the right shoulder of limited access roadways;,Improving motorcycle safety by authorizing the use of the right shoulder of limited access roadways.,0,0
HB1488,2023_2024,2023_2024,AN ACT Relating to creating special license plates that support working forests;,Creating special license plates that support working forests.,0,1
HB1489,2023_2024,2023_2024,AN ACT Relating to creating Mount St. Helens special license plates;,Creating Mount St. Helens special license plates.,0,1
HB1490,2023_2024,2023_2024,AN ACT Relating to direct sales of milk;,Concerning direct sales of milk.,0,0
HB1491,2023_2024,2023_2024,AN ACT Relating to prohibiting unjustified employer searches of employee personal vehicles;,Prohibiting unjustified employer searches of employee personal vehicles.,0,0
HB1492,2023_2024,2023_2024,AN ACT Relating to providing relief for persons affected by State v. Blake;,Providing relief for persons affected by State v. Blake.,0,0
HB1493,2023_2024,2023_2024,AN ACT Relating to impaired driving;,Concerning impaired driving.,0,0
HB1494,2023_2024,2023_2024,AN ACT Relating to collection of assessments for irrigation and rehabilitation districts;,Concerning collection of assessments for irrigation and rehabilitation districts.,0,0
HB1495,2023_2024,2023_2024,AN ACT Relating to requiring health carriers to reimburse advanced registered nurse practitioners and physician assistants at the same rate as physicians for the same services;,"Requiring equal reimbursement for advanced registered nurse practitioners, physician assistants, and physicians.",0,0
HB1496,2023_2024,2023_2024,AN ACT Relating to transferring ownership of the Naselle Youth Camp property to the Chinook Indian Nation;,Transferring ownership of the Naselle Youth Camp property to the Chinook Indian Nation.,0,0
HB1497,2023_2024,2023_2024,"AN ACT Relating to preventing use of vapor, vapor products, tobacco, and tobacco products by minors by increasing penalties against those who sell to minors and removing civil liability and the ability to detain a minor for suspected possession of products;",Preventing use of vapor and tobacco products by minors.,0,0
