bill_id,term,session,summary,subjects,commem
SB0060,2023_2024,2023-RS,Relating to tax on income of nonresidents from natural resources royalty payments,Taxation,0
SB0061,2023_2024,2023-RS,Providing personal property tax credit to graduates of certain higher education institutions or trade schools,Taxation,0
SB0062,2023_2024,2023-RS,Establishing secondary location for racetrack video lottery terminals,Boards and Commissions,0
SB0063,2023_2024,2023-RS,Relating to wages and salary under Parental Leave Act,Labor,0
SB0064,2023_2024,2023-RS,Relating to WV Public Employees Retirement Act,Retirement; State Personnel,0
SB0065,2023_2024,2023-RS,Granting municipal fire marshal authority to assist law-enforcement officer,Municipalities; Public Safety,0
SB0066,2023_2024,2023-RS,Relating to regulation and control of elections,Elections,0
SB0067,2023_2024,2023-RS,Requiring DHHR file petition to terminate parental rights under certain circumstances,Crime; Health; Human Services,0
SB0068,2023_2024,2023-RS,"Relating to use of force, including deadly force, in defense of self, real, and personal property",Crime,0
SB0069,2023_2024,2023-RS,Patrolman Cassie Johnson Memorial Act,Courts; Crime,0
SB0070,2023_2024,2023-RS,Permitting special registration plates for persons with medical conditions that cause erratic behavior,Motor Vehicles,0
SB0071,2023_2024,2023-RS,Relating to real property conveyed by land installment agreement,Real and Personal Property,0
SB0072,2023_2024,2023-RS,Modifying definition of sexual contact,Crime,0
SB0073,2023_2024,2023-RS,Removing PEIA exemption from provisions of chapters 5 and 33 of Code of WV,Insurance,0
SB0074,2023_2024,2023-RS,Providing for substantial deference to State Superintendent's interpretations of school laws,Education (K12),0
SB0075,2023_2024,2023-RS,"Exempting certain persons from hunting, trapping, and fishing license fees",Natural Resources,0
SB0076,2023_2024,2023-RS,Modifying requirement that racetrack participate in WV Thoroughbred Development Fund by certain date,Legal Gaming,0
SB0077,2023_2024,2023-RS,Updating language regarding Fairmont State University alumni license plates,Motor Vehicles,0
SB0078,2023_2024,2023-RS,Creating felony offense of aggravated cruelty to animals,Crime,0
SB0079,2023_2024,2023-RS,Relating to compensable diseases of certain firefighters covered by workers' compensation,Workers Compensation,0
SB0080,2023_2024,2023-RS,Modifying witness fee and mileage rate paid by state to match federal court system,Insurance,0
SB0081,2023_2024,2023-RS,Allowing Tier II Teachers Retirement System members to apply accrued annual and sick leave toward an increase in retirement benefits,Retirement,0
SB0082,2023_2024,2023-RS,Relating to unemployment benefits program,Unemployment Compensation,0
