bill_number,session,chamber,action_date,action,order
A-0208,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0208,2022_2023,A,2022-02-07,"Reported out of Assembly Committee, 2nd Reading",2
A-0208,2022_2023,A,2022-03-24,Passed Assembly,3
A-0208,2022_2023,S,2022-03-24,"Received in the Senate without Reference, 2nd Reading",4
A-0208,2022_2023,S,2022-03-24,Senate Amendment,5
A-0208,2022_2023,S,2022-03-24,Substituted for,6
A-0208,2022_2023,S,2022-03-24,Passed Senate,7
A-0208,2022_2023,A,2022-03-24,"Received in the Assembly, 2nd Reading on Concurrence",8
A-0208,2022_2023,A,2022-03-24,Passed Assembly (Passed Both Houses),9
A-0208,2022_2023,G,2022-03-25,Approved,10
A-0209,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0210,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0211,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHS",1
A-0212,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0213,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0214,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACO",1
A-0215,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASE",1
A-0216,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0217,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AWC",1
A-0218,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALP",1
A-0219,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AWC",1
A-0220,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0221,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0222,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHU",1
A-0223,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHE",1
A-0224,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0225,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALP",1
A-0226,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0227,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0228,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0229,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0229,2022_2023,A,2022-02-14,Reported out of Assembly Committee with Amendments and Referred to ABU,2
A-0230,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHI",1
A-0231,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHI",1
A-0232,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0233,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0234,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0235,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACD",1
A-0236,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0237,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACE",1
A-0238,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACE",1
A-0239,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0240,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0241,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHO",1
A-0242,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AWC",1
A-0243,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0244,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHE",1
A-0245,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHO",1
A-0245,2022_2023,A,2023-02-27,Motion,2
A-0245,2022_2023,A,2023-02-27,Motion,3
A-0246,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHO",1
A-0247,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHO",1
A-0248,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHO",1
A-0249,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHO",1
A-0250,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHO",1
A-0251,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0252,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AWC",1
A-0253,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AEN",1
A-0254,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHO",1
A-0255,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHE",1
A-0256,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHE",1
A-0256,2022_2023,A,2022-06-02,Reported out of Assembly Committee with Amendments and Referred to ALA,2
A-0256,2022_2023,A,2022-10-17,"Reported out of Assembly Committee with Amendments, 2nd Reading",3
A-0256,2022_2023,A,2022-10-27,Passed Assembly,4
A-0256,2022_2023,S,2022-11-03,"Received in the Senate without Reference, 2nd Reading",5
A-0256,2022_2023,S,2022-11-21,Senate Amendment,6
A-0256,2022_2023,S,2022-12-19,Substituted for,7
A-0256,2022_2023,S,2022-12-19,Passed Senate,8
A-0256,2022_2023,A,2023-01-10,"Received in the Assembly, 2nd Reading on Concurrence",9
A-0256,2022_2023,A,2023-01-26,Passed Assembly (Passed Both Houses),10
A-0256,2022_2023,G,2023-03-13,Approved,11
A-0257,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0258,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0259,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AST",1
A-0260,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0261,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0262,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0263,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACE",1
A-0264,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0265,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0266,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0267,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHU",1
A-0268,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0269,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALP",1
A-0270,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASE",1
A-0271,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0272,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0273,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACD",1
A-0274,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0275,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0276,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASE",1
A-0277,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHE",1
A-0278,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHI",1
A-0279,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0280,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALA",1
A-0280,2022_2023,A,2022-06-09,"Reported out of Assembly Committee with Amendments, 2nd Reading",2
A-0280,2022_2023,A,2022-06-16,Substituted by,3
A-0281,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALA",1
A-0281,2022_2023,A,2022-03-10,"Reported out of Assembly Committee with Amendments, 2nd Reading",2
A-0281,2022_2023,A,2022-05-26,Passed Assembly,3
A-0281,2022_2023,S,2022-06-02,"Received in the Senate, Referred to SLA",4
A-0282,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHI",1
A-0283,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0284,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0285,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0285,2022_2023,A,2022-09-22,Reported out of Assembly Committee with Amendments and Referred to AOF,2
A-0285,2022_2023,A,2022-10-13,Reported and Referred to AAP,3
A-0286,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0287,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHI",1
A-0288,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0289,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0290,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0290,2022_2023,A,2023-06-15,"Reported out of Assembly Committee, 2nd Reading",2
A-0291,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0292,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0292,2022_2023,A,2022-10-17,Reported out of Assembly Committee with Amendments and Referred to AED,2
A-0293,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0294,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0295,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASE",1
A-0296,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASE",1
A-0297,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHS",1
A-0298,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHS",1
A-0299,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHS",1
A-0300,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0301,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0301,2022_2023,A,2022-03-10,"Reported out of Assembly Committee with Amendments, 2nd Reading",2
A-0302,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0303,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHS",1
A-0303,2022_2023,A,2022-05-26,Motion,2
A-0303,2022_2023,A,2022-05-26,Motion,3
A-0303,2022_2023,A,2022-05-26,Motion,4
A-0303,2022_2023,A,2022-05-26,Motion,5
A-0304,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0308,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AWC",1
A-0310,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0310,2022_2023,A,2022-10-17,Reported and Referred to AAP,2
A-0312,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0314,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0315,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0315,2022_2023,A,2022-02-07,Reported and Referred to ARP,2
A-0318,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0319,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0322,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0323,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0323,2022_2023,A,2023-03-23,Reported out of Assembly Committee with Amendments and Referred to AAP,2
A-0324,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0325,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0325,2022_2023,A,2022-05-19,"Reported out of Assembly Committee, 2nd Reading",2
A-0325,2022_2023,A,2022-05-26,Passed Assembly,3
A-0325,2022_2023,S,2022-06-02,"Received in the Senate without Reference, 2nd Reading",4
A-0325,2022_2023,S,2022-10-17,Senate Amendment,5
A-0325,2022_2023,S,2022-10-17,Substituted for,6
A-0325,2022_2023,S,2022-10-17,Passed Senate,7
A-0325,2022_2023,A,2022-10-20,"Received in the Assembly, 2nd Reading on Concurrence",8
A-0325,2022_2023,A,2022-10-27,Passed Assembly (Passed Both Houses),9
A-0325,2022_2023,G,2022-12-12,Approved,10
A-0327,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATG",1
A-0327,2022_2023,A,2022-03-07,"Reported out of Assembly Committee, 2nd Reading",2
A-0327,2022_2023,A,2022-03-24,Passed Assembly,3
A-0327,2022_2023,S,2022-05-12,"Received in the Senate, Referred to SSG",4
A-0329,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHE",1
A-0330,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHS",1
A-0332,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0333,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0334,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0335,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0336,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0337,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACO",1
A-0338,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AEN",1
A-0340,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0341,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0342,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0343,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0343,2022_2023,A,2023-01-19,"Reported out of Assembly Committee, 2nd Reading",2
A-0343,2022_2023,A,2023-01-26,Passed Assembly,3
A-0343,2022_2023,S,2023-01-26,"Received in the Senate without Reference, 2nd Reading",4
A-0343,2022_2023,S,2023-02-02,Senate Amendment,5
A-0343,2022_2023,S,2023-02-02,Substituted for,6
