bill_number,session,title,status,primary_sponsors,intro_date,effective_date,chapter_num,companion,summary
A-0122,2022_2023,"Judge, municipal court-provides appointment at local or county level",AJU,"Space, Parker; Wirths, Harold J.",2022-01-11,,,,Provides for appointment of certain municipal court judges at the local or county level.
A-0123,2022_2023,"Firearm or weapon, legally transported-clarify definition, necessary deviation",AJU,"Space, Parker; Wirths, Harold J.",2022-01-11,,,,Clarifies definition of reasonably necessary deviation when legally transporting firearm or weapon in motor vehicle.
A-0124,2022_2023,"Ammunition possession, cert. types-permits; incr. penalties for unlawful purpose",AJU,"Space, Parker; DiMaio, John",2022-01-11,,,,Permits possession of certain types of ammunition and increases penalties for possession for an unlawful purpose.
A-0125,2022_2023,Milk dealer license application-Agriculture Department prov electronic submittal,AAN,"Space, Parker; Wirths, Harold J.",2022-01-11,,,,Requires Dept. of Agriculture to provide for electronic submittal of milk dealer license applications.
A-0126,2022_2023,Fire & EMS Crisis Intervention Services-establishes telephone hotline,ALP,"Space, Parker; Wirths, Harold J.",2022-01-11,,,,"Establishes ""New Jersey Fire and EMS Crisis Intervention Services"" telephone hotline."
A-0127,2022_2023,Safe Haven for Protection of Domestic Companion Animals Act,AAN,"Space, Parker; Wirths, Harold J.",2022-01-11,,,S-2108,"""New Jersey Safe Haven for Protection of Domestic Companion Animals Act."""
A-0128,2022_2023,Water quality management structures-exempts from real property taxation,ATU,"Space, Parker; Wirths, Harold J.",2022-01-11,,,,"Exempts certain water quality management structures, funded by certain federal and State grants, from real property taxation."
A-0129,2022_2023,Born-Alive Abortion Survivors Protection Act-establishes,AWC,"Space, Parker; Wirths, Harold J.",2022-01-11,,,S-0673,"Establishes ""New Jersey Born-Alive Abortion Survivors Protection Act."""
A-0130,2022_2023,Soil & fill materials-DEP devel model ordinance for mun regulate deposit/storage,AEN,"Space, Parker; McKeon, John F.; Wirths, Harold J.",2022-01-11,,,,Directs DEP to develop model ordinance for municipalities to regulate deposit and storage of soil and fill materials.
A-0131,2022_2023,Veteran owned small business-EDA required to administer and provide loans,ACE,"Space, Parker",2022-01-11,,,S-3434,Requires EDA administer small business loan program to provide loans to small businesses owned or controlled by certain veterans.
A-0132,2022_2023,Handgun permit-revise procedures for securing,AJU,"Space, Parker; DiMaio, John; Rooney, Kevin J.",2022-01-11,,,,Revises procedures for securing permit to carry handgun.
A-0133,2022_2023,Highlands planning area-prohibits State departments from considering compliance,AEN,"Wirths, Harold J.; Space, Parker",2022-01-11,,,,Prohibits State departments and agencies from considering or requiring compliance by Highlands planning area municipalities with Highlands regional master plan in certain circumstances.
A-0134,2022_2023,Highlands Water Protection & Planning Act-sunsets 5 years after enactment date,AEN,"Wirths, Harold J.; Space, Parker",2022-01-11,,,,"Sunsets ""Highlands Water Protection and Planning Act"" five years after date of enactment unless certain conditions are met."
A-0135,2022_2023,MVC-removes authority to increase fees; sets certain fees by statute,ATR,"Wirths, Harold J.; Space, Parker",2022-01-11,,,S-2209,Removes authority of MVC to increase certain fees; sets certain fees by statute.
A-0136,2022_2023,Highlands Property Tax Stabilization Fund-provides direct property tax relief,AEN,"Wirths, Harold J.; Space, Parker",2022-01-11,,,,Provides for direct property tax relief from Highlands Property Tax Stabilization Fund.
A-0137,2022_2023,Statewide Non-Residential Development Fee Act-repeals,ACE,"Wirths, Harold J.; Space, Parker",2022-01-11,,,,"Repeals ""Statewide Non-Residential Development Fee Act."""
A-0138,2022_2023,Voter registration forms-made available when applying for fishing license,AAN,"Wirths, Harold J.; Space, Parker; Matsikoudis, Michele",2022-01-11,,,,"Requires voter registration forms be made available when applying for hunting, fishing, or trapping license."
A-0139,2022_2023,"Agreement Among the States, Elect the President by National Popular Vote-repeal",AOF,"Wirths, Harold J.; Space, Parker; Auth, Robert",2022-01-11,,,S-2252,"Repeals the ""Agreement Among the States to Elect the President by National Popular Vote."""
A-0140,2022_2023,Handgun sales-eliminate prohibition against purchasing more than one in a month,AJU,"Wirths, Harold J.; Space, Parker",2022-01-11,,,,Eliminates prohibition against purchasing more than one handgun in calendar month.
A-0141,2022_2023,Illegal immigrants-prohibits release from correctional facilities,AOF,"Wirths, Harold J.; Space, Parker",2022-01-11,,,S-0581,Prohibits release of illegal immigrants from correctional facilities.
A-0142,2022_2023,"Contractors, cert-verify work authorization of newly hired employees",ALA,"Wirths, Harold J.; Space, Parker",2022-01-11,,,,Requires certain contractors to verify work authorization of newly hired employees.
A-0143,2022_2023,Farm income averaging credit-permits under the NJ gross income tax,AAN,"Wirths, Harold J.",2022-01-11,,,S-3501,Permits farm income averaging credit under the New Jersey gross income tax.
A-0144,2022_2023,Tuition rates charges by school districts-limits annual increase to 2%,AED,"Wirths, Harold J.; Space, Parker",2022-01-11,,,,"Limits annual increase in tuition rates charged by school districts, county vocational school districts, county special services districts, jointure commissions, and private schools for students with disabilities to two percent."
A-0145,2022_2023,Farming operations-prohibits harassment of farmers engaged,AAN,"Wirths, Harold J.",2022-01-11,,,,Prohibits harassment of farmers engaged in farming operations.
A-0146,2022_2023,Driver's licenses and non-driver ID card applicants-conduct wanted person check,ATR,"Wirths, Harold J.",2022-01-11,,,,"Requires Chief Administrator of MVC to conduct wanted person check of all applicants for licenses, permits, and identification cards."
A-0147,2022_2023,Regulatory Flexibility Act-expands scope w/econ impact rules on small businesses,AOF,"Wirths, Harold J.; Murphy, Carol A.; Space, Parker",2022-01-11,,,,Expands scope of New Jersey Regulatory Flexibility Act dealing with economic impact of rules on small businesses.
A-0148,2022_2023,Public officers and employees w/limited historic exceptions-elim State resid req,ASL,"Wirths, Harold J.",2022-01-11,,,S-0833,Eliminates requirement for State residency for public officers and employees with limited historic exceptions.
A-0149,2022_2023,School districts in all counties-requires miminum geographic cost adjustment,AED,"Wirths, Harold J.; Space, Parker",2022-01-11,,,,Requires minimum geographic cost adjustment for school districts in all counties.
A-0150,2022_2023,"Security officer, registered-school district may not proh from carrying firearm",AED,"Wirths, Harold J.; Dunn, Aura K.",2022-01-11,,,S-2784,Provides that school district may not prohibit active or retired law enforcement officer or registered security officer from carrying firearm in performance of school security duties if authorized under State law to carry.
A-0151,2022_2023,Motor Vehicle Insurance Verification Act-online mv insurance verification system,AFI,"Wirths, Harold J.; Freiman, Roy; Space, Parker",2022-01-11,,,,"""Motor Vehicle Insurance Verification Act""; requires Motor Vehicle Commission to establish online motor vehicle insurance verification system."
A-0152,2022_2023,Mandated Health Benefits Advisory Commission-study finan impact of mandated benf,AFI,"Wirths, Harold J.",2022-01-11,,,S-1763,Requires Mandated Health Benefits Advisory Commission to study financial impact of all enacted mandated health benefits.
A-0153,2022_2023,Small businesses w/income tax or CBT deduction-paid to minimum wage employees,ALA,"Wirths, Harold J.; DePhillips, Christopher P.; Munoz, Nancy F.",2022-01-11,,,,Provides small businesses with gross income tax or corporation business tax deduction for wages paid to minimum wage employees.
A-0154,2022_2023,Wildlife-increases min civil fine for harassing; subsequent offense crim penalty,AAN,"Wirths, Harold J.; Space, Parker; DiMaio, John",2022-01-11,,,,Increases minimum civil fine for harassing person taking wildlife and increases criminal penalty for subsequent offenses.
A-0155,2022_2023,Pub. util. & cable television companies-relocate facilities for trans infra proj,ATU,"Wirths, Harold J.",2022-01-11,,,,Requires public utilities and cable television companies to accommodate and relocate facilities when necessary for transportation infrastructure projects at direction of DOT.
A-0156,2022_2023,Emissions-prohibits State's participation in multi-state cap-and-trade prog.,AEN,"Wirths, Harold J.; Space, Parker",2022-01-11,,,,Prohibits State's participation in multi-state cap-and-trade program to reduce carbon emissions from transportation sector.
A-0157,2022_2023,Small business loan program-incl. broadband telecommunications service providers,ACE,"Wirths, Harold J.; Space, Parker",2022-01-11,,,S-0582,Expands EDA small business loan program to include certain broadband telecommunications service providers.
A-0158,2022_2023,Broadband telecommunications service providers-use public utility or CATV poles,ATU,"Wirths, Harold J.",2022-01-11,,,,Directs BPU to allow broadband telecommunications service providers to use poles belonging to public utilities or CATV companies in certain instances.
A-0159,2022_2023,Adopt a Stormwater Management Basin Act; provides CBT credit for adoption,AEN,"Wirths, Harold J.; Space, Parker; Tucker, Cleopatra G.",2022-01-11,,,,Permits business entities and nonprofit organizations to adopt certain responsibilities related to stormwater management basins; provides corporation business tax credit for adoption of stormwater management basins in certain watersheds.
A-0160,2022_2023,Broadband telecommunications service-allows local units to offer,ATU,"Wirths, Harold J.",2022-01-11,,,,Allows local units to offer broadband telecommunications service under certain circumstances.
A-0161,2022_2023,Workers comp coverage-revises for injuries to volunteer and prof pub safety memb,AAP,"DeAngelo, Wayne P.; Calabrese, Clinton; Space, Parker",2022-01-11,,,S-0651,Revises workers' compensation coverage for certain injuries to volunteer and professional public safety and law enforcement personnel.
A-0162,2022_2023,Nail products containing dibutyl phthalates or toluene-proh sale & distribution,ACO,"Carter, Linda S.; Timberlake, Britnee N.",2022-01-11,,,,"Prohibits sale and distribution of nail products containing dibutyl phthalates, toluene, or formaldehyde."
A-0163,2022_2023,"Sexual assault, 18 yrs or older-elim. statute of limitations for civil actions",AJU,"Carter, Linda S.",2022-01-11,,,,Eliminates statute of limitations for civil actions arising from sexual assault and other crimes and offenses of a sexual nature committed against a person 18 years of age or older.
A-0164,2022_2023,Court-imposed financial obligation-increase amount of credit for incarceration,AJU,"Carter, Linda S.; Reynolds-Jackson, Verlina; Spearman, William W.",2022-01-11,,,S-0472,Increases amount of credit for incarceration resulting from default of court-imposed financial obligation or motor vehicle penalty.
A-0165,2022_2023,STEM Scholars Grant Pilot Program-establish in DOE,2RA,"Carter, Linda S.; Kennedy, James J.; Timberlake, Britnee N.",2022-01-11,,,S-0468,"Establishes ""New Jersey STEM Scholars Grant Pilot Program"" in Department of Education."
A-0166,2022_2023,Security breach of geolocation data-requires disclosure,AST,"Carter, Linda S.; Calabrese, Clinton; Spearman, William W.",2022-01-11,,,,Requires disclosure of breach of security of geolocation data.
A-0167,2022_2023,Rocky's Law-registry of animal rescue org; notify of animals behavioral/med hist,AAN,"Carter, Linda S.",2022-01-11,,,,"Requires registry of animal rescue organizations; requires animal rescue, pet shop, shelter, or pound notify person adopting or purchasing animal of animal's behavioral and medical history; designated as ""Rocky's Law."""
A-0168,2022_2023,Artificial intelligence on growth of St's economy-conduct study & issue report,AST,"Carter, Linda S.; Karabinchak, Robert J.; Calabrese, Clinton",2022-01-11,,,,Requires Commissioner of Labor and Workforce Development to conduct study and issue report on impact of artificial intelligence on growth of State's economy.
A-0169,2022_2023,Family Care Advantage program-expands availability,AHU,"Carter, Linda S.; Mukherji, Raj",2022-01-11,,,,Expands availability of NJ FamilyCare Advantage program.
A-0170,2022_2023,Public Interest Technology Network-estab. a network of academics and researchers,AST,"Carter, Linda S.",2022-01-11,,,,Establishes New Jersey Public Interest Technology Network.
A-0171,2022_2023,Deed recordings-enhances protections against fraudulent,AHO,"Carter, Linda S.; McKnight, Angela V.; Sumter, Shavonda E.",2022-01-11,,,S-0390,Enhances protections against fraudulent deed recordings.
A-0172,2022_2023,School facility cleaning & sanitization;$20M,AED,"Carter, Linda S.",2022-01-11,,,S-2494,Makes supplemental appropriation of up to $20 million from General Fund to DOE to support school facility cleaning and sanitization.
A-0173,2022_2023,School Connectivity Grant Program-establish online instruction,AST,"Carter, Linda S.; Reynolds-Jackson, Verlina",2022-01-11,,,,Establishes School Connectivity Grant Program to expand access to online instruction for economically disadvantaged students; makes appropriation.
A-0174,2022_2023,Parole-permits AOC retroactively rescind/modify mandatory term for cert offenses,ALP,"Carter, Linda S.; Jasey, Mila M.; McKnight, Angela V.",2022-01-11,,,,Permits retroactive modification of certain judgements of conviction; requires study of DOC's anticipated expenses to upgrade data infrastructure.
A-0175,2022_2023,State contracts for medical & dental svcs-permits DOC & DCF to award to vendors,ACE,"Carter, Linda S.; Murphy, Carol A.",2022-01-11,,,S-1600,Permits DOC and DCF to award contracts for medical and dental services to vendors.
A-0176,2022_2023,"Out-of State contractors, certain-imposes administrative fees",ACE,"Carter, Linda S.; Verrelli, Anthony S.",2022-01-11,,,,Imposes administrative fees on certain out-of State contractors.
A-0177,2022_2023,"Out-of-state contractors-estab registry, awarded public works contracts in State",ACE,"Carter, Linda S.; Verrelli, Anthony S.",2022-01-11,,,S-0477,Establishes registry of out-of-state contractors who are awarded public works contracts in this State.
A-0178,2022_2023,"Out-of State contractors-conduct audit, entered into State & private contracts",ACE,"Carter, Linda S.; Verrelli, Anthony S.",2022-01-11,,,,Requires Division of Taxation conduct audits of out-of State contractors that have entered into State and private contracts.
A-0179,2022_2023,Water purveyors-require DEP make certain information available on its website,APP,"Carter, Linda S.; Moen, William F.; Sumter, Shavonda E.",2022-01-11,2023-05-08,44.0,S-0752,Requires DEP to make certain information regarding water purveyors available on its Internet website.
A-0180,2022_2023,School safety threats-estab prog for anonymous reporting of potential threats,AAP,"Carter, Linda S.; Verrelli, Anthony S.; Mukherji, Raj",2022-01-11,,,S-2785,Directs Attorney General to establish program for anonymous reporting of potential threats to school safety.
A-0181,2022_2023,Landlords-prohibits requiring rent paid by certain means of payment or off-site,AHO,"Carter, Linda S.; Conaway, Herb",2022-01-11,,,S-0359,Prohibits landlords from requiring rent to be paid by certain means of payment or at any off-site location.
A-0182,2022_2023,Special education unit-create within Office of Admin. Law; require annual report,AED,"Carter, Linda S.; Lampitt, Pamela R.; Jasey, Mila M.",2022-01-11,,,,Creates special education unit within the Office of Administrative Law; requires annual report.
A-0183,2022_2023,Env. infra. proj-modifies list elig. to receive loans from NJ Infra. Bank FY2022,AEN,"Carter, Linda S.; Stanley, Sterley S.; Chaparro, Annette",2022-01-11,,,,Modifies lists of projects eligible to receive loans for environmental infrastructure projects from NJ Infrastructure Bank for FY2022.
A-0184,2022_2023,Public utility requesting rate increase-hold public hearing in every county req.,SEG,"Rooney, Kevin J.",2022-01-11,,,S-2959,Requires public utility requesting rate increase to hold public hearings in every county.
A-0185,2022_2023,"Sharing Resources-estab grant/loan prog, encourge shared svc & mun consolidation",ASL,"Rooney, Kevin J.",2022-01-11,,,,"Permits board of chosen freeholders to establish ""Sharing Resources"" grant and loan program to encourage shared services and municipal consolidation."
A-0186,2022_2023,Anti-Bullying Bill of Rights Act-amends definition of harassment &  intimidation,AED,"Rooney, Kevin J.",2022-01-11,,,,"Amends definition of ""harassment, intimidation, or bullying"" in ""Anti-Bullying Bill of Rights Act."""
A-0187,2022_2023,"Property tax credits, certain-requires State to award as rebates",ASL,"Rooney, Kevin J.",2022-01-11,,,,Requires State to award certain property tax credits as rebates.
A-0188,2022_2023,Animal prescriptions-required to be issued in owner's name,AAN,"Rooney, Kevin J.; Auth, Robert",2022-01-11,,,,Requires prescriptions for animals to be issued in name of animal owner; prohibits unnamed persons from possessing prescribed drugs; and requires Prescription Monitoring Program to include information about controlled substances prescribed by veterinarians.
A-0189,2022_2023,E-ZPass website-req publication of certain information related to toll discounts,SUB,"Rooney, Kevin J.; McKeon, John F.",2022-01-11,,,S-0743,Requires publication of certain information related to toll discounts on E-ZPass website.
A-0190,2022_2023,"Epinephrine Access & Emerg. Treatment Act-admin of auto-injector device, possess",AHE,"Rooney, Kevin J.",2022-01-11,,,,"Extends ""Epinephrine Access and Emergency Treatment Act"" to include administration of epinephrine auto-injector devices by individuals in possession of devices pursuant to personal prescriptions."
A-0191,2022_2023,"Hunting, trapping and fishing fees & licenses-exempts residents 65 and older",ASE,"Rooney, Kevin J.",2022-01-11,,,,"Exempts State residents 65 years of age and older from certain hunting, trapping, and fishing fees and license requirements."
A-0192,2022_2023,"Right to Home Defense Law-justifiable use of force, defending home or residence",ALP,"Rooney, Kevin J.; Thomson, Edward H.; Wirths, Harold J.",2022-01-11,,,S-2270,"The ""New Jersey Right to Home Defense Law."""
A-0193,2022_2023,"Internet access speed, faster-cable television companies required to provide",ATU,"Rooney, Kevin J.",2022-01-11,,,,Requires cable television companies to provide faster Internet access speed to certain customers.
A-0194,2022_2023,Cable television companies-provide television svc. & Internet to all svc. areas,ATU,"Rooney, Kevin J.",2022-01-11,,,,Requires cable television companies to provide cable television service and broadband Internet speed to all committed service areas before cable television companies allow paid prioritization of Internet network traffic.
A-0195,2022_2023,"Ticket sales, online-prohibit circumventing security measures",ACO,"Rooney, Kevin J.; Mukherji, Raj",2022-01-11,,,S-2805,Prohibits circumventing security measures for certain online ticket sales.
A-0196,2022_2023,Recycling bins-provide bins in State buildings,AEN,"Rooney, Kevin J.",2022-01-11,,,S-2406,Requires State entities to recycle certain materials and provide recycling bins in State buildings.
A-0197,2022_2023,"Marijuana, medical-authorizes for treatment of substance use disorder",AHE,"Rooney, Kevin J.",2022-01-11,,,,Authorizes medical marijuana for treatment of substance use disorder; authorizes all patients to be dispensed medical marijuana in edible form.
A-0198,2022_2023,Pet grooming services-regulates performance,AAN,"Rooney, Kevin J.",2022-01-11,,,S-2485,Regulates performance of pet grooming services.
A-0199,2022_2023,Animal rescue from mv-exempts law enforcement & emerg. personnel from liability,AAN,"Rooney, Kevin J.; Murphy, Carol A.; McCarthy Patrick, Bethanne",2022-01-11,,,S-2482,Exempts law enforcement and certain other emergency personnel from liability for breaking into motor vehicle to rescue animal under certain circumstances.
A-0200,2022_2023,Polling places-prohibits the use of schools,ASL,"Rooney, Kevin J.; Karabinchak, Robert J.; Piperno, Marilyn",2022-01-11,,,S-2787,Prohibits use of schools as polling places.
A-0201,2022_2023,Opioid antidotes-authorizes first responders to administer & dispense w/immunity,AHE,"Rooney, Kevin J.; DePhillips, Christopher P.; Conaway, Herb",2022-01-11,,,,"Authorizes first responders to obtain, administer, and dispense opioid antidotes, with immunity, pursuant to Statewide standing order issued by State health official; makes clarifying changes to ""Overdose Prevention Act."""
A-0202,2022_2023,"Income tax exemption, higher ed expenses-increase age of dependent",AHI,"Rooney, Kevin J.; DePhillips, Christopher P.; McKnight, Angela V.",2022-01-11,,,S-2763,Increases age of dependent for whom gross income tax exemption for higher education expenses may be claimed from under 22 years to under 25 years.
A-0203,2022_2023,Horse-authorizes creation of special license plate and commem. as State animal,APP,"Rooney, Kevin J.; Benson, Daniel R.; Caputo, Ralph R.",2022-01-11,2024-01-16,292.0,S-2884,Authorizes creation of special license plates commemorating horse as State animal.
A-0204,2022_2023,CATV companies renewing system-wide franchise-make svc available w/in cert. mun.,ATU,"Rooney, Kevin J.",2022-01-11,,,,Requires certain cable television companies renewing system-wide franchise to make cable television service available within certain municipalities.
A-0205,2022_2023,"Pavement condition & conduct pavement lifecycle analysis-DOT prov, annual report",ATR,"Rooney, Kevin J.; Karabinchak, Robert J.; Conaway, Herb",2022-01-11,,,S-2491,Requires DOT to provide additional information in annual report on pavement condition and conduct pavement lifecycle cost analysis; make report available to public.
A-0206,2022_2023,DOE candidates for employment-req. to undergo criminal history background check,AED,"Rooney, Kevin J.; Webber, Jay",2022-01-11,,,,Requires certain candidates for employment with DOE to undergo criminal history background check.
A-0207,2022_2023,"Transportation network companies-prov riders w/cert info, illuminated ID markers",ATR,"Rooney, Kevin J.",2022-01-11,,,,Requires transportation network companies to provide riders with certain information and to issue illuminated identifying markers; requires MVC to create transportation network company driver database.
A-0208,2022_2023,Election workers-raise pay to $300 a day,APP,"Rooney, Kevin J.; Karabinchak, Robert J.; Mukherji, Raj",2022-01-11,2022-03-25,5.0,S-1290,"Raises pay for election workers to $300 per day; permits counties to provide additional compensation to election workers; appropriates $7,000,000 to Department of State. *"
A-0209,2022_2023,MVC online services-prohibits charging fees,ATR,"Rooney, Kevin J.; Karabinchak, Robert J.",2022-01-11,,,,Prohibits MVC from charging service fees for online services.
A-0210,2022_2023,MV titles & registrations-permit dealers to facilitate for used MV by priv sale,ATR,"Rooney, Kevin J.; Dunn, Aura K.",2022-01-11,,,S-2105,Permits licensed motor vehicle dealers to facilitate issuance of titles and registrations for used motor vehicles purchased by private sale.
A-0211,2022_2023,"Fire coordinator, county-display emergency warning lights on vehicles",AHS,"Rooney, Kevin J.",2022-01-11,,,S-3921,Authorizes certain county fire coordinators to display emergency warning lights on vehicles.
A-0212,2022_2023,Classic NJ license plates-authorizes issuance,ATR,"Rooney, Kevin J.; Karabinchak, Robert J.; Benson, Daniel R.",2022-01-11,,,S-2565,Authorizes issuance of classic NJ license plates.
A-0213,2022_2023,Animals-enhance penalty for failure to stop & report hitting with motor vehicle,AAN,"Rooney, Kevin J.",2022-01-11,,,,"Enhances penalty for failure to stop and report hitting, running over, or injuring of certain animals with motor vehicle where animal is killed."
A-0214,2022_2023,"Event venues-proh use, deposit funds for cert. purposes during pub health emerg",ACO,"Rooney, Kevin J.; DePhillips, Christopher P.",2022-01-11,,,,Prohibits use of deposit funds by event venues for certain purposes; establishes certain requirements for event venues during declared public health emergencies.
A-0215,2022_2023,Medical alert devices and services-exempts from sales and use tax,ASE,"Rooney, Kevin J.; Conaway, Herb; Matsikoudis, Michele",2022-01-11,,,S-1725,Exempts medical alert devices and services from sales and use tax.
A-0216,2022_2023,"Railroad & hwy safety-req installation of safety gates, lights, & other upgrades",ATR,"Rooney, Kevin J.",2022-01-11,,,,"Requires installation of safety gates, lights, and other safety upgrades at certain railroad crossings."
A-0217,2022_2023,Institutional abuse invest.-proh. interview cert children w/out parental consent,AWC,"Rooney, Kevin J.; Dunn, Aura K.",2022-01-11,,,,Prohibits Institutional Abuse Investigation Unit investigators from interviewing certain children without prior parental consent.
A-0218,2022_2023,"Referendum, reduction/reallocation of fd/resource for law enforce.-req mun hold",ALP,"Rooney, Kevin J.",2022-01-11,,,,Requires municipalities to hold referendum to approve reduction or reallocation of funding or resources for certain law enforcement agencies.
