bill_number,session_year,session_num,action_date,chamber,action,committee,order
HB0009,2015,131,2016-12-08,House,Conference report agreed to,Conference Committee on HB 9,12
HB0009,2015,131,2016-12-08,Senate,Conference report agreed to,Conference Committee on HB 9,11
HB0009,2015,131,2016-12-07,Senate,Insist on amendments; asks for committee of conference,,10
HB0009,2015,131,2016-11-29,House,Refused to concur in Senate amendments,,9
HB0009,2015,131,2016-05-25,Senate,Passed,,8
HB0009,2015,131,2016-05-25,Senate,Reported - Substitute,Ways and Means,7
HB0009,2015,131,2015-06-30,Senate,Refer to Committee,Ways and Means,6
HB0009,2015,131,2015-06-25,Senate,Introduced,,5
HB0009,2015,131,2015-06-24,House,Passed,,4
HB0009,2015,131,2015-05-27,House,Reported - Substitute,Ways and Means,3
HB0009,2015,131,2015-01-29,House,Refer to Committee,Ways and Means,2
HB0009,2015,131,2015-01-28,House,Introduced,,1
HCR0009,2015,131,2015-06-17,Senate,Adopted,,8
HCR0009,2015,131,2015-06-16,Senate,Reported,Public Utilities,7
HCR0009,2015,131,2015-05-27,Senate,Refer to Committee,Public Utilities,6
HCR0009,2015,131,2015-05-12,Senate,Offered,,5
HCR0009,2015,131,2015-05-06,House,Adopted,,4
HCR0009,2015,131,2015-04-30,House,Reported - Amended,Public Utilities,3
HCR0009,2015,131,2015-03-04,House,Introduced and Referred to Committee,,2
HCR0009,2015,131,2015-03-04,House,Refer to Committee,Public Utilities,1
HR0009,2015,131,2015-01-05,House,Adopted,,1
HJR0009,2015,131,2016-11-16,House,Refer to Committee,Government Accountability and Oversight,2
HJR0009,2015,131,2016-11-09,House,Introduced,,1
HCR0010,2015,131,2016-09-28,Senate,Refer to Committee,Government Oversight and Reform,5
HCR0010,2015,131,2016-05-19,Senate,Offered,,4
HCR0010,2015,131,2016-05-18,House,Adopted,,3
HCR0010,2015,131,2016-05-11,House,Reported,Commerce and Labor,2
HCR0010,2015,131,2015-03-24,House,Introduced and Referred to Committee,Commerce and Labor,1
HR0010,2015,131,2015-01-14,House,Adopted,,1
HJR0010,2015,131,2016-11-16,House,Refer to Committee,Government Accountability and Oversight,2
HJR0010,2015,131,2016-11-09,House,Introduced,,1
HB0010,2015,131,2015-02-10,House,To committee,Government Accountability and Oversight,2
HB0010,2015,131,2015-01-28,House,Introduced,,1
HB0011,2015,131,2015-10-19,,Effective 10/19/15,,11
HB0011,2015,131,2015-09-30,House,Concurred in Senate amendments,,10
HB0011,2015,131,2015-09-23,Senate,Passed - Amended,,9
HB0011,2015,131,2015-09-23,Senate,Bill Read on the Floor,,8
HB0011,2015,131,2015-06-11,Senate,Reported,Civil Justice,7
HB0011,2015,131,2015-03-25,Senate,Refer to Committee,Civil Justice,6
HB0011,2015,131,2015-03-18,Senate,Introduced,,5
HB0011,2015,131,2015-03-17,House,Passed,,4
HB0011,2015,131,2015-03-04,House,Reported,Judiciary,3
HB0011,2015,131,2015-01-29,House,Refer to Committee,Judiciary,2
HB0011,2015,131,2015-01-28,House,Introduced,,1
HCR0011,2015,131,2015-10-07,Senate,Refer to Committee,Agriculture,5
HCR0011,2015,131,2015-10-01,Senate,Offered,,4
HCR0011,2015,131,2015-09-30,House,Adopted,,3
HCR0011,2015,131,2015-05-12,House,Reported,Agriculture and Rural Development,2
HCR0011,2015,131,2015-04-14,House,Introduced and Referred to Committee,Agriculture and Rural Development,1
HR0011,2015,131,2015-01-21,House,Adopted,,1
HJR0011,2015,131,2016-11-16,House,Refer to Committee,Government Accountability and Oversight,2
HJR0011,2015,131,2016-11-09,House,Introduced,,1
HCR0012,2015,131,2015-06-30,House,Concurred in Senate amendments,,8
HCR0012,2015,131,2015-06-30,Senate,Adopted,,7
HCR0012,2015,131,2015-06-17,Senate,Reported - Amended,Health and Human Services,6
HCR0012,2015,131,2015-05-27,Senate,Refer to Committee,Health and Human Services,5
HCR0012,2015,131,2015-05-18,Senate,Offered,,4
HCR0012,2015,131,2015-05-13,House,Adopted,,3
HCR0012,2015,131,2015-04-29,House,Reported,Health and Aging,2
HCR0012,2015,131,2015-04-14,House,Introduced and Referred to Committee,Health and Aging,1
