bill_number,session_year,session_num,sponsors,cosponsors,status,subjects,title,committees,long_title,bill_url
HCR0003,2021,134,Craig S. Riedel,Adam C. Bird; Sarah Fowler Arthur; Jennifer Gross; Phil Plummer; Jean Schmidt; Reggie Stoltzfus,As Introduced,National or International Resolution; State and Local Government,Urge Congress propose term limit amendment.,House State and Local Government Committee,To urge the Congress of the United States to propose an amendment to the United States Constitution to establish term limits for members of Congress.,https://www.legislature.ohio.gov/legislation/134/hcr3
HJR0003,2021,134,Shayla L. Davis,,As Introduced,Constitutional Amendment,CA: Establish constitutional right to housing,House Government Oversight Committee,Proposing to enact Section 22 of Article I of the Constitution of the State of Ohio to establish a constitutional right to housing.,https://www.legislature.ohio.gov/legislation/134/hjr3
HR0004,2021,134,Timothy E. Ginter,,As Adopted by the House,,Relative to the election of the Clerk of the House of Representatives. ,,,https://www.legislature.ohio.gov/legislation/134/hr4
HB0004,2021,134,Phil Plummer; Susan Manchester,Nickie J. Antonio; Andrew O. Brenner; Jerry C. Cirino; Hearcel F. Craig; Matt Dolan; Teresa Fedor; Theresa Gavarone; Bob D. Hackett; Frank Hoagland; Jay Hottinger; Stephen A. Huffman; Terry Johnson; Stephanie Kunze; Tina Maharath; Nathan H. Manning; Bill Reineke; Michael A. Rulli; Tim Schaffer; Kirk Schuring; Vernon Sykes; Cecil Thomas; Steve Wilson; Kenny Yuko,As Enrolled,Juvenile and Family Law : Child Welfare,Regards child abuse and neglect reporting,"House Families, Aging, and Human Services Committee; Senate Judiciary Committee","To amend sections 2151.142, 2151.421, and 3107.014 and to enact sections 2151.4210, 2151.4211, 2151.4212, 2151.4213, 2151.4215, 2151.4216, 2151.4218, 2151.4219, 2151.4220, 2151.4221, 2151.4222, 2151.4223, 2151.4224, 5101.89, 5101.891, 5101.892, 5101.893, 5101.894, 5101.895, 5101.897, and 5101.899 of the Revised Code regarding county child abuse and neglect memorandums of understanding, cross-reporting of child abuse and neglect reports by public children services agencies to law enforcement agencies, notification of reporter rights, home assessor eligibility, and creation of the youth and family ombudsman office.",https://www.legislature.ohio.gov/legislation/134/hb4
HJR0004,2021,134,Jay Edwards; Bill Seitz,"Niraj Antani; Louis W. Blessing, III; Andrew O. Brenner; Jerry C. Cirino; Matt Dolan; Theresa Gavarone; Bob D. Hackett; Frank Hoagland; Jay Hottinger; Stephen A. Huffman; Terry Johnson; Stephanie Kunze; George F. Lang; Rob McColley; Sandra O'Brien; Bob Peterson; Bill Reineke; Kristina D. Roegner; Mark Romanchuk; Tim Schaffer; Kirk Schuring",As Enrolled,Constitutional Amendment; Elections; Immigration,CA: Prohibit local government from allowing non-electors to vote,House State and Local Government Committee; Senate Local Government and Elections Committee,"Proposing to amend Section 1 of Article V, Section 3 of Article X, and Section 3 of Article XVIII of the Constitution of the State of Ohio to prohibit local governments from allowing persons who lack the qualifications of an elector to vote in local elections.",https://www.legislature.ohio.gov/legislation/134/hjr4
HCR0004,2021,134,Catherine D. Ingram,"Erica C. Crawley; Stephanie D. Howse; Michele Lepore-Hagan; Beth Liston; Adam C. Miller; Joseph A. Miller, III; Jessica E. Miranda; Michael J. O'Brien; Michael J. Skindell; Lisa A. Sobecki; Daniel P. Troy",As Introduced,Commerce; Commerce : Consumer Finance,"Urge Congress evaluate credit reporting agencies, rating effects",House Financial Institutions Committee,To urge the United States Congress to review and evaluate credit reporting agencies and how credit scores and credit ratings create economic inequities.,https://www.legislature.ohio.gov/legislation/134/hcr4
HR0005,2021,134,Timothy E. Ginter,,As Adopted by the House,,Relative to employment and compensation of employees of the House of Representatives preparatory to and during House organization.,,,https://www.legislature.ohio.gov/legislation/134/hr5
HCR0005,2021,134,Thomas Hall,"Niraj Antani; Louis W. Blessing, III; Andrew O. Brenner; Jerry C. Cirino; Theresa Gavarone; Bob D. Hackett; Frank Hoagland; Jay Hottinger; Stephen A. Huffman; Terry Johnson; George F. Lang; Rob McColley; Sandra O'Brien; Bob Peterson; Bill Reineke; Kristina D. Roegner; Mark Romanchuk; Michael A. Rulli; Tim Schaffer; Steve Wilson",As Enrolled,Elections; State and Local Government,Urge Congress not to adopt HR 1 - 117th Congress,House State and Local Government Committee; Senate Local Government and Elections Committee,To urge the United States Congress not to adopt H.R. 1 of the 117th Congress.,https://www.legislature.ohio.gov/legislation/134/hcr5
HB0005,2021,134,Gayle Manning,"Nickie J. Antonio; Louis W. Blessing, III; Jerry C. Cirino; Hearcel F. Craig; Teresa Fedor; Theresa Gavarone; Bob D. Hackett; Frank Hoagland; Stephen A. Huffman; Terry Johnson; Nathan H. Manning; Bill Reineke; Mark Romanchuk; Michael A. Rulli; Kenny Yuko",As Enrolled,Health and Human Services : Substance Abuse & Addiction; Occupational Licensing and Regulation,Modify chemical dependency counselor licensing,House Health Committee; Senate Health Committee,"To amend sections 4758.20, 4758.42, and 4758.61 of the Revised Code to modify the requirements that may be met for licensure as a chemical dependency counselor II and to modify the professionals who may supervise certain individuals providing prevention services, and to amend the version of section 4758.20 of the Revised Code that is scheduled to take effect October 9, 2021, to continue the change on and after that date.",https://www.legislature.ohio.gov/legislation/134/hb5
HR0006,2021,134,Timothy E. Ginter,,As Adopted by the House,,To provide for the offering of the pledge of allegiance to the flag by the members of the House of Representatives at the opening session of each week.,,,https://www.legislature.ohio.gov/legislation/134/hr6
HB0006,2021,134,Bill Roemer,"Nickie J. Antonio; Louis W. Blessing, III; Andrew O. Brenner; Jerry C. Cirino; Hearcel F. Craig; Teresa Fedor; Theresa Gavarone; Bob D. Hackett; Stephen A. Huffman; Stephanie Kunze; George F. Lang; Tina Maharath; Sandra O'Brien; Bob Peterson; Bill Reineke; Kristina D. Roegner; Michael A. Rulli; Tim Schaffer; Vernon Sykes; Cecil Thomas; Steve Wilson; Kenny Yuko",As Enrolled,Education; Education : Higher Education; Education : Primary and Secondary Education; Health and Human Services : Health Care; Occupational Licensing and Regulation,Modify laws governing certain professions due to COVID-19,House State and Local Government Committee; Senate Government Oversight and Reform Committee,"To amend sections 3319.221, 4729.41, 4729.92, 4729.921, 4731.512, and 4928.66 and to enact sections 3792.03, 4729.42, and 4928.661 of the Revised Code and to amend Section 30 of H.B. 197 of the 133rd General Assembly to modify the laws governing certain health professionals and educator preparation programs due to COVID-19 and other circumstances and to modify the electric utility laws regarding energy efficiency programs; to amend the version of section 4729.92 of the Revised Code that is scheduled to take effect on October 9, 2021, to continue the changes to that section on and after that date; and to declare an emergency.",https://www.legislature.ohio.gov/legislation/134/hb6
HCR0006,2021,134,Stephanie D. Howse; Erica C. Crawley,"Willis E. Blackshear, Jr.; Kristin Boggs; Janine R. Boyd; Juanita O. Brent; Richard D. Brown; Jeffrey A. Crossman; Sedrick Denson; Tavia Galonski; Paula Hicks-Hudson; Catherine D. Ingram; Dontavius L. Jarrells; Brigid Kelly; David Leland; Michele Lepore-Hagan; Mary Lightbody; Beth Liston; Adam C. Miller; Joseph A. Miller, III; Jessica E. Miranda; Michael J. O'Brien; Phillip M. Robinson, Jr.; C. Allison Russo; Michael Sheehy; Michael J. Skindell; Kent Smith; Monique Smith; Lisa A. Sobecki; Bride Rose Sweeney; Emilia Strong Sykes; Terrence Upchurch; Casey Weinstein; Thomas West",As Introduced,Health and Human Services : Health Care; Health and Human Services : Public Health,Declare racism a public health crisis; ask for working group,House State and Local Government Committee,To declare racism a public health crisis and to ask the Governor to establish a working group to promote racial equity in Ohio.,https://www.legislature.ohio.gov/legislation/134/hcr6
HJR0006,2021,134,Brian Stewart,,As Introduced,Constitutional Amendment; Elections,CA: Require 60% vote for initiated constitutional amendment ,House Government Oversight Committee,"Proposing to amend Sections 1b, 1e, and 1g of Article II and Sections 1 and 3 of Article XVI of the Constitution of the State of Ohio to require a vote of at least 60% of the electors to approve any constitutional amendment.",https://www.legislature.ohio.gov/legislation/134/hjr6
HR0007,2021,134,Timothy E. Ginter,,As Adopted by the House,,Relative to attendance at conferences and meetings.,,,https://www.legislature.ohio.gov/legislation/134/hr7
HCR0007,2021,134,Marilyn S. John; Darrell Kick,"Louis W. Blessing, III; Andrew O. Brenner; Jerry C. Cirino; Hearcel F. Craig; Matt Dolan; Teresa Fedor; Theresa Gavarone; Bob D. Hackett; Frank Hoagland; Jay Hottinger; Terry Johnson; George F. Lang; Rob McColley; Sandra O'Brien; Bob Peterson; Bill Reineke; Mark Romanchuk; Michael A. Rulli; Tim Schaffer; Kirk Schuring; Vernon Sykes; Cecil Thomas; Steve Wilson; Kenny Yuko",As Enrolled,Military and Veterans,Urge Congress/Dept of Defense maintain C130 fleet,House Armed Services and Veterans Affairs Committee; Senate Veterans and Public Safety Committee,To urge the United States Congress and the United States Department of Defense to maintain the C-130 fleet at the United States Transportation Command's 2018 Mobility Capabilities and Requirements Study's recommendation of 300 aircraft and to recapitalize the Reserve Component C-130H fleet to the C-130J.,https://www.legislature.ohio.gov/legislation/134/hcr7
HB0007,2021,134,Diane V. Grendell; Brian Stewart,"Nickie J. Antonio; Louis W. Blessing, III; Jerry C. Cirino; Hearcel F. Craig; Teresa Fedor; Theresa Gavarone; Bob D. Hackett; Stephen A. Huffman; Terry Johnson; George F. Lang; Nathan H. Manning; Bob Peterson; Bill Reineke; Michael A. Rulli; Vernon Sykes; Cecil Thomas; Kenny Yuko",As Enrolled,"Courts and Civil Law; Courts and Civil Law : Civil Law; Courts and Civil Law : Wills, Trusts, and Estates; Health and Human Services : Mental Health and Disabilities","Revise Probate Law, Guardianship Law, and Ohio Trust Code",House Civil Justice Committee; Senate Judiciary Committee,"To amend sections 1721.21, 2101.15, 2106.13, 2108.05, 2108.06, 2108.07, 2108.23, 2108.24, 2108.34, 2111.10, 2111.50, 2133.07, 2701.10, 2717.01, 5122.15, 5804.11, 5805.06, 5816.02, 5816.05, 5816.06, 5816.09, 5816.10, and 5816.14; to amend, for the purpose of adopting a new section number as indicated in parentheses, section 2717.01 (2717.02); to enact new section 2717.01 and sections 2717.03, 2717.04, 2717.05, 2717.06, 2717.07, 2717.08, 2717.09, 2717.10, 2717.11, 2717.13, 2717.14, 2717.16, 2717.18, and 2717.19; and to repeal section 2133.16 of the Revised Code to make changes in the Probate Law, the Guardianship Law, the Ohio Trust Code, the Ohio Legacy Trust Act, the laws regarding cemetery endowment care trusts, referral of actions to a retired judge, involuntary mental health placements, and change of name procedures.",https://www.legislature.ohio.gov/legislation/134/hb7
HB0008,2021,134,Thomas West; Phil Plummer,"Nickie J. Antonio; Louis W. Blessing, III; Andrew O. Brenner; Jerry C. Cirino; Hearcel F. Craig; Matt Dolan; Teresa Fedor; Theresa Gavarone; Bob D. Hackett; Frank Hoagland; Stephen A. Huffman; Terry Johnson; Stephanie Kunze; Tina Maharath; Nathan H. Manning; Rob McColley; Bob Peterson; Michael A. Rulli; Tim Schaffer; Vernon Sykes; Cecil Thomas; Steve Wilson; Kenny Yuko",As Enrolled,"Crimes, Corrections, and Law Enforcement; Crimes, Corrections, and Law Enforcement : Crime and Punishment; Crimes, Corrections, and Law Enforcement : Law Enforcement; Juvenile and Family Law : Juvenile Justice",Revise electronic recording of custodial interrogations,House Criminal Justice Committee; Senate Judiciary Committee,"To amend sections 2152.75, 2901.10, 2921.45, and 2933.81 of the Revised Code to revise the law governing the electronic recording of custodial interrogations, to revise the prohibition against certain types of restraint or confinement of a pregnant woman or child who is charged with or has been convicted of an offense, and to declare an emergency.",https://www.legislature.ohio.gov/legislation/134/hb8
HR0008,2021,134,Timothy E. Ginter,,As Adopted by the House,,Relative to certain letters to be signed by the Speaker of the House on behalf of the House and sent to persons or groups in lieu of any resolutions on the subject.,,,https://www.legislature.ohio.gov/legislation/134/hr8
HCR0008,2021,134,Diane V. Grendell,Gary Click; Jay Edwards; Sarah Fowler Arthur; Haraz N. Ghanbari; Jennifer Gross; Mark Johnson; Kris Jordan; Jena Powell; Jean Schmidt; Scott Wiggam; Tom Young; Paul Zeltwanger,As Introduced,Employment : Unemployment,Create Investigative Comm on Unemployment Comp Fraud,House Government Oversight Committee,To create the Joint Select Investigative Committee on Unemployment Compensation Fraud.,https://www.legislature.ohio.gov/legislation/134/hcr8
HCR0009,2021,134,D. J. Swearingen; Thomas Hall,Cindy Abrams; Rick Carfagna; Timothy E. Ginter; Don Jones; Scott Oelslager; Phil Plummer; Bill Seitz,As Referred by Rules and Reference Committee,State and Local Government,Urge Treasury Department to provide fiscal recover funds to townships. ,House State and Local Government Committee,"To urge the United States Department of the Treasury to provide fiscal recovery funds to townships under the American Rescue Plan Act of 2021, Pub. L. No. 117-2.",https://www.legislature.ohio.gov/legislation/134/hcr9
HB0009,2021,134,J. Kyle Koehler,"Nickie J. Antonio; Louis W. Blessing, III; Andrew O. Brenner; Jerry C. Cirino; Hearcel F. Craig; Theresa Gavarone; Bob D. Hackett; Frank Hoagland; Jay Hottinger; Stephen A. Huffman; Terry Johnson; Stephanie Kunze; Nathan H. Manning; Michael A. Rulli; Vernon Sykes; Cecil Thomas; Sandra R. Williams; Steve Wilson; Kenny Yuko",As Enrolled,"Health and Human Services : Health Care; Health and Human Services : Public Health; Crimes, Corrections, and Law Enforcement : Crime and Punishment",Prohibit certain sales of dextromethorphan,House Health Committee; Senate Health Committee,To enact section 2925.62 of the Revised Code to prohibit sales of dextromethorphan without a prescription to persons under age 18.,https://www.legislature.ohio.gov/legislation/134/hb9
HR0009,2021,134,Timothy E. Ginter,,As Adopted by the House,,Relative to the appointment and salaries of the officials and employees of the House of Representatives and empowering the Chief Administrative Officer to sign vouchers.,,,https://www.legislature.ohio.gov/legislation/134/hr9
HR0010,2021,134,Rick Carfagna,,As Adopted by the House,,Adopts Rules of the House of Representatives.,,To adopt Rules of the House of Representatives for the 134th General Assembly.,https://www.legislature.ohio.gov/legislation/134/hr10
HB0010,2021,134,David Leland,"Kristin Boggs; Janine R. Boyd; Juanita O. Brent; Richard D. Brown; Jeffrey A. Crossman; Mary Lightbody; Adam C. Miller; Joseph A. Miller, III; Michael J. O'Brien; C. Allison Russo; Kent Smith; Casey Weinstein",As Introduced,Utilities  : Electric Utilities,Revise electric utility service law,House Public Utilities Committee,"To amend sections 4928.01, 4928.143, 4928.64, 4928.641, 4928.645, 4928.66, and 4928.6610; to enact sections 4928.81, 4928.82, 4928.821, 4928.822, 4928.823, 4928.824, 4928.825, 4928.826, 4928.827, 4928.828, 4928.829, 4928.83, 4928.84, 4928.86, 4928.87, 4928.90, 4928.91, and 4928.92; and to repeal sections 3706.40, 3706.41, 3706.43, 3706.431, 3706.45, 3706.46, 3706.49, 3706.53, 3706.55, 3706.59, 3706.61, 3706.63, 3706.65, 4928.148, 4928.47, 4928.471, 4928.642, 4928.75, and 5727.231 of the Revised Code and to repeal Section 5 of H.B. 6 of the 133rd General Assembly to make changes regarding electric utility service law, to allow the implementation of energy waste reduction programs, and to repeal certain provisions of H.B. 6 of the 133rd General Assembly.",https://www.legislature.ohio.gov/legislation/134/hb10
HCR0010,2021,134,Brigid Kelly; Lisa A. Sobecki,"Willis E. Blackshear, Jr.; Kristin Boggs; Janine R. Boyd; Juanita O. Brent; Richard D. Brown; Erica C. Crawley; Jeffrey A. Crossman; Sedrick Denson; Tavia Galonski; Paula Hicks-Hudson; Stephanie D. Howse; Catherine D. Ingram; Dontavius L. Jarrells; David Leland; Michele Lepore-Hagan; Mary Lightbody; Beth Liston; Adam C. Miller; Joseph A. Miller, III; Jessica E. Miranda; Michael J. O'Brien; Phillip M. Robinson, Jr.; C. Allison Russo; Michael Sheehy; Michael J. Skindell; Kent Smith; Monique Smith; Bride Rose Sweeney; Emilia Strong Sykes; Daniel P. Troy; Terrence Upchurch; Casey Weinstein; Thomas West",As Introduced,Employment; Employment : Collective Bargaining,Urge Congress enact Protecting the Right to Organize Act of 2021. ,House Commerce and Labor Committee,To urge the Congress of the United States to enact the Protecting the Right to Organize Act of 2021.,https://www.legislature.ohio.gov/legislation/134/hcr10
HR0011,2021,134,Bill Roemer,,As Adopted by the House,,"Honoring Antoine ""A.J."" Campbell, Jr. as a 2020 All-Ohio Division III Defensive Player of the Year in football.
",House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/134/hr11
HB0011,2021,134,Michael Sheehy; Paula Hicks-Hudson,"Erica C. Crawley; Michele Lepore-Hagan; Mary Lightbody; Joseph A. Miller, III; C. Allison Russo; Bill Seitz; Kent Smith; Lisa A. Sobecki; Bride Rose Sweeney; Casey Weinstein; Thomas West",As Introduced,"Crimes, Corrections, and Law Enforcement : Law Enforcement",Create law enforcement officer database for hiring,House State and Local Government Committee,To enact section 109.96 of the Revised Code to require the Attorney General to create a law enforcement officer database for hiring eligibility.,https://www.legislature.ohio.gov/legislation/134/hb11
HCR0011,2021,134,Tavia Galonski; Emilia Strong Sykes,"Willis E. Blackshear, Jr.; Janine R. Boyd; Richard D. Brown; Gary Click; Erica C. Crawley; Jeffrey A. Crossman; Sedrick Denson; Sarah Fowler Arthur; Haraz N. Ghanbari; Jennifer Gross; Paula Hicks-Hudson; James M. Hoops; Stephanie D. Howse; Catherine D. Ingram; Dontavius L. Jarrells; Brigid Kelly; Laura Lanese; Michele Lepore-Hagan; Mary Lightbody; Adam C. Miller; Joseph A. Miller, III; Jessica E. Miranda; Craig S. Riedel; Phillip M. Robinson, Jr.; C. Allison Russo; Michael Sheehy; Michael J. Skindell; Kent Smith; Monique Smith; Lisa A. Sobecki; Bride Rose Sweeney; Daniel P. Troy; Terrence Upchurch; Casey Weinstein; Thomas West",As Introduced,National or International Resolution,Urge Inventors Hall of Fame to induct Dr. Patricia Era Bath. ,House Health Committee,To urge the National Inventors Hall of Fame to induct Dr. Patricia Era Bath.,https://www.legislature.ohio.gov/legislation/134/hcr11
HB0012,2021,134,Diane V. Grendell,Kris Jordan; Gail K. Pavliga; Jena Powell; A. Nino Vitale; Scott Wiggam; Paul Zeltwanger,As Introduced,Courts and Civil Law; Courts and Civil Law : Civil Law; State and Local Government : Public Officials and Employees,Provide enforcement mechanism for certain constitutional rights,House Civil Justice Committee,To enact sections 2731.21 and 2731.22 of the Revised Code to provide for a writ of mandamus or prohibition to enforce a person's constitutional right against a chief administrative officer or elected executive official whose duty is to uphold the Ohio and United States Constitutions.,https://www.legislature.ohio.gov/legislation/134/hb12
