bill_number,session_year,session_num,sponsors,cosponsors,status,subjects,title,committees,long_title,bill_url
HCR0004,2023_2024,135,Adam C. Bird; Phil Plummer,,As Introduced,National or International Resolution,Urge Congress enact law re: trains carrying hazardous materials,House Government Oversight Committee,To urge the United States Congress to pass legislation requiring railroad companies and the U.S. Department of Transportation to inform local and state government officials when trains carrying potentially hazardous materials travel through their respective jurisdictions.,https://www.legislature.ohio.gov/legislation/135/hcr4
HR0004,2023_2024,135,Scott Oelslager,,As Adopted by the House,,Relative to employment and compensation of employees of the House of Representatives preparatory to and during House organization.,,,https://www.legislature.ohio.gov/legislation/135/hr4
HB0004,2023_2024,135,Tom Young; Angela N. King,,As Introduced,Commerce; Commerce : Financial Institutions; Economic Development; Retirement,"Regards certain economic boycotts, discrimination by businesses ",House Financial Institutions Committee,To declare the General Assembly's intention to enact legislation regarding financial institutions and other businesses that conduct economic boycotts or discriminate against certain companies or customers based on certain factors.,https://www.legislature.ohio.gov/legislation/135/hb4
HJR0005,2023_2024,135,Ron Ferguson; Nick Santucci,Tim Barhorst; Sean P. Brennan; Thaddeus J. Claggett; Bill Dean; Steve Demetriou; Sarah Fowler Arthur; Jennifer Gross; Thomas Hall; Don Jones; Roy Klopfenstein; P. Scott Lipps; Brian Lorenz; Mike Loychik; Riordan T. McClain; Brian Stewart; Reggie Stoltzfus; Scott Wiggam; Josh Williams; Tom Young,As Reported by the House Energy and Natural Resources Committee,Constitutional Amendment; Environment and Natural Resources; Environment and Natural Resources : Hunting and Fishing,CA: Establish constitutional right to hunt and fish,House Energy and Natural Resources Committee,Proposing to enact Section 23 of Article I of the Constitution of the State of Ohio to establish a constitutional right to hunt and fish.,https://www.legislature.ohio.gov/legislation/135/hjr5
HB0005,2023_2024,135,Sharon A. Ray; Rachel B. Baker,"Munira Abdullahi; Cindy Abrams; Tim Barhorst; Willis E. Blackshear, Jr.; Sean P. Brennan; Juanita O. Brent; Darnell T. Brewer; Richard D. Brown; Jamie Callender; Sara P. Carruthers; Thaddeus J. Claggett; Jon Cross; Richard Dell'Aquila; Steve Demetriou; Sedrick Denson; Dave Dobos; Jay Edwards; Elliot Forhan; Sarah Fowler Arthur; Tavia Galonski; Michele Grim; Thomas Hall; Brett Hudson Hillyer; James M. Hoops; Dani Isaacsohn; Dontavius L. Jarrells; Marilyn S. John; Mark Johnson; Don Jones; Darrell Kick; Angela N. King; Roy Klopfenstein; Brian E. Lampton; Mary Lightbody; Beth Liston; Mike Loychik; Gayle Manning; Adam Mathews; Lauren McNally; Joseph A. Miller, III; Melanie Miller; Jessica E. Miranda; Thomas F. Patton; Gail K. Pavliga; Bob Peterson; Justin Pizzulli; Tracy M. Richardson; Monica Robb Blasdel; Phillip M. Robinson, Jr.; Elgin Rogers, Jr.; C. Allison Russo; Jean Schmidt; Bill Seitz; Anita Somani; Dick Stein; D. J. Swearingen; Bride Rose Sweeney; Cecil Thomas; Daniel P. Troy; Terrence Upchurch; Andrea White; Josh Williams; Bernard Willis; Tom Young",As Passed by the House,Juvenile and Family Law : Adoption,Modernize the adoption process,House Families and Aging Committee; Senate Judiciary Committee,"To amend sections 2101.24, 2151.412, 2151.414, 2937.02, 3107.01, 3107.011, 3107.02, 3107.03, 3107.04, 3107.05, 3107.055, 3107.06, 3107.07, 3107.08, 3107.082, 3107.083, 3107.084, 3107.11, 3107.12, 3107.14, 3107.16, 3107.161, 3107.17, 3107.18, 3107.19, 3107.46, 5103.15, 5103.153, and 5103.16; to amend, for the purpose of adopting a new section number as indicated in parentheses, section 3107.051 (3107.052); to enact new section 3107.051 and section 3107.20; and to repeal sections 3107.071 and 3107.13 of the Revised Code to modernize adoption laws.",https://www.legislature.ohio.gov/legislation/135/hb5
HCR0005,2023_2024,135,"Joseph A. Miller, III; Adam Holmes","Cindy Abrams; Tim Barhorst; Sean P. Brennan; Juanita O. Brent; Darnell T. Brewer; Jamie Callender; Sara P. Carruthers; Thaddeus J. Claggett; Gary Click; Rodney Creech; Jon Cross; Richard Dell'Aquila; Steve Demetriou; Dave Dobos; Elliot Forhan; Tavia Galonski; Haraz N. Ghanbari; Michele Grim; Jennifer Gross; Thomas Hall; James M. Hoops; Latyna M. Humphrey; Dani Isaacsohn; Dontavius L. Jarrells; Marilyn S. John; Mark Johnson; Don Jones; Darrell Kick; Angela N. King; Roy Klopfenstein; Jeff LaRe; Brian E. Lampton; Beth Lear; Mary Lightbody; P. Scott Lipps; Beth Liston; Brian Lorenz; Adam Mathews; Adam C. Miller; Kevin D. Miller; Melanie Miller; Thomas F. Patton; Sharon A. Ray; Tracy M. Richardson; Monica Robb Blasdel; Phillip M. Robinson, Jr.; Elgin Rogers, Jr.; C. Allison Russo; Jean Schmidt; Bill Seitz; Michael J. Skindell; Anita Somani; Dick Stein; Andrea White; Josh Williams; Bernard Willis; Bob Young",As Adopted by the House,Special Designations,Support Ohio Commission for the United States Semiquincentennial ,House State and Local Government Committee; Senate Local Government Committee,To support and encourage the work of the Ohio Commission for the United States Semiquincentennial in celebrating the nation's 250th anniversary.,https://www.legislature.ohio.gov/legislation/135/hcr5
HR0005,2023_2024,135,Scott Oelslager,,As Adopted by the House,,To provide for the offering of the pledge of allegiance to the flag by the members of the House of Representatives at the opening session of each week.,,,https://www.legislature.ohio.gov/legislation/135/hr5
HCR0006,2023_2024,135,Angela N. King; Phil Plummer,"Nickie J. Antonio; Andrew O. Brenner; Jerry C. Cirino; Hearcel F. Craig; William P. DeMora; Matt Dolan; Theresa Gavarone; Paula Hicks-Hudson; Stephen A. Huffman; Catherine D. Ingram; Terry Johnson; Stephanie Kunze; Al Landis; Nathan H. Manning; Sandra O'Brien; Bill Reineke; Michele Reynolds; Kristina D. Roegner; Mark Romanchuk; Tim Schaffer; Kent Smith; Vernon Sykes; Shane Wilkin; Cindy Abrams; Tim Barhorst; Sean P. Brennan; Gary Click; Rodney Creech; Richard Dell'Aquila; Steve Demetriou; Dave Dobos; Jay Edwards; Elliot Forhan; Tavia Galonski; Haraz N. Ghanbari; Michele Grim; Jennifer Gross; Thomas Hall; Brett Hudson Hillyer; James M. Hoops; Latyna M. Humphrey; Dani Isaacsohn; Marilyn S. John; Mark Johnson; Don Jones; Darrell Kick; Beth Lear; Mary Lightbody; Beth Liston; Brian Lorenz; Gayle Manning; Adam Mathews; Adam C. Miller; Joseph A. Miller, III; Ismail Mohamed; Scott Oelslager; Bob Peterson; Sharon A. Ray; Monica Robb Blasdel; C. Allison Russo; Jean Schmidt; Bill Seitz; Anita Somani; Bride Rose Sweeney; Daniel P. Troy; Andrea White; Josh Williams; Tom Young",As Enrolled,Retirement; State and Local Government : Public Officials and Employees,Urge Congress to repeal Windfall Elimination,House Pensions Committee; Senate Government Oversight Committee,To urge Congress to repeal the Windfall Elimination Provision and the Government Pension Offset.,https://www.legislature.ohio.gov/legislation/135/hcr6
HB0006,2023_2024,135,Jena Powell,Tim Barhorst; Adam C. Bird; Gary Click; Rodney Creech; Al Cutrona; Bill Dean; Steve Demetriou; Jennifer Gross; Thomas Hall; Mark Johnson; Kris Jordan; Darrell Kick; Angela N. King; Roy Klopfenstein; Jeff LaRe; Beth Lear; Susan Manchester; Adam Mathews; Derek Merrin; Kevin D. Miller; Melanie Miller; Phil Plummer; Tracy M. Richardson; Nick Santucci; Jean Schmidt; Dick Stein; Brian Stewart; Reggie Stoltzfus; Jim Thomas; Scott Wiggam; Josh Williams; Bernard Willis; Tom Young,As Reported by the House Higher Education Committee,Education; Education : Higher Education; Education : Primary and Secondary Education,Enact the Save Women's Sports Act,House Higher Education Committee,"To enact sections 3313.5319 and 3345.562 of the Revised Code to enact the Save Women's Sports Act to require schools, state institutions of higher education, and private colleges to designate separate single-sex teams and sports for each sex.",https://www.legislature.ohio.gov/legislation/135/hb6
HR0006,2023_2024,135,Scott Oelslager,,As Adopted by the House,,Relative to attendance at conferences and meetings.,,,https://www.legislature.ohio.gov/legislation/135/hr6
HJR0006,2023_2024,135,Beth Lear; Scott Wiggam,Bill Dean; Jennifer Gross; Mark Johnson; Roy Klopfenstein,As Introduced,State and Local Government : Local Government; Taxation,CA: Limit property tax increases to four per cent per year,House Ways and Means Committee,Proposing to enact Section 23 of Article I of the Constitution of the State of Ohio to limit property tax increases for a property owner to not more than four per cent per year.,https://www.legislature.ohio.gov/legislation/135/hjr6
HB0007,2023_2024,135,Andrea White; Latyna M. Humphrey,"Munira Abdullahi; Cindy Abrams; Rachel B. Baker; Sean P. Brennan; Juanita O. Brent; Darnell T. Brewer; Richard D. Brown; Jamie Callender; Richard Dell'Aquila; Sedrick Denson; Dave Dobos; Jay Edwards; Elliot Forhan; Michele Grim; Dani Isaacsohn; Dontavius L. Jarrells; Don Jones; Beth Liston; Gayle Manning; Adam Mathews; Lauren McNally; Adam C. Miller; Joseph A. Miller, III; Melanie Miller; Ismail Mohamed; Scott Oelslager; Thomas F. Patton; Beryl Piccolantonio; Phillip M. Robinson, Jr.; C. Allison Russo; Bill Seitz; Veronica Sims; Michael J. Skindell; Jason Stephens; Cecil Thomas; Daniel P. Troy; Terrence Upchurch; Casey Weinstein; Jodi Whitted; Josh Williams; Tom Young",As Passed by the House,Health and Human Services; Health and Human Services : Health Care; Health and Human Services : Mental Health and Disabilities; Health and Human Services : Public Assistance; Health and Human Services : Public Health,Enact the Strong Foundations Act,House Families and Aging Committee; House Finance Committee; House Rules and Reference Committee; Senate Finance Committee,"To amend sections 3701.61, 3701.611, 5101.342, 5123.0421, and 5123.33, to enact sections 3902.63, 5101.91, 5104.291, and 5120.658 of the Revised Code, and to repeal Section 105.40 of H.B. 33 of the 135th General Assembly to support strong foundations for Ohio mothers and babies in their first one thousand days to address maternal and infant mortality, to improve health, developmental, and learning outcomes for babies and mothers through expanded prenatal, postnatal, infant, and toddler health care and early intervention and wraparound services and supports; to amend the versions of sections 5180.21, 5180.22, and 5180.32 of the Revised Code that are scheduled to take effect January 1, 2025, to continue those changes on and after that date; to designate those provisions the Strong Foundations Act; to require health plan issuers to cover hearing aids and related services for persons age twenty-one and younger; and to make appropriations.",https://www.legislature.ohio.gov/legislation/135/hb7
HCR0007,2023_2024,135,Rodney Creech; Bob Peterson,"Cindy Abrams; Tim Barhorst; Adam C. Bird; Sean P. Brennan; Sara P. Carruthers; Gary Click; Jon Cross; Richard Dell'Aquila; Steve Demetriou; Dave Dobos; Jay Edwards; Elliot Forhan; Sarah Fowler Arthur; Haraz N. Ghanbari; Michele Grim; Jennifer Gross; Thomas Hall; Brett Hudson Hillyer; Adam Holmes; James M. Hoops; Dani Isaacsohn; Marilyn S. John; Mark Johnson; Don Jones; Darrell Kick; Roy Klopfenstein; Brian E. Lampton; Brian Lorenz; Mike Loychik; Gayle Manning; Adam Mathews; Lauren McNally; Joseph A. Miller, III; Kevin D. Miller; Melanie Miller; Gail K. Pavliga; Phil Plummer; Sharon A. Ray; Monica Robb Blasdel; Bill Roemer; Bill Seitz; Michael J. Skindell; Anita Somani; Brian Stewart; D. J. Swearingen; Cecil Thomas; Andrea White; Josh Williams; Bernard Willis",As Adopted by the House,National or International Resolution; State and Local Government; Transportation,"Urge Congress to make daylight saving time permanent
",House State and Local Government Committee; Senate General Government Committee,To urge Congress to make daylight saving time the permanent standard time.,https://www.legislature.ohio.gov/legislation/135/hcr7
HR0007,2023_2024,135,Scott Oelslager,,As Adopted by the House,,Relative to certain letters to be signed by the Speaker of the House on behalf of the House and sent to persons or groups in lieu of any resolutions on the subject.,,,https://www.legislature.ohio.gov/legislation/135/hr7
HJR0007,2023_2024,135,Scott Wiggam; Tom Young,Rodney Creech; Bill Dean; Jennifer Gross; Thomas Hall; Darrell Kick; Angela N. King; Beth Lear; Reggie Stoltzfus; D. J. Swearingen,As Introduced,Constitutional Amendment; Elections; State and Local Government : Public Officials and Employees,CA: Adopt the American Allegiance Amendment,House Constitutional Resolutions Committee,Proposing to enact Section 5 of Article XV of the Constitution of the State of Ohio to adopt the American Allegiance Amendment to prohibit individuals with citizenship in other countries from holding elected public offices.,https://www.legislature.ohio.gov/legislation/135/hjr7
HCR0008,2023_2024,135,Thomas F. Patton; Brian E. Lampton,"Munira Abdullahi; Cindy Abrams; Rachel B. Baker; Tim Barhorst; Adam C. Bird; Willis E. Blackshear, Jr.; Sean P. Brennan; Juanita O. Brent; Darnell T. Brewer; Jamie Callender; Sara P. Carruthers; Thaddeus J. Claggett; Gary Click; Rodney Creech; Bill Dean; Richard Dell'Aquila; Steve Demetriou; Sedrick Denson; Dave Dobos; Elliot Forhan; Sarah Fowler Arthur; Tavia Galonski; Haraz N. Ghanbari; Michele Grim; Thomas Hall; Brett Hudson Hillyer; Adam Holmes; James M. Hoops; Dani Isaacsohn; Dontavius L. Jarrells; Marilyn S. John; Mark Johnson; Don Jones; Darrell Kick; Angela N. King; Roy Klopfenstein; Beth Lear; Mary Lightbody; Beth Liston; Brian Lorenz; Mike Loychik; Gayle Manning; Adam Mathews; Riordan T. McClain; Lauren McNally; Derek Merrin; Adam C. Miller; Joseph A. Miller, III; Kevin D. Miller; Melanie Miller; Jessica E. Miranda; Scott Oelslager; Gail K. Pavliga; Bob Peterson; Justin Pizzulli; Phil Plummer; Sharon A. Ray; Tracy M. Richardson; Monica Robb Blasdel; Bill Roemer; Elgin Rogers, Jr.; C. Allison Russo; Nick Santucci; Jean Schmidt; Bill Seitz; Dick Stein; Jason Stephens; Bride Rose Sweeney; Cecil Thomas; Jim Thomas; Terrence Upchurch; Andrea White; Josh Williams; Bernard Willis; Bob Young; Tom Young",As Adopted by the House,Economic Development; Military and Veterans; National or International Resolution,Urge selection of Ohio as headquarters of the U.S. Space Command,House Aviation and Aerospace Committee; Senate Veterans and Public Safety Committee,To urge the federal government to select Ohio for the permanent headquarters of the United States Space Command.,https://www.legislature.ohio.gov/legislation/135/hcr8
HB0008,2023_2024,135,D. J. Swearingen; Sara P. Carruthers,Cindy Abrams; Tim Barhorst; Adam C. Bird; Gary Click; Rodney Creech; Jon Cross; Al Cutrona; Steve Demetriou; Dave Dobos; Jay Edwards; Sarah Fowler Arthur; Haraz N. Ghanbari; Jennifer Gross; Thomas Hall; Adam Holmes; Marilyn S. John; Don Jones; Darrell Kick; Beth Lear; Brian Lorenz; Adam Mathews; Riordan T. McClain; Melanie Miller; Tracy M. Richardson; Monica Robb Blasdel; Jean Schmidt; Dick Stein; Brian Stewart; Scott Wiggam; Josh Williams; Bernard Willis; Bob Young,As Passed by the House,Education; Education : Primary and Secondary Education,Enact the Parents' Bill of Rights,House Primary and Secondary Education Committee; Senate Education Committee,"To amend sections 3314.03 and 3326.11 and to enact section 3313.473 of the Revised Code to enact the ""Parents' Bill of Rights"" to require public schools to adopt a policy on parental notification on student health and well-being and instructional materials with sexuality content.",https://www.legislature.ohio.gov/legislation/135/hb8
HR0008,2023_2024,135,Scott Oelslager,,As Adopted by the House,,Relative to the appointment and salaries of the officials and employees of the House of Representatives and empowering the Chief Administrative Officer to sign vouchers.,,,https://www.legislature.ohio.gov/legislation/135/hr8
HCR0009,2023_2024,135,Jennifer Gross; Bernard Willis,Tim Barhorst; Thaddeus J. Claggett; Gary Click; Rodney Creech; Bill Dean; Steve Demetriou; Ron Ferguson; Darrell Kick; Angela N. King; Roy Klopfenstein; Beth Lear; Brian Lorenz; Riordan T. McClain; Phil Plummer; Dick Stein; Scott Wiggam,As Introduced,Military and Veterans,Adopt Restoration of America's Readiness (ROAR) Resolution,House Homeland Security Committee,"To urge the United States Congress to restore the Department of Defense's superior warfighting principles of recruiting, assigning, training, promoting, and retaining personnel solely based on merit and ensuring such personnel maintain and display a warrior ethos, and to name this resolution the ""Restoration of America's Readiness (ROAR) Resolution.""",https://www.legislature.ohio.gov/legislation/135/hcr9
HR0009,2023_2024,135,Jason Stephens; C. Allison Russo,,As Adopted by the House,,Relative to travel allowance.,,,https://www.legislature.ohio.gov/legislation/135/hr9
HB0009,2023_2024,135,Gayle Manning; Mary Lightbody,,As Introduced,Finance and Appropriations; Education; Education : Higher Education; Education : Primary and Secondary Education,Establish the Grow Your Own Teacher Program,House Primary and Secondary Education Committee,"To amend sections 3314.03, 3319.223, 3319.26, and 3326.11 and to enact sections 3319.225, 3319.58, 3333.393, and 3333.394 of the Revised Code and to amend the version of section 3319.26 of the Revised Code that is scheduled to take effect on December 29, 2023, to continue the changes on and after that date, to establish the Grow Your Own Teacher Program, to establish a loan repayment program for eligible teachers, to make changes to teacher licensing and professional development, and to make an appropriation.",https://www.legislature.ohio.gov/legislation/135/hb9
HCR0010,2023_2024,135,"Lauren McNally; Elgin Rogers, Jr.",Sean P. Brennan; Richard Dell'Aquila; Sedrick Denson; Elliot Forhan; Michele Grim; Dani Isaacsohn; C. Allison Russo,As Introduced,Public Safety; Employment; State and Local Government,Recognize lifeguard shortage impact; encourage lifeguard careers,House Economic and Workforce Development Committee,To recognize the impact of the lifeguard shortage in Ohio and encourage individuals to consider a career as a lifeguard.,https://www.legislature.ohio.gov/legislation/135/hcr10
HR0010,2023_2024,135,Scott Oelslager,,As Adopted by the House,,"Relative to the election of the majority floor leader, the assistant majority floor leader, the majority whip, and the assistant majority whip for the 135th General Assembly of Ohio.",,,https://www.legislature.ohio.gov/legislation/135/hr10
HB0010,2023_2024,135,Jamie Callender; Bride Rose Sweeney,,As Introduced,Education; Education : Primary and Secondary Education,Continue phasing-in the school financing system,House Finance Committee,"To express the intent of the General Assembly to continue phasing-in the school financing system established in H.B. 110 of the 134th General Assembly and, if practicable, fully phase it in.",https://www.legislature.ohio.gov/legislation/135/hb10
HCR0011,2023_2024,135,Roy Klopfenstein; Angela N. King,Cindy Abrams; Tim Barhorst; Adam C. Bird; Sean P. Brennan; Jamie Callender; Sara P. Carruthers; Thaddeus J. Claggett; Gary Click; Rodney Creech; Al Cutrona; Jack K. Daniels; Bill Dean; Richard Dell'Aquila; Steve Demetriou; Dave Dobos; Jay Edwards; Elliot Forhan; Sarah Fowler Arthur; Haraz N. Ghanbari; Jennifer Gross; Thomas Hall; Brett Hudson Hillyer; Adam Holmes; James M. Hoops; Marilyn S. John; Mark Johnson; Don Jones; Darrell Kick; Jeff LaRe; Beth Lear; Brian Lorenz; Susan Manchester; Adam Mathews; Riordan T. McClain; Derek Merrin; Kevin D. Miller; Melanie Miller; Ismail Mohamed; Scott Oelslager; Thomas F. Patton; Gail K. Pavliga; Bob Peterson; Justin Pizzulli; Phil Plummer; Sharon A. Ray; Tracy M. Richardson; Monica Robb Blasdel; Bill Roemer; Nick Santucci; Jean Schmidt; Bill Seitz; Dick Stein; D. J. Swearingen; Cecil Thomas; Andrea White; Scott Wiggam; Josh Williams; Bernard Willis; Tom Young,As Adopted by the House,Health and Human Services : Substance Abuse & Addiction; National or International Resolution,Condemn People's Republic of China for global drug trade role,House Criminal Justice Committee; Senate Veterans and Public Safety Committee,"To condemn the People's Republic of China for its role in the global drug trade, especially in its capacity as the largest point of origin of fentanyl smuggled to the United States.",https://www.legislature.ohio.gov/legislation/135/hcr11
HR0011,2023_2024,135,Scott Oelslager,Jon Cross; James M. Hoops; Sharon A. Ray; Bill Seitz,As Adopted by the House,,To adopt Rules of the House of Representatives for the 135th General Assembly.,,,https://www.legislature.ohio.gov/legislation/135/hr11
