bill_number,session_year,session_num,sponsors,cosponsors,status,subjects,title,committees,long_title,bill_url
HB0054,2019,133,Jack Cera; John M. Rogers,"John Becker; Richard D. Brown; Randi Clites; Erica C. Crawley; Jeffrey A. Crossman; Stephen D. Hambley; Catherine D. Ingram; Brigid Kelly; Michele Lepore-Hagan; Beth Liston; Joseph A. Miller, III; Jessica E. Miranda; Michael J. O'Brien; John Patterson; Phillip M. Robinson, Jr.; Bride Rose Sweeney; Emilia Strong Sykes; Terrence Upchurch; Casey Weinstein",As Introduced,Finance and Appropriations; State and Local Government : Local Government; Taxation,Increase tax revenue allocated to the Local Government Fund,House Ways and Means Committee,"To amend section 131.51 of the Revised Code to increase the proportion of state tax revenue allocated to the Local Government Fund from 1.66% to 3.53% beginning July 1, 2019. ",https://www.legislature.ohio.gov/legislation/133/hb54
HR0054,2019,133,"Larry Householder; Niraj J. Antani; Steven M. Arndt; Brian Baldridge; John Becker; Richard D. Brown; Jamie Callender; Rick Carfagna; Sara P. Carruthers; Jack Cera; Erica C. Crawley; Jon Cross; Jeffrey A. Crossman; Robert R. Cupp; Anthony DeVitis; Jay Edwards; Brett Hudson Hillyer; James M. Hoops; Don Jones; Kris Jordan; Candice Keller; Laura Lanese; George F. Lang; David Leland; P. Scott Lipps; Susan Manchester; Don Manning; Gayle Manning; Riordan T. McClain; Adam C. Miller; Joseph A. Miller, III; Jessica E. Miranda; Michael J. O'Brien; Scott Oelslager; John Patterson; Rick Perales; Tracy M. Richardson; Craig S. Riedel; Mark J. Romanchuk; Scott Ryan; Tim Schaffer; Michael Sheehy; Michael J. Skindell; Kent Smith; Ryan Smith; J. Todd Smith; Lisa A. Sobecki; Reggie Stoltzfus; Thomas West; Casey Weinstein",Emilia Strong Sykes,As Adopted by the House,,Honoring the American Legion Department of Ohio on the Centennial of the American Legion.,House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/133/hr54
HB0055,2019,133,Jack Cera,Jeffrey A. Crossman; Adam C. Miller; Michael J. O'Brien; Craig S. Riedel; John M. Rogers; Gary Scherer; Kent Smith,As Introduced,Environment and Natural Resources; Environment and Natural Resources : Oil and Gas,Require oil and gas well royalty statements,House Energy and Natural Resources Committee,To amend sections 1509.30 and 1509.99 of the Revised Code to require the owner of an oil or gas well to provide a royalty statement to the royalty interest holder when the owner makes payment to the holder.,https://www.legislature.ohio.gov/legislation/133/hb55
HR0055,2019,133,John Becker,Niraj J. Antani; Thomas E. Brinkman Jr.; Jim Butler; Bill Dean; Ron Hood; Candice Keller; George F. Lang; Don Manning; Riordan T. McClain; Derek Merrin; Jena Powell; Craig S. Riedel; Mark J. Romanchuk; Tim Schaffer; Bill Seitz; A. Nino Vitale; Paul Zeltwanger,As Introduced,,To urge Congress to appropriate funds to build a physical barrier along the southern border of the United States.,House Transportation and Public Safety Committee,,https://www.legislature.ohio.gov/legislation/133/hr55
HB0056,2019,133,Jack Cera,Erica C. Crawley; Michele Lepore-Hagan; John M. Rogers,As Introduced,Environment and Natural Resources; Taxation; Utilities  : Electric Utilities,Allocate kilowatt-hour excise tax for mine reclamation/safety,House Energy and Natural Resources Committee,"To amend sections 1513.37, 1561.24, and 5727.81 of the Revised Code to allocate 3.75% of kilowatt-hour excise tax revenue for mine reclamation, mine drainage abatement, and mine safety.",https://www.legislature.ohio.gov/legislation/133/hb56
HR0056,2019,133,Jay Edwards,,As Adopted by the House,,Honoring the Ohio University football team on winning the 2018 DXL Frisco Bowl.,House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/133/hr56
HB0057,2019,133,John Patterson; Jack Cera,John Becker; Michael J. O'Brien; Craig S. Riedel; John M. Rogers; A. Nino Vitale,As Introduced,Taxation,Exempt certain heat sources from sales tax; limit local impact,House Ways and Means Committee,"To amend sections 131.44, 131.51, and 5739.02 and to enact sections 5739.212 and 5741.033 of the Revised Code to exempt certain heating sources from sales taxation and to hold local governments and libraries harmless from the revenue effect. ",https://www.legislature.ohio.gov/legislation/133/hb57
HR0057,2019,133,Brett Hudson Hillyer,,As Adopted by the House,,Honoring Brennan Coil as the 2019 NAIA Indoor Shot Put National Champion.,House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/133/hr57
HB0058,2019,133,Tim Schaffer,Niraj J. Antani; John Becker; Stephen D. Hambley; Ron Hood; Candice Keller; J. Kyle Koehler; Derek Merrin; Craig S. Riedel; Mark J. Romanchuk; Gary Scherer; Bill Seitz; A. Nino Vitale,As Introduced,Health and Human Services : Public Assistance,Establish requirements for SNAP electronic benefit transfer cards,House Health Committee,"To amend sections 4501.27, 5101.33, and 5101.542 and to enact section 5101.331 of the Revised Code to establish requirements for electronic benefit transfer cards issued under the Supplemental Nutrition Assistance Program.",https://www.legislature.ohio.gov/legislation/133/hb58
HR0058,2019,133,Brett Hudson Hillyer,,As Adopted by the House,,Honoring Wendy Zucal as the 2019 Ohio Museums Association Professional of the Year.,House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/133/hr58
HB0059,2019,133,Scott Wiggam,"Nickie J. Antonio; William P. Coley, II; Hearcel F. Craig; Teresa Fedor; Theresa Gavarone; Bob D. Hackett; Frank Hoagland; Matt Huffman; Stephen A. Huffman; Stephanie Kunze; Peggy Lehner; Tina Maharath; Nathan H. Manning; Sean J. O'Brien; Larry Obhof; Bob Peterson; Kristina D. Roegner; Michael A. Rulli; Tim Schaffer; Kirk Schuring; Cecil Thomas; Sandra R. Williams; Steve Wilson; Kenny Yuko",As Enrolled,Environment and Natural Resources; Special Designations; Special Designations : Observances,Designate April as Ohio Native Plant Month,House State and Local Government Committee; Senate Agriculture and Natural Resources Committee,"To enact section 5.2514 of the Revised Code to designate the month of April as ""Ohio Native Plant Month.""",https://www.legislature.ohio.gov/legislation/133/hb59
