bill_number,session_year,session_num,action_date,chamber,action,committee,order
HCR0006,2019,133,2019-03-06,House,Adopted,,2
HCR0006,2019,133,2019-02-19,House,Introduced and Referred to Committee,Commerce and Labor,1
HR0006,2019,133,2019-01-07,House,Adopted,,1
HB0007,2019,133,2021-04-12,,Effective,,12
HB0007,2019,133,2021-01-06,,Signed By The Governor,,11
HB0007,2019,133,2020-12-17,House,Concurred in Senate amendments,,10
HB0007,2019,133,2020-12-16,House,Amendments laid over under the rule,,9
HB0007,2019,133,2020-12-09,Senate,Passed,,8
HB0007,2019,133,2020-12-08,Senate,Reported - Substitute,Finance,7
HB0007,2019,133,2019-07-17,Senate,Referred to committee,Finance,6
HB0007,2019,133,2019-06-24,Senate,Introduced,,5
HB0007,2019,133,2019-06-20,House,Passed - Amended,,4
HB0007,2019,133,2019-06-19,House,Reported - Substitute,Finance,3
HB0007,2019,133,2019-05-14,House,Referred to committee,Finance,2
HB0007,2019,133,2019-05-13,House,Introduced,,1
HCR0007,2019,133,2019-03-14,Senate,Adopted,,2
HCR0007,2019,133,2019-03-13,House,Adopted,,1
HR0007,2019,133,2019-01-10,House,Adopted,,1
HB0008,2019,133,2021-01-22,,Effective,,12
HB0008,2019,133,2020-10-20,,Signed By The Governor,,11
HB0008,2019,133,2020-09-23,House,Concurred in Senate amendments,,10
HB0008,2019,133,2020-09-22,House,Amendments laid over under the rule,,9
HB0008,2019,133,2020-09-02,Senate,Passed,,8
HB0008,2019,133,2020-09-02,Senate,Reported - Substitute,"Health, Human Services and Medicaid",7
HB0008,2019,133,2019-07-17,Senate,Referred to committee,"Health, Human Services and Medicaid",6
HB0008,2019,133,2019-06-10,Senate,Introduced,,5
HB0008,2019,133,2019-06-06,House,Passed,,4
HB0008,2019,133,2019-06-05,House,Reported - Amended,Health,3
HB0008,2019,133,2019-05-14,House,Referred to committee,Health,2
HB0008,2019,133,2019-05-13,House,Introduced,,1
HCR0008,2019,133,2020-01-22,Senate,Adopted,,8
HCR0008,2019,133,2020-01-22,Senate,Reported,"Local Government, Public Safety and Veterans Affairs",7
HCR0008,2019,133,2020-01-22,Senate,Manually Generate Message Element,,6
HCR0008,2019,133,2019-05-14,Senate,Referred to committee,"Local Government, Public Safety and Veterans Affairs",5
HCR0008,2019,133,2019-05-02,Senate,Offered,,4
HCR0008,2019,133,2019-05-01,House,Adopted,,3
HCR0008,2019,133,2019-04-10,House,Reported,Transportation and Public Safety,2
HCR0008,2019,133,2019-03-12,House,Introduced and Referred to Committee,Transportation and Public Safety,1
HR0008,2019,133,2019-01-22,House,Adopted,,1
HB0009,2019,133,2020-02-24,Senate,"Conference managers: Sens. - Huffman, M., Roegner, Fedor",Conference Committee on H.B. 9,15
HB0009,2019,133,2020-02-18,Senate,"Conference managers: Sens. - Roegner, Peterson, Fedor",Conference Committee on H.B. 9,14
HB0009,2019,133,2020-02-14,Senate,"Conference managers: Sens. - Roegner, Peterson, Maharath",Conference Committee on H.B. 9,13
HB0009,2019,133,2020-01-29,Senate,"Conference managers: Sens. - Huffman, M., Peterson, Fedor",Conference Committee on H.B. 9,12
HB0009,2019,133,2020-01-29,House,"Conference managers: Reps. - Jones, Edwards, Robinson",Conference Committee on H.B. 9,11
HB0009,2019,133,2020-01-29,House,Refused to concur in Senate amendments,,10
HB0009,2019,133,2020-01-29,Senate,Insist on amendments; asks for committee of conference,,9
HB0009,2019,133,2020-01-28,Senate,Passed - Amended,,8
HB0009,2019,133,2020-01-28,Senate,Reported - Substitute,Higher Education,7
HB0009,2019,133,2019-09-11,Senate,Referred to committee,Higher Education,6
HB0009,2019,133,2019-06-28,Senate,Introduced,,5
HB0009,2019,133,2019-06-27,House,Passed,,4
HB0009,2019,133,2019-06-26,House,Reported - Substitute,Higher Education,3
HB0009,2019,133,2019-05-22,House,Referred to committee,Higher Education,2
HB0009,2019,133,2019-05-21,House,Introduced,,1
HCR0009,2019,133,2019-04-30,House,Introduced and Referred to Committee,Financial Institutions,1
HR0009,2019,133,2019-02-06,House,Adopted,,1
HCR0010,2019,133,2019-12-11,Senate,Adopted,,7
HCR0010,2019,133,2019-12-04,Senate,Reported,Judiciary,6
HCR0010,2019,133,2019-07-17,Senate,Referred to committee,Judiciary,5
HCR0010,2019,133,2019-06-27,Senate,Offered,,4
HCR0010,2019,133,2019-06-26,House,Adopted - Amended,,3
HCR0010,2019,133,2019-06-20,House,Reported,Criminal Justice,2
HCR0010,2019,133,2019-05-08,House,Introduced and Referred to Committee,Criminal Justice,1
HB0010,2019,133,2019-11-06,Senate,Re-referred,Finance,10
HB0010,2019,133,2019-10-30,Senate,Reported - Amended,General Government and Agency Review,9
HB0010,2019,133,2019-09-11,Senate,Referred to committee,General Government and Agency Review,8
HB0010,2019,133,2019-06-17,Senate,Introduced,,7
HB0010,2019,133,2019-06-13,House,Passed - Amended,,6
HB0010,2019,133,2019-06-11,House,Reported - Amended,Finance,5
HB0010,2019,133,2019-06-05,House,Reported - Re-referred to Finance,Finance,4
HB0010,2019,133,2019-06-05,House,Reported - Re-referred to Rules and Reference,Rules and Reference,3
HB0010,2019,133,2019-05-21,House,Referred to committee,Health,2
HB0010,2019,133,2019-05-16,House,Introduced,,1
HR0010,2019,133,2019-02-06,House,Adopted,,1
HB0011,2019,133,2020-09-18,,EffectiveAppropriations effective 06/19/2020,,14
HB0011,2019,133,2020-06-19,,Signed By The Governor,,13
HB0011,2019,133,2020-06-18,,Sent To The Governor,,12
HB0011,2019,133,2020-06-11,House,Concurred in Senate amendments,,11
HB0011,2019,133,2020-06-10,Senate,Passed - Amended,,10
HB0011,2019,133,2020-06-09,Senate,Reported - Substitute,"Health, Human Services and Medicaid",9
HB0011,2019,133,2019-09-11,Senate,Referred to committee,"Health, Human Services and Medicaid",8
HB0011,2019,133,2019-06-24,Senate,Introduced,,7
HB0011,2019,133,2019-06-20,House,Passed,,6
HB0011,2019,133,2019-06-19,House,Reported,Finance,5
HB0011,2019,133,2019-06-18,House,Reported - Re-referred to Finance,Finance,4
HB0011,2019,133,2019-06-11,House,Reported - Substitute - Re-referred to Rules and Reference,Rules and Reference,3
HB0011,2019,133,2019-05-21,House,Referred to committee,Health,2
HB0011,2019,133,2019-05-16,House,Introduced,,1
HR0011,2019,133,2019-02-06,House,Adopted,,1
HCR0011,2019,133,2019-10-23,House,Reported - Amended,Federalism,2
HCR0011,2019,133,2019-05-21,House,Introduced and Referred to Committee,Federalism,1
HB0012,2019,133,2020-03-19,,Effective,,12
HB0012,2019,133,2019-12-18,,Signed By The Governor,,11
HB0012,2019,133,2019-12-17,,Sent To The Governor,,10
HB0012,2019,133,2019-12-12,House,Concurred in Senate amendments,,9
HB0012,2019,133,2019-12-11,Senate,Passed,,8
HB0012,2019,133,2019-12-04,Senate,Reported - Amended,"Health, Human Services and Medicaid",7
HB0012,2019,133,2019-07-17,Senate,Referred to committee,"Health, Human Services and Medicaid",6
HB0012,2019,133,2019-06-17,Senate,Introduced,,5
HB0012,2019,133,2019-06-13,House,Passed,,4
HB0012,2019,133,2019-06-11,House,Reported - Substitute,Health,3
HB0012,2019,133,2019-05-22,House,Referred to committee,Health,2
HB0012,2019,133,2019-05-21,House,Introduced,,1
HR0012,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0012,2019,133,2019-09-24,House,Introduced and Referred to Committee,Public Utilities,1
HB0013,2019,133,2020-06-30,Senate,Referred to committee,Energy and Public Utilities,6
HB0013,2019,133,2020-06-17,Senate,Introduced,,5
HB0013,2019,133,2020-06-11,House,Passed,,4
HB0013,2019,133,2020-06-11,House,Reported - Substitute,Finance,3
HB0013,2019,133,2019-05-21,House,Referred to committee,Finance,2
HB0013,2019,133,2019-05-16,House,Introduced,,1
HR0013,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0013,2019,133,2019-09-24,House,Introduced and Referred to Committee,Civil Justice,1
HB0014,2019,133,2019-09-11,Senate,Referred to committee,"Health, Human Services and Medicaid",8
HB0014,2019,133,2019-06-13,Senate,Introduced,,7
HB0014,2019,133,2019-06-12,House,Passed,,6
HB0014,2019,133,2019-06-11,House,Reported,Finance,5
HB0014,2019,133,2019-06-05,House,Reported - Re-referred to Finance,Finance,4
HB0014,2019,133,2019-06-05,House,Reported - Amended - Re-referred to Rules and Reference,Rules and Reference,3
HB0014,2019,133,2019-05-14,House,Referred to committee,Health,2
HB0014,2019,133,2019-05-13,House,Introduced,,1
HR0014,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0014,2019,133,2019-10-30,House,Reported - Amended,Transportation and Public Safety,2
HCR0014,2019,133,2019-09-24,House,Introduced and Referred to Committee,Transportation and Public Safety,1
HR0015,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0015,2019,133,2019-09-24,House,Introduced and Referred to Committee,Health,1
HB0016,2019,133,2020-09-15,,Effective,,12
HB0016,2019,133,2020-06-09,,Sent To The Governor,,11
HB0016,2019,133,2020-05-06,Senate,Recede from amendments,,10
HB0016,2019,133,2020-02-12,House,Refused to concur in Senate amendments,,9
HB0016,2019,133,2019-11-13,Senate,Passed,,8
HB0016,2019,133,2019-11-06,Senate,Reported - Substitute,Higher Education,7
HB0016,2019,133,2019-06-11,Senate,Referred to committee,Higher Education,6
HB0016,2019,133,2019-05-02,Senate,Introduced,,5
HB0016,2019,133,2019-05-01,House,Passed,,4
HB0016,2019,133,2019-04-10,House,Reported - Amended,Higher Education,3
HB0016,2019,133,2019-02-13,House,Referred to committee,Higher Education,2
HB0016,2019,133,2019-02-12,House,Introduced,,1
HR0016,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0016,2019,133,2019-10-22,House,Introduced and Referred to Committee,Commerce and Labor,1
HB0017,2019,133,2021-01-15,,Effective,,10
HB0017,2019,133,2020-10-15,,Signed By The Governor,,9
HB0017,2019,133,2020-09-23,Senate,Passed,,8
HB0017,2019,133,2020-09-22,Senate,Reported,Ways and Means,7
HB0017,2019,133,2019-12-04,Senate,Referred to committee,Ways and Means,6
HB0017,2019,133,2019-11-26,Senate,Introduced,,5
HB0017,2019,133,2019-11-19,House,Passed,,4
HB0017,2019,133,2019-11-13,House,Reported - Amended,Ways and Means,3
HB0017,2019,133,2019-02-13,House,Referred to committee,Ways and Means,2
HB0017,2019,133,2019-02-12,House,Introduced,,1
HR0017,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0017,2019,133,2019-10-23,House,Introduced and Referred to Committee,Health,1
HB0018,2019,133,2020-05-26,,Effective,,13
HB0018,2019,133,2020-02-25,,Signed By The Governor,,12
HB0018,2019,133,2020-02-18,,Sent To The Governor,,11
HB0018,2019,133,2020-01-28,House,Concurred in Senate amendments,,10
HB0018,2019,133,2019-12-17,Senate,Passed,,9
HB0018,2019,133,2019-12-17,Senate,Manually Generate Message Element,,8
HB0018,2019,133,2019-12-17,Senate,Reported - Substitute,Ways and Means,7
HB0018,2019,133,2019-05-01,Senate,Referred to committee,Ways and Means,6
HB0018,2019,133,2019-03-28,Senate,Introduced,,5
HB0018,2019,133,2019-03-27,House,Passed,,4
HB0018,2019,133,2019-03-20,House,Reported,Ways and Means,3
HB0018,2019,133,2019-02-13,House,Referred to committee,Ways and Means,2
HB0018,2019,133,2019-02-12,House,Introduced,,1
HR0018,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0018,2019,133,2019-11-05,House,Introduced and Referred to Committee,Health,1
HB0019,2019,133,2019-02-13,House,Referred to committee,Ways and Means,2
HB0019,2019,133,2019-02-12,House,Introduced,,1
HR0019,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0019,2019,133,2019-11-12,House,Introduced and Referred to Committee,Criminal Justice,1
HB0020,2019,133,2019-02-13,House,Referred to committee,State and Local Government,2
HB0020,2019,133,2019-02-12,House,Introduced,,1
HR0020,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0020,2019,133,2019-11-18,House,Introduced and Referred to Committee,Health,1
HB0021,2019,133,2019-02-13,House,Referred to committee,Commerce and Labor,2
HB0021,2019,133,2019-02-12,House,Introduced,,1
HR0021,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0021,2019,133,2019-12-10,House,Introduced and Referred to Committee,Transportation and Public Safety,1
HB0022,2019,133,2019-02-13,House,Referred to committee,Primary and Secondary Education,2
HB0022,2019,133,2019-02-12,House,Introduced,,1
HCR0022,2019,133,2020-01-28,House,Introduced and Referred to Committee,Armed Services and Veterans Affairs,1
HR0022,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0023,2019,133,2020-01-28,House,Adopted,,2
HCR0023,2019,133,2020-01-28,Senate,Adopted,,1
HB0023,2019,133,2019-02-13,House,Referred to committee,Primary and Secondary Education,2
HB0023,2019,133,2019-02-12,House,Introduced,,1
HR0023,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HB0024,2019,133,2021-03-31,,Effective,,10
HB0024,2019,133,2020-12-08,House,Concurred in Senate amendments,,9
HB0024,2019,133,2020-12-03,Senate,Passed - Amended,,8
HB0024,2019,133,2020-12-03,Senate,Reported - Substitute,Agriculture and Natural Resources,7
HB0024,2019,133,2019-11-13,Senate,Referred to committee,Agriculture and Natural Resources,6
HB0024,2019,133,2019-11-04,Senate,Introduced,,5
HB0024,2019,133,2019-10-30,House,Passed,,4
HB0024,2019,133,2019-05-14,House,Reported - Substitute,Agriculture and Rural Development,3
HB0024,2019,133,2019-02-13,House,Referred to committee,Agriculture and Rural Development,2
HB0024,2019,133,2019-02-12,House,Introduced,,1
HCR0024,2019,133,2020-05-12,House,Introduced and Referred to Committee,State and Local Government,1
HR0024,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0025,2019,133,2020-05-12,House,Introduced and Referred to Committee,Health,1
HB0025,2019,133,2019-02-27,House,Reported,Transportation and Public Safety,3
HB0025,2019,133,2019-02-13,House,Referred to committee,Transportation and Public Safety,2
HB0025,2019,133,2019-02-12,House,Introduced,,1
HR0025,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0026,2019,133,2020-05-12,House,Introduced and Referred to Committee,Public Utilities,1
HB0026,2019,133,2019-02-27,House,Reported,Transportation and Public Safety,3
HB0026,2019,133,2019-02-13,House,Referred to committee,Transportation and Public Safety,2
HB0026,2019,133,2019-02-12,House,Introduced,,1
HR0026,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0027,2019,133,2020-05-12,House,Introduced and Referred to Committee,Insurance,1
HB0027,2019,133,2019-02-13,House,Referred to committee,Civil Justice,2
HB0027,2019,133,2019-02-12,House,Introduced,,1
HR0027,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HB0028,2019,133,2019-02-27,House,Reported,Transportation and Public Safety,3
HB0028,2019,133,2019-02-13,House,Referred to committee,Transportation and Public Safety,2
HB0028,2019,133,2019-02-12,House,Introduced,,1
HCR0028,2019,133,2020-05-12,House,Introduced and Referred to Committee,State and Local Government,1
HR0028,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0029,2019,133,2020-05-12,House,Introduced and Referred to Committee,Agriculture and Rural Development,1
HB0029,2019,133,2020-12-16,Senate,Reported,"Local Government, Public Safety and Veterans Affairs",7
HB0029,2019,133,2019-12-17,Senate,Referred to committee,"Local Government, Public Safety and Veterans Affairs",6
HB0029,2019,133,2019-11-14,Senate,Introduced,,5
HB0029,2019,133,2019-11-13,House,Reported,Health,4
HB0029,2019,133,2019-11-13,House,Passed,,3
HB0029,2019,133,2019-02-13,House,Referred to committee,Health,2
HB0029,2019,133,2019-02-12,House,Introduced,,1
HR0029,2019,133,2019-02-14,House,Adopted,,1
HB0030,2019,133,2019-02-13,House,Referred to committee,Agriculture and Rural Development,2
HB0030,2019,133,2019-02-12,House,Introduced,,1
HCR0030,2019,133,2020-05-27,House,Introduced and Referred to Committee,State and Local Government,1
HR0030,2019,133,2019-02-14,House,Adopted,,1
HCR0031,2019,133,2020-06-03,House,Introduced and Referred to Committee,State and Local Government,1
HB0031,2019,133,2019-02-27,House,Reported,Transportation and Public Safety,3
HB0031,2019,133,2019-02-13,House,Referred to committee,Transportation and Public Safety,2
HB0031,2019,133,2019-02-12,House,Introduced,,1
HR0031,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0032,2019,133,2020-08-31,House,Introduced and Referred to Committee,Economic and Workforce Development,1
HB0032,2019,133,2021-04-12,,Effective,,13
HB0032,2019,133,2021-01-06,,Signed By The Governor,,12
HB0032,2019,133,2020-12-22,House,Concurred in Senate amendments,,11
HB0032,2019,133,2020-12-22,Senate,Passed - Amended,,10
HB0032,2019,133,2020-12-17,Senate,Reported,Government Oversight and Reform,9
HB0032,2019,133,2020-12-02,Senate,Referred to committee,Government Oversight and Reform,8
HB0032,2019,133,2020-11-24,Senate,Introduced,,7
HB0032,2019,133,2020-11-18,House,Passed,,6
HB0032,2019,133,2020-09-24,House,Informally passed,,5
HB0032,2019,133,2020-09-22,House,Informally passed,,4
HB0032,2019,133,2019-03-07,House,Reported,State and Local Government,3
HB0032,2019,133,2019-02-13,House,Referred to committee,State and Local Government,2
HB0032,2019,133,2019-02-12,House,Introduced,,1
HR0032,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0033,2019,133,2020-08-31,House,Introduced and Referred to Committee,State and Local Government,1
HB0033,2019,133,2021-04-12,,Effective,,10
HB0033,2019,133,2021-01-06,,Signed By The Governor,,9
HB0033,2019,133,2020-12-17,Senate,Passed,,8
HB0033,2019,133,2020-12-10,Senate,Reported,Agriculture and Natural Resources,7
HB0033,2019,133,2020-06-30,Senate,Referred to committee,Agriculture and Natural Resources,6
HB0033,2019,133,2020-06-17,Senate,Introduced,,5
HB0033,2019,133,2020-06-11,House,Passed,,4
HB0033,2019,133,2019-11-26,House,Reported - Substitute,Criminal Justice,3
HB0033,2019,133,2019-02-13,House,Referred to committee,Criminal Justice,2
HB0033,2019,133,2019-02-12,House,Introduced,,1
HR0033,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HB0034,2019,133,2019-02-13,House,Referred to committee,Commerce and Labor,2
HB0034,2019,133,2019-02-12,House,Introduced,,1
HCR0034,2019,133,2020-08-31,House,Introduced and Referred to Committee,Financial Institutions,1
HR0034,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HB0035,2019,133,2019-03-13,House,Reported,Transportation and Public Safety,3
HB0035,2019,133,2019-02-13,House,Referred to committee,Transportation and Public Safety,2
HB0035,2019,133,2019-02-12,House,Introduced,,1
HCR0035,2019,133,2020-08-31,House,Introduced and Referred to Committee,Economic and Workforce Development,1
HR0035,2019,133,2019-02-19,House,Adopted,Rules and Reference,1
HCR0036,2019,133,2020-08-31,House,Introduced and Referred to Committee,State and Local Government,1
HB0036,2019,133,2020-12-02,Senate,Referred to committee,General Government and Agency Review,8
HB0036,2019,133,2020-11-24,Senate,Introduced,,7
HB0036,2019,133,2020-11-18,House,Passed,,6
HB0036,2019,133,2020-09-24,House,Informally passed,,5
HB0036,2019,133,2020-09-22,House,Informally passed,,4
HB0036,2019,133,2019-06-27,House,Reported,State and Local Government,3
HB0036,2019,133,2019-02-13,House,Referred to committee,State and Local Government,2
HB0036,2019,133,2019-02-12,House,Introduced,,1
HR0036,2019,133,2019-03-05,House,Adopted,Rules and Reference,1
HB0037,2019,133,2019-02-13,House,Referred to committee,Criminal Justice,2
HB0037,2019,133,2019-02-12,House,Introduced,,1
HR0037,2019,133,2019-02-26,House,Adopted,,1
HB0038,2019,133,2020-12-22,Senate,Informally passed,,9
HB0038,2019,133,2020-12-22,Senate,Passed,,8
HB0038,2019,133,2020-12-09,Senate,Reported - Substitute,Insurance and Financial Institutions,7
HB0038,2019,133,2020-05-20,Senate,Referred to committee,Insurance and Financial Institutions,6
HB0038,2019,133,2020-02-24,Senate,Introduced,,5
HB0038,2019,133,2020-02-20,House,Passed,,4
HB0038,2019,133,2019-11-26,House,Reported - Substitute,Financial Institutions,3
HB0038,2019,133,2019-02-13,House,Referred to committee,Financial Institutions,2
HB0038,2019,133,2019-02-12,House,Introduced,,1
HR0038,2019,133,2019-02-26,House,Adopted,,1
HB0039,2019,133,2019-02-13,House,Referred to committee,Transportation and Public Safety,2
HB0039,2019,133,2019-02-12,House,Introduced,,1
HR0039,2019,133,2019-02-28,House,Adopted,,1
HB0040,2019,133,2019-02-13,House,Referred to committee,Health,2
HB0040,2019,133,2019-02-12,House,Introduced,,1
HR0040,2019,133,2019-03-05,House,Adopted,Rules and Reference,1
HB0041,2019,133,2019-02-13,House,Referred to committee,Insurance,2
HB0041,2019,133,2019-02-12,House,Introduced,,1
HR0041,2019,133,2019-03-05,House,Adopted,Rules and Reference,1
HB0042,2019,133,2019-03-28,House,Reported,State and Local Government,3
HB0042,2019,133,2019-02-13,House,Referred to committee,State and Local Government,2
HB0042,2019,133,2019-02-12,House,Introduced,,1
HR0042,2019,133,2019-03-05,House,Adopted,Rules and Reference,1
HB0043,2019,133,2019-02-13,House,Referred to committee,Primary and Secondary Education,2
HB0043,2019,133,2019-02-12,House,Introduced,,1
HR0043,2019,133,2019-03-05,House,Adopted,Rules and Reference,1
HB0044,2019,133,2019-02-13,House,Referred to committee,Health,2
HB0044,2019,133,2019-02-12,House,Introduced,,1
HR0044,2019,133,2019-03-05,House,Adopted,Rules and Reference,1
HB0045,2019,133,2019-02-27,House,Reported,Transportation and Public Safety,3
HB0045,2019,133,2019-02-13,House,Referred to committee,Transportation and Public Safety,2
HB0045,2019,133,2019-02-12,House,Introduced,,1
HR0045,2019,133,2019-03-06,House,Adopted,,1
HB0046,2019,133,2020-12-17,Senate,Passed,,8
