bill_id,session,title,summary,commem
H0022,193rd,"An Act  to extend the opportunity to purchase teaching service in all territories of the U.S
SECTION 1. The subdivision (4) of section 3 of Chapter 32 is hereby amended by striking out the second paragraph and inserting in place thereof the following paragraph:

For the ...","So much of the recommendations of the Teachers' Retirement System (House, No. 16) as relates to extend the opportunity to purchase teaching service in all territories of the U.S. Public Service.",0
H0023,193rd,"An Act relative to the definition of wages for retirement calculations
SECTION 1. Section 1 of Chapter 32 is hereby amended by adding at the end of the definition of â€śwagesâ€ť the following paragraph:
 
Notwithstanding the foregoing, wages shall also ...","So much of the recommendations of the Teachers' Retirement System (House, No. 16) as relates to the definition of wages for retirement calculations. Public Service.",0
H0024,193rd,"An Act relative to parental and family leave equity for members of public retirement systems
SECTION 1. The second sentence of clause (i)of subdivision (1) of section 3 of Chapter 32 is hereby amended by adding after the word â€śdutyâ€ť the following words:
â€śor other reasons ...","So much of the recommendations of the Teachers' Retirement System (House, No. 16) as relates to parental and family leave equity for members of public retirement systems. Public Service.",0
S0025,193rd,"An Act establishing the Massachusetts Data Privacy Protection Act
SECTION 1. The General Laws, as appearing in the 2020 Official Edition, are hereby amended by inserting after chapter 93K the following chapter: 
Chapter 93L ...","By Ms. Creem, a petition (accompanied by bill, Senate, No. 25) of Cynthia Stone Creem and Jason M. Lewis for legislation to establish the Massachusetts Data Privacy Protection Act.  Advanced Information Technology, the Internet and Cybersecurity.",0
H0025,193rd,"An Act establishing a sick leave bank for Holli Hill
Notwithstanding any general or special law to the contrary, the Department of Children and Families shall establish a sick leave bank for Holli Hill, an employee of the Department ...","By Representative O'Day of West Boylston and Senator Kennedy, a joint petition (subject to Joint Rule 12) of James J. O'Day and Robyn K. Kennedy for legislation to establish a sick leave bank for Holli Hill, an employee of the Department of Children and Families.  House Rules.",0
S0026,193rd,"An Act relative to the modernization of state agency information technology systems
SECTION 1. Chapter 7D of the General Laws, as appearing in the Official 2018 Edition, is hereby amended by inserting the following section:-
â€śSECTION 11 ... (h) At the end of each ...","By Mr. Crighton, a petition (accompanied by bill, Senate, No. 26) of Brendan P. Crighton for legislation to modernize state agency information technology systems.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0027,193rd,"An Act to protect private electronic communication, browsing and other activity
SECTION 1. Chapter 276 of the General Laws, as appearing in the 2020 official edition, is hereby amended by striking Section 1B and inserting in its place the following new ...","By Mr. Eldridge, a petition (accompanied by bill, Senate, No. 27) of James B. Eldridge and Jason M. Lewis for legislation to protect private electronic communication, browsing and other activity.  Advanced Information Technology, the Internet and Cybersecurity.",0
H0028,193rd,"An Act to provide sustainable water resources in the town of Tyngsborough 
Section 1. Notwithstanding chapter 21G of the General Laws, or any other general or special law or regulation to the contrary, the Tyngsborough Water District may withdraw up to ...","By Representative Garry of Dracut, a petition (accompanied by bill, House, No. 28) of Colleen M. Garry (by vote of the town) for legislation to provide sustainable water resources in the town of Tyngsborough.  Environment and Natural Resources.  [Local Approval Received.]",0
S0028,193rd,"An Act to ensure a free and open internet in the commonwealth
SECTION 1. This act shall be known and may be cited as the â€śInternet Freedom Act ... SECTION 2. Section 6A of chapter 25C of the General Laws is hereby repealed ...","By Mr. Eldridge, a petition (accompanied by bill, Senate, No. 28) of James B. Eldridge for legislation to ensure a free and open internet in the commonwealth.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0029,193rd,"An Act establishing a special commission on blockchain and cryptocurrency
SECTION 1. A special commission is hereby established for the purposes of making an investigation relative to blockchain technology to develop a master plan of recommendations for ...","By Mr. Finegold, a petition (accompanied by bill, Senate, No. 29) of Barry R. Finegold for legislation to establish a special commission (including members of the General Court) on blockchain and cryptocurrency.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0030,193rd,"An Act relative to protecting sensitive information from security breaches
SECTION 1. Section 1 of chapter 93H of the General Laws is hereby amended by inserting after the definition of â€śAgencyâ€ť the following definition:- 
â€śBiometric informationâ€ť, a ...","By Mr. Finegold, a petition (accompanied by bill, Senate, No. 30) of Barry R. Finegold for legislation to protect sensitive information from security breaches.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0031,193rd,"An Act drafted with the help of ChatGPT to regulate generative artificial intelligence models like ChatGPT
SECTION 1. The General Laws are hereby amended by inserting after chapter 93A the following chapter:- 
CHAPTER 93AÂ˝ ... Generative Artificial Intelligence Models
Section 1. Purpose ...","By Mr. Finegold, a petition (accompanied by bill, Senate, No. 31) of Barry R. Finegold for legislation to regulate generative artificial intelligence models like ChatGPT.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0032,193rd,"An Act relative to cyber incident response
SECTION 1. Chapter 7D of the General Laws, as appearing in the 2022 Official Edition, is hereby amended by inserting after section 11 the following new sections:-
Section 12 ...","By Mr. Finegold, a petition (accompanied by bill, Senate, No. 32) of Barry R. Finegold for legislation relative to cyber incident response.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0033,193rd,"An Act establishing a commission on automated decision-making by government in the commonwealth
Chapter 7D of the General Laws, as amended by chapter 64 of the acts of 2020, is hereby further amended by inserting after section 10 the following new section:-
Section 11 ...","By Mr. Lewis, a petition (accompanied by bill, Senate, No. 33) of Jason M. Lewis and Michael O. Moore for legislation to establish a commission on automated decision-making by government in the commonwealth.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0034,193rd,"An Act to modernize funding for community media programming
SECTION 1. The General Laws are hereby amended by inserting after chapter 166 the following chapter:-
Chapter 166B ... Section 1. The purposes of this chapter are to:
A. establish a ...","By Mr. Lewis, a petition (accompanied by bill, Senate, No. 34) of Jason M. Lewis, Paul W. Mark, John J. Cronin, Joanne M. Comerford and other members of the General Court for legislation to establish a comprehensive statewide policy concerning streaming entertainment services and the recovery of municipal costs for the management and maintenance of digital infrastructure.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0035,193rd,"An Act protecting against cyber ransom
Chapter 7D of the General Laws is hereby amended in Section 7 by adding the following subsections:-
(e) No State agency, local government entity, or municipality shall submit ...","By Mr. Mark, a petition (accompanied by bill, Senate, No. 35) of Paul W. Mark for legislation to protect against cyber ransom.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0036,193rd,"An Act establishing a Cybersecurity Control and Review Commission
SECTION 1. Chapter 6 of the General Laws, as appearing in the 2020 Official Edition, is hereby amended by adding the following section:- 
Section 221 ...","By Mr. Moore, a petition (accompanied by bill, Senate, No. 36) of Michael O. Moore for legislation to establish a Cybersecurity Control and Review Commission.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0037,193rd,"An Act relative to protecting the residents of the Commonwealth
Chapter 7D of the Massachusetts General Laws is hereby amended to add the following new section:
Section 12:
(a). Definitions:
(1) â€śSocial Media Companyâ€ť - A social media ...","By Mr. O'Connor, a petition (accompanied by bill, Senate, No. 37) of Patrick M. O'Connor and Michael J. Soter for legislation to protect the residents of the Commonwealth.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0039,193rd,"An Act protecting our soil and farms from PFAS contamination
SECTION 1. Chapter 20 of the General Laws is hereby amended by inserting after section 32 the following section:-
Section 33 ... An individual or entity engaged in the practice of ...","By Ms. Comerford, a petition (accompanied by bill, Senate, No. 39) of Joanne M. Comerford, Susannah M. Whipps, Michael O. Moore, Anne M. Gobi and other members of the General Court for legislation to protect our soil and farms from PFAS contamination.  Agriculture.",0
S0040,193rd,"An Act promoting the growing and use of hemp and hemp products
SECTION 1. Section 2 of chapter 61A of the General Laws, as appearing in the 2020 Official Edition, is hereby amended by inserting after the word â€śtobacco,â€ť in line 4, the ...","By Ms. Comerford, a petition (accompanied by bill, Senate, No. 40) of Joanne M. Comerford for legislation relative to promote the growing and use of hemp and hemp products.  Agriculture.",0
H0042,193rd,"An Act creating tax relief for affordability, competitiveness and equity
SECTION 1. Chapter 23A of the General Laws, as appearing in the 2020 Official Edition, is hereby amended by inserting after section 3L the following section:- 
Section 3M ...",,0
S0042,193rd,"An Act strengthening local food systems
SECTION 1. Chapter 6A of the General Laws is hereby amended by inserting after section 18Z the following section:-
Section 18AA ... The Massachusetts emergency management agency shall ...","By Ms. Comerford, a petition (accompanied by bill, Senate, No. 42) of Joanne M. Comerford, Susannah M. Whipps, Hannah Kane, Susan Williams Gifford and other members of the General Court for legislation to strengthen local food systems.  Agriculture.",0
S0043,193rd,"An Act regarding raw milk
SECTION 3. Said chapter 94 of the General Laws, is hereby amended by inserting after section 13 the following section:-
	Section 13 A Â˝.   (a) Licensed raw milk farmers shall be ...","By Ms. Gobi, a petition (accompanied by bill, Senate, No. 43) of Anne M. Gobi for legislation relative to raw milk.  Agriculture.",0
S0044,193rd,"An Act establishing community fridges to address food insecurity
SECTION 1. Section 328 of chapter 94 of the General Laws, as appearing in the 2020 Official Edition, is hereby amended by inserting after the fourth paragraph the following new ...","By Mr. Gomez, a petition (accompanied by bill, Senate, No. 44) of Adam Gomez for legislation to establish community fridges to address food insecurity.  Agriculture.",0
H0044,193rd,"An Act to improve emergency service access in Cummington
SECTION 1. Notwithstanding any general or special law to the contrary, the department of conservation and recreation shall work in coordination with the town of Cummington fire ...","By Representative Sabadosa of Northampton and Senator Mark, a joint petition (accompanied by bill, House, No. 44) of Lindsay N. Sabadosa and Paul W. Mark relative to the use of Department of Conservation and Recreation land for emergency service access in the town of Cummington.  Environment and Natural Resources.",0
S0045,193rd,"An Act relative to a municipalityâ€™s right of first refusal of agricultural and recreational land
SECTION 1. Section 14 of chapter 61A of the General Laws, as appearing in the 2020 Official Edition, is hereby amended by striking out the figure â€ś120â€ť, each time it appears, and ...","By Mr. Moore, a petition (accompanied by bill, Senate, No. 45) of Michael O. Moore for legislation relative to a municipalityâ€™s right of first refusal of agricultural and recreational land.  Agriculture.",0
H0045,193rd,"An Act to provide sentencing parity in criminal law
SECTION 1. Section 1 of chapter 265 of the General Laws, as appearing in the 2022 Official Edition, is hereby amended by striking out in, in lines 2 through 4, the words ""or in ...","By Representative Sabadosa of Northampton and Senator Miranda, a joint petition (accompanied by bill, House, No. 45) of Lindsay N. Sabadosa, Liz Miranda and Erika Uyterhoeven for legislation to provide sentencing parity in criminal law.  The Judiciary.",0
S0046,193rd,"An Act relative to the Farm Technology Review Commission
Notwithstanding any general or special law to the contrary, the Executive Office of Energy and Environmental Affairs shall reorganize the Farm Technology Review Commission ...","By Ms. Moran, a petition (accompanied by bill, Senate, No. 46) of Susan L. Moran, William M. Straus, Michael D. Brady, Mathew J. Muratore and other members of the General Court for legislation relative to the Farm Technology Review Commission.  Agriculture.",0
H0046,193rd,"An Act relative to an ADA paratransit program riders' bill of rights 
SECTION 1. Chapter 161B of the General Laws, as appearing in the 2022 Official Edition, is hereby amended by adding the following section:-

Section 15N ...","By Representative Sabadosa of Northampton, a petition (accompanied by bill, House, No. 46) of Lindsay N. Sabadosa relative to an Americans with Disabilities paratransit program.  Transportation.",0
H0047,193rd,"An Act making appropriations for the fiscal year 2023 to provide for supplementing certain existing appropriations and for certain other activities a...
SECTION 1.  To provide for supplementing certain items in the general appropriation act and other appropriation acts for fiscal year 2023, the sums set forth in section 2 are ...",,0
S0047,193rd,"An Act relative to the distribution of cannabis seeds
SECTION 1. Section 1 of Chapter 94C of the General Laws, as appearing in the 2020 official edition, is hereby amended by striking out, in line 237, the words â€śthe seeds thereof ...","By Mr. Brownsberger, a petition (accompanied by bill, Senate, No. 47) of William N. Brownsberger for legislation relative to the distribution of cannabis seeds.  Cannabis Policy.",0
S0048,193rd,"An Act relative to cannabis use by first responders
The cannabis control commission, in consultation with the executive office of public safety and security, shall study and report on the barriers related to first responders and ...","By Mr. Cyr, a petition (accompanied by bill, Senate, No. 48) of Julian Cyr for legislation relative to cannabis use by first responders.  Cannabis Policy.",0
S0049,193rd,"An Act to facilitate labor peace among the cannabis workforce
SECTION 1. Section 1 of chapter 94G of the General Laws, as appearing in the 2018 Official Edition, is hereby amended by inserting the following 2 definitions:-
""Labor peace ...","By Ms. Edwards, a petition (accompanied by bill, Senate, No. 49) of Lydia Edwards, Steven Owens, Daniel M. Donahue, James K. Hawkins and other members of the General Court for legislation to facilitate labor peace among the cannabis workforce.  Cannabis Policy.",0
S0050,193rd,"An Act further defining eligibility for medical use marijuana

SECTION 1. Section 1 of chapter 94I of the General Laws, as appearing in the 2020 Official Edition, is hereby amended by striking out lines 20 through 25 and inserting in place ...","By Mr. Fattman, a petition (accompanied by bill, Senate, No. 50) of Ryan C. Fattman, Lindsay N. Sabadosa and Patrick M. O'Connor for legislation to further defining eligibility for medical use marijuana.  Cannabis Policy.",0
S0051,193rd,"An Act relative to equal opportunity for craft cooperatives 
Section 1 of chapter 94G of the General Laws, as most recently amended by section 20 of chapter 55 of the acts of 2017, is hereby amended in the definition of â€ścraft marijuana ...","By Ms. Jehlen, a petition (accompanied by bill, Senate, No. 51) of Patricia D. Jehlen for legislation relative to equal opportunity for craft cooperatives.  Cannabis Policy.",0
H0051,193rd,"An Act financing the immediate economic revitalization, community development, and housing needs of the Commonwealth
SECTION 1. To provide for a program of housing, community development, economic opportunities, support for local governments, increased innovation, and job creation, the sums set ...",,0
S0052,193rd,"An Act to create Cannabis career pathways for justice-involved individuals
SECTION 1. (a) The cannabis control commission, in consultation with the cannabis advisory board, the cannabis social equity advisory board, the department of correction, the ...","By Ms. Jehlen, a petition (accompanied by bill, Senate, No. 52) of Patricia D. Jehlen for legislation to create Cannabis career pathways for justice-involved individuals.  Cannabis Policy.",0
H0052,193rd,"An Act financing improvements to municipal roads and bridges
SECTION 1.  To provide for a program of transportation development and improvements, the sum set forth in section 2 for the several purposes and subject to the conditions ...",,0
S0053,193rd,"An Act to support cannabis equity businesses
Section 4 of chapter 94G of the General Laws, is hereby amended by adding the following subsection:-
(m) The cannabis control commission, in consultation with the Massachusetts ...","By Mr. Lewis, a petition (accompanied by bill, Senate, No. 53) of Jason M. Lewis for legislation to support cannabis equity businesses.  Cannabis Policy.",0
S0054,193rd,"An Act for interstate commerce of cannabis seeds
SECTION 1. Section 1 of Chapter 94C of the General Laws, as appearing in the 2020 Official Edition, is hereby amended in line 237 by striking the following words:- the seeds ...","By Mr. Mark, a petition (accompanied by bill, Senate, No. 54) of Paul W. Mark and Anne M. Gobi for legislation relative to interstate commerce of cannabis seeds.  Cannabis Policy.",0
S0055,193rd,"An Act relative to equitable allocation of cannabis revenue
SECTON 1. Section 14(b) of chapter 94G of the General Laws is hereby amended by striking out paragraph ""Thereafter, money in the fund shall be expended for: (i) public and ...","By Ms. Miranda, a petition (accompanied by bill, Senate, No. 55) of Liz Miranda for legislation relative to equitable allocation of cannabis revenue.  Cannabis Policy.",0
S0056,193rd,"An Act relative to reinvestment of cannabis revenue
Section 14(b) of chapter 94G of the General Laws is hereby amended by striking out paragraph ""Thereafter, money in the fund shall be expended for: (i) public and behavioral health ...","By Ms. Miranda, a petition (accompanied by bill, Senate, No. 56) of Liz Miranda for legislation relative to the reinvestment of revenues received from the cannabis industry.  Cannabis Policy.",0
S0057,193rd,"An Act to encourage equitable cannabis business ownership
The cannabis control commission, in consultation with the Massachusetts cannabis advisory board, the cannabis social equity advisory board, and the executive office of housing and ...","By Ms. Miranda, a petition (accompanied by bill, Senate, No. 57) of Liz Miranda for legislation to encourage equitable cannabis business ownership.  Cannabis Policy.",0
H0057,193rd,"An Act making appropriations for the Fiscal Year 2023 to provide for supplementing certain existing appropriations and for certain other activities a...
SECTION 1. To provide for supplementing certain items in the general appropriation act and other appropriation acts for fiscal year 2023, the sums set forth in section 2 are ...",,0
S0058,193rd,"An Act establishing an internal special audit unit within the Cannabis Control Commission
SECTION 1. Section 14 of chapter 94G of the General Laws, as appearing in the 2020 Official Edition, is hereby amended by inserting after the word â€ścommissionâ€ť, in line 12, the ...","By Mr. Moore, a petition (accompanied by bill, Senate, No. 58) of Michael O. Moore, Joanne M. Comerford and Donald R. Berthiaume, Jr. for legislation to establish an internal special audit unit within the Cannabis Control Commission.  Cannabis Policy.",0
H0058,193rd,"An Act making appropriations for the Fiscal Year 2023 to provide for supplementing certain existing appropriations and for certain other activities a...
SECTION 1. To provide for supplementing certain items in the general appropriation act and other appropriation acts for fiscal year 2023, the sums set forth in section 2 are ...",,0
S0059,193rd,"An Act to allow students access to prescription cannabis
Section 2 of chapter 94G of the General Laws, as appearing in the 2020 Official Edition, is hereby amended by inserting, after the word â€śfacilityâ€ť, in line 41, the following ...","By Ms. Moran, a petition (accompanied by bill, Senate, No. 59) of Susan L. Moran for legislation to allow students access to prescription cannabis.  Cannabis Policy.",0
H0059,193rd,"An Act relative to the oversight of cable contracts
Chapter 166A of the General Laws is hereby amended by inserting after section 10 the following section:-
Section 10A ... If an issuing authority determines that a licensee has ...","By Representative Barrett of North Adams, a petition (accompanied by bill, House, No. 59) of John Barrett, III and Smitty Pignatelli relative to the oversight of cable contracts.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0060,193rd,"An Act dedicating one-percent of the recreational marijuana excise tax to youth substance use prevention
SECTION 1. Section 4 of chapter 334 of the acts of 2016 is hereby amended, in section 2, by striking out the word â€ś3.75â€ť and inserting in place thereof the following word:- 4.75 ...","By Mr. O'Connor, a petition (accompanied by bill, Senate, No. 60) of Patrick M. O'Connor for legislation to dedicate one-percent of the recreational marijuana excise to youth substance use prevention.  Cannabis Policy.",0
H0060,193rd,"An Act establishing the Massachusetts information privacy and security act

SECTION 1. The General Laws are hereby amended by inserting after chapter 93L the following chapter:-

CHAPTER 93M ... Section 1. Title

This chapter shall be known as the ...","By Representative Carey of Easthampton, a petition (accompanied by bill, House, No. 60) of Daniel R. Carey and Mindy Domb relative to the security and the protection of personal information by establishing the Massachusetts information privacy and security act.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0061,193rd,"An Act relative to medical marijuana oversight 
Section 5 of chapter 94I of the General Laws, as so appearing, is hereby amended by inserting after the word ""commission ... the following:- 
The Commission may revoke or suspend a ...","By Mr. O'Connor, a petition (accompanied by bill, Senate, No. 61) of Patrick M. O'Connor for legislation relative to medical marijuana oversight.  Cannabis Policy.",0
H0061,193rd,"An Act relative to filing slander against anonymous parties on the internet
SECTION 1. Section 91 of Chapter 231 is hereby amended by inserting in the following new paragraph:-

A plaintiff with the intent of filing against a defendant under this ...","By Representative Chan of Quincy, a petition (accompanied by bill, House, No. 61) of Tackey Chan and Denise C. Garlick relative to filing actions of slander against anonymous parties on the internet.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0062,193rd,"An Act relative to data transparency in the cannabis industry
SECTION 1. Chapter 94G of the General Laws is hereby amended by inserting after Section 21, the following section:- 
Section 22 ... (a) The commission shall collect, compile, and make ...","By Mr. Velis, a petition (accompanied by bill, Senate, No. 62) of John C. Velis for legislation relative to data transparency in the cannabis industry.  Cannabis Policy.",0
H0062,193rd,"An Act establishing the Massachusetts open data standard

SECTION 1. The General Laws are hereby amended by inserting after chapter 66A the following chapter:-
	CHAPTER 66B ... MASSACHUSETTS OPEN DATA STANDARD
	Section 1. As used in this ...","By Representatives Fernandes of Falmouth and Vargas of Haverhill, a petition (accompanied by bill, House, No. 62) of Dylan A. Fernandes, Andres X. Vargas and Michelle M. DuBois for legislation to establish the Massachusetts open data standard.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0063,193rd,"An Act to require closed captioning in telecommunications in public areas
Chapter 25C of the General Laws is hereby amended by inserting after section 8 the following section:-
Section 9. 
(a) As used in this chapter, the following words shall, unless ...","By Mr. Barrett, a petition (accompanied by bill, Senate, No. 63) of Michael J. Barrett for legislation to require closed captioning in telecommunications in public areas.  Children, Families and Persons with Disabilities.",0
H0063,193rd,"An Act to protect biometric information
SECTION 1. The General Laws, as appearing in the 2020 Official Edition, are hereby amended by inserting after chapter 93L the following chapter:
CHAPTER 93M ...","By Representative Fernandes of Falmouth, a petition (accompanied by bill, House, No. 63) of Dylan A. Fernandes, Mindy Domb and Bud L. Williams for legislation to protect biometric information.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0064,193rd,"An Act to support families
SECTION 1. The first paragraph of subsection (a) of section 51A of chapter 119 of the General Laws, as appearing in the 2020 Official Edition,  is hereby amended by striking out ...","By Ms. Comerford, a petition (accompanied by bill, Senate, No. 64) of Joanne M. Comerford and Jason M. Lewis for legislation to support families.  Children, Families and Persons with Disabilities.",0
H0064,193rd,"An Act establishing a commission on automated decision-making by government in the Commonwealth
SECTION 1. Chapter 7D of the General Laws, as amended by chapter 64 of the acts of 2017, is hereby further amended by inserting after section 10 the following new section ...","By Representatives Garballey of Arlington and Cataldo of Concord, a petition (accompanied by bill, House, No. 64) of Sean Garballey, Simon Cataldo and Vanna Howard for legislation to establish a commission (including members of the General Court) relative to state agency automated decision-making, artificial intelligence, transparency, fairness, and individual rights.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0065,193rd,"An Act protecting benefits owed to foster children
SECTION 1. Section 21 of chapter 119 of the General Laws, as appearing in the 2020 Official Edition, is hereby amended by inserting after the definition of â€śAppropriate Services ...","By Ms. Comerford, a petition (accompanied by bill, Senate, No. 65) of Joanne M. Comerford and Liz Miranda for legislation to protect benefits owed to foster children.  Children, Families and Persons with Disabilities.",0
H0065,193rd,"An Act relative to efficient access to the affordable connectivity program 
Chapter 25C of the General Laws is hereby amended by adding the following section:- 

Section 10 ... An internet service provider providing internet service to a household receiving ...","By Representative GonzĂˇlez of Springfield, a petition (accompanied by bill, House, No. 65) of Carlos GonzĂˇlez and Bud L. Williams relative to access to the affordable connectivity program.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0066,193rd,"An Act establishing the Massachusetts foster care review office
SECTION 1. Chapter 18B of the General Laws is hereby amended by striking out section 6A ... SECTION 2. The General Laws are hereby amended by inserting after Chapter 18C the following ...","By Ms. Comerford, a petition (accompanied by bill, Senate, No. 66) of Joanne M. Comerford and Vanna Howard for legislation to establish the Massachusetts foster care review office.  Children, Families and Persons with Disabilities.",0
H0066,193rd,"An Act relative to cyberattack response in Massachusetts
SECTION 1. Section 1 of Chapter 639 of the Acts of 1950, as amended by Chapter 54 of the Acts of 2014, is hereby amended by inserting after the word â€ścausesâ€ť the following ...","By Representative Jones of North Reading, a petition (accompanied by bill, House, No. 66) of Bradley H. Jones, Jr., and others relative to cyberattack responses.  Advanced Information Technology, the Internet and Cybersecurity.",0
S0067,193rd,"An Act allowing spouses to serve as caregivers
SECTION 1. Chapter 118E of the General Laws is hereby amended by inserting after section 13L the following section:-
Section 13M ... To the extent permitted under federal law, spouses ...","By Ms. Comerford, a petition (accompanied by bill, Senate, No. 67) of Joanne M. Comerford, Adam Scanlon, Kelly W. Pease, Patricia D. Jehlen and other members of the General Court for legislation to allow spouses to serve as caregivers.  Children, Families and Persons with Disabilities.",0
