bill_number,session,chamber,action_date,action,journal_page,order
LB0005,2023_2024,Unicameral,2023-05-23,Hunt AM1930 filed,1668,11
LB0005,2023_2024,Unicameral,2023-03-14,Blood AM476 filed,758,10
LB0005,2023_2024,Unicameral,2023-02-02,"Notice of hearing for February 13, 2023",445,9
LB0005,2023_2024,Unicameral,2023-01-30,Hunt name added,428,8
LB0005,2023_2024,Unicameral,2023-01-10,Wishart name added,196,7
LB0005,2023_2024,Unicameral,2023-01-10,Conrad name added,196,6
LB0005,2023_2024,Unicameral,2023-01-10,McDonnell name added,196,5
LB0005,2023_2024,Unicameral,2023-01-10,Bostar name added,196,4
LB0005,2023_2024,Unicameral,2023-01-10,Aguilar name added,196,3
LB0005,2023_2024,Unicameral,2023-01-09,Referred to Business and Labor Committee,125,2
LB0005,2023_2024,Unicameral,2023-01-05,Date of introduction,67,1
LB0006,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,6
LB0006,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,4,5
LB0006,2023_2024,Unicameral,2023-03-24,Placed on General File,854,4
LB0006,2023_2024,Unicameral,2023-02-21,"Notice of hearing for February 28, 2023",544,3
LB0006,2023_2024,Unicameral,2023-01-09,Referred to Urban Affairs Committee,125,2
LB0006,2023_2024,Unicameral,2023-01-05,Date of introduction,67,1
LB0007,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,5
LB0007,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,4,4
LB0007,2023_2024,Unicameral,2023-01-18,"Notice of hearing for January 25, 2023",342,3
LB0007,2023_2024,Unicameral,2023-01-09,Referred to Judiciary Committee,125,2
LB0007,2023_2024,Unicameral,2023-01-05,Date of introduction,67,1
LB0008,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,7
LB0008,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,4,6
LB0008,2023_2024,Unicameral,2023-03-02,"Notice of hearing for March 09, 2023",668,5
LB0008,2023_2024,Unicameral,2023-01-30,Hunt name added,428,4
LB0008,2023_2024,Unicameral,2023-01-10,Conrad name added,196,3
LB0008,2023_2024,Unicameral,2023-01-09,Referred to Judiciary Committee,125,2
LB0008,2023_2024,Unicameral,2023-01-05,Date of introduction,67,1
LB0009,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,7
LB0009,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,5,6
LB0009,2023_2024,Unicameral,2023-03-13,"Notice of hearing for March 23, 2023",746,5
LB0009,2023_2024,Unicameral,2023-01-30,Hunt name added,429,4
LB0009,2023_2024,Unicameral,2023-01-10,Raybould name added,196,3
LB0009,2023_2024,Unicameral,2023-01-09,"Referred to Government, Military and Veterans Affairs Committee",126,2
LB0009,2023_2024,Unicameral,2023-01-05,Date of introduction,68,1
LB0010,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,11
LB0010,2023_2024,Unicameral,2024-01-24,Brewer name added,517,10
LB0010,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,5,9
LB0010,2023_2024,Unicameral,2023-03-06,Holdcroft name added,687,8
LB0010,2023_2024,Unicameral,2023-02-07,Aguilar name added,475,7
LB0010,2023_2024,Unicameral,2023-01-30,Hunt name added,429,6
LB0010,2023_2024,Unicameral,2023-01-18,"Notice of hearing for January 26, 2023",298,5
LB0010,2023_2024,Unicameral,2023-01-13,Day name added,255,4
LB0010,2023_2024,Unicameral,2023-01-10,Conrad name added,196,3
LB0010,2023_2024,Unicameral,2023-01-09,Referred to Revenue Committee,126,2
LB0010,2023_2024,Unicameral,2023-01-05,Date of introduction,68,1
LB0011,2023_2024,Unicameral,2023-06-01,Provisions/portions of LB11 amended into LB157 by AM1993,0,17
LB0011,2023_2024,Unicameral,2023-06-01,Indefinitely Postponed,1878,16
LB0011,2023_2024,Unicameral,2023-03-30,"Hunt MO192 Bracket until June 2, 2023 filed",928,15
LB0011,2023_2024,Unicameral,2023-03-30,"Hunt MO189 Bracket until June 1, 2023 filed",928,14
LB0011,2023_2024,Unicameral,2023-03-30,Hunt MO193 Recommit to Judiciary Committee filed,928,13
LB0011,2023_2024,Unicameral,2023-03-30,Hunt MO191 Recommit to Judiciary Committee filed,928,12
LB0011,2023_2024,Unicameral,2023-03-30,Hunt MO188 Recommit to Judiciary Committee filed,928,11
LB0011,2023_2024,Unicameral,2023-03-30,Hunt MO190 Indefinitely postpone filed,928,10
LB0011,2023_2024,Unicameral,2023-03-30,Hunt MO187 Indefinitely postpone pursuant to Rule 6 Section 3(f) filed,927,9
LB0011,2023_2024,Unicameral,2023-03-15,Speaker priority bill,765,8
LB0011,2023_2024,Unicameral,2023-02-28,Judiciary AM482 filed,637,7
LB0011,2023_2024,Unicameral,2023-02-28,Placed on General File with AM482,637,6
LB0011,2023_2024,Unicameral,2023-02-13,DeBoer name added,504,5
LB0011,2023_2024,Unicameral,2023-02-03,"Notice of hearing for February 10, 2023",454,4
LB0011,2023_2024,Unicameral,2023-01-30,Hunt name added,429,3
LB0011,2023_2024,Unicameral,2023-01-09,Referred to Judiciary Committee,126,2
LB0011,2023_2024,Unicameral,2023-01-05,Date of introduction,68,1
LB0012,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,7
LB0012,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,5,6
LB0012,2023_2024,Unicameral,2023-01-30,Hunt name added,429,5
LB0012,2023_2024,Unicameral,2023-01-24,"Notice of hearing for February 01, 2023",373,4
LB0012,2023_2024,Unicameral,2023-01-10,Conrad name added,196,3
LB0012,2023_2024,Unicameral,2023-01-09,Referred to Health and Human Services Committee,126,2
LB0012,2023_2024,Unicameral,2023-01-05,Date of introduction,68,1
LB0013,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,7
LB0013,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,5,6
LB0013,2023_2024,Unicameral,2023-01-30,Hunt name added,429,5
LB0013,2023_2024,Unicameral,2023-01-27,"Notice of hearing for February 08, 2023",420,4
LB0013,2023_2024,Unicameral,2023-01-10,Conrad name added,196,3
LB0013,2023_2024,Unicameral,2023-01-09,Referred to Health and Human Services Committee,126,2
LB0013,2023_2024,Unicameral,2023-01-05,Date of introduction,68,1
LB0014,2023_2024,Unicameral,2023-06-01,Provisions/portions of LB14 amended into LB50 by AM1980,0,21
LB0014,2023_2024,Unicameral,2023-06-01,Indefinitely Postponed,1878,20
LB0014,2023_2024,Unicameral,2023-05-03,Judiciary AM1146 filed,1338,19
LB0014,2023_2024,Unicameral,2023-05-03,Placed on General File with AM1146,1338,18
LB0014,2023_2024,Unicameral,2023-03-30,"Hunt MO199 Bracket until June 2, 2023 filed",928,17
LB0014,2023_2024,Unicameral,2023-03-30,"Hunt MO196 Bracket until June 1, 2023 filed",928,16
LB0014,2023_2024,Unicameral,2023-03-30,Hunt MO200 Recommit to Judiciary Committee filed,928,15
LB0014,2023_2024,Unicameral,2023-03-30,Hunt MO198 Recommit to Judiciary Committee filed,928,14
LB0014,2023_2024,Unicameral,2023-03-30,Hunt MO195 Recommit to Judiciary Committee filed,928,13
LB0014,2023_2024,Unicameral,2023-03-30,Hunt MO197 Indefinitely postpone filed,928,12
LB0014,2023_2024,Unicameral,2023-03-30,Hunt MO194 Indefinitely postpone pursuant to Rule 6 Section 3(f) filed,927,11
LB0014,2023_2024,Unicameral,2023-03-29,Raybould name added,925,10
LB0014,2023_2024,Unicameral,2023-03-22,Dungan AM947 filed,824,9
LB0014,2023_2024,Unicameral,2023-03-22,Dungan AM946 filed,824,8
LB0014,2023_2024,Unicameral,2023-03-13,Dungan priority bill,744,7
LB0014,2023_2024,Unicameral,2023-02-15,"Notice of hearing for February 22, 2023",526,6
LB0014,2023_2024,Unicameral,2023-01-31,Hunt name added,434,5
LB0014,2023_2024,Unicameral,2023-01-13,Rereferred to Judiciary Committee,238,4
LB0014,2023_2024,Unicameral,2023-01-10,Conrad name added,196,3
LB0014,2023_2024,Unicameral,2023-01-09,Referred to Health and Human Services Committee,126,2
LB0014,2023_2024,Unicameral,2023-01-05,Date of introduction,68,1
LB0015,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,11
LB0015,2023_2024,Unicameral,2024-01-18,Lippincott name added,466,10
LB0015,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,5,9
LB0015,2023_2024,Unicameral,2023-03-09,Business and Labor AM772 filed,720,8
LB0015,2023_2024,Unicameral,2023-03-09,Placed on General File with AM772,720,7
LB0015,2023_2024,Unicameral,2023-02-08,Briese AM11 filed,480,6
LB0015,2023_2024,Unicameral,2023-01-20,"Notice of hearing for January 30, 2023",361,5
LB0015,2023_2024,Unicameral,2023-01-09,Referred to Business and Labor Committee,126,4
LB0015,2023_2024,Unicameral,2023-01-06,Raybould name added,123,3
LB0015,2023_2024,Unicameral,2023-01-05,"Conrad MO1 Indefinitely postpone pursuant to Rule 6, Section 3(f) filed",100,2
LB0015,2023_2024,Unicameral,2023-01-05,Date of introduction,69,1
LB0016,2023_2024,Unicameral,2024-04-25,Provisions/portions of LB471 amended into LB16 by AM2229,0,43
LB0016,2023_2024,Unicameral,2024-03-05,"Approved by Governor on March 5, 2024",916,42
LB0016,2023_2024,Unicameral,2024-02-29,Wayne name added,875,41
LB0016,2023_2024,Unicameral,2024-02-29,Wishart explanation of vote,875,40
LB0016,2023_2024,Unicameral,2024-02-29,"Presented to Governor on  February 29, 2024",871,39
LB0016,2023_2024,Unicameral,2024-02-29,President/Speaker signed,868,38
LB0016,2023_2024,Unicameral,2024-02-29,Passed on Final Reading 42-1-6,857,37
LB0016,2023_2024,Unicameral,2024-02-29,Dispensing of reading at large approved,857,36
LB0016,2023_2024,Unicameral,2024-02-05,Lippincott name added,605,35
LB0016,2023_2024,Unicameral,2024-02-02,Enrollment and Review ST32 recorded,591,34
LB0016,2023_2024,Unicameral,2024-02-02,Enrollment and Review ST32 filed,591,33
LB0016,2023_2024,Unicameral,2024-02-02,Placed on Final Reading with ST32,591,32
LB0016,2023_2024,Unicameral,2024-01-30,Advanced to Enrollment and Review for Engrossment,559,31
LB0016,2023_2024,Unicameral,2024-01-30,Brewer AM2229 adopted,559,30
LB0016,2023_2024,Unicameral,2024-01-30,Brewer AM2229 filed,555,29
LB0016,2023_2024,Unicameral,2024-01-30,Enrollment and Review ER43 adopted,555,28
LB0016,2023_2024,Unicameral,2024-01-26,Enrollment and Review ER43 filed,541,27
LB0016,2023_2024,Unicameral,2024-01-26,Placed on Select File with ER43,541,26
LB0016,2023_2024,Unicameral,2024-01-23,Vargas name added,502,25
LB0016,2023_2024,Unicameral,2024-01-23,Fredrickson name added,502,24
LB0016,2023_2024,Unicameral,2024-01-22,Advanced to Enrollment and Review Initial,487,23
LB0016,2023_2024,Unicameral,2024-01-22,Briese FA59 not considered,487,22
LB0016,2023_2024,Unicameral,2024-01-22,Briese FA58 not considered,487,21
LB0016,2023_2024,Unicameral,2024-01-22,"Government, Military and Veterans Affairs AM748 adopted",487,20
LB0016,2023_2024,Unicameral,2024-01-22,Conrad AM2102 adopted,487,19
LB0016,2023_2024,Unicameral,2024-01-18,Conrad AM2102 to AM748 filed,465,18
LB0016,2023_2024,Unicameral,2024-01-17,Kauth name added,442,17
LB0016,2023_2024,Unicameral,2024-01-16,Dungan name added,401,16
LB0016,2023_2024,Unicameral,2024-01-11,Holdcroft name added,364,15
LB0016,2023_2024,Unicameral,2024-01-03,Conrad priority bill,173,14
LB0016,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,5,13
LB0016,2023_2024,Unicameral,2023-04-18,Briese FA59 filed,1174,12
LB0016,2023_2024,Unicameral,2023-04-18,Briese FA58 filed,1174,11
LB0016,2023_2024,Unicameral,2023-03-13,"Government, Military and Veterans Affairs AM748 filed",735,10
LB0016,2023_2024,Unicameral,2023-03-13,Placed on General File with AM748,735,9
LB0016,2023_2024,Unicameral,2023-01-31,McDonnell name added,434,8
LB0016,2023_2024,Unicameral,2023-01-31,"Notice of hearing for February 09, 2023",433,7
LB0016,2023_2024,Unicameral,2023-01-30,Murman name added,429,6
LB0016,2023_2024,Unicameral,2023-01-27,Sanders name added,424,5
LB0016,2023_2024,Unicameral,2023-01-27,Brewer name added,424,4
LB0016,2023_2024,Unicameral,2023-01-10,Conrad name added,196,3
LB0016,2023_2024,Unicameral,2023-01-09,"Referred to Government, Military and Veterans Affairs Committee",126,2
LB0016,2023_2024,Unicameral,2023-01-05,Date of introduction,69,1
LB0017,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,8
LB0017,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,6,7
LB0017,2023_2024,Unicameral,2023-01-31,Halloran name added,434,6
LB0017,2023_2024,Unicameral,2023-01-31,Brewer name added,434,5
LB0017,2023_2024,Unicameral,2023-01-27,Lippincott name added,424,4
LB0017,2023_2024,Unicameral,2023-01-18,"Notice of hearing for January 26, 2023",342,3
LB0017,2023_2024,Unicameral,2023-01-09,Referred to Judiciary Committee,126,2
LB0017,2023_2024,Unicameral,2023-01-05,Date of introduction,69,1
LB0018,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,8
LB0018,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,6,7
LB0018,2023_2024,Unicameral,2023-06-01,Provisions/portions of LB18 amended into LB50 by AM1436,0,6
LB0018,2023_2024,Unicameral,2023-01-30,Hunt name added,429,5
LB0018,2023_2024,Unicameral,2023-01-26,"Notice of hearing for February 02, 2023",404,4
LB0018,2023_2024,Unicameral,2023-01-12,Conrad name added,235,3
LB0018,2023_2024,Unicameral,2023-01-09,Referred to Judiciary Committee,126,2
LB0018,2023_2024,Unicameral,2023-01-05,Date of introduction,69,1
LB0019,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,7
LB0019,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,6,6
LB0019,2023_2024,Unicameral,2023-01-30,Hunt name added,429,5
LB0019,2023_2024,Unicameral,2023-01-26,"Notice of hearing for February 02, 2023",404,4
LB0019,2023_2024,Unicameral,2023-01-12,Conrad name added,235,3
LB0019,2023_2024,Unicameral,2023-01-09,Referred to Judiciary Committee,126,2
LB0019,2023_2024,Unicameral,2023-01-05,Date of introduction,70,1
LB0020,2023_2024,Unicameral,2024-04-18,Certificate,1805,42
LB0020,2023_2024,Unicameral,2024-04-18,Message from Secretary of State,1805,41
LB0020,2023_2024,Unicameral,2024-04-18,"Became law without Governor's signature on April 17, 2024",1804,40
LB0020,2023_2024,Unicameral,2024-04-18,Message from Governor,1804,39
LB0020,2023_2024,Unicameral,2024-04-11,Hunt explanation of vote,1789,38
LB0020,2023_2024,Unicameral,2024-04-11,"Presented to Governor on  April 11, 2024",1788,37
LB0020,2023_2024,Unicameral,2024-04-11,President/Speaker signed,1725,36
LB0020,2023_2024,Unicameral,2024-04-11,Passed on Final Reading 38-6-5,1700,35
LB0020,2023_2024,Unicameral,2024-04-11,Dispensing of reading at large approved,1700,34
LB0020,2023_2024,Unicameral,2024-04-11,"Cavanaugh, M. FA366 withdrawn",1700,33
LB0020,2023_2024,Unicameral,2024-04-11,"Cavanaugh, J. FA338 withdrawn",1700,32
LB0020,2023_2024,Unicameral,2024-04-11,"Cavanaugh, M. MO1367 withdrawn",1700,31
LB0020,2023_2024,Unicameral,2024-04-09,Placed on Final Reading,1552,30
LB0020,2023_2024,Unicameral,2024-04-04,"Cavanaugh, M. MO1367 Recommit to the Government, Military and Veterans Affairs Committee filed",1513,29
LB0020,2023_2024,Unicameral,2024-04-04,"Cavanaugh, M. FA366 filed",1513,28
LB0020,2023_2024,Unicameral,2024-04-04,Advanced to Enrollment and Review for Engrossment,1511,27
LB0020,2023_2024,Unicameral,2024-04-04,Dungan FA339 withdrawn,1511,26
LB0020,2023_2024,Unicameral,2024-04-04,"Cavanaugh, J. FA337 withdrawn",1511,25
LB0020,2023_2024,Unicameral,2024-04-04,Dungan FA336 withdrawn,1511,24
LB0020,2023_2024,Unicameral,2024-04-03,Dungan FA339 filed,1450,23
LB0020,2023_2024,Unicameral,2024-04-03,"Cavanaugh, J. FA338 filed",1447,22
LB0020,2023_2024,Unicameral,2024-04-03,"Cavanaugh, J. FA337 filed",1447,21
LB0020,2023_2024,Unicameral,2024-04-03,Dungan FA336 filed,1447,20
LB0020,2023_2024,Unicameral,2024-03-28,Placed on Select File,1368,19
LB0020,2023_2024,Unicameral,2024-03-20,Advanced to Enrollment and Review Initial,1180,18
LB0020,2023_2024,Unicameral,2024-02-20,Fredrickson name added,760,17
LB0020,2023_2024,Unicameral,2024-02-12,Bosn name added,676,16
LB0020,2023_2024,Unicameral,2024-01-26,Raybould priority bill,536,15
LB0020,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,6,14
LB0020,2023_2024,Unicameral,2023-04-17,Vargas name added,1154,13
LB0020,2023_2024,Unicameral,2023-03-03,McDonnell name added,680,12
LB0020,2023_2024,Unicameral,2023-03-03,Placed on General File,672,11
LB0020,2023_2024,Unicameral,2023-02-14,"Notice of hearing for February 22, 2023",507,10
LB0020,2023_2024,Unicameral,2023-01-23,"Cavanaugh, J. name added",368,9
LB0020,2023_2024,Unicameral,2023-01-12,Conrad name added,235,8
LB0020,2023_2024,Unicameral,2023-01-12,Day name added,235,7
LB0020,2023_2024,Unicameral,2023-01-12,Hunt name added,235,6
LB0020,2023_2024,Unicameral,2023-01-12,Raybould name added,235,5
LB0020,2023_2024,Unicameral,2023-01-12,Dungan name added,235,4
LB0020,2023_2024,Unicameral,2023-01-11,Blood name added,214,3
LB0020,2023_2024,Unicameral,2023-01-09,"Referred to Government, Military and Veterans Affairs Committee",126,2
LB0020,2023_2024,Unicameral,2023-01-05,Date of introduction,70,1
LB0021,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,6
LB0021,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,6,5
LB0021,2023_2024,Unicameral,2023-02-10,Placed on General File,493,4
LB0021,2023_2024,Unicameral,2023-01-23,"Notice of hearing for January 31, 2023",365,3
LB0021,2023_2024,Unicameral,2023-01-09,Referred to Urban Affairs Committee,126,2
LB0021,2023_2024,Unicameral,2023-01-05,Date of introduction,70,1
LB0022,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,8
LB0022,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,7,7
LB0022,2023_2024,Unicameral,2023-02-02,"Notice of hearing for February 09, 2023",446,6
LB0022,2023_2024,Unicameral,2023-01-24,Hunt name added,376,5
LB0022,2023_2024,Unicameral,2023-01-12,Conrad name added,235,4
LB0022,2023_2024,Unicameral,2023-01-12,Raybould name added,235,3
LB0022,2023_2024,Unicameral,2023-01-09,Referred to Judiciary Committee,126,2
LB0022,2023_2024,Unicameral,2023-01-05,Date of introduction,70,1
LB0023,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,6
LB0023,2023_2024,Unicameral,2024-02-28,Placed on General File,842,5
LB0023,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,7,4
LB0023,2023_2024,Unicameral,2023-03-15,"Notice of hearing for March 22, 2023",769,3
LB0023,2023_2024,Unicameral,2023-01-09,Referred to Judiciary Committee,126,2
LB0023,2023_2024,Unicameral,2023-01-05,Date of introduction,70,1
LB0024,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,5
LB0024,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,7,4
LB0024,2023_2024,Unicameral,2023-01-18,"Notice of hearing for January 25, 2023",298,3
LB0024,2023_2024,Unicameral,2023-01-09,Referred to Revenue Committee,126,2
LB0024,2023_2024,Unicameral,2023-01-05,Date of introduction,71,1
LB0025,2023_2024,Unicameral,2024-04-25,"Returned by Governor without approval on April 24, 2024",1815,67
LB0025,2023_2024,Unicameral,2024-04-18,"Presented to Governor on  April 18, 2024",1812,66
LB0025,2023_2024,Unicameral,2024-04-18,President/Speaker signed,1804,65
LB0025,2023_2024,Unicameral,2024-04-18,Passed on Final Reading 28-17-4,1795,64
LB0025,2023_2024,Unicameral,2024-04-18,Dispensing of reading at large approved,1795,63
LB0025,2023_2024,Unicameral,2024-04-18,Wayne FA388 withdrawn,1795,62
LB0025,2023_2024,Unicameral,2024-04-18,Bosn MO1287 withdrawn,1794,61
LB0025,2023_2024,Unicameral,2024-04-11,Conrad name added,1789,60
LB0025,2023_2024,Unicameral,2024-04-10,Placed on Final Reading,1682,59
LB0025,2023_2024,Unicameral,2024-04-10,Advanced to Enrollment and Review for Engrossment,1654,58
LB0025,2023_2024,Unicameral,2024-04-10,Wayne FA389 withdrawn,1654,57
LB0025,2023_2024,Unicameral,2024-04-10,Wayne FA387 withdrawn,1654,56
LB0025,2023_2024,Unicameral,2024-04-10,Bosn MO1286 withdrawn,1654,55
LB0025,2023_2024,Unicameral,2024-04-10,Bosn MO1285 withdrawn,1654,54
LB0025,2023_2024,Unicameral,2024-04-10,Bosn MO1284 withdrawn,1654,53
LB0025,2023_2024,Unicameral,2024-04-10,Enrollment and Review ER134 adopted,1654,52
LB0025,2023_2024,Unicameral,2024-04-09,Enrollment and Review ER134 filed,1608,51
LB0025,2023_2024,Unicameral,2024-04-09,Placed on Select File with ER134,1608,50
LB0025,2023_2024,Unicameral,2024-04-09,Advanced to Enrollment and Review Initial,1591,49
LB0025,2023_2024,Unicameral,2024-04-09,Judiciary AM440 adopted,1591,48
LB0025,2023_2024,Unicameral,2024-04-09,Slama FA26 withdrawn,1591,47
LB0025,2023_2024,Unicameral,2024-04-09,Wayne AM3380 withdrawn,1590,46
LB0025,2023_2024,Unicameral,2024-04-09,Wayne AM3381 withdrawn,1590,45
LB0025,2023_2024,Unicameral,2024-04-09,Holdcroft FA390 withdrawn,1590,44
LB0025,2023_2024,Unicameral,2024-04-09,Kauth FA386 withdrawn,1590,43
LB0025,2023_2024,Unicameral,2024-04-09,Lowe FA385 lost,1590,42
LB0025,2023_2024,Unicameral,2024-04-09,Wayne AM3329 withdrawn,1590,41
LB0025,2023_2024,Unicameral,2024-04-09,Wayne AM3328 withdrawn,1590,40
LB0025,2023_2024,Unicameral,2024-04-09,Wayne AM3435 adopted,1589,39
LB0025,2023_2024,Unicameral,2024-04-09,Wayne AM3435 to AM440 filed,1587,38
LB0025,2023_2024,Unicameral,2024-04-09,Wayne AM3327 withdrawn,1587,37
LB0025,2023_2024,Unicameral,2024-04-09,Bosn MO1283 failed,1586,36
LB0025,2023_2024,Unicameral,2024-04-04,Holdcroft FA390 to AM440 filed,1532,35
LB0025,2023_2024,Unicameral,2024-04-04,Wayne FA389 filed,1532,34
LB0025,2023_2024,Unicameral,2024-04-04,Wayne FA388 filed,1532,33
LB0025,2023_2024,Unicameral,2024-04-04,Wayne FA387 filed,1532,32
LB0025,2023_2024,Unicameral,2024-04-04,Kauth FA386 to AM440 filed,1531,31
LB0025,2023_2024,Unicameral,2024-04-04,Lowe FA385 to AM440 filed,1531,30
LB0025,2023_2024,Unicameral,2024-04-04,Wayne AM3380 to AM3328 filed,1531,29
LB0025,2023_2024,Unicameral,2024-04-04,Wayne AM3381 to AM3329 filed,1531,28
LB0025,2023_2024,Unicameral,2024-04-04,Bosn MO1283 pending,1530,27
LB0025,2023_2024,Unicameral,2024-04-04,DeBoer MO1373 withdrawn,1530,26
LB0025,2023_2024,Unicameral,2024-04-04,DeBoer MO1373 Reconsider the vote taken on MO1282 filed,1530,25
LB0025,2023_2024,Unicameral,2024-04-04,Bosn MO1282 failed,1530,24
LB0025,2023_2024,Unicameral,2024-04-04,Bosn MO1372 failed,1527,23
LB0025,2023_2024,Unicameral,2024-04-04,Bosn MO1372 Reconsider the vote taken on MO1281 filed,1527,22
LB0025,2023_2024,Unicameral,2024-04-04,Bosn MO1281 failed,1527,21
LB0025,2023_2024,Unicameral,2024-04-04,Bosn MO1281 pending,1523,20
LB0025,2023_2024,Unicameral,2024-04-03,Wayne AM3329 to AM440 filed,1492,19
LB0025,2023_2024,Unicameral,2024-04-03,Wayne AM3328 to AM440 filed,1488,18
