bill_number,session,primary_sponsor,status,summary,bill_url
LB0034,2023_2024,Brewer,Delivered to Governor,Adopt the Property Tax Growth Limitation Act and the School District Property Tax Relief Act and change provisions relating to revenue and taxation,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58075
LBA0034,2023_2024,Brewer,Delivered to Governor,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58527
LB0035,2023_2024,Brewer,Indefinitely postponed,Adjust the nameplate capacity tax for inflation,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58129
LB0036,2023_2024,Blood,Indefinitely postponed,Provide a real estate transfer tax on mansions and an income tax credit for payment of the real estate transfer tax,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58150
LB0037,2023_2024,Kauth,Indefinitely postponed,Change provisions relating to property that is exempt from property taxes,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58143
LB0038,2023_2024,Kauth,Indefinitely postponed,Change provisions relating to property that is exempt from property taxes,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58142
LB0039,2023_2024,Kauth,Indefinitely postponed,Change provisions relating to homestead exemptions,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58072
LB0040,2023_2024,Hughes,Indefinitely postponed,"Change provisions relating to the determination, apportionment, adjustment, and reporting of taxable income for corporations and other unitary businesses",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58048
LB0041,2023_2024,Hughes,Indefinitely postponed,Change the tax on sales of electronic nicotine delivery systems,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58022
LB0042,2023_2024,Murman,Indefinitely postponed,Provide a duty for the Education Committee of the Legislature related to the Tax Equity and Educational Opportunities Support Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58138
LB0043,2023_2024,Murman,Indefinitely postponed,State findings related to school funding,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58137
LBA0043,2023_2024,Conrad,Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=56670
LB0044,2023_2024,Bostar,Indefinitely postponed,Change the earned income tax credit,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58136
LB0045,2023_2024,Linehan,Indefinitely postponed,Change provisions relating to local system formula resources under the Tax Equity and Educational Opportunities Support Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58216
LB0046,2023_2024,Wayne,Indefinitely postponed,Provide for transfer of duties of clerks of the district court to clerk magistrates,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58261
LB0047,2023_2024,Wayne,Indefinitely postponed,Eliminate the franchise tax and require financial institutions to pay the corporate income tax,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58272
LB0048,2023_2024,Wayne,Indefinitely postponed,Provide for a delivery fee for delivery sales,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58268
LB0049,2023_2024,Wayne,Indefinitely postponed,Adopt the Aid to Municipalities Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58265
LB0050,2023_2024,Wayne,Indefinitely postponed,Change provisions relating to taxes imposed on the average wholesale price of gasoline,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58264
LB0051,2023_2024,Wayne,Indefinitely postponed,Provide an income tax adjustment for unrealized capital gains,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58262
LB0052,2023_2024,Wayne,Indefinitely postponed,Adopt the Cannabis Control Act and the Cannabis Conviction Clean Slate Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58095
LB0053,2023_2024,Wayne,Indefinitely postponed,Provide powers and duties for the Jail Standards Board for reimbursement of counties for jail expenses,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58108
LB0054,2023_2024,Wayne,Indefinitely postponed,Provide for powers and duties of county attorneys and deputy county attorneys in certain counties to be performed by district attorneys and deputy district attorneys appointed by the Attorney General,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58109
LB0055,2023_2024,Wayne,Indefinitely postponed,Provide for a luxury tax on certain purchases,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58267
LB0056,2023_2024,Wayne,Indefinitely postponed,Provide salary limitations for certain elected officials of political subdivisions,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58266
LB0057,2023_2024,Wayne,Indefinitely postponed,"Allow claims involving death, child abuse, or sexual assault of a child under the Political Subdivisions Tort Claims Act and State Tort Claims Act and change provisions of the Consumer Protection Act and Uniform Deceptive Trade Practices Act relating to civil penalties",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58098
LB0058,2023_2024,Wayne,Indefinitely postponed,Appropriate funds to the Department of Natural Resources for the construction of solar panels and property tax relief,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58141
LB0059,2023_2024,Wayne,Indefinitely postponed,Provide for reports to the Judiciary Committee on the use of taxes in the judicial system,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58271
LB0060,2023_2024,Wayne,Indefinitely postponed,"Change tax provisions relating to cigars, cheroots, and stogies",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58263
LB0061,2023_2024,Wayne,Indefinitely postponed,Require a school district to cover certain costs of a student that transfers from such school district as a result of discrimination,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58097
LB0062,2023_2024,Wayne,Indefinitely postponed,Adopt the Solar Panel Energy Property Tax Reduction Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58128
LBA0062,2023_2024,"Cavanaugh, M.",Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57077
LB0063,2023_2024,Wayne,Indefinitely postponed,"State legislative intent relating to the sales tax, the income tax, and the property tax",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58270
LB0064,2023_2024,Wayne,Indefinitely postponed,"State legislative intent relating to tax credits, local option sales taxes, and a property tax relief program",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58269
LB0065,2023_2024,Wayne,Indefinitely postponed,Impose an excise tax on the sale of ammunition and provide grant programs relating to post-traumatic stress disorder and wildlife management,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58094
LB0066,2023_2024,Wayne,Indefinitely postponed,"Change provisions relating to fish hatcheries, wildlife management, the Nebraska Rural Project Act, and appropriations to the Game and Parks Commission",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58096
LB0067,2023_2024,Wayne,Indefinitely postponed,Change provisions relating to the levy authority of natural resources districts,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58110
LB0068,2023_2024,Wayne,Indefinitely postponed,Adopt the Aid to Municipalities Act and change provisions relating to taxes imposed on the average wholesale price of gasoline,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58282
LB0069,2023_2024,Conrad,Indefinitely postponed,Rename and change the Property Tax Credit Act and the Property Tax Credit Cash Fund,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58111
LB0070,2023_2024,McKinney,Indefinitely postponed,Adopt the Reimbursable Performance-Based Grants Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58151
LB0071,2023_2024,McKinney,Indefinitely postponed,Adopt the Nebraska Cannabis Legalization and Revenue Allocation Act and the Cannabis Conviction Relief Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58065
LBA0071,2023_2024,Sanders,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57326
LB0072,2023_2024,McDonnell,Indefinitely postponed,Change provisions relating to valuation of residential real property for property tax purposes,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58182
LB0073,2023_2024,McDonnell,Indefinitely postponed,Change provisions relating to homestead exemptions,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58248
LB0074,2023_2024,McDonnell,Indefinitely postponed,Change requirements relating to proposals for constitutional amendments submitted by the Legislature,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58247
LB0075,2023_2024,McDonnell,Indefinitely postponed,Adopt the Long-Term Owner Homestead Exemption Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58245
LB0076,2023_2024,McDonnell,Indefinitely postponed,Adopt the Employee Contributions Tax Incentive Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58195
LB0077,2023_2024,McDonnell,Indefinitely postponed,Adopt the Long-Term Resident Homestead Exemption Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58244
LB0078,2023_2024,McDonnell,Indefinitely postponed,Change provisions relating to the issuance of bonds in a city of the metropolitan class,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58246
LB0079,2023_2024,Raybould,Indefinitely postponed,Change the amount of certain homestead exemptions,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58147
LB0080,2023_2024,Raybould,Indefinitely postponed,"Adopt the Property Tax Growth Limitation Act, change revenue and taxation provisions, and terminate the Property Tax Request Act",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58112
LB0081,2023_2024,Halloran,Indefinitely postponed,Provide a termination date for the Tax Equity and Educational Opportunities Support Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58089
LBA0126,2023_2024,Day,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57180
LBA0130,2023_2024,Dorn,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57004
LBA0164,2023_2024,McKinney,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57212
LBA0196,2023_2024,McDonnell,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57329
LBA0204,2023_2024,Riepe,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=56354
LBA0218,2023_2024,Ibach,Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55764
LBA0233,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57130
LBA0262,2023_2024,Halloran,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57075
LBA0287,2023_2024,Brewer,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57089
LBA0348,2023_2024,Wayne,Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57328
LBA0358,2023_2024,Walz,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=56206
LBA0388,2023_2024,Linehan,Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57181
LBA0484,2023_2024,Moser,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57193
LBA0600,2023_2024,Lippincott,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55844
LBA0631,2023_2024,Wayne,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57542
LBA0635,2023_2024,Albrecht,Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57132
LBA0644,2023_2024,McDonnell,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=56743
LBA0685,2023_2024,Lowe,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=56565
LBA0771,2023_2024,Sanders,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=56186
LB0821,2023_2024,Blood,Indefinitely postponed,Change provisions relating to the preliminary or advanced enrollment of certain students,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54821
LB0822,2023_2024,Blood,Indefinitely postponed,Adopt the Social Worker Licensure Compact and change provisions relating to criminal background checks,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54637
LB0823,2023_2024,Blood,Indefinitely postponed,Adopt the Physician Assistant (PA) Licensure Compact and change provisions relating to criminal background checks,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54638
LB0824,2023_2024,Blood,Indefinitely postponed,Adopt the Dentist and Dental Hygienist Compact and change provisions relating to criminal background checks,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54636
LB0825,2023_2024,Blood,Indefinitely postponed,Adopt the Nebraska Farmers of Color Opportunity Act and provide tax credits,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55054
LB0826,2023_2024,Blood,Indefinitely postponed,"Provide for combination fishing, fur-harvesting, and hunting permits and stamps and state park entry permits for resident and nonresident veterans and active duty military personnel",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54905
LB0827,2023_2024,Blood,Indefinitely postponed,Adopt the Entertainment Industry Child Performer Protection Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54766
LB0828,2023_2024,Blood,Indefinitely postponed,"Change provisions of the Nebraska Apiary Act and provide for the Pollinator Task Force, the Nebraska Apiary Registry, and immunity for certain damages relating to bees",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54753
LB0829,2023_2024,Blood,Passed,Change provisions relating to insurance coverage for screening for colorectal cancer,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54878
LBA0829,2023_2024,Blood,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55990
LB0830,2023_2024,Blood,Indefinitely postponed,Designate a state tartan,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54859
LB0831,2023_2024,Blood,Indefinitely postponed,Change provisions of the Noxious Weed Control Act and provide for control of restricted plants,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54954
LB0832,2023_2024,Blood,Indefinitely postponed,Authorize acceptance of cession or retrocession of federal jurisdiction for juvenile matters and provide for concurrent jurisdiction,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54811
LB0833,2023_2024,Blood,Indefinitely postponed,Adopt the Prescription Drug Affordability Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54767
LB0834,2023_2024,Blood,Passed,Establish requirements for a resident dental license,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54785
LB0835,2023_2024,Blood,Indefinitely postponed,Adopt the School Psychologist Interstate Licensure Compact,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55199
LB0836,2023_2024,Lowe,Indefinitely postponed,Provide requirements for retail licensees relating to the display of co-branded alcoholic beverages under the Nebraska Liquor Control Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55131
LB0837,2023_2024,Lowe,Indefinitely postponed,Change procedures for voting or election precincts for public power districts,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55087
LB0838,2023_2024,Lowe,Indefinitely postponed,Change provisions relating to the appointment of members of the Nebraska Arts Council,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54953
LB0839,2023_2024,Lowe,Passed,Change provisions relating to the executive director and members of the State Racing and Gaming Commission,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54893
LB0840,2023_2024,McKinney,Passed,Adopt the Poverty Elimination Action Plan Act and change provisions of the Middle Income Workforce Housing Investment Act and the Nebraska Housing Agency Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54715
LB0841,2023_2024,McKinney,Indefinitely postponed,Adopt the School Leadership Engagement Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54895
LB0842,2023_2024,McKinney,Indefinitely postponed,"Change provisions relating to affordable housing under the Municipal Density and Missing Middle Housing Act, the Nebraska Affordable Housing Act, and the Nebraska Housing Agency Act",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54731
LB0843,2023_2024,McKinney,Indefinitely postponed,Change provisions of the Middle Income Workforce Housing Investment Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55142
LB0844,2023_2024,Erdman,Passed,Change provisions of the Farm Labor Contractors Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55035
LB0845,2023_2024,Hunt,Indefinitely postponed,Prohibit eviction of certain tenants during the school year,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54845
LB0846,2023_2024,Hunt,Indefinitely postponed,Adopt the Bed Bug Detection and Treatment Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55096
LB0847,2023_2024,Brewer,Passed,Change provisions relating to emergency response agreements with other states and withdraw from the Interstate Civil Defense and Disaster Compact,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54779
LB0848,2023_2024,Brewer,Passed,Change the maximum age for the Adjutant General,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54780
LB0849,2023_2024,Jacobson,Indefinitely postponed,Change provisions relating to insurance rate adjustments,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55266
LB0850,2023_2024,Jacobson,Indefinitely postponed,Change the authorized use of certain Federal Funds for housing,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55004
LB0851,2023_2024,Jacobson,Passed,Change provisions relating to internship grants,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54989
LB0852,2023_2024,Jacobson,Passed,Change provisions of the Medicare Supplement Insurance Minimum Standards Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54983
LB0853,2023_2024,Jacobson,Indefinitely postponed,Change provisions relating to homestead exemptions,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54931
LB0854,2023_2024,Jacobson,Passed,"Change examination eligibility, certification, and permitting requirements relating to certified public accountants",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54677
LB0855,2023_2024,Conrad,Indefinitely postponed,Prohibit school districts from taking certain actions relating to outstanding debts on a school lunch or breakfast account,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54754
LB0856,2023_2024,Fredrickson,Passed,Change eligibility requirements for the federal child care subsidy program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54877
LBA0856,2023_2024,Fredrickson,Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=56578
LB0857,2023_2024,Dungan,Passed,"Create the Nebraska Prenatal Plus Program, provide for use of the Medicaid Managed Care Excess Profit Fund, and change provisions relating to coverage of glucose monitors under the Medical Assistance Act",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55029
LBA0857,2023_2024,Dungan,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=56577
LB0858,2023_2024,Linehan,Indefinitely postponed,State intent to appropriate funds to the State Department of Education to expand the office of finance and administrative services,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55225
LB0859,2023_2024,Linehan,Indefinitely postponed,Change conflict of interest provisions for certain political subdivision officers,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54872
LB0860,2023_2024,Linehan,Indefinitely postponed,Change a reporting requirement relating to the Early Childhood Education Grant Program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54870
LB0861,2023_2024,Linehan,Indefinitely postponed,Change procedures to remove a name from a petition under the Election Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54869
LB0862,2023_2024,Linehan,Indefinitely postponed,Change provisions relating to the transportation of students and require school districts to submit a report regarding certain student transportation,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54868
LB0863,2023_2024,Linehan,Indefinitely postponed,Change an income tax adjustment for federal retirement annuities,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55196
LB0864,2023_2024,Dungan,Indefinitely postponed,State intent regarding appropriations to the Supreme Court for interpreter services,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55246
LB0865,2023_2024,Bostelman,Indefinitely postponed,Require annual reports to the Nebraska Broadband Office,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55182
LB0866,2023_2024,Bostelman,Indefinitely postponed,Change provisions relating to service on the Nebraska Power Review Board,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54964
LB0867,2023_2024,Bostelman,Passed,"Provide for a voluntary hunting and fishing guide and outfitter database, a migratory waterfowl hunting season for veterans, active-duty military state park entry permits, change provisions relating to the Nebraska Power Review Board and the Petroleum Release Remedial Action Cash Fund, and prohibit restrictions on the provision of services related to natural gas and propane",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55075
LBA0867,2023_2024,Bostelman,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57003
LB0868,2023_2024,Bostelman,Indefinitely postponed,Extend the sunset date for reimbursement for remedial action under the Petroleum Release Remedial Action Cash Fund,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54906
LB0869,2023_2024,Bostar,Indefinitely postponed,Change provisions relating to services of the county veterans service committees,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54720
LB0870,2023_2024,"Cavanaugh, M.",Passed,"Provide for additional rights of notification, information, and preservation of evidence under the Sexual Assault Victims' Bill of Rights Act",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55105
LBA0870,2023_2024,"Cavanaugh, M.",Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57081
LB0871,2023_2024,"Cavanaugh, M.",Indefinitely postponed,Require a report by the Department of Health and Human Services regarding the Temporary Assistance for Needy Families program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55216
LB0872,2023_2024,Clements,Indefinitely postponed,Prohibit acceptance of central bank digital currency by state and local governments,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54898
LB0873,2023_2024,Ballard,Indefinitely postponed,Change provisions relating to real estate closing agents,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54892
LB0874,2023_2024,Bostar,Passed,Change requirements relating to child care licensing and child care facilities,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54890
LB0875,2023_2024,Hughes,Indefinitely postponed,Prohibit sales of alcohol or beer for consumption off the premises at less than cost under the Nebraska Liquor Control Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54928
LB0876,2023_2024,Holdcroft,Passed,Adopt the Newborn Safe Haven Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54932
LBA0876,2023_2024,Holdcroft,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57210
LB0877,2023_2024,Holdcroft,Passed,Change provisions relating to agricultural or horticultural land receiving special valuation,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54902
LB0878,2023_2024,Holdcroft,Indefinitely postponed,Change provisions regarding certain bond and related elections,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54765
LB0879,2023_2024,"Cavanaugh, M.",Withdrawn,Repeal the Let Them Grow Act and the Preborn Child Protection Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55011
LB0880,2023_2024,Hughes,Passed,Change requirements relating to the Land Acquisition and Source Water Loan Fund,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54997
LB0881,2023_2024,Ballard,Indefinitely postponed,Redefine a term under the Middle Income Workforce Housing Investment Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54830
LB0882,2023_2024,Bostar,Indefinitely postponed,Change provisions relating to benefits under the federal Supplemental Nutrition Assistance Program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55103
LB0883,2023_2024,Brewer,Indefinitely postponed,Eliminate a requirement to obtain a handgun purchase certificate and change provisions on criminal history record checks for firearms and explosives,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54927
LB0884,2023_2024,Bostar,Indefinitely postponed,Change provisions relating to medicaid estate recovery,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54695
LB0885,2023_2024,Bostar,Indefinitely postponed,Provide requirements for insurance coverage of lung cancer screening,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55157
LB0886,2023_2024,Conrad,Indefinitely postponed,Provide restrictions on the regulation of political signs by homeowners associations,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55001
LB0887,2023_2024,Brewer,Indefinitely postponed,Adopt the Nebraska Nonprofit Security Grant Program Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55077
LBA0887,2023_2024,Brewer,Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=57082
LB0888,2023_2024,Vargas,Indefinitely postponed,Appropriate funds to the Department of Economic Development,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55206
LB0889,2023_2024,Vargas,Indefinitely postponed,Appropriate funds to the Department of Economic Development,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55207
LB0890,2023_2024,Bosn,Indefinitely postponed,Provide for certified copies of sealed juvenile records for certain attorneys,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54842
LB0891,2023_2024,Bosn,Indefinitely postponed,Redefine manufacturer under the Motor Vehicle Industry Regulation Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55040
LB0892,2023_2024,Bosn,Indefinitely postponed,Change provisions relating to controlled substances under the Uniform Controlled Substances Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54950
LB0893,2023_2024,Ibach,Indefinitely postponed,Change provisions of the ImagiNE Nebraska Act relating to the types of property receiving a property tax exemption,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54963
LB0894,2023_2024,Ibach,Passed,"Change provisions relating to election, appointment, qualifications, and training of county sheriffs",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54669
LB0895,2023_2024,Sanders,Passed,Change provisions relating to recruitment and retention for the Nebraska National Guard,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55287
LB0896,2023_2024,Ballard,Indefinitely postponed,Change provisions relating to telehealth consultations,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55144
LB0897,2023_2024,Lippincott,Indefinitely postponed,Appropriate funds to the Department of Economic Development for a workforce housing grant program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55141
LB0898,2023_2024,Ibach,Indefinitely postponed,Adopt the National Crime Prevention and Privacy Compact,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55288
LB0899,2023_2024,Hughes,Indefinitely postponed,Exempt Class III school districts from the prohibition on suspending a student in pre-kindergarten through second grade,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54656
LB0900,2023_2024,Brandt,Indefinitely postponed,Change provisions of the Nebraska Rules of the Road relating to the length of vehicles,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55013
LB0901,2023_2024,Linehan,Indefinitely postponed,Provide a sales and use tax exemption for purchases by certain nonprofit organizations,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54899
LB0902,2023_2024,DeBoer,Indefinitely postponed,Prohibit assisted-living facilities from requiring a third-party guarantee of payment,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55363
LB0903,2023_2024,DeBoer,Passed,Change provisions relating to membership of the Alzheimer’s Disease and Other Dementia Advisory Council and the State Alzheimer’s Plan,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55250
LB0904,2023_2024,DeBoer,Passed,"Change provisions regarding child care reimbursement rates, create the Intergenerational Care Facility Incentive Grant Program, and provide for use of the Medicaid Managed Care Excess Profit Fund",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54865
LBA0904,2023_2024,DeBoer,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=56797
LB0905,2023_2024,Riepe,Passed,"Require the Department of Health and Human Services to submit a medicaid waiver or state plan amendment for medical respite care, change the definition of respite care, and change provisions relating to the Medicaid Managed Care Excess Profit Fund",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54956
LBA0905,2023_2024,Riepe,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=56214
