bill_number,session,primary_sponsor,status,summary,bill_url
LB0078,2023_2024,Day,Passed,Redefine massage therapy under the Massage Therapy Practice Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49963
LB0079,2023_2024,Erdman,Indefinitely postponed,Adopt the Nebraska EPIC Option Consumption Tax Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50183
LB0080,2023_2024,Aguilar,Indefinitely postponed,State intent regarding appropriations to the Department of Veterans' Affairs,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50482
LB0081,2023_2024,Aguilar,Indefinitely postponed,Change number of county judges in Buffalo and Hall counties,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49803
LBA0081,2023_2024,Lippincott,Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=51938
LB0082,2023_2024,DeBoer,Indefinitely postponed,"Provide reporting duties for Department of Correctional Services, require development of strategic plan, and eliminate obsolete provisions relating to a working group",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50211
LB0083,2023_2024,DeBoer,Passed,Adopt the Uniform Community Property Disposition at Death Act and change provisions relating to court jurisdiction,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50250
LB0084,2023_2024,Day,Indefinitely postponed,Change provisions relating to the Supplemental Nutrition Assistance Program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49726
LB0085,2023_2024,Day,Indefinitely postponed,Provide for express lane eligibility under the Medical Assistance Act and the Children's Health Insurance Program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50023
LB0086,2023_2024,Hunt,Withdrawn,Require public works contractors to pay the state minimum wage,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49725
LB0087,2023_2024,Hunt,Indefinitely postponed,Allow persons eighteen years of age to make health care decisions and persons under nineteen years of age in correctional facilities to consent to medical and mental health care,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50340
LB0088,2023_2024,Hunt,Indefinitely postponed,Change provisions relating to eligibility for Supplemental Nutrition Assistance Program benefits,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50134
LB0089,2023_2024,Hunt,Indefinitely postponed,Repeal provisions stating that surrogate parenthood contracts are void and unenforceable,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50416
LB0090,2023_2024,Dorn,Indefinitely postponed,Change provisions relating to tax incentive performance audits,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50321
LB0091,2023_2024,"Hansen, B.",Indefinitely postponed,"Change motorcycle, moped, and autocycle helmet and eye protection provisions",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49880
LB0092,2023_2024,Slama,Passed,"Provide, change, and eliminate law relating to banking, commerce, insurance, housing, and taxation",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49882
LBA0092,2023_2024,Slama,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=53550
LB0093,2023_2024,Slama,Indefinitely postponed,Change provisions relating to security deposits required to be deposited with the Department of Insurance by insurers,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49883
LB0094,2023_2024,Slama,Passed,Adopt and change provisions for controllable electronic records under the Uniform Commercial Code,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49836
LB0095,2023_2024,Slama,Indefinitely postponed,Adopt the Asbestos Trust Claims Transparency Act and the Asbestos Claims Priorities and Claims Legitimacy Act and change a statute of limitations,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50235
LB0096,2023_2024,Slama,Indefinitely postponed,Provide a sales and use tax exemption for twine,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49668
LB0097,2023_2024,Clements,Indefinitely postponed,Change provisions relating to required reports for inheritance tax,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49900
LB0098,2023_2024,Jacobson,Indefinitely postponed,Change provisions of the Community Development Law relating to substandard and blighted declarations and expedited reviews of redevelopment plans,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49675
LB0099,2023_2024,"Cavanaugh, M.",Indefinitely postponed,Adopt the Hunger-Free Schools Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50073
LB0100,2023_2024,Erdman,Indefinitely postponed,Change provisions relating to qualified locations under the ImagiNE Nebraska Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49701
LB0101,2023_2024,Erdman,Indefinitely postponed,Provide for an exemption from the Nebraska Workers’ Compensation Act for certain agricultural operations,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50014
LB0102,2023_2024,Erdman,Passed,Change provisions relating to the Land Surveyors Regulation Act and the Nebraska Plane Coordinate System Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49802
LBA0102,2023_2024,Erdman,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=51545
LB0103,2023_2024,McDonnell,Passed,"Change provisions of the County Employees Retirement Act, the Judges Retirement Act, the Nebraska State Patrol Retirement Act, the School Employees Retirement Act, and the State Employees Retirement Act",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49887
LB0104,2023_2024,McDonnell,Indefinitely postponed,"Change provisions of the County Employees Retirement Act, the Judges Retirement Act, the School Employees Retirement Act, the Nebraska State Patrol Retirement Act, and the State Employees Retirement Act",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50392
LB0105,2023_2024,McDonnell,Indefinitely postponed,Change provisions of public employee retirement plans relating to military service,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49886
LB0106,2023_2024,McDonnell,Indefinitely postponed,Create the offense of digital grooming of a vulnerable adult and prohibit using an electronic communication device or social media to engage in certain conduct with vulnerable adults,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49708
LB0107,2023_2024,McDonnell,Indefinitely postponed,Create the offense of digital grooming and prohibit using an electronic  communication device or social media to engage in certain conduct with minors,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49709
LB0108,2023_2024,McDonnell,Indefinitely postponed,State intent regarding appropriations to the Department of Health and Human Services for community health centers,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49930
LB0109,2023_2024,McDonnell,Withdrawn,Require county boards of corrections in certain counties to act with advice of the county sheriff,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50362
LB0110,2023_2024,McDonnell,Indefinitely postponed,Change potential conditions of pretrial release and provide for a pretrial risk assessment services pilot project,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50364
LB0111,2023_2024,McDonnell,Indefinitely postponed,Adopt the Nebraska Volunteer Service Commission Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50368
LB0112,2023_2024,McDonnell,Indefinitely postponed,State intent regarding appropriations to the Department of Health and Human Services for child advocacy centers,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50469
LB0113,2023_2024,McDonnell,Indefinitely postponed,Appropriate funds for federal four and nine percent low-income housing tax credit programs,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50473
LB0114,2023_2024,Vargas,Indefinitely postponed,State intent to appropriate funds to the Department of Health and Human Services for evidence-based early intervention home visitation programs,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50410
LB0115,2023_2024,Raybould,Indefinitely postponed,Adopt the Family Home Visitation Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49765
LB0116,2023_2024,Brandt,Indefinitely postponed,Change provisions of the Beginning Farmer Tax Credit Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49948
LB0117,2023_2024,Brandt,Indefinitely postponed,Change provisions relating to the Independent Processor Assistance Program under the Nebraska Meat and Poultry Inspection Law,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50004
LB0118,2023_2024,Brandt,Indefinitely postponed,Change provisions of the Nebraska Advantage Rural Development Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50221
LB0119,2023_2024,Bostelman,Indefinitely postponed,Redefine a term under the Nebraska Broadband Bridge Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50024
LB0120,2023_2024,Bostelman,Indefinitely postponed,Eliminate obsolete provisions relating to a Nebraska Power Review Board study,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49946
LB0121,2023_2024,Bostelman,Indefinitely postponed,Repeal the Trail Development Assistance Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49933
LB0122,2023_2024,Bostelman,Indefinitely postponed,Change provisions relating to the One-Call Notification System Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49966
LB0123,2023_2024,Fredrickson,Indefinitely postponed,Adopt the Behavior Analyst Practice Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49987
LBA0123,2023_2024,Fredrickson,Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=51937
LB0124,2023_2024,Moser,Indefinitely postponed,Change the termination date for the County Bridge Match Program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50404
LB0125,2023_2024,Bostelman,Indefinitely postponed,Change provisions relating to interest earnings on the Surface Water Irrigation Infrastructure Fund,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50484
LB0126,2023_2024,Day,Passed,Change provisions relating to homestead exemptions and property assessment and tax rolls,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50303
LB0127,2023_2024,Day,Indefinitely postponed,Change sentencing provisions for crimes committed by a person under eighteen years of age,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50072
LB0128,2023_2024,Dorn,Indefinitely postponed,State intent regarding appropriations to the Department of Health and Human Services,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50079
LB0129,2023_2024,Dorn,Indefinitely postponed,State intent regarding appropriations to the Department of Health and Human Services for medicaid nursing facilities,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49928
LB0130,2023_2024,Dorn,Passed,"State intent regarding medicaid nursing facility rates, require reports, and change quality assurance assessments for nursing facilities",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49926
LB0131,2023_2024,Dorn,Indefinitely postponed,State intent regarding appropriations to the Department of Health and Human Services for medicaid assisted-living facilities,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50074
LB0132,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Adopt the Automatic Renewal Limitation Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50300
LB0133,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Provide that entities exercising the power of eminent domain are subject to the  Open Meetings Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50107
LB0134,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Provide requirements under the Small Wireless Facilities Deployment Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50153
LB0135,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Prohibit use of deception by peace officers in questioning juveniles,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50297
LB0136,2023_2024,Moser,Indefinitely postponed,"Change provisions relating to the Motor Vehicle Certificate of Title Act, the Motor Vehicle Registration Act, and the Motor Vehicle Operator's License Act",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50046
LB0137,2023_2024,Bosn,Indefinitely postponed,Provide for a penalty enhancement for a controlled substances violation resulting in serious bodily injury or death,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50359
LB0138,2023_2024,Bosn,Passed,Adopt updates to federal law relating to motor vehicles and motor carriers and change provisions relating to transportation,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49977
LBA0138,2023_2024,Bosn,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=53373
LB0139,2023_2024,Brandt,Passed,Change the jurisdictional amount of the Small Claims Court,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49878
