bill_number,session,chamber,action_date,action,journal_page,order
H3136,2023-2024,House,2023-01-10,Referred to Committee on Invitations and Memorial Resolutions,House Journal-page 32,4
H3136,2023-2024,House,2023-01-25,Committee report: Favorable Invitations and Memorial Resolutions,House Journal-page 2,5
H3136,2023-2024,,2023-01-26,Scrivener's error corrected,,6
H3136,2023-2024,House,2023-01-26,"Adopted, sent to Senate",House Journal-page 17,7
H3136,2023-2024,Senate,2023-01-26,Introduced,Senate Journal-page 4,8
H3136,2023-2024,Senate,2023-01-26,Referred to Committee on Transportation,Senate Journal-page 4,9
H3136,2023-2024,Senate,2023-03-02,Recalled from Committee on Transportation,Senate Journal-page 3,10
H3136,2023-2024,Senate,2023-03-08,"Adopted, returned to House with concurrence",Senate Journal-page 30,11
H3196,2023-2024,House,2022-12-08,Prefiled,,1
H3196,2023-2024,House,2022-12-08,Referred to Committee on Judiciary,,2
H3196,2023-2024,House,2023-01-10,Introduced and read first time,House Journal-page 91,3
H3196,2023-2024,House,2023-01-10,Referred to Committee on Judiciary,House Journal-page 91,4
H3196,2023-2024,House,2023-04-05,Member(s) request name added as sponsor: Rutherford,,5
H3235,2023-2024,House,2022-12-08,Prefiled,,1
H3235,2023-2024,House,2022-12-08,"Referred to Committee on Medical, Military, Public and Municipal Affairs",,2
H3235,2023-2024,House,2023-01-10,Introduced and read first time,House Journal-page 103,3
H3235,2023-2024,House,2023-01-10,"Referred to Committee on Medical, Military, Public and Municipal Affairs",House Journal-page 103,4
H3775,2023-2024,House,2023-01-24,Introduced and read first time,House Journal-page 28,1
H3775,2023-2024,House,2023-01-24,Referred to Committee on Judiciary,House Journal-page 28,2
H3775,2023-2024,House,2023-01-31,Member(s) request name added as sponsor: Gilliam,,3
H3794,2023-2024,House,2023-01-25,Introduced and adopted,House Journal-page 6,1
H4001,2023-2024,House,2023-02-21,Introduced and read first time,House Journal-page 25,1
H4001,2023-2024,House,2023-02-21,Referred to Committee on Judiciary,House Journal-page 25,2
H4001,2023-2024,,2023-02-24,Scrivener's error corrected,,3
H4206,2023-2024,House,2023-03-29,"Introduced, adopted, sent to Senate",House Journal-page 66,1
H4206,2023-2024,Senate,2023-03-30,Introduced,Senate Journal-page 11,2
H4206,2023-2024,Senate,2023-03-30,Referred to Committee on Family and Veterans' Services,Senate Journal-page 11,3
H4206,2023-2024,Senate,2023-04-11,Recalled from Committee on Family and Veterans' Services,Senate Journal-page 5,4
H4206,2023-2024,,2023-04-12,Scrivener's error corrected,,5
H4206,2023-2024,Senate,2023-04-12,"Adopted, returned to House with concurrence",Senate Journal-page 21,6
H4427,2023-2024,House,2023-05-03,Introduced and read first time,House Journal-page 98,1
H4427,2023-2024,House,2023-05-03,Referred to Committee on Judiciary,House Journal-page 98,2
H4464,2023-2024,House,2023-05-09,Introduced and read first time,House Journal-page 16,1
H4464,2023-2024,House,2023-05-09,"Referred to Committee on Labor, Commerce and Industry",House Journal-page 16,2
H4464,2023-2024,House,2023-05-17,"Member(s) request name added as sponsor: Atkinson, Hayes, Hardee, McGinnis",,3
H4843,2023-2024,House,2024-01-16,Introduced and read first time,House Journal-page 9,1
H4843,2023-2024,House,2024-01-16,"Referred to Committee on Labor, Commerce and Industry",House Journal-page 9,2
H4843,2023-2024,,2024-01-18,Scrivener's error corrected,,3
H4843,2023-2024,House,2024-02-06,Member(s) request name added as sponsor: Sandifer,,4
H4843,2023-2024,House,2024-03-20,Member(s) request name added as sponsor: Anderson,,5
H4843,2023-2024,House,2024-03-27,"Committee report: Favorable with amendment Labor, Commerce and Industry",House Journal-page 29,6
H4843,2023-2024,House,2024-04-09,Amended,House Journal-page 43,7
H4843,2023-2024,House,2024-04-09,Read second time,House Journal-page 43,8
H4843,2023-2024,House,2024-04-09,Roll call Yeas-103  Nays-0 (House Journal-page 44),,9
H4843,2023-2024,House,2024-04-10,Read third time and sent to Senate,House Journal-page 12,10
H4843,2023-2024,Senate,2024-04-10,Introduced and read first time,Senate Journal-page 4,11
H4843,2023-2024,Senate,2024-04-10,Referred to Committee on Agriculture and Natural Resources,Senate Journal-page 4,12
H4843,2023-2024,Senate,2024-04-17,"Referred to Subcommittee: Goldfinch (ch), Williams, McElveen, Talley, M.Johnson",,13
H4843,2023-2024,Senate,2024-04-24,Polled out of committee Agriculture and Natural Resources,Senate Journal-page 8,14
H4843,2023-2024,Senate,2024-04-24,Committee report: Favorable Agriculture and Natural Resources,Senate Journal-page 8,15
H4843,2023-2024,Senate,2024-05-07,Amended,Senate Journal-page 83,16
H4843,2023-2024,Senate,2024-05-07,Read second time,Senate Journal-page 83,17
H4843,2023-2024,Senate,2024-05-07,Roll call Ayes-43  Nays-0 (Senate Journal-page 83),,18
H4843,2023-2024,Senate,2024-05-08,Read third time and returned to House with amendments,Senate Journal-page 79,19
H4843,2023-2024,House,2024-05-09,Non-concurrence in Senate amendment,House Journal-page 31,20
H4843,2023-2024,House,2024-05-09,Roll call Yeas-0  Nays-102 (House Journal-page 32),,21
H4843,2023-2024,Senate,2024-05-09,"Senate insists upon amendment and conference committee appointed Goldfinch, Campsen, McElveen",Senate Journal-page 50,22
H4843,2023-2024,House,2024-05-09,"Conference committee appointed Bailey, Hardee, Anderson",House Journal-page 152,23
H4843,2023-2024,Senate,2024-06-26,Conference report received and adopted,Senate Journal-page 205,24
H4843,2023-2024,Senate,2024-06-26,Roll call Ayes-42  Nays-0 (Senate Journal-page 205),,25
H4843,2023-2024,House,2024-06-26,Conference report received and adopted,,26
H4843,2023-2024,House,2024-06-26,Roll call Yeas-111  Nays-0,,27
H4843,2023-2024,House,2024-06-26,Ordered enrolled for ratification,,28
H4843,2023-2024,,2024-06-27,Ratified R 251,,29
H4843,2023-2024,,2024-07-02,Signed By Governor,,30
H4843,2023-2024,,2024-07-17,Effective date 07/02/24,,31
H4843,2023-2024,,2024-07-17,Act No. 225,,32
H4979,2023-2024,House,2024-01-31,Introduced,House Journal-page 7,1
H4979,2023-2024,House,2024-01-31,Referred to Committee on Invitations and Memorial Resolutions,House Journal-page 7,2
H5262,2023-2024,House,2024-03-13,Introduced and read first time,House Journal-page 8,1
H5262,2023-2024,House,2024-03-13,"Referred to Committee on Labor, Commerce and Industry",House Journal-page 8,2
H5466,2023-2024,House,2024-04-24,Introduced,House Journal-page 8,1
H5466,2023-2024,House,2024-04-24,Referred to Committee on Invitations and Memorial Resolutions,House Journal-page 8,2
H5499,2023-2024,House,2024-05-01,Introduced and adopted,House Journal-page 112,1
H3752,2023-2024,House,2023-01-24,Introduced and adopted,House Journal-page 13,1
H3762,2023-2024,House,2023-01-24,Introduced and adopted,House Journal-page 19,1
H3948,2023-2024,House,2023-02-14,Introduced and read first time,House Journal-page 9,1
H3948,2023-2024,House,2023-02-14,Referred to Committee on Ways and Means,House Journal-page 9,2
H3948,2023-2024,House,2023-02-21,"Member(s) request name added as sponsor: Robbins, Brewer, Murphy, M.M.Smith, Williams, Gilliam, Chapman, Gagnon, Kirby, Cobb-Hunter",,3
H3948,2023-2024,House,2023-02-22,"Member(s) request name added as sponsor: Erickson, Bradley, Ott, Caskey",,4
H3948,2023-2024,House,2023-02-28,"Member(s) request name added as sponsor: Hyde, Bernstein, Bauer",,5
H3948,2023-2024,House,2023-03-01,Member(s) request name added as sponsor: Anderson,,6
