bill_number,session,bill_type,primary_sponsor,sponsors,title,summary
H3861,2023-2024,Resolution,Representative A.M. Morgan,A.M. Morgan; B.J. Cox; Elliott; Burns; Bannister; T.A. Morgan,Eastside HS baseball champs,A HOUSE RESOLUTION TO CONGRATULATE THE EASTSIDE HIGH SCHOOL BASEBALL TEAM FOR AN IMPRESSIVE SEASON AND TO CELEBRATE THE EAGLES' CAPTURE OF THE 2022 CLASS AAAA STATE CHAMPIONSHIP TITLE.
H4245,2023-2024,Concurrent Resolution,Representative A.M. Morgan,A.M. Morgan; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Henegan; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Tedder; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,"Martin O'Connor, public service","A CONCURRENT RESOLUTION TO EXPRESS DEEP APPRECIATION FOR THE DEDICATED PUBLIC SERVICE OF MARTIN O'CONNOR, MEMBER OF THE BOARD OF THE CHARTER INSTITUTE OF ERSKINE, AND TO WISH HIM A FUTURE BLESSED WITH GOOD HEALTH AND MUCH JOY."
H4690,2023-2024,General Bill,Representative A.M. Morgan,A.M. Morgan; Magnuson; Vaughan,Childhood Vaccinations,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 44-29-180, RELATING TO SCHOOL AND CHILDCARE VACCINATION AND IMMUNIZATION REQUIREMENTS, SO AS TO REQUIRE THE GENERAL ASSEMBLY TO DETERMINE ANY MANDATED VACCINATIONS AND IMMUNIZATIONS."
H4692,2023-2024,Resolution,Representative A.M. Morgan,A.M. Morgan; Magnuson,"House Rules, chairmen term limits","A HOUSE RESOLUTION TO AMEND RULE 1.9 OF THE RULES OF THE HOUSE OF REPRESENTATIVES, RELATING TO THE APPOINTMENT OF COMMITTEE MEMBERS AND ELECTION OF CHAIRMEN BY THE RESPECTIVE COMMITTEES, SO AS TO PROVIDE THAT COMMITTEE CHAIRMEN MAY NOT SERVE MORE THAN TWO CONSECUTIVE TWO-YEAR TERMS ON A PARTICULAR COMMITTEE."
H4713,2023-2024,General Bill,Representative A.M. Morgan,A.M. Morgan; Magnuson,Lobbyist,A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 2-17-55 SO AS TO PROHIBIT THE USE OF PUBLIC FUNDS TO CONTRACT WITH A PERSON WHOSE ACTIVITIES INCLUDE LOBBYING.
H4989,2023-2024,General Bill,Representative A.M. Morgan,A.M. Morgan; May; J.L. Johnson; Sessions; T.A. Morgan; B.J. Cox; S. Jones; Oremus; Long; Trantham; O'Neal; White; McCabe; Burns; Landing; Herbkersman; Pace; Willis; Haddon; Harris; Leber; Pedalino; Carter,"General Assembly, judgeships for immediate family members","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 2-1-105 SO AS TO PROVIDE AFTER JULY 1, 2024, A PERSON MAY NOT BE ELECTED OR APPOINTED TO A JUDICIAL OFFICE THAT IS FILLED BY ELECTION OR APPOINTMENT OF THE GENERAL ASSEMBLY IF THAT PERSON IS AN IMMEDIATE FAMILY MEMBER OF A SITTING MEMBER OF THE GENERAL ASSEMBLY, OR A FORMER MEMBER OF THE GENERAL ASSEMBLY WHOSE MOST RECENT TERM OF LEGISLATIVE SERVICE ENDED LESS THAN ONE YEAR PRIOR TO THE GENERAL ASSEMBLY'S ELECTION OR APPOINTMENT OF THE OFFICE IN QUESTION."
H5052,2023-2024,General Bill,Representative A.M. Morgan,A.M. Morgan; Elliott; May; B.J. Cox; Kilmartin; Guest; McCabe; O'Neal; Burns; S. Jones; Beach; Long; Pace; Gilliam; Cromer; White; M.M. Smith; Chumley; Crawford; Vaughan; McCravy; Leber; Oremus; T.A. Morgan,"School board elections, partisan","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 59-19-25 SO AS TO PROVIDE THAT ALL ELECTED MEMBERS OF THE BOARDS OF TRUSTEES FOR SCHOOL DISTRICTS OF THIS STATE MUST BE ELECTED IN PARTISAN ELECTIONS, TO PROVIDE FILING METHODS AND DEADLINES FOR CANDIDATES SEEKING ELECTION TO SUCH OFFICES, AND TO PROVIDE THAT THE PROVISIONS OF THIS SECTION CONTROL IN THE EVENT OF A CONFLICT WITH THE LOCAL LAW PROVISIONS OF A SCHOOL DISTRICT."
H5181,2023-2024,General Bill,Representative A.M. Morgan,A.M. Morgan; May; Magnuson; O'Neal; Beach; Trantham; T.A. Morgan; McCabe; Harris; Pace; White; Kilmartin; Long; S. Jones; Cromer; Burns; Chumley,Ethics Offense - Statute of Limitations,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 8-13-320, RELATING TO THE DUTIES AND POWERS OF THE STATE ETHICS COMMISSION, SO AS TO PERMIT THE STATE ETHICS COMMISSION TO TAKE ACTION ON A COMPLAINT AFTER FOUR YEARS OF AN ALLEGED VIOLATION IF A PUBLIC OFFICIAL OR PUBLIC MEMBER WHO ALLEGEDLY COMMITTED A VIOLATION IS IN THE SAME GOVERNMENTAL ENTITY IN WHICH THE ALLEGED VIOLATION OCCURRED; AND BY AMENDING SECTION 8-13-540, RELATING TO THE MANNER IN WHICH INVESTIGATIONS AND HEARINGS ARE CONDUCTED BY THE SENATE AND HOUSE OF REPRESENTATIVES ETHICS COMMITTEES , SO AS TO PERMIT AN ETHICS COMMITTEE TO TAKE ACTION ON A COMPLAINT AFTER FOUR YEARS OF AN ALLEGED VIOLATION IF THE MEMBER OF THE GENERAL ASSEMBLY IS IN THE SAME LEGISLATIVE BODY IN WHICH THE ALLEGED VIOLATION OCCURRED."
H5218,2023-2024,Resolution,Representative A.M. Morgan,A.M. Morgan; May; Magnuson; T.A. Morgan; Kilmartin; Cromer; Pace; S. Jones; O'Neal; Oremus; Burns; Harris; Chumley; Beach; McCabe; White,"House Rules, committee procedures","A HOUSE RESOLUTION TO AMEND RULE 4.6 OF THE RULES OF THE HOUSE OF REPRESENTATIVES, RELATING TO COMMITTEES AND THEIR PROCEDURES, SO AS TO REQUIRE THE CHAIRMEN OF COMMITTEES TO SET BILLS AND RESOLUTIONS WITH FIFTEEN OR MORE SPONSORS FOR CONSIDERATION BY THE FULL COMMITTEE OR SUBCOMMITTEE WITHIN SEVEN DAYS OF A WRITTEN REQUEST OF A SPONSOR OR COSPONSOR."
H5219,2023-2024,Resolution,Representative A.M. Morgan,A.M. Morgan; May; Magnuson; T.A. Morgan; Kilmartin; Cromer; Pace; Harris; S. Jones; Oremus; Chumley; Burns; Long; Beach; McCabe; O'Neal; White,"House Rules, live-streaming of meetings","A HOUSE RESOLUTION TO AMEND RULE 4.4 OF THE RULES OF THE HOUSE OF REPRESENTATIVES, RELATING TO COMMITTEES AND THEIR PROCEDURES, SO AS TO REQUIRE THE LIVESTREAMING OF ALL COMMITTEE MEETINGS, INCLUDING SUBCOMMITTEE MEETINGS."
H5220,2023-2024,Resolution,Representative A.M. Morgan,A.M. Morgan; May; Magnuson; T.A. Morgan; Kilmartin; Cromer; Pace; Harris; S. Jones; Oremus; Burns; Chumley; Beach; McCabe; O'Neal; White,"House Rules, legislative caucus prohibitions",A HOUSE RESOLUTION TO AMEND RULE 10 OF THE RULES OF THE HOUSE OF REPRESENTATIVES BY ADDING RULE 10.17 SO AS TO RESTRICT A LEGISLATIVE CAUCUS FROM INSTITUTING RULES THAT RESTRICT A MEMBER'S ABILITY TO SPEAK IN THE PUBLIC FORUM OR THAT ATTEMPTS TO RESTRICT POLITICAL SPEECH.
H5221,2023-2024,Resolution,Representative A.M. Morgan,A.M. Morgan; May; Magnuson; T.A. Morgan; Kilmartin; Cromer; Pace; S. Jones; Oremus; Long; Burns; Harris; Chumley; Beach; McCabe; White,"House Rules, voting in judicial elections","A HOUSE RESOLUTION TO AMEND RULE 7.2 OF THE RULES OF THE HOUSE OF REPRESENTATIVES, RELATING TO ROLL CALL VOTING REQUIREMENTS, SO AS TO PROVIDE THAT IN JUDICIAL ELECTIONS, THE AYES AND NAYS MUST BE ENTERED IN THE HOUSE JOURNAL AND THE ELECTRONIC ROLL SYSTEM MUST BE USED REGARDLESS OF IF THE ELECTION IS CONTESTED."
H5222,2023-2024,Resolution,Representative A.M. Morgan,A.M. Morgan; May; Magnuson; T.A. Morgan; Kilmartin; Cromer; Pace; Harris; O'Neal; Burns; Chumley; Beach; Oremus; McCabe; White,"House Rules, motion to vacate speakership","A HOUSE RESOLUTION TO AMEND RULE 8.9 OF THE RULES OF THE HOUSE OF REPRESENTATIVES, RELATING TO MOTION PROCEDURES, SO AS TO ALLOW A MOTION TO VACATE THE SPEAKERSHIP."
H5375,2023-2024,General Bill,Representative A.M. Morgan,A.M. Morgan; Landing; Beach; Brittain; Mitchell; Taylor; Schuessler; Guffey; Crawford; O'Neal; May; Calhoon; Hayes; M.M. Smith; Elliott; T. Moore; Forrest; McCravy; B.J. Cox; Kilmartin; Long; Burns; McCabe; Ligon; T.A. Morgan; Willis; Yow; Oremus; S. Jones; Chumley; Leber; White; Gilliam; Magnuson; Guest; Nutt; Pace; B.L. Cox; McGinnis; Pope; Hager; Wooten; Vaughan; Bustos; Harris; B. Newton; Hyde; Hartnett; Lawson; Gibson; McDaniel; Blackwell; Haddon; Herbkersman; Hewitt; Hiott; Hixon; Lowe; Moss; Thayer,Removal of unauthorized persons,A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 27-1-80 SO AS TO PROVIDE THAT A PROPERTY OWNER MAY REQUEST FOR THE IMMEDIATE REMOVAL OF A PERSON UNLAWFULLY OCCUPYING A RESIDENTIAL DWELLING AND TO PROVIDE FOR A COMPLAINT FORM; AND BY ADDING SECTION 16-11-40 SO AS TO PROVIDE FOR CERTAIN PENALTIES FOR A PERSON WHO UNLAWFULLY DETAINS OR OCCUPIES RESIDENTIAL PROPERTY.
H5389,2023-2024,General Bill,Representative A.M. Morgan,A.M. Morgan; T.A. Morgan; Pace; May; O'Neal; Chumley; Kilmartin; McCabe; Beach; S. Jones; Oremus; Pedalino; Cromer; Willis; Magnuson; Harris; Burns; White; Nutt; Haddon,Rebate,A BILL TO APPROPRIATE UP TO $1.8 BILLION TO PROVIDE FOR A ONE-TIME REBATE FOR INDIVIDUAL INCOME TAXPAYERS THAT FILED A RETURN IN 2023.
H5039,2023-2024,General Bill,Representative T.A. Morgan,T.A. Morgan; A.M. Morgan; Kilmartin; White; S. Jones; Cromer; Beach; Harris; May; Trantham; J.L. Johnson,"Judicial Elections, attorney-legislators","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 2-19-90, RELATING TO THE JUDICIAL MERIT SELECTION COMMISSION AND ITS MEMBERSHIP AND FUNCTIONS, SO AS TO REQUIRE ATTORNEY-LEGISLATORS TO RECUSE THEMSELVES FROM VOTING OR PARTICIPATING IN ANY MANNER IN THE ELECTION PROCESS OF JUDGES AND JUSTICES."
H5040,2023-2024,General Bill,Representative T.A. Morgan,T.A. Morgan; White; S. Jones; Cromer; Beach; Magnuson; May; Trantham; McCabe; Harris,Corporate income tax,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 12-6-530, RELATING TO THE CORPORATE INCOME TAX, SO AS TO LOWER THE CORPORATE INCOME TAX RATE FROM FIVE PERCENT TO FOUR AND ONE HALF PERCENT."
H5044,2023-2024,General Bill,Representative T.A. Morgan,T.A. Morgan; White; S. Jones; Pace; Cromer; Beach; Magnuson; May; Trantham; McCabe; Harris,Elimination of individual income tax,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 12-6-511 SO AS TO REDUCE ALL THE INCOME TAX RATES ON INDIVIDUALS, ESTATES, AND TRUSTS BY ONE PERCENT EACH YEAR UNTIL THE RATE ACROSS ALL BRACKETS EQUALS ZERO PERCENT; BY REPEALING SECTION 12-6-510 RELATING TO TAX RATES FOR INDIVIDUALS, ESTATES, AND TRUSTS; BY REPEALING SECTION 12-6-515 RELATING TO INCOME TAX BRACKETS; BY REPEALING SECTION 12-6-520 RELATING TO ANNUAL ADJUSTMENTS TO INCOME TAX BRACKETS; AND BY REPEALING SECTION 12-6-545 RELATING TO INCOME TAX RATES FOR PASS-THROUGH TRADE AND BUSINESS INCOME."
H5045,2023-2024,General Bill,Representative T.A. Morgan,T.A. Morgan; White; Cromer; Magnuson; Harris; May; Trantham; McCabe,DOT Commission,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 57-1-410, RELATING TO THE SECRETARY OF THE DEPARTMENT OF TRANSPORTATION, SO AS TO PROVIDE THAT THE GOVERNOR SHALL APPOINT THE SECRETARY INSTEAD OF THE COMMISSION OF THE DEPARTMENT OF TRANSPORTATION; TO DEVOLVE THE DUTIES OF THE COMMISSION OF THE DEPARTMENT OF TRANSPORTATION UPON THE SECRETARY OF THE DEPARTMENT OF TRANSPORTATION; BY AMENDING SECTION 1-30-10, RELATING TO THE DEPARTMENTS OF STATE GOVERNMENT AND THEIR GOVERNING BODIES, SO AS TO DELETE THE PROVISION THAT PROVIDES THAT PART OF THE GOVERNING BODY OF THE DEPARTMENT OF TRANSPORTATION IS A SEVEN-MEMBER COMMISSION; BY AMENDING SECTION 1-30-105, RELATING TO THE ESTABLISHMENT OF THE DEPARTMENT OF TRANSPORTATION, SO AS TO PROVIDE THAT THE GOVERNING AUTHORITY OF THE DEPARTMENT OF TRANSPORTATION IS THE SECRETARY OF TRANSPORTATION; BY AMENDING SECTION 11-43-140, RELATING TO THE BOARD OF DIRECTORS OF THE TRANSPORTATION INFRASTRUCTURE BANK, SO AS TO REMOVE THE CHAIRMAN OF THE DEPARTMENT OF TRANSPORTATION COMMISSION AS A DIRECTOR, AND TO PROVIDE THAT THE SECRETARY OF TRANSPORTATION IS A MEMBER OF THE BOARD; BY AMENDING SECTIONS 57-1-10, 57-1-40, 57-1-370, 57-1-430, 57-1-490, AND 57-3-20, ALL RELATING TO THE ESTABLISHMENT OF THE DEPARTMENT OF TRANSPORTATION, AND ITS DUTIES AND RESPONSIBILITIES, SO AS TO ELIMINATE THE DEPARTMENT OF TRANSPORTATION COMMISSION AND ITS RESPONSIBILITIES, TO ALLOW THE GOVERNOR TO APPOINT THE SECRETARY OF TRANSPORTATION AND REQUIRE THE DEPARTMENT OF TRANSPORTATION SUBMIT TO THE GENERAL ASSEMBLY AN ITEMIZED PROJECT LIST TO BE FUNDED FOR THE FISCAL YEAR IN WHICH THE GENERAL ASSEMBLY WOULD ENACT ITS ANNUAL GENERAL APPROPRIATIONS ACT; BY AMENDING SECTION 57-1-500, RELATING TO A DEPARTMENT OF TRANSPORTATION ETHICS WORKSHOP, SO AS TO DELETE THE DEPARTMENT OF TRANSPORTATION COMMISSIONERS AS PARTICIPANTS IN THIS WORKSHOP; BY AMENDING SECTION 57-3-50, RELATING TO THE ESTABLISHMENT OF HIGHWAY DISTRICTS, SO AS TO SUBSTITUTE THE TERM ""DEPARTMENT"" FOR THE TERM ""COMMISSION""; BY AMENDING SECTION 57-1-90, RELATING TO MOTORCYCLES, SO AS TO MAKE A CONFORMING CHANGE; BY AMENDING SECTION 57-3-210, RELATING TO THE DEPARTMENT OF TRANSPORTATION CONTRACTING WITH PUBLIC TRANSIT SYSTEMS, SO AS TO MAKE A CONFORMING CHANGE; BY AMENDING SECTION 57-3-700, RELATING TO THE DEPARTMENT OF TRANSPORTATION SERVING AS AN AGENT FOR COUNTIES, SO AS TO MAKE A CONFORMING CHANGE; BY AMENDING SECTION 57-5-10, RELATING TO THE COMPOSITION OF THE STATE HIGHWAY SYSTEM, SO AS TO MAKE A CONFORMING CHANGE; BY AMENDING SECTION 57-5-50, RELATING TO THE TRANSFER OF CERTAIN ROADS, SO AS TO MAKE A CONFORMING CHANGE; BY AMENDING SECTION 57-5-90, RELATING TO BELT LINES AND SPURS, SO AS TO MAKE A CONFORMING CHANGE; BY AMENDING SECTION 57-5-310, RELATING TO THE OWNERSHIP OF REAL ESTATE, SO AS TO MAKE A CONFORMING CHANGE; BY AMENDING SECTION 57-5-340, RELATING TO THE DISPOSITION OF REAL ESTATE, SO AS TO MAKE A CONFORMING CHANGE; BY AMENDING SECTION 57-5-1350, RELATING TO TURNPIKES, SO AS TO MAKE A CONFORMING CHANGE; BY AMENDING SECTIONS 57-13-10, 57-13-20, 57-13-40, AND 57-13-50, ALL RELATING TO BRIDGES, SO AS TO MAKE A CONFORMING CHANGE; BY AMENDING SECTION 57-25-120, RELATING TO DEFINITIONS, SO AS TO MAKE A CONFORMING CHANGE; BY AMENDING SECTIONS 57-25-140, 57-25-150, 57-25-170, 57-25-200, AND 57-25-210, ALL RELATING TO SIGNS ALONG THE HIGHWAYS, SO AS TO MAKE A CONFORMING CHANGE; AND BY REPEALING SECTIONS 57-1-310, 57-1-320, 57-1-325, 57-1-330, 57-1-340, 57-1-350, AND SECTIONS 6, 7, AND 8 OF ACT 114 OF 2007 ALL RELATING TO THE CREATION AND FUNCTIONS OF THE DEPARTMENT OF TRANSPORTATION AND ITS COMMISSION."
H3127,2023-2024,General Bill,Representative Moss,Moss; McCravy; Lawson; Burns; Pace; Pope; Guffey; O'Neal; Nutt; W. Jones; Yow; Brewer; Mitchell; Robbins; Magnuson; Harris,Homestead Exemption Increase,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 12-37-250, RELATING TO THE HOMESTEAD PROPERTY TAX EXEMPTION ALLOWED FOR PERSONS WHO ARE OVER THE AGE OF SIXTY-FIVE YEARS, DISABLED, OR LEGALLY BLIND, SO AS TO INCREASE THE EXEMPTION AMOUNT FROM THE FIRST FIFTY THOUSAND DOLLARS TO THE FIRST ONE HUNDRED THOUSAND DOLLARS OF THE FAIR MARKET VALUE OF THE HOMESTEAD; AND BY REPEALING SECTION 12-37-245 RELATING TO AN OBSOLETE REFERENCE TO THE HOMESTEAD EXEMPTION."
H3174,2023-2024,General Bill,Representative Moss,Moss; West; Cobb-Hunter; Williams; Henegan; Thayer; Gagnon,Littering civil offense,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 16-11-705 SO AS TO ESTABLISH A CIVIL OFFENSE FOR LITTERING; AND BY AMENDING SECTION 16-11-700, RELATING TO DUMPING LITTER ON PRIVATE OR PUBLIC PROPERTY, SO AS TO REVISE THE PENALTIES FOR LITTERING OFFENSES."
H3175,2023-2024,General Bill,Representative Moss,Moss; Carter; Lawson; Pope; Yow; Bustos; Landing; Hartnett,Assault and battery on health care workers,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 16-3-600, RELATING TO ASSAULT AND BATTERY OFFENSES, SO AS TO ADD THAT ASSAULT AND BATTERY OF A HIGH AND AGGRAVATED NATURE OCCURS WHEN A PERSON INJURES A HEALTH CARE WORKER OR EMERGENCY RESPONSE EMPLOYEE IN THE DISCHARGE OF OR BECAUSE OF THEIR OFFICIAL DUTIES."
H3215,2023-2024,General Bill,Representative Moss,Moss; McCravy; Lawson; Kilmartin,No Patient Left Alone Act,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ENACTING THE ""NO PATIENT LEFT ALONE ACT""; BY ADDING SECTIONS 44-7-395 AND 44-71-120 SO AS TO SAFEGUARD PATIENT AND RESIDENT VISITATION RIGHTS IN CERTAIN HEALTH CARE FACILITIES DURING DECLARED DISASTERS AND EMERGENCIES, TO DIRECT THE DEPARTMENT OF HEALTH AND ENVIRONMENTAL CONTROL TO IMPOSE A CIVIL PENALTY FOR ANY VIOLATION OF THOSE RIGHTS, AND FOR OTHER PURPOSES."
H3265,2023-2024,General Bill,Representative Moss,Moss,Resident vendor preferences,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 11-35-1524, RELATING TO RESIDENT VENDOR PREFERENCES UNDER THE CONSOLIDATED PROCUREMENT CODE, SO AS TO PROVIDE THAT FOR THE PURPOSE OF MAKING AN AWARD DETERMINATION, A PROCUREMENT OFFICER IS DIRECTED TO DECREASE A BIDDER'S PRICE BY TWO PERCENT IF THE BID IS SUBMITTED BY A BUSINESS OWNED BY A SERVICE-DISABLED VETERAN RESIDING IN THIS STATE, AND TO DEFINE ""SERVICE-DISABLED VETERAN"" FOR THIS PURPOSE."
H3266,2023-2024,General Bill,Representative Moss,Moss; Pope,SC Equine Promotion Act,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING CHAPTER 23 TO TITLE 47 SO AS TO CREATE THE ""SOUTH CAROLINA EQUINE PROMOTION ACT"", TO DEFINE NECESSARY TERMS, TO ESTABLISH THE EQUINE PROMOTION BOARD, TO PROVIDE FOR THE COMPOSITION OF THE BOARD AND THE TERMS OF THE BOARD MEMBERS, TO IMPOSE AN ASSESSMENT ON ALL COMMERCIAL FEED AND CUSTOM BLENDS LABELED FOR EQUINE USE; TO PROVIDE HOW THE FUNDS MAY BE USED TO PROMOTE THE EQUINE INDUSTRY IN SOUTH CAROLINA, AND TO REQUIRE AN ANNUAL AUDIT OF THE EQUINE PROMOTION FUND."
H3354,2023-2024,General Bill,Representative Moss,Moss; McCravy; Lawson; Magnuson; Pope; Hyde,Concealed weapons,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 23-31-240, RELATING TO PERSONS ALLOWED TO CARRY CONCEALABLE WEAPONS WITHIN THE STATE, SO AS TO ADD ACTIVE CLERKS OF COURT TO THE LIST OF PERSONS."
H3355,2023-2024,General Bill,Representative Moss,Moss; Lawson,Towing trucks with fifth-wheel assembly,AN ACT TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 56-5-4072 SO AS TO PROVIDE THE CIRCUMSTANCES IN WHICH VEHICLE OPERATORS UTILIZING FIFTH WHEEL ASSEMBLIES MAY TOW AN ADDITIONAL TRAILING VEHICLE. - RATIFIED TITLE
H4156,2023-2024,Concurrent Resolution,Representative Moss,Moss; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Henegan; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Tedder; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Bladder Cancer Awareness Month,"A CONCURRENT RESOLUTION TO PROMOTE UNDERSTANDING OF THE GROWING RISK OF BLADDER CANCER IN THE UNITED STATES, TO ENCOURAGE RESEARCH IN THE MEDICAL COMMUNITY TO IDENTIFY THE CAUSES AND DEVELOP A CURE FOR THE DISEASE, AND TO DECLARE MAY 2023 AS ""BLADDER CANCER AWARENESS MONTH"" IN SOUTH CAROLINA."
H4338,2023-2024,Resolution,Representative Moss,Moss; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Henegan; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Tedder; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Beverly Carpenter Coates sympathy,"A HOUSE RESOLUTION TO EXPRESS THE PROFOUND SORROW OF THE SOUTH CAROLINA HOUSE OF REPRESENTATIVES, UPON THE PASSING OF BEVERLY CARPENTER COATES OF RICHLAND COUNTY, AND TO EXTEND THEIR DEEPEST SYMPATHY TO HER MANY FRIENDS AND HER LOVING FAMILY."
H4350,2023-2024,General Bill,Representative Moss,Moss; Lawson,Cherokee County voting precincts,"AN ACT TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 7-7-160, RELATING TO DESIGNATION OF VOTING PRECINCTS IN CHEROKEE COUNTY, SO AS TO REDESIGNATE THE MAP NUMBER ON WHICH THESE PRECINCTS MAY BE FOUND ON FILE WITH THE REVENUE AND FISCAL AFFAIRS OFFICE. - RATIFIED TITLE"
