bill_number,session_year,sponsors,sponsors_on_bill,title,lsr,local_gov,chapter_num,S_status,S_floor_date,S_comm,H_status,H_floor_date,H_comm,bill_url,hist_url,vote_url
HB1-A,2023,Kenneth Weyler (R); Tracy Emerick (R); Jess Edwards (R); Peter Leishman (D),"SPONSORS:	Rep. Weyler, Rock. 14; Rep. Leishman, Hills. 33; Rep. Emerick, Rock. 29; Rep. Edwards, Rock. 31","making appropriations for the expenses of certain departments of the state for fiscal years ending June 30, 2024 and June 30, 2025.",1063,N,0106,PASSED/ADOPTED WITH AMENDMENT,2023-06-07,Finance,CONCURRED,2023-06-08,Finance,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=1063&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=1063&sy=2023&sortoption=&txtsessionyear=2023,
HB2-FN-A-L,2023,Kenneth Weyler (R),"SPONSORS:	Rep. Weyler, Rock. 14","relative to state fees, funds, revenues, and expenditures.",1064,N,0079,PASSED/ADOPTED WITH AMENDMENT,2023-06-07,Finance,CONCURRED,2023-06-08,Finance,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=1064&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=1064&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=1064&sy=2023&sortoption=&txtsessionyear=2023
HB10-FN,2023,Sherman Packard (R); Jason Osborne (R); Laurie Sanborn (R); Jeffrey Greeson (r); Debra DeSimone (R); Deb Hobson (R); Paul Terry (R); Mark Alliegro (r); John Potucek (R); Steven Smith (R),"SPONSORS:	Rep. Packard, Rock. 16; Rep. Greeson, Graf. 6; Rep. Terry, Belk. 7; Rep. Steven Smith, Sull. 3; Rep. Osborne, Rock. 2; Rep. DeSimone, Rock. 18; Rep. L. Sanborn, Hills. 2; Rep. Hobson, Rock. 14; Rep. Potucek, Rock. 13; Rep. Hoell, Merr. 27",establishing the parental bill of rights.,0093,N,None,,,,DIED ON THE TABLE,2023-03-22,Children and Family Law,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0093&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0093&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0093&sy=2023&sortoption=&txtsessionyear=2023
HB20,2023,Jeanine Notter (R); Bill Boyd (R); Jeb Bradley (R); Robert Healey (R); Mary Mayville (R); Sharon Carson (R); Sherman Packard (R); Melissa Blasek (R); Kevin Avard (R); Jason Osborne (R); Steven Smith (R); Regina Birdsell (R); Maureen Mooney (R); Nancy Murphy (D),"SPONSORS:	Rep. Notter, Hills. 12; Rep. Healey, Hills. 12; Rep. Packard, Rock. 16; Rep. Osborne, Rock. 2; Rep. Mooney, Hills. 12; Rep. B. Boyd, Hills. 12; Rep. Steven Smith, Sull. 3; Rep. N. Murphy, Hills. 12; Sen. Bradley, Dist 3; Sen. Carson, Dist 14; Sen. Avard, Dist 12; Sen. Birdsell, Dist 19","naming a bridge in the town of Merrimack for the Honorable Richard ""Dick"" Hinch.",0119,N,0024,PASSED/ADOPTED,2023-04-13,Transportation,PASSED/ADOPTED,2023-02-22,Public Works and Highways,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0119&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0119&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0119&sy=2023&sortoption=&txtsessionyear=2023
HB25-A,2023,Mark McConkey (R),"SPONSORS:	Rep. McConkey, Carr. 8",making appropriations for capital improvements.,1065,N,0113,PASSED/ADOPTED WITH AMENDMENT,2023-06-08,Capital Budget,CONCURRED,2023-04-06,Public Works and Highways,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=1065&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=1065&sy=2023&sortoption=&txtsessionyear=2023,
HB30-FN,2023,Judy Aron (R); Steven Smith (R); Margaret Drye (R); Carol McGuire (R); John Cloutier (D),"SPONSORS:	Rep. Aron, Sull. 4; Rep. C. McGuire, Merr. 27; Rep. Steven Smith, Sull. 3; Rep. Cloutier, Sull. 6; Rep. Drye, Sull. 7",allowing a county to exempt its chief administrative officer from compulsory participation in the retirement system.,0051,N,0009,PASSED/ADOPTED,2023-04-13,Executive Departments and Administration,PASSED/ADOPTED,2023-02-02,Executive Departments and Administration,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0051&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0051&sy=2023&sortoption=&txtsessionyear=2023,
HB31-FN,2023,James Spillane (R); Leah Cushman (R); Dan Hynes (I); Jeanine Notter (R); Matthew Santonastaso (R); Howard  Pearl (R),"SPONSORS:	Rep. Spillane, Rock. 2; Rep. Notter, Hills. 12; Rep. Cushman, Hills. 28; Rep. Santonastaso, Ches. 18; Rep. Hynes, Hills. 2; Sen. Pearl, Dist 17","repealing the prohibition on the possession or sale of blackjacks, slung shots, and metallic knuckles.",0063,N,None,DIED ON THE TABLE,2023-05-11,Judiciary,PASSED/ADOPTED,2023-03-09,Criminal Justice and Public Safety,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0063&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0063&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0063&sy=2023&sortoption=&txtsessionyear=2023
HB32-FN,2023,Steve Shurtleff (D); Cassandra  Levesque (D); Dianne Schuett (D); Mark Paige (D); Michael Edgar (D),"SPONSORS:	Rep. Shurtleff, Merr. 15; Rep. M. Paige, Rock. 11; Rep. Levesque, Straf. 4; Rep. Edgar, Rock. 29; Rep. Schuett, Merr. 12",relative to possession or discharge of a firearm in a safe school zone.,0069,N,None,,,,INEXPEDIENT TO LEGISLATE,2023-03-09,Criminal Justice and Public Safety,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0069&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0069&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0069&sy=2023&sortoption=&txtsessionyear=2023
HB33,2023,Cassandra  Levesque (D); Nancy Murphy (D); Christine Seibert (D); Maria Perez (I),"SPONSORS:	Rep. Levesque, Straf. 4; Rep. M. Perez, Hills. 43; Rep. N. Murphy, Hills. 12; Rep. Seibert, Hills. 21",relative to polycystic ovary syndrome awareness.,0094,N,None,,,,INEXPEDIENT TO LEGISLATE,2023-02-02,Executive Departments and Administration,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0094&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0094&sy=2023&sortoption=&txtsessionyear=2023,
HB34-FN,2023,Cassandra  Levesque (D); David Meuse (D); Nancy Murphy (D); Peter Petrigno (D); Catherine Rombeau (D); David Watters (D); Catherine Sofikitis (D); Amanda Toll (D); Debra Altschiller (D); Rosemarie Rung (D); Ellen Read (D),"SPONSORS:	Rep. Levesque, Straff. 4; ",relative to raising the age of marriage to eighteen.,0095,N,None,,,,INEXPEDIENT TO LEGISLATE,2023-02-14,Children and Family Law,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0095&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0095&sy=2023&sortoption=&txtsessionyear=2023,
HB35,2023,Rosemarie Rung (D); Gerri Cannon (D); Cassandra  Levesque (D); Robert Healey (R); Linda Tanner (D); Nancy Murphy (D); Bill Boyd (R),"SPONSORS:	Rep. Rung, Hills. 12; Rep. Healey, Hills. 12; Rep. B. Boyd, Hills. 12; Rep. Cannon, Straf. 12; Rep. Tanner, Sull. 5; Rep. Levesque, Straf. 4; Rep. N. Murphy, Hills. 12",requiring student identification cards to include the National Eating Disorders Hotline.,0116,N,None,PASSED/ADOPTED,2023-05-11,Education,VETO SUSTAINED,2023-02-22,Education,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0116&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0116&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0116&sy=2023&sortoption=&txtsessionyear=2023
HB36,2023,Sallie Fellows (D); Dianne Schuett (D); Lou D'Allesandro (D); Douglas Trottier (R); Jennifer Rhodes (R),"SPONSORS:	Rep. Fellows, Graf. 8; Rep. Trottier, Belk. 8; Rep. Schuett, Merr. 12; Rep. Rhodes, Ches. 17; Sen. D'Allesandro, Dist 20",relative to fees of sheriffs and deputy sheriffs.,0204,N,0010,PASSED/ADOPTED,2023-04-13,Election Law and Municipal Affairs,PASSED/ADOPTED WITH AMENDMENT,2023-02-02,Municipal and County Government,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0204&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0204&sy=2023&sortoption=&txtsessionyear=2023,
HB39-FN,2023,Suzanne Vail (D),"SPONSORS:	Rep. Vail, Hills. 6",relative to paper billing fees.,0211,N,None,,,,INEXPEDIENT TO LEGISLATE,2023-02-22,Commerce and Consumer Affairs,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0211&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0211&sy=2023&sortoption=&txtsessionyear=2023,
HB40,2023,Timothy Horrigan (D); David Preece (D); Loren Selig (D),"SPONSORS:	Rep. Horrigan, Straf. 10; Rep. Preece, Hills. 17; Rep. Selig, Straf. 10","relative to domicile residency, voter registration, and investigation of voter verification letters, and relative to the terms ""resident,"" ""inhabitant,"" ""residence,"" and ""residency.""",0038,N,None,,,,DIED ON THE TABLE,2023-03-22,Election Law,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0038&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0038&sy=2023&sortoption=&txtsessionyear=2023,
HB41,2023,Judy Aron (R); Walter Stapleton (R); John Potucek (R); Skip Rollins (R); Joseph Guthrie (R); Kurt Wuelper (r); Juliet Harvey-Bolia (R); Debra DeSimone (R),"SPONSORS:	Rep. Aron, Sull. 4; Rep. Rollins, Sull. 3; Rep. Harvey-Bolia, Belk. 3; Rep. Stapleton, Sull. 6; Rep. Guthrie, Rock. 15; Rep. DeSimone, Rock. 18; Rep. Potucek, Rock. 13",relative to public noticing of meetings for county conventions.,0056,N,None,,,,INEXPEDIENT TO LEGISLATE,2023-02-02,Municipal and County Government,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0056&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0056&sy=2023&sortoption=&txtsessionyear=2023,
HB42-FN,2023,Laurel Stavis (D); Latha Mangipudi (D); Eric Gallager (D),"SPONSORS:	Rep. Stavis, Graf. 13; ",relative to the operation of certain homeowners' associations.,0033,N,0114,PASSED/ADOPTED,2023-05-11,Commerce,PASSED/ADOPTED WITH AMENDMENT,2023-03-22,Commerce and Consumer Affairs,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0033&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0033&sy=2023&sortoption=&txtsessionyear=2023,
HB43,2023,Judy Aron (R); Tina Harley (R); Walter Stapleton (R); Skip Rollins (R),"SPONSORS:	Rep. Aron, Sull. 4; Rep. Rollins, Sull. 3; Rep. Harley, Rock. 30; Rep. Stapleton, Sull. 6",relative to county commissioners' custody and care of all property.,0180,N,None,,,,INEXPEDIENT TO LEGISLATE,2023-02-02,Municipal and County Government,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0180&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0180&sy=2023&sortoption=&txtsessionyear=2023,
HB44,2023,Rebecca McWilliams (D); Josh Yokela (R); David Preece (D); Julie Gilman (D),"SPONSORS:	Rep. McWilliams, Merr. 30; Rep. Gilman, Rock. 11; Rep. Yokela, Rock. 32; Rep. Preece, Hills. 17",relative to permissible residential units in a residential zone.,0084,N,None,,,,INEXPEDIENT TO LEGISLATE,2023-02-22,Municipal and County Government,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0084&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0084&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0084&sy=2023&sortoption=&txtsessionyear=2023
HB45,2023,Kristina Schultz (D); Heath Howard (D),"SPONSORS:	Rep. Schultz, Merr. 18; ",establishing a committee to study student loan forgiveness in New Hampshire.,0005,N,None,,,,INEXPEDIENT TO LEGISLATE,2023-02-22,Education,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0005&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0005&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0005&sy=2023&sortoption=&txtsessionyear=2023
HB46-FN,2023,Linda Harriott-Gathright (D); Charlotte DiLorenzo (D); Alexis Simpson (D); Steve Shurtleff (D); Chris True (R); Matthew Wilhelm (D); David Meuse (D); Tony Lekas (R); Cindy Rosenwald (D),"SPONSORS:	Rep. Harriott-Gathright, Hills. 10; Rep. Shurtleff, Merr. 15; Rep. Meuse, Rock. 37; Rep. DiLorenzo, Rock. 10; Rep. True, Rock. 9; Rep. T. Lekas, Hills. 38; Rep. Simpson, Rock. 33; Rep. Wilhelm, Hills. 40; Sen. Rosenwald, Dist 13",(Third New Title) establishing a committee to study replacement of bail commissioners with court magistrates and relative to delinquent payment of accounts by on premises and off premises licensees and relative to electronic payments to employee debit cards.,0173,N,None,PASSED/ADOPTED WITH AMENDMENT,2023-06-01,Judiciary,NONCONCURRED,2023-04-06,Criminal Justice and Public Safety,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0173&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0173&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0173&sy=2023&sortoption=&txtsessionyear=2023
HB47,2023,Jose Cambrils (R); Michael Vose (R); Douglas Thomas (R); Michael Moffett (R),"SPONSORS:	Rep. Cambrils, Merr. 4; Rep. Moffett, Merr. 4; Rep. Vose, Rock. 5; Rep. D. Thomas, Rock. 16",relative to medical records attestations for organ donation eligibility.,0178,N,None,,,,INEXPEDIENT TO LEGISLATE,2023-02-14,"Health, Human Services and Elderly Affairs",http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0178&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0178&sy=2023&sortoption=&txtsessionyear=2023,
HB48-FN,2023,Timothy Horrigan (D),"SPONSORS:	Rep. Horrigan, Straf. 6",relative to employee protections from COVID-19 in the workplace.,0039,N,None,,,,INEXPEDIENT TO LEGISLATE,2023-03-16,"Labor, Industrial and Rehabilitative Services",http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0039&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0039&sy=2023&sortoption=&txtsessionyear=2023,
HB49-FN-A,2023,Jess Edwards (R); Bob Lynn (R); Peter Leishman (D),"SPONSORS:	Rep. Edwards, Rock. 31; Rep. Lynn, Rock. 17; Rep. Leishman, Hills. 33",relative to postponing the closure of the Sununu Youth Services Center.,0065,N,0002,PASSED/ADOPTED,2023-04-13,Judiciary,PASSED/ADOPTED WITH AMENDMENT,2023-03-22,Finance,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0065&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0065&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0065&sy=2023&sortoption=&txtsessionyear=2023
