bill_number,session_year,sponsors,sponsors_on_bill,title,lsr,local_gov,chapter_num,S_status,S_floor_date,S_comm,H_status,H_floor_date,H_comm,bill_url,hist_url,vote_url
HB1610-FN,2024,Corinne Cascadden (D); Peggy Balboni (D); Hope Damon (D),"SPONSORS:	Rep. Cascadden, Coos 5; Rep. Balboni, Rock. 38; Rep. Damon, Sull. 8",relative to standardized assessment data for participants in education freedom accounts.,2405,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-03-21,Education,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2405&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2405&sy=2024&txtsessionyear=2024&sortoption=,
HB1611-FN,2024,Rebecca McWilliams (D); Mary Jane Wallner (D); Denise Ricciardi (R); Amanda Toll (D); Candice O'Neil (D); David Watters (D); David Preece (D); Rebecca Whitley (D); Jeb Bradley (R); David Paige (d); Daniel Innis (R),"SPONSORS:	Rep. McWilliams, Merr. 30; Rep. Toll, Ches. 15; Rep. Preece, Hills. 17; Rep. D. Paige, Carr. 1; Rep. Wallner, Merr. 19; Rep. O'Neil, Rock. 29; Sen. Whitley, Dist 15; Sen. Innis, Dist 7; Sen. Ricciardi, Dist 9; Sen. Watters, Dist 4; Sen. Bradley, Dist 3",relative to establishing a child care workforce fund.,2410,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-03-21,"Health, Human Services and Elderly Affairs",http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2410&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2410&sy=2024&txtsessionyear=2024&sortoption=,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=2410&sy=2024&txtsessionyear=2024&sortoption=
HB1612-FN,2024,Chuck Grassie (D); Peggy Balboni (D); Jaci Grote (D); Chris Muns (D); Lucius Parshall (D); Debra Altschiller (D); Candice O'Neil (D),"SPONSORS:	Rep. Grassie, Straf. 8; Rep. Muns, Rock. 29; Rep. O'Neil, Rock. 29; Rep. Balboni, Rock. 38; Rep. Parshall, Ches. 8; Rep. Grote, Rock. 24; Sen. Altschiller, Dist 24",relative to requiring the department of health and human services to conduct surveys and assess concentrations of certain radioactive materials.,2416,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-02-01,"Health, Human Services and Elderly Affairs",http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2416&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2416&sy=2024&txtsessionyear=2024&sortoption=,
HB1613-FN,2024,David Meuse (D); Wendy Thomas (D); Nancy Murphy (D); Rebecca McWilliams (D),"SPONSORS:	Rep. Meuse, Rock. 37; Rep. McWilliams, Merr. 30; Rep. W. Thomas, Hills. 12; Rep. N. Murphy, Hills. 12",establishing a trust fund for money from soil and water environmental contamination court settlements.,2417,N,0346,PASSED/ADOPTED WITH AMENDMENT,2024-05-02,Ways and Means,CONCURRED,2024-03-21,Ways and Means,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2417&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2417&sy=2024&txtsessionyear=2024&sortoption=,
HB1614-FN,2024,Rebecca McWilliams (D); Peter Bixby (D); Henry  NoÃ«l (D),"SPONSORS:	Rep. McWilliams, Merr. 30; Rep. Bixby, Straf. 13; Rep. Noel, Coos 5",relative to judicial review of department of environmental services decisions.,2420,N,None,,,,INTERIM STUDY,2024-03-21,Judiciary,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2420&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2420&sy=2024&txtsessionyear=2024&sortoption=,
HB1615-FN,2024,Eric Gallager (D); Shaun Filiault (i); Katelyn Kuttab (R),"SPONSORS:	Rep. Gallager, Merr. 20; Rep. Filiault, Ches. 7; Rep. Kuttab, Rock. 17",relative to the autism registry.,2428,N,0078,PASSED/ADOPTED,2024-05-02,Health and Human Services,PASSED/ADOPTED WITH AMENDMENT,2024-03-21,"Health, Human Services and Elderly Affairs",http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2428&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2428&sy=2024&txtsessionyear=2024&sortoption=,
HB1616,2024,Glenn Cordelli (R); Lisa Mazur (R); Kevin Verville (R); Gregory Hill (R); Tony Lekas (R); Emily Phillips (R); Leah Cushman (R); Keith Ammon (R); Jim Kofalt (R),"SPONSORS:	Rep. Cordelli, Carr. 7; Rep. Hill, Merr. 2; Rep. Cushman, Hills. 28; Rep. Mazur, Hills. 44; Rep. T. Lekas, Hills. 38; Rep. Ammon, Hills. 42; Rep. Verville, Rock. 2; Rep. Phillips, Rock. 7; Rep. Kofalt, Hills. 32",(New Title) relative to parental consent for student participation in Medicaid to schools program and establishing a pilot recruitment and retention program within the department of health and human services.,2459,N,None,CONFERENCE REPORT ADOPTED,2024-06-13,Health and Human Services,CONFERENCE REPORT FAILED,2024-03-28,Education,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2459&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2459&sy=2024&txtsessionyear=2024&sortoption=,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=2459&sy=2024&txtsessionyear=2024&sortoption=
HB1617-FN,2024,JD Bernardy (R); James Summers (R); Kat McGhee (D); Jeanine Notter (R); Thomas Cormen (D); Chris Muns (D); Douglas Thomas (R),"SPONSORS:	Rep. Bernardy, Rock. 36; Rep. Notter, Hills. 12; Rep. D. Thomas, Rock. 16; Rep. Summers, Rock. 20; Rep. Cormen, Graf. 15; Rep. McGhee, Hills. 35; Rep. Muns, Rock. 29",relative to energy procurement agreements for default service.,2464,N,None,,,,INTERIM STUDY,2024-02-01,"Science, Technology and Energy",http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2464&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2464&sy=2024&txtsessionyear=2024&sortoption=,
HB1618-FN,2024,Dan Wolf (R); Linda Tanner (D); Rebecca McWilliams (D); Rosemarie Rung (D); Bill Boyd (R); Daniel Innis (R); Karel Crawford (R); Karen Ebel (D); Jeb Bradley (R); Mel Myler (D),"SPONSORS:	Rep. Wolf, Merr. 7; Rep. Rung, Hills. 12; Rep. Crawford, Carr. 3; Rep. Myler, Merr. 9; Rep. Tanner, Sull. 5; Rep. B. Boyd, Hills. 12; Rep. Ebel, Merr. 7; Rep. McWilliams, Merr. 30; Sen. Innis, Dist 7; Sen. Bradley, Dist 3","mandating a cooperative agreement with USDA for ""organic"" certification.",2473,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-02-22,Environment and Agriculture,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2473&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2473&sy=2024&txtsessionyear=2024&sortoption=,
HB1619-FN,2024,Jason Gerhard (R),"SPONSORS:	Rep. Gerhard, Merr. 25",relative to the status of convicted persons.,2474,N,None,,,,INEXPEDIENT TO LEGISLATE,2024-02-01,Criminal Justice and Public Safety,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2474&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2474&sy=2024&txtsessionyear=2024&sortoption=,
HB1620-FN,2024,David Rochefort (R); Jim Fedolfi (R); Linda Massimilla (D); Nicholas Germana (D); Jaci Grote (D),"SPONSORS:	Rep. Rochefort, Graf. 1; Rep. Germana, Ches. 1; Rep. Fedolfi, Hills. 30; Rep. Grote, Rock. 24; Rep. Massimilla, Graf. 1",relative to suspending the issuance of new landfill permits until 2031.,2490,N,None,INEXPEDIENT TO LEGISLATE,2024-05-15,Energy and Natural Resources,PASSED/ADOPTED WITH AMENDMENT,2024-03-07,Environment and Agriculture,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2490&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2490&sy=2024&txtsessionyear=2024&sortoption=,
HB1621-FN,2024,Eric Turer (D); Joe Schapiro (D); Jane Beaulieu (D); Marjorie Smith (D); Nikki McCarter (R); Suzanne Prentiss (D); Linda Haskins (D); David Preece (D); David Watters (D),"SPONSORS:	Rep. Turer, Rock. 6; Rep. M. Smith, Straf. 10; Rep. Haskins, Rock. 11; Rep. Schapiro, Ches. 16; Rep. McCarter, Belk. 8; Rep. Preece, Hills. 17; Rep. Beaulieu, Hills. 19; Sen. Prentiss, Dist 5; Sen. Watters, Dist 4",requiring the liquor commission to distribute certain information in liquor stores.,2491,N,None,,,,INTERIM STUDY,2024-02-22,Commerce and Consumer Affairs,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=2491&sy=2024&txtsessionyear=2024&sortoption=,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2491&sy=2024&txtsessionyear=2024&sortoption=,
