bill_number,session_year,chamber,action_date,action,order
CACR6,2023,H,2023-01-11,Public Hearing: 01/18/2023 02:30 pm LOB 206-208,2
CACR6,2023,H,2023-01-24,Executive Session: 01/30/2023 01:00 pm LOB 206-208,3
CACR6,2023,H,2023-02-08,Committee Report: Ought to Pass 01/30/2023 (Vote 18-2; RC) HC 12 P. 21,4
CACR6,2023,H,2023-02-23,Ought to Pass: MA RC 321-27 By Necessary Three-Fifths Vote 02/23/2023 HJ 7 P. 8,5
CACR6,2023,S,2023-03-07,Introduced 02/22/2023 and Referred to Judiciary; SJ 9,6
CACR6,2023,S,2023-03-15,"Hearing: 03/21/2023, Room 100, SH, 01:00 pm; SC 14",7
CACR6,2023,S,2023-03-21,"Committee Report: Ought to Pass, 03/30/2023; SC 15",8
CACR6,2023,S,2023-03-30,"Ought to Pass, RC 22Y-1N, MA, by Necessary 3/5; OT3rdg; 03/30/2023 SJ 12",9
CACR7,2023,H,2023-01-03,Introduced 01/04/2023 and referred to Education,1
CACR7,2023,H,2023-02-16,Public Hearing: 02/24/2023 09:30 am LOB 205-207,2
CACR7,2023,H,2023-03-01,Executive Session: 03/08/2023 09:30 am LOB 205-207,3
CACR7,2023,H,2023-03-16,Committee Report: Without Recommendation 03/08/2023 (Vote ; RC) HC 16 P. 16,4
CACR7,2023,H,2023-03-22,Ought to Pass: MF RC 192-191 Lacking Necessary Three-Fifths Vote 03/22/2023 HJ 10 P. 53,5
CACR8,2023,H,2023-01-10,"Introduced (in recess of) 01/05/2023 and referred to Health, Human Services and Elderly Affairs HJ 3 P. 15",1
CACR8,2023,H,2023-02-08,Public Hearing: 03/01/2023 02:00 pm LOB 210-211,2
CACR8,2023,H,2023-03-01,Executive Session: 03/08/2023 11:00 am LOB 201-203,3
CACR8,2023,H,2023-03-14,Committee Report: Inexpedient to Legislate CACR8 03/13/2023 (Vote 20-0; CC) HC 16 P. 10,4
CACR8,2023,H,2023-03-22,Inexpedient to Legislate: MA VV 03/22/2023 HJ 10 P. 16,5
CACR9,2023,S,2023-01-19,Introduced 01/19/2023 and Referred to Election Law and Municipal Affairs; SJ 5,1
CACR9,2023,S,2023-02-16,"==TIME CHANGE== Hearing: 03/07/2023, Room 103, LOB, 09:30 am; SC 12",2
CACR9,2023,S,2023-03-21,"Committee Report: Ought to Pass, 03/30/2023; SC 15",3
CACR9,2023,S,2023-03-30,"Ought to Pass, RC 23Y-0N, MA, by Necessary 3/5; OT3rdg; 03/30/2023 SJ 12",4
CACR9,2023,H,2023-04-07,Introduced (in recess of) 04/06/2023 and referred to Election Law,5
CACR9,2023,H,2023-04-27,Public Hearing: 05/09/2023 09:45 am LOB 306-308,6
CACR9,2023,H,2023-05-23,Executive Session: 05/30/2023 09:45 am LOB 306-308,7
CACR9,2023,H,2023-05-31,Committee Report: Inexpedient to Legislate 05/30/2023 (Vote 19-0; C),8
CACR9,2023,H,2023-06-06,"Removed from Consent (Reps. Filiault, S. Smith, Read, Germana, Newell, Aron, Harley, Sellers, Spillane, Doucette) 06/06/2023 HJ 15 P. 2",9
CACR9,2023,H,2023-06-08,Lay on Table (Rep. S. Smith): MA VV 06/08/2023 HJ 15 P. 65,10
CACR9,2023,H,2023-10-27,"Died on Table, Session ended 10/26/2023 HJ 18",11
CACR10,2023,S,2023-02-17,Introduced 02/14/2023 and Referred to Election Law and Municipal Affairs; SJ 8,1
CACR10,2023,S,2023-02-22,"Hearing: 03/07/2023, Room 103, LOB, 09:45 am; SC 12",2
CACR10,2023,S,2023-03-07,"Committee Report: Ought to Pass, 03/16/2023; SC 13",3
CACR10,2023,S,2023-03-16,"Ought to Pass, RC 24Y-0N, MA, by Necessary 3/5; OT3rdg; 03/16/2023 SJ 10",4
CACR10,2023,H,2023-03-21,Introduced (in recess of) 03/16/2023 and referred to Legislative Administration,5
CACR10,2023,H,2023-04-11,Public Hearing: 04/19/2023 09:00 am LOB 301-303,6
CACR10,2023,H,2023-05-01,Executive Session: 05/17/2023 10:00 am LOB 301-303,7
CACR10,2023,H,2023-05-19,Committee Report: Inexpedient to Legislate 05/17/2023 (Vote 9-0; CC),8
CACR10,2023,H,2023-06-08,Inexpedient to Legislate: MA VV 06/08/2023 HJ 15 P. 10,9
HB1-A,2023,H,2023-02-17,Introduced (in recess of) 02/14/2023 and referred to Finance,1
HB1-A,2023,H,2023-03-10,Public Hearing: 03/13/2023 02:00 pm Representatives Hall,2
HB1-A,2023,H,2023-03-23,==RECESSED== Executive Session: 03/27/2023 10:00 am LOB 210-211 HC 11,3
HB1-A,2023,H,2023-03-24,==RECESSED== Executive Session: 03/28/2023 09:00 am LOB 210-211 HC 11,4
HB1-A,2023,H,2023-03-23,==CONTINUED== Executive Session: 03/29/2023 10:00 am LOB 210-211,5
HB1-A,2023,H,2023-03-30,Majority Committee Report: Ought to Pass with Amendment #2023-1244h 03/30/2023 (Vote 14-11; RC),6
HB1-A,2023,H,2023-03-30,Minority Committee Report: Inexpedient to Legislate,7
HB1-A,2023,H,2023-04-06,Amendment #2023-1244h: AA VV 04/06/2023 HJ 12 P. 192,8
HB1-A,2023,H,2023-04-06,Ought to Pass with Amendment 2023-1244h: MA VV 04/06/2023 HJ 12 P. 195,9
HB1-A,2023,S,2023-04-10,Introduced 03/30/2023 and Referred to Finance; SJ 13,10
HB1-A,2023,S,2023-04-20,"Deliberative Session: 04/26/2023, Room 103, SH, 02:00 pm; SC 19",11
HB1-A,2023,S,2023-04-27,"Hearing: 05/02/2023, Representatives' Hall, SH, 01:00 pm; SC 20",12
HB1-A,2023,S,2023-04-27,"Hearing: 05/02/2023, Representatives' Hall, SH, 06:00 pm; SC 20",13
HB1-A,2023,S,2023-04-27,Please note: These hearings will be streamed live via the Internet at the following web address: https://youtube.com/live/8hrh3neq6Sc?feature=share SC 20,14
HB1-A,2023,S,2023-06-01,"Committee Report: Ought to Pass with Amendment #2023-2054s, 06/07/2023; SC 25",15
HB1-A,2023,S,2023-06-07,"Committee Amendment #2023-2054s, AA, VV; 06/07/2023; SJ 17",16
HB1-A,2023,S,2023-06-07,"Ought to Pass with Amendment 2023-2054s, MA, VV; OT3rdg; 06/07/2023; SJ 17",17
HB1-A,2023,H,2023-06-08,House Concurs with Senate Amendment (Rep. Weyler): MA DV 351-25 06/08/2023 HJ 15 P. 42,18
HB1-A,2023,S,2023-06-13,"Enrolled Adopted, VV, (In recess 06/08/2023); SJ 19",19
HB1-A,2023,H,2023-06-13,Enrolled (in recess of) 06/08/2023 HJ 15,20
HB1-A,2023,H,2023-06-21,Signed by Governor Sununu 06/20/2023; Chapter 106; Eff: 07/01/2023,21
HB2-FN-A-L,2023,H,2023-03-01,Introduced 02/23/2023 and referred to Finance,1
HB2-FN-A-L,2023,H,2023-03-10,Public Hearing: 03/13/2023 02:00 pm Representatives Hall,2
HB2-FN-A-L,2023,H,2023-03-23,Executive Session: 03/27/2023 10:00 am LOB 210-211,3
HB2-FN-A-L,2023,H,2023-03-24,==CONTINUED== Executive Session: 03/28/2023 09:00 am LOB 210-211,4
HB2-FN-A-L,2023,H,2023-03-23,==CONTINUED== Executive Session: 03/29/2023 10:00 am LOB 210-211,5
HB2-FN-A-L,2023,H,2023-03-30,Majority Committee Report: Ought to Pass with Amendment #2023-1247h 03/30/2023 (Vote 14-11; RC),6
HB2-FN-A-L,2023,H,2023-03-30,Minority Committee Report: Inexpedient to Legislate,7
HB2-FN-A-L,2023,H,2023-04-06,Amendment #2023-1247h: AA DV 351-38 04/06/2023 HJ 12 P. 3,8
HB2-FN-A-L,2023,H,2023-04-06,"FLAM #2023-1336h (Reps. Osborne, Wilhelm): AA RC 326-63 04/06/2023 HJ 12 P. 84",9
HB2-FN-A-L,2023,H,2023-04-06,"FLAM #2023-1290h (Reps. Stringham, Almy): AF RC 190-199 04/06/2023 HJ 12 P. 92",10
HB2-FN-A-L,2023,H,2023-04-06,"FLAM #2023-1335h (Reps. Heath, K. Murray): AF DV 189-194 04/06/2023 HJ 12 P. 94",11
HB2-FN-A-L,2023,H,2023-04-06,FLAM #2023-1292h (Rep. Heath): AA RC 199-187 04/06/2023 HJ 12 P. 95,12
HB2-FN-A-L,2023,H,2023-04-06,"FLAM #2023-1313h (Reps. Heath, Luneau): AF RC 191-197 04/06/2023 HJ 12 P. 97",13
HB2-FN-A-L,2023,H,2023-04-06,FLAM #2023-1339h (Rep. Muns): AF RC 128-259 04/06/2023 HJ 12 P. 100,14
HB2-FN-A-L,2023,H,2023-04-06,"FLAM #2023-1299h (Reps. Heath, Luneau, A. Murray): AA DV 241-143 04/06/2023 HJ 12 P. 103",15
HB2-FN-A-L,2023,H,2023-04-06,"FLAM #2023-1272h (Reps. Edwards, Moffett): AA VV 04/06/2023 HJ 12 P. 103",16
HB2-FN-A-L,2023,H,2023-04-06,FLAM #2023-1283h (Rep. Comtois): AF DV 158-226 04/06/2023 HJ 12 P. 104,17
HB2-FN-A-L,2023,H,2023-04-06,FLAM #2023-1295h (Rep. Prout): AA DV 249-136 04/06/2023 HJ 12 P. 104,18
HB2-FN-A-L,2023,H,2023-04-06,FLAM #2023-1328h (Rep. Doucette): AA VV 04/06/2023 HJ 12 P. 104,19
HB2-FN-A-L,2023,H,2023-04-06,FLAM #2023-1288h (Rep. Prout): AA DV 247-139 04/06/2023 HJ 12 P. 104,20
HB2-FN-A-L,2023,H,2023-04-06,FLAM #2023-1276h (Rep. Hoell): AF RC 167-222 04/06/2023 HJ 12 P. 105,21
HB2-FN-A-L,2023,H,2023-04-06,FLAM #2023-1332h (Rep. Prout): AF DV 158-231 04/06/2023 HJ 12 P. 107,22
HB2-FN-A-L,2023,H,2023-04-06,FLAM #2023-1284h (Rep. Harrington): AF DV 182-205 04/06/2023 HJ 12 P. 107,23
HB2-FN-A-L,2023,H,2023-04-06,"FLAM #2023-1333h (Reps. Hoell, Prout, Comtois): AF DV 72-300 04/06/2023 HJ 12 P. 107",24
HB2-FN-A-L,2023,H,2023-04-06,FLAM #2023-1273h (Rep. Verville): AF DV 160-214 04/06/2023 HJ 12 P. 189,25
HB2-FN-A-L,2023,H,2023-04-06,Ought to Pass with Amendment 2023-1247h 2023-1336h 2023-1292h 2023-1299h 2023-1272h 2023-1295h 2023-1328h 2023-1288h : MA VV 04/06/2023 HJ 12 P. 191,26
HB2-FN-A-L,2023,S,2023-04-10,Introduced 03/30/2023 and Referred to Finance; SJ 13,27
HB2-FN-A-L,2023,S,2023-04-20,"Deliberative Session: 04/26/2023, Room 103, SH, 02:00 pm; SC 19",28
HB2-FN-A-L,2023,S,2023-04-27,"Hearing: 05/02/2023, Representatives' Hall, SH, 01:00 pm; SC 20",29
HB2-FN-A-L,2023,S,2023-04-27,"Hearing: 05/02/2023, Representatives' Hall, SH, 06:00 pm; SC 20",30
HB2-FN-A-L,2023,S,2023-04-27,Please note: These hearings will be streamed live via the Internet at the following web address: https://youtube.com/live/8hrh3neq6Sc?feature=share SC 20,31
HB2-FN-A-L,2023,S,2023-06-01,"Committee Report: Ought to Pass with Amendment #2023-2076s, 06/07/2023; SC 25",32
HB2-FN-A-L,2023,S,2023-06-07,"Committee Amendment #2023-2076s, AA, VV; 06/07/2023; SJ 17",33
HB2-FN-A-L,2023,S,2023-06-07,"Sen. D'Allesandro Floor Amendment #2023-2086s, RC 1Y-23N, AF; 06/07/2023; SJ 17",34
HB2-FN-A-L,2023,S,2023-06-07,"Sen. D'Allesandro Floor Amendment #2023-2147s, DIV 10Y-14N, AF; 06/07/2023; SJ 17",35
HB2-FN-A-L,2023,S,2023-06-07,"Sen. D'Allesandro Floor Amendment #2023-2144s, AF, VV; 06/07/2023; SJ 17",36
HB2-FN-A-L,2023,S,2023-06-07,"Sen. D'Allesandro Floor Amendment #2023-2087s, AF, VV; 06/07/2023; SJ 17",37
HB2-FN-A-L,2023,S,2023-06-07,"Sen. D'Allesandro Floor Amendment #2023-2090s, RC 9Y-15N, AF; 06/07/2023; SJ 17",38
HB2-FN-A-L,2023,S,2023-06-07,"Sen. Fenton Floor Amendment #2023-2153s, AF, VV; 06/07/2023; SJ 17",39
HB2-FN-A-L,2023,S,2023-06-07,"Sen. Lang Floor Amendment #2023-2092s, AA, VV; 06/07/2023; SJ 17",40
HB2-FN-A-L,2023,S,2023-06-07,"Sen. Lang Floor Amendment #2023-2112s, AF, VV; 06/07/2023; SJ 17",41
HB2-FN-A-L,2023,S,2023-06-07,"Sen. D'Allesandro Floor Amendment #2023-2143s, RC 10Y-14N, AF; 06/07/2023; SJ 17",42
HB2-FN-A-L,2023,S,2023-06-07,"Sen. Rosenwald Floor Amendment #2023-2151s, RC 10Y-14N, AF; 06/07/2023; SJ 17",43
HB2-FN-A-L,2023,S,2023-06-07,"Sen. Perkins Kwoka Floor Amendment #2023-2141s, DIV 12Y-12N, AF; 06/07/2023; SJ 17",44
HB2-FN-A-L,2023,S,2023-06-07,"Sen. Rosenwald Floor Amendment #2023-2154s, RC 10Y-13N, AF; 06/07/2023; SJ 17",45
HB2-FN-A-L,2023,S,2023-06-07,"Sen. Whitley Floor Amendment #2023-2158s, RC 11Y-13N, AF; 06/07/2023; SJ 17",46
HB2-FN-A-L,2023,S,2023-06-07,"Sen. Bradley Floor Amendment #2023-2139s, AA, VV; 06/07/2023; SJ 17",47
HB2-FN-A-L,2023,S,2023-06-07,"Sen. Bradley Floor Amendment #2023-2140s, AA, VV; 06/07/2023; SJ 17",48
HB2-FN-A-L,2023,S,2023-06-07,"Sen. Bradley Floor Amendment #2023-2171s, AA, VV; 06/07/2023; SJ 17",49
HB2-FN-A-L,2023,S,2023-06-08,Sen. Soucy Floor Amendment #2023-2148s; 06/07/2023; SJ 17,50
HB2-FN-A-L,2023,S,2023-06-08,Sen. Soucy Withdraws Floor Amendment #2023-2148s; 06/07/2023; SJ 17,51
HB2-FN-A-L,2023,S,2023-06-07,"Sen. Soucy Floor Amendment #2023-2164s, RC 10Y-14N, AF; 06/07/2023; SJ 17",52
HB2-FN-A-L,2023,S,2023-06-09,"Sen. Soucy Moved to divide the Question on Ought to Pass with Amendments: Sections 85-88, and the effective date: and then the remainder of the bill, and effective date; 06/07/2023; SJ 17",53
HB2-FN-A-L,2023,S,2023-06-07,The Chair ruled the Question Divisible; 06/07/2023; SJ 17,54
HB2-FN-A-L,2023,S,2023-06-07,"Sections Ought to Pass with Amendment 85-88 and effective date, RC 15Y-8N, MA; 06/07/2023; SJ 17",55
HB2-FN-A-L,2023,S,2023-06-08,"Sen. Murphy Moved to Reconsider Ought to Pass vote on Sections 85-88, MA, VV; 06/07/2023; SJ 17",56
HB2-FN-A-L,2023,S,2023-06-07,"Ought to Pass with Amendment on Sections 85-88 and effective date, RC 14Y-9N, MA, 06/07/2023; SJ 17",57
HB2-FN-A-L,2023,S,2023-06-07,"Ought to Pass with Amendment on the Remainder of the Bill and effective date, RC 24Y-0N, MA, OT3rdg; 06/07/2023; SJ 17",58
HB2-FN-A-L,2023,S,2023-06-07,"Without Objection, the Clerk is authorized to make technical and administrative corrections which are necessary to reflect the intent of the Senate, MA; 06/07/2023; SJ 17",59
HB2-FN-A-L,2023,H,2023-06-08,Lay HB2 on Table (Rep. Harrington): MF DV 44-334 06/08/2023 HJ 15 P. 42,60
HB2-FN-A-L,2023,H,2023-06-08,House Concurs with Senate Amendment (Rep. Weyler): MA RC 326-53 06/08/2023 HJ 15 P. 42,61
HB2-FN-A-L,2023,S,2023-06-12,"Enrolled Bill Amendment #2023-2179e Adopted, VV, (In recess of 06/08/2023); SJ 19",62
HB2-FN-A-L,2023,H,2023-06-12,Enrolled Bill Amendment #2023-2179e: AA VV (in recess of) 06/08/2023 HJ 15 P. 74,63
HB2-FN-A-L,2023,S,2023-06-13,"Enrolled Adopted, VV, (In recess 06/08/2023); SJ 19",64
HB2-FN-A-L,2023,H,2023-06-13,Enrolled (in recess of) 06/08/2023 HJ 15,65
HB2-FN-A-L,2023,H,2023-06-21,Signed by Governor Sununu 06/20/2023; Chapter 79; Eff: 07/01/2023,66
HB10-FN,2023,H,2022-12-23,Introduced 01/04/2023 and referred to Children and Family Law,1
HB10-FN,2023,H,2023-02-16,Public Hearing: 03/07/2023 01:15 pm LOB 206-208,2
HB10-FN,2023,H,2023-03-08,Executive Session: 03/15/2023 10:15 am LOB 305-307,3
HB10-FN,2023,H,2023-03-16,Committee Report: Without Recommendation 03/15/2023 (Vote ; RC) HC 16 P. 14,4
HB10-FN,2023,H,2023-03-22,FLAM #2023-1146h (Rep. Lynn): AF DV 190-194 03/22/2023 HJ 10 P. 34,5
HB10-FN,2023,H,2023-03-22,Ought to Pass: MF RC 189-195 03/22/2023 HJ 10 P. 34,6
HB10-FN,2023,H,2023-03-22,Lay HB10 on Table (Rep. Hoell): MA DV 193-192 03/22/2023 HJ 10 P. 40,7
HB10-FN,2023,H,2023-10-27,"Died on Table, Session ended 10/26/2023 HJ 18",8
HB20,2023,H,2022-12-23,Introduced 01/04/2023 and referred to Public Works and Highways,1
HB20,2023,H,2023-01-11,Public Hearing: 01/25/2023 10:00 am LOB 201-203,2
HB20,2023,H,2023-10-09,Executive Session: 02/03/2023 09:30 am LOB 201-203 HC 11,3
HB20,2023,H,2023-02-08,Committee Report: Ought to Pass 02/03/2023 (Vote 19-0; RC) HC 12 P. 25,4
HB20,2023,H,2023-02-23,Special Order HB20 (Rep. Notter): MA VV 02/22/2023 HJ 6 P. 14,5
HB20,2023,S,2023-03-07,Introduced 02/22/2023 and Referred to Transportation; SJ 9,6
HB20,2023,S,2023-03-21,"Hearing: 03/28/2023, Room 101, LOB, 01:00 pm; SC 15",7
HB20,2023,S,2023-04-03,"Committee Report: Ought to Pass, 04/13/2023; SC 17",8
HB20,2023,S,2023-04-13,"Ought to Pass: MA, VV; OT3rdg; 04/13/2023; SJ 13",9
HB20,2023,S,2023-05-02,"Enrolled Adopted, VV, (In recess 04/13/2023); SJ 14",10
HB20,2023,H,2023-02-22,Ought to Pass: MA RC 356-4 02/22/2023 HJ 6 P. 14,11
HB20,2023,H,2023-05-02,Enrolled (in recess of) 04/06/2023,12
HB20,2023,H,2023-05-08,Signed by Governor Sununu 05/04/2023; Chapter 24; eff: 05/04/2023,13
HB25-A,2023,H,2023-06-14,Introduced (in recess of) 02/23/2023 and referred to Public Works and Highways HJ 7 P. 1,1
HB25-A,2023,H,2023-03-07,Public Hearing: 03/15/2023 10:00 am LOB 201-203,2
HB25-A,2023,H,2023-03-07,Full Committee Work Session: 03/15/2023 01:00 pm LOB 201-203,3
HB25-A,2023,H,2023-03-07,Full Committee Work Session: 03/17/2023 10:00 am LOB 201-203,4
HB25-A,2023,H,2023-03-07,Executive Session: 03/20/2023 11:00 am LOB 201-203,5
HB25-A,2023,H,2023-03-28,Committee Report: Ought to Pass with Amendment #2023-1101h 03/20/2023 (Vote 17-1; RC),6
HB25-A,2023,H,2023-06-14,Ought to Pass with Amendment 20223-1101h: MA VV 04/06/2023 HJ 12 P. 228,7
HB25-A,2023,H,2023-06-14,Amendment #2023-1101h: AA VV 04/06/2023 HJ 12 P. 214,8
HB25-A,2023,H,2023-06-14,FLAM #2023-1177h (Rep. Kaczynski): AF DV 120-267 04/06/2023 HJ 12 P. 227,9
HB25-A,2023,S,2023-04-10,Introduced 03/30/2023 and Referred to Capital Budget; SJ 13,10
HB25-A,2023,S,2023-04-18,"Hearing: 05/04/2023, Room 100, SH, 01:00 pm; SC 19",11
HB25-A,2023,S,2023-05-31,"Committee Report: Ought to Pass with Amendment #2023-1673s, 06/08/2023; SC 25",12
HB25-A,2023,S,2023-06-08,"Committee Amendment #2023-1673s, AA, VV; 06/08/2023; SJ 18",13
HB25-A,2023,S,2023-06-08,"Sen. Innis Floor Amendment #2023-2162s, AA, VV; 06/08/2023; SJ 18",14
HB25-A,2023,S,2023-06-08,"Ought to Pass with Amendments 2023-1673s and 2023-2162s, MA, VV; OT3rdg; 06/08/2023; SJ 18",15
HB25-A,2023,H,2023-06-15,House Concurs with Senate Amendment 2023-1673s (Rep. McConkey): MA VV 06/15/2023 HJ 16 P. 3,16
HB25-A,2023,S,2023-06-21,"Enrolled Adopted, VV, (In recess 06/15/2023); SJ 20",17
HB25-A,2023,H,2023-06-21,Enrolled (in recess of) 06/15/2023 HJ 16,18
HB25-A,2023,H,2023-07-12,Signed by Governor Sununu 06/30/2023; Chapter 113; Eff: I. Sec 24 eff 6/30/23 HJ 17,19
HB30-FN,2023,H,2022-12-23,Introduced 01/04/2023 and referred to Executive Departments and Administration,1
HB30-FN,2023,H,2023-01-05,Public Hearing: 01/12/2023 10:00 am LOB 306-308,2
HB30-FN,2023,H,2023-01-19,==CANCELLED== Subcommittee Work Session: 01/25/2023 09:30 am LOB 306,3
HB30-FN,2023,H,2023-01-25,Executive Session: 01/12/2023 10:00 am LOB 306-308,4
HB30-FN,2023,H,2023-01-25,Committee Report: Ought to Pass 01/12/2023 (Vote 18-0; CC) HC 9 P. 2,5
HB30-FN,2023,H,2023-02-02,Ought to Pass: MA VV 02/02/2023 HJ 4,6
HB30-FN,2023,S,2023-03-07,Introduced 02/22/2023 and Referred to Executive Departments and Administration; SJ 9,7
HB30-FN,2023,S,2023-03-08,"Hearing: 03/15/2023, Room 103, SH, 09:00 am; SC 13",8
HB30-FN,2023,S,2023-04-06,"Committee Report: Ought to Pass, 04/13/2023; SC 17",9
HB30-FN,2023,S,2023-04-13,"Ought to Pass: MA, VV; OT3rdg; 04/13/2023; SJ 13",10
HB30-FN,2023,S,2023-05-02,"Enrolled Adopted, VV, (In recess 04/13/2023); SJ 14",11
HB30-FN,2023,H,2023-05-02,Enrolled (in recess of) 04/06/2023,12
HB30-FN,2023,H,2023-05-08,Signed by Governor Sununu 05/04/2023; Chapter 9; eff: 07/03/2023,13
HB31-FN,2023,H,2022-12-23,Introduced 01/04/2023 and referred to Criminal Justice and Public Safety,1
HB31-FN,2023,H,2023-01-11,Public Hearing: 01/20/2023 02:45 pm LOB 202-204,2
HB31-FN,2023,H,2023-02-01,Executive Session: 02/10/2023 11:00 am LOB 202-204,3
HB31-FN,2023,H,2023-02-27,Majority Committee Report: Ought to Pass 02/10/2023 (Vote 11-8; RC) HC 14 P. 9,4
HB31-FN,2023,H,2023-02-27,Minority Committee Report: Ought Not to Pass,5
HB31-FN,2023,H,2023-03-09,Ought to Pass: MA RC 196-176 03/09/2023 HJ 8 P. 14,6
HB31-FN,2023,S,2023-03-14,Introduced 03/09/2023 and Referred to Judiciary; SJ 10,7
HB31-FN,2023,S,2023-03-22,"Hearing: 03/28/2023, Room 100, SH, 01:00 pm; SC 15",8
HB31-FN,2023,S,2023-05-01,"Committee Report: Inexpedient to Legislate, 05/11/2023; SC 21",9
HB31-FN,2023,S,2023-05-11,"Sen. Whitley Moved Laid on Table, MA, VV; 05/11/2023; SJ 14",10
HB31-FN,2023,S,2023-05-11,Pending Motion Inexpedient to Legislate; 05/11/2023; SJ 14,11
HB31-FN,2023,S,2023-12-20,"Inexpedient to Legislate, Senate Rule 3-23, Adjournment 10/26/2023; SJ 21",12
HB32-FN,2023,H,2022-12-23,Introduced 01/04/2023 and referred to Criminal Justice and Public Safety,1
HB32-FN,2023,H,2023-01-25,Public Hearing: 02/08/2023 09:00 am SH Reps Hall,2
HB32-FN,2023,H,2023-02-07,Executive Session: 02/16/2023 09:00 am LOB 202-204,3
HB32-FN,2023,H,2023-02-27,Majority Committee Report: Inexpedient to Legislate HB32-FN 02/16/2023 (Vote 10-9; RC) HC 14 P. 9,4
HB32-FN,2023,H,2023-02-27,Minority Committee Report: Ought to Pass,5
HB32-FN,2023,H,2023-03-09,Inexpedient to Legislate: MA RC 199-174 03/09/2023 HJ 8 P. 14,6
HB33,2023,H,2022-12-23,Introduced 01/04/2023 and referred to Executive Departments and Administration,1
HB33,2023,H,2023-01-05,Public Hearing: 01/11/2023 10:00 am LOB 306-308,2
HB33,2023,H,2023-01-25,Committee Report: Inexpedient to Legislate 01/11/2023 (Vote 19-0; RC) HC 9 P. 7,3
HB34-FN,2023,H,2022-12-23,Introduced 01/04/2023 and referred to Children and Family Law,1
HB34-FN,2023,H,2023-01-05,Public Hearing: 01/10/2023 02:30 pm LOB 206-208,2
HB34-FN,2023,H,2023-01-18,Executive Session: 01/24/2023 10:30 am LOB 206-208,3
HB34-FN,2023,H,2023-01-27,Majority Committee Report: Inexpedient to Legislate 01/24/2023 (Vote 8-7; RC) HC 11 P. 17,4
HB34-FN,2023,H,2023-01-27,Minority Committee Report: Ought to Pass,5
HB34-FN,2023,H,2023-02-14,Inexpedient to Legislate: MA DV 188-184 02/14/2023 HJ 5 P. 41,6
HB35,2023,H,2022-12-23,Introduced 01/04/2023 and referred to Education,1
HB35,2023,H,2023-01-05,Public Hearing: 01/12/2023 02:00 pm LOB 205-207,2
