bill_number,session_year,chamber,action_date,action,order
HB38-FN,2024,S,2024-04-25,"Committee Report: Referred to Interim Study, 05/02/2024; Vote 5-0; CC; SC 17",31
HB38-FN,2024,S,2024-04-26,"Refer to Interim Study, MA, VV; 05/02/2024; SJ 11",32
HB55-FN,2024,H,2022-12-23,Introduced 01/04/2023 and referred to Transportation,1
HB55-FN,2024,H,2023-02-16,Public Hearing: 02/21/2023 10:00 am LOB 201-203,2
HB55-FN,2024,H,2023-03-01,Executive Session: 03/07/2023 10:00 am LOB 201-203,3
HB55-FN,2024,H,2023-03-10,Retained in Committee,4
HB55-FN,2024,H,2023-09-21,Subcommittee Work Session: 09/26/2023 10:00 am LOB 301-303 HC 38,5
HB55-FN,2024,H,2023-10-02,Subcommittee Work Session: 10/10/2023 10:00 am LOB 201-203 HC 40,6
HB55-FN,2024,H,2023-10-26,Executive Session: 10/31/2023 01:00 pm LOB 201-203 HC 43,7
HB55-FN,2024,H,2023-11-14,Committee Report: Refer for Interim Study HB55-FN 10/31/2023 (Vote 18-0; CC) HC 49 P. 21,8
HB55-FN,2024,H,2024-01-03,Refer for Interim Study: MA VV 01/03/2024 HJ 1 P. 67,9
HB60,2024,H,2022-12-23,Introduced 01/04/2023 and referred to Ways and Means,1
HB60,2024,H,2023-01-11,Public Hearing: 01/17/2023 10:00 am LOB 202-204,2
HB60,2024,H,2023-01-25,Executive Session: 01/31/2023 11:30 am LOB 202,3
HB60,2024,H,2023-02-15,Retained in Committee,4
HB60,2024,H,2023-08-09,Full Committee Work Session: 09/19/2023 10:00 am LOB 202-204,5
HB60,2024,H,2023-09-13,Executive Session: 09/19/2023 10:30 am LOB 202-204 HC 37,6
HB60,2024,H,2023-10-11,Committee Report: Inexpedient to Legislate HB60 09/19/2023 (Vote 20-0; CC) HC 49 P. 22,7
HB60,2024,H,2024-01-03,Inexpedient to Legislate: MA VV 01/03/2024 HJ 1 P. 68,8
HB68-FN,2024,H,2022-12-23,Introduced 01/04/2023 and referred to Judiciary,1
HB68-FN,2024,H,2023-01-11,Public Hearing: 01/18/2023 09:30 am LOB 206-208,2
HB68-FN,2024,H,2023-02-23,Executive Session: 03/08/2023 10:00 am LOB 206-208,3
HB68-FN,2024,H,2023-03-14,Majority Committee Report: Ought to Pass with Amendment #2023-0436h 03/08/2023 (Vote 17-3; RC) HC 16 P. 36,4
HB68-FN,2024,H,2023-03-14,Minority Committee Report: Inexpedient to Legislate,5
HB68-FN,2024,H,2023-03-23,Amendment #2023-0436h: AA VV 03/23/2023 HJ 11 P. 22,6
HB68-FN,2024,H,2023-03-23,Ought to Pass with Amendment 2023-0436h: MA VV 03/23/2023 HJ 11 P. 25,7
HB68-FN,2024,S,2023-03-24,Introduced 03/23/2023 and Referred to Judiciary; SJ 12,8
HB68-FN,2024,S,2023-03-29,"Hearing: 04/04/2023, Room 100, SH, 02:15 pm; SC 16",9
HB68-FN,2024,S,2023-05-10,"Committee Report: Rereferred to Committee, 05/18/2023; Vote 5-0; CC; SC 22",10
HB68-FN,2024,S,2023-05-18,"Rereferred to Committee, MA, VV; 05/18/2023; SJ 15",11
HB68-FN,2024,S,2023-12-18,"Committee Report: Ought to Pass, 01/03/2024; Vote 5-0; CC; SC 49",12
HB68-FN,2024,S,2024-01-03,"Ought to Pass: MA, VV; OT3rdg; 01/03/2024; SJ 1",13
HB68-FN,2024,S,2024-01-16,"Enrolled Bill Amendment #2024-0088e Adopted, VV, (In recess of 01/03/2024); SJ 2",14
HB68-FN,2024,H,2024-01-17,Enrolled Bill Amendment #2024-0088e: AA VV (in recess of) 01/04/2024 HJ 2 P. 72,15
HB68-FN,2024,S,2024-02-12,"Enrolled Adopted, VV, (In recess 02/08/2024); SJ 4",16
HB68-FN,2024,H,2024-02-13,Enrolled (in recess of) 02/08/2024 HJ 4 P. 47,17
HB68-FN,2024,H,2024-02-23,Signed by Governor Sununu 02/21/2024; Chapter 1; eff.07/01/24,18
HB70,2024,H,2022-12-23,Introduced 01/04/2023 and referred to Municipal and County Government,1
HB70,2024,H,2023-01-05,Public Hearing: 01/11/2023 10:30 am LOB 301-303,2
HB70,2024,H,2023-01-11,Executive Session: 01/19/2023 10:30 am LOB 301-303,3
HB70,2024,H,2023-01-26,Retained in Committee,4
HB70,2024,H,2023-09-21,Executive Session: 10/18/2023 10:00 am LOB 301-303 HC 38,5
HB70,2024,H,2023-11-02,Committee Report: Ought to Pass with Amendment #2023-0071h 10/18/2023 (Vote 19-1; CC) HC 49 P. 18,6
HB70,2024,H,2024-01-03,Amendment #2023-0071h: AA VV 01/03/2024 HJ 1 P. 63,7
HB70,2024,H,2024-01-03,Ought to Pass with Amendment 2023-0071h: MA VV 01/03/2024 HJ 1 P. 63,8
HB70,2024,S,2024-02-16,Introduced 02/15/2024 and Referred to Election Law and Municipal Affairs; SJ 5,9
HB70,2024,S,2024-03-06,"Hearing: 03/12/2024, Room 103, LOB, 09:30 am; SC 10",10
HB70,2024,S,2024-04-16,Committee Report: Inexpedient to Legislate; Vote 5-0; CC; 04/18/2024; SC 15A,11
HB70,2024,S,2024-04-18,"Inexpedient to Legislate, MA, VV === BILL KILLED ===; 04/18/2024; SJ 10",12
HB73-FN,2024,H,2022-12-23,Introduced 01/04/2023 and referred to Commerce and Consumer Affairs,1
HB73-FN,2024,H,2023-01-05,Public Hearing: 01/12/2023 02:15 pm LOB 302-304,2
HB73-FN,2024,H,2023-01-25,Subcommittee Work Session: 02/01/2023 10:00 am LOB 302-304,3
HB73-FN,2024,H,2023-01-26,Executive Session: 02/02/2023 01:30 pm LOB 302-304,4
HB73-FN,2024,H,2023-02-09,Retained in Committee,5
HB73-FN,2024,H,2023-08-30,==CANCELLED== Subcommittee Work Session: 09/06/2023 10:00 am LOB 302-304,6
HB73-FN,2024,H,2023-09-06,==RESCHEDULED== Subcommittee Work Session: 09/20/2023 10:00 am LOB 302-304 HC 36,7
HB73-FN,2024,H,2023-10-17,==RECESSED== Executive Session: 11/08/2023 01:30 pm LOB 302-304 HC 42,8
HB73-FN,2024,H,2023-11-08,==CANCELLED== Executive Session: 11/15/2023 11:00 am LOB 302-304 HC 45,9
HB73-FN,2024,H,2023-11-17,Committee Report: Refer for Interim Study 11/08/2023 (Vote 18-1; CC) HC 49 P. 3,10
HB73-FN,2024,H,2024-01-03,Refer for Interim Study: MA VV 01/03/2024 HJ 1 P. 34,11
HB73-FN,2024,H,2024-08-14,Full Committee Subcommittee Work Session: 09/11/2024 10:00 am LOB 302-304,12
HB82-FN,2024,H,2022-12-23,"Introduced 01/04/2023 and referred to Labor, Industrial and Rehabilitative Services",1
HB82-FN,2024,H,2023-01-11,Public Hearing: 01/19/2023 02:30 pm LOB 305-307,2
HB82-FN,2024,H,2023-02-09,Subcommittee Work Session: 02/16/2023 02:30 pm LOB 305-307,3
HB82-FN,2024,H,2023-02-23,Subcommittee Work Session: 03/02/2023 11:00 am LOB305-307,4
HB82-FN,2024,H,2023-03-03,Executive Session: 03/15/2023 03:00 pm LOB 305-307,5
HB82-FN,2024,H,2023-03-16,Retained in Committee,6
HB82-FN,2024,H,2023-06-07,Full Committee Work Session: 06/23/2023 10:15 am LOB 305-307,7
HB82-FN,2024,H,2023-10-16,==CANCELLED== Executive Session: 10/24/2023 02:00 pm LOB 302-304,8
HB82-FN,2024,H,2023-10-24,Executive Session: 11/02/2023 02:00 pm LOB 301-303 HC 43,9
HB82-FN,2024,H,2023-11-17,Committee Report: Ought to Pass with Amendment #2023-2405h 11/02/2023 (Vote 18-2; CC) HC 49 P. 17,10
HB82-FN,2024,H,2024-01-03,Amendment #2023-2405h: AA VV 01/03/2024 HJ 1 P. 61,11
HB82-FN,2024,H,2024-01-03,Ought to Pass with Amendment 2023-2405h: MA VV 01/03/2024 HJ 1 P. 61,12
