"sponsor","data_name","legiscan_id","term","chamber","district","party","LES","LES_rank","BILL_wshare","AIC_wshare","ABC_wshare","PASS_wshare","LAW_wshare","all_bills","all_aic","all_abc","all_pass","all_law","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","LES_nw","num_sponsored_bills","sponsor_pass_rate","sponsor_law_rate","num_cosponsored_bills"
"Todd Novak","novak",16422,"2023_2024","House","HD-051","R",2.13084966064843,15,0.0208820581356499,0.02601908065915,0.0242718446601942,0.0118953211736717,0.0234741784037559,25,24,12,3,2,0,0,0,0,0,25,24,12,3,2,0,0,0,0,0,2.28814891256849,25,0.12,0.08,124
"David Steffen","steffen",16426,"2023_2024","House","HD-004","R",2.11628338155936,16,0.0167056465085199,0.0195143104943625,0.026294498381877,0.0198255352894528,0.0234741784037559,20,18,13,5,2,0,0,0,0,0,20,18,13,5,2,0,0,0,0,0,2.29990830530805,20,0.25,0.1,113
"David Armstrong","armstrong",21988,"2023_2024","House","HD-075","R",2.11585207642531,17,0.0126962913464751,0.0119254119687771,0.0182038834951456,0.0277557494052339,0.0352112676056338,15,10,8,6,3,1,1,1,1,0,13,9,7,5,3,1,0,0,0,0,2.16226572814604,15,0.4,0.2,220
"Amanda Nedweski","nedweski",23597,"2023_2024","House","HD-061","R",2.08884522195938,18,0.0100233879051119,0.013009540329575,0.0222491909385113,0.0356859635210151,0.0234741784037559,10,10,9,7,2,2,2,2,2,0,8,8,7,5,2,0,0,0,0,0,1.96166705440473,10,0.7,0.2,105
"Jerry O'Connor","o'connor",23598,"2023_2024","House","HD-052","R",2.05063508096225,19,0.0116939525559639,0.0151777970511709,0.0242718446601942,0.0396510705789056,0.0117370892018779,11,11,9,7,1,3,3,3,3,0,8,8,6,4,1,0,0,0,0,0,1.74829827205638,11,0.636363636363636,0.0909090909090909,355
"Tony Kurtz","kurtz",20183,"2023_2024","House","HD-050","R",2.01709527157962,20,0.0135315736719011,0.0175628794449263,0.0226537216828479,0.0118953211736717,0.0352112676056338,16,16,11,2,2,1,1,1,1,1,14,14,9,1,1,1,1,1,0,0,1.81403540509528,16,0.125,0.125,55
"Loren Oldenburg","oldenburg",20186,"2023_2024","House","HD-096","R",1.92978008664409,21,0.0108586702305379,0.0140936686903729,0.0242718446601942,0.0237906423473434,0.0234741784037559,11,11,10,4,1,2,2,2,2,1,9,9,8,2,0,0,0,0,0,0,1.50770175863172,11,0.363636363636364,0.0909090909090909,64
"Chanz Green","green",23590,"2023_2024","House","HD-074","R",1.86511873128562,22,0.0125292348813899,0.0151777970511709,0.0222491909385113,0.0198255352894528,0.0234741784037559,15,14,11,5,2,0,0,0,0,0,15,14,11,5,2,0,0,0,0,0,2.03600094999857,15,0.333333333333333,0.133333333333333,183
"Cindi Duchow","duchow",17720,"2023_2024","House","HD-099","R",1.77658337720086,23,0.0125292348813899,0.0162619254119688,0.0283171521035599,0.0317208564631245,0,14,14,13,7,0,1,1,1,1,0,13,13,12,6,0,0,0,0,0,0,1.78957574353057,14,0.5,0,94
"Karen Hurd","hurd",23592,"2023_2024","House","HD-068","R",1.73164443589416,24,0.00918810557968593,0.0119254119687771,0.0182038834951456,0.0237906423473434,0.0234741784037559,10,10,8,5,2,1,1,1,1,0,9,9,7,4,2,0,0,0,0,0,1.72832991854029,10,0.5,0.2,81
"Calvin Callahan","callahan",21991,"2023_2024","House","HD-035","R",1.62606915310236,25,0.0116939525559639,0.0140936686903729,0.0161812297734628,0.0158604282315623,0.0234741784037559,14,13,8,4,2,0,0,0,0,0,14,13,8,4,2,0,0,0,0,0,1.77012741708068,14,0.285714285714286,0.142857142857143,83
"Barbara Dittrich","dittrich",20178,"2023_2024","House","HD-038","R",1.58849793783224,26,0.0150350818576679,0.0184301821335646,0.0182038834951456,0.0277557494052339,0,16,15,7,5,0,2,2,2,2,0,14,13,5,3,0,0,0,0,0,0,1.39441290609301,16,0.3125,0,264
"Paul Tittl","tittl",15100,"2023_2024","House","HD-025","R",1.52197748759753,27,0.0177079852990311,0.021899392888118,0.020631067961165,0.0158604282315623,0,22,21,11,4,0,0,0,0,0,0,21,20,10,4,0,1,1,1,0,0,1.71345552851244,22,0.181818181818182,0,91
"John Spiros","spiros",15099,"2023_2024","House","HD-086","R",1.48940001744031,28,0.0116939525559639,0.013009540329575,0.0182038834951456,0.0198255352894528,0.0117370892018779,13,11,8,4,1,1,1,1,1,0,12,10,7,3,1,0,0,0,0,0,1.45456821544848,13,0.307692307692308,0.0769230769230769,115
"Robert Brooks","brooks",13347,"2023_2024","House","HD-060","R",1.48491415056726,29,0.00835282325425994,0.00867302688638335,0.0101132686084142,0.0118953211736717,0.0352112676056338,10,8,5,3,3,0,0,0,0,0,10,8,5,3,3,0,0,0,0,0,1.61543224722729,10,0.3,0.3,107
"Rob Summerfield","summerfield",18359,"2023_2024","House","HD-067","R",1.18175894793453,30,0.00835282325425994,0.0108412836079792,0.0202265372168285,0.00793021411578113,0.0117370892018779,10,10,10,2,1,0,0,0,0,0,10,10,10,2,1,0,0,0,0,0,1.2783325243024,10,0.2,0.1,60
"Jon Plumer","plumer",19731,"2023_2024","House","HD-042","R",1.15865044573642,31,0.0108586702305379,0.013009540329575,0.0182038834951456,0.0158604282315623,0,12,11,8,3,0,1,1,1,1,0,11,10,7,2,0,0,0,0,0,0,1.08942002407146,12,0.25,0,89
"Jeffrey Mursau","mursau",3846,"2023_2024","House","HD-036","R",1.13866825619639,32,0.0167056465085199,0.0140936686903729,0.0182038834951456,0.00793021411578113,0,20,13,9,2,0,0,0,0,0,0,20,13,9,2,0,0,0,0,0,0,1.22116994693287,20,0.1,0,330
"David Murphy","murphy",15096,"2023_2024","House","HD-056","R",1.12845585624613,33,0.0141997995322419,0.0184301821335646,0.00809061488673139,0.00396510705789056,0.0117370892018779,17,17,4,1,1,0,0,0,0,0,17,17,4,1,1,0,0,0,0,0,1.19953415984754,17,0.0588235294117647,0.0588235294117647,312
"John Macco","macco",16420,"2023_2024","House","HD-088","R",1.09970964435739,34,0.00751754092883395,0.00975715524718127,0.0101132686084142,0.0158604282315623,0.0117370892018779,8,8,4,3,1,1,1,1,1,0,7,7,3,2,1,0,0,0,0,0,1.03094564804009,8,0.375,0.125,65
"Mark Born","born",15091,"2023_2024","House","HD-039","R",1.02229429118142,35,0.00417641162712997,0.00542064180398959,0.0101132686084142,0.00793021411578113,0.0234741784037559,5,5,5,2,2,0,0,0,0,0,5,5,5,2,2,0,0,0,0,0,1.11369982745206,5,0.4,0.4,24
"Donna Rozar","rozar",22000,"2023_2024","House","HD-069","R",1.01583010392996,36,0.0133645172068159,0.0151777970511709,0.0222491909385113,0,0,16,14,11,0,0,0,0,0,0,0,16,14,11,0,0,0,0,0,0,0,1.0729350913426,16,0,0,235
"Nancy VanderMeer","vandermeer",16429,"2023_2024","House","HD-070","R",1.01563634832508,37,0.00851987971934514,0.00997398091934085,0.0165857605177994,0.00396510705789056,0.0117370892018779,11,10,9,1,1,0,0,0,0,0,10,9,8,1,1,1,1,1,0,0,1.15697902285296,11,0.0909090909090909,0.0909090909090909,55
"Jimmy Anderson","j. anderson",18354,"2023_2024","House","HD-047","D",1.00519309438125,38,0.0350818576678917,0.0151777970511709,0,0,0,42,14,0,0,0,0,0,0,0,0,42,14,0,0,0,0,0,0,0,0,1.03865417219251,42,0,0,272
"Kristina Shelton","shelton",22001,"2023_2024","House","HD-090","D",0.971434068913038,39,0.0225526227865018,0.02601908065915,0,0,0,27,24,0,0,0,0,0,0,0,0,27,24,0,0,0,0,0,0,0,0,1.00668930439978,27,0,0,228
"Rick Gundrum","gundrum",19637,"2023_2024","House","HD-058","R",0.970000587351048,40,0.00918810557968593,0.00758889852558543,0.00809061488673139,0.0118953211736717,0.0117370892018779,11,7,4,3,1,0,0,0,0,0,11,7,4,3,1,0,0,0,0,0,1.05993749165513,11,0.272727272727273,0.0909090909090909,223
"Gae Magnafici","magnafici",20184,"2023_2024","House","HD-028","R",0.934316160062768,41,0.00918810557968593,0.00758889852558543,0.0101132686084142,0.0198255352894528,0,10,6,4,4,0,1,1,1,1,0,9,5,3,3,0,0,0,0,0,0,0.861763889937246,10,0.4,0,144
"Shelia Stubbs","stubbs",20189,"2023_2024","House","HD-077","D",0.900079531012807,42,0.0150350818576679,0.0119254119687771,0.0101132686084142,0.00793021411578113,0,18,11,5,2,0,0,0,0,0,0,18,11,5,2,0,0,0,0,0,0,0.966523693110326,18,0.111111111111111,0,332
"Ty Bodden","bodden",23586,"2023_2024","House","HD-059","R",0.892866872919488,43,0.0133645172068159,0.0151777970511709,0.0121359223300971,0.00396510705789056,0,16,14,6,1,0,0,0,0,0,0,16,14,6,1,0,0,0,0,0,0,0.948903440456435,16,0.0625,0,147
"Shannon Zimmerman","zimmerman",18362,"2023_2024","House","HD-030","R",0.864328934592814,44,0.00584697627798196,0.00758889852558543,0.0101132686084142,0.00793021411578113,0.0117370892018779,7,7,5,2,1,0,0,0,0,0,7,7,5,2,1,0,0,0,0,0,0.940126819717386,7,0.285714285714286,0.142857142857143,32
"Clint Moses","moses",21997,"2023_2024","House","HD-029","R",0.835988424520516,45,0.0101904443701971,0.0110581092801388,0.0165857605177994,0.00396510705789056,0,13,11,9,1,0,0,0,0,0,0,12,10,8,1,0,1,1,1,0,0,0.960807145061794,13,0.0769230769230769,0,149
"Katrina Shankland","shankland",15725,"2023_2024","House","HD-071","D",0.833159708588615,46,0.0275643167390578,0.0140936686903729,0,0,0,33,13,0,0,0,0,0,0,0,0,33,13,0,0,0,0,0,0,0,0,0.861283161121394,33,0,0,228
"Dave Maxey","maxey",23595,"2023_2024","House","HD-015","R",0.818898939451718,47,0.00668225860340795,0.00650477016478751,0.00809061488673139,0.00793021411578113,0.0117370892018779,8,6,4,2,1,0,0,0,0,0,8,6,4,2,1,0,0,0,0,0,0.890961178069272,8,0.25,0.125,161
"Lisa Subeck","subeck",16428,"2023_2024","House","HD-078","D",0.804725336279014,48,0.0250584697627798,0.0151777970511709,0,0,0,30,14,0,0,0,0,0,0,0,0,30,14,0,0,0,0,0,0,0,0,0.832291317506352,30,0,0,368
"Sylvia Ortiz-Velez","ortiz-velez",21998,"2023_2024","House","HD-008","D",0.80247607321553,49,0.00250584697627798,0.00216825672159584,0.0040453074433657,0.00793021411578113,0.0234741784037559,3,2,2,2,2,0,0,0,0,0,3,2,2,2,2,0,0,0,0,0,0.880218379721817,3,0.666666666666667,0.666666666666667,253
"Scott Allen","allen",16407,"2023_2024","House","HD-097","R",0.754415656820592,50,0.0108586702305379,0.0108412836079792,0.00809061488673139,0.00793021411578113,0,12,9,3,1,0,1,1,1,1,0,11,8,2,0,0,0,0,0,0,0,0.63583044349884,12,0.0833333333333333,0,158
"Terry Katsma","katsma",16417,"2023_2024","House","HD-026","R",0.708711218985722,51,0.00334112930170398,0.00433651344319167,0.00809061488673139,0.00793021411578113,0.0117370892018779,4,4,4,2,1,0,0,0,0,0,4,4,4,2,1,0,0,0,0,0,0.776975819727559,4,0.5,0.25,9
"Rob Swearingen","swearingen",14585,"2023_2024","House","HD-034","R",0.701208584569429,52,0.00584697627798196,0.00542064180398959,0.00809061488673139,0.00396510705789056,0.0117370892018779,7,5,4,1,1,0,0,0,0,0,7,5,4,1,1,0,0,0,0,0,0.756378673597775,7,0.142857142857143,0.142857142857143,53
"Darrin Madison","madison",23594,"2023_2024","House","HD-010","D",0.671080164210854,53,0.0183762111593719,0.0151777970511709,0,0,0,22,14,0,0,0,0,0,0,0,0,22,14,0,0,0,0,0,0,0,0,0.694716081048914,22,0,0,250
"Tom Michalski","michalski",23596,"2023_2024","House","HD-013","R",0.670961930988264,54,0.00417641162712997,0.00542064180398959,0.00809061488673139,0.0158604282315623,0,5,5,4,4,0,0,0,0,0,0,5,5,4,4,0,0,0,0,0,0,0.75318049709485,5,0.8,0,114
"Alex Joers","joers",23606,"2023_2024","House","HD-079","D",0.668354514518496,55,0.00918810557968593,0.00650477016478751,0.00202265372168285,0.00396510705789056,0.0117370892018779,11,6,1,1,1,0,0,0,0,0,11,6,1,1,1,0,0,0,0,0,0.716474133436601,11,0.0909090909090909,0.0909090909090909,414
"Jill Billings","billings",13657,"2023_2024","House","HD-095","D",0.651648868009976,56,0.00835282325425994,0.00650477016478751,0.00202265372168285,0.00396510705789056,0.0117370892018779,10,6,1,1,1,0,0,0,0,0,10,6,1,1,1,0,0,0,0,0,0.699277228879422,10,0.1,0.1,79
"Robin Vos","vos",3933,"2023_2024","House","HD-063","R",0.58941685639393,57,0.00250584697627798,0.00325238508239376,0.0040453074433657,0.00793021411578113,0.0117370892018779,3,3,2,2,1,0,0,0,0,0,3,3,2,2,1,0,0,0,0,0,0.649652692816289,3,0.666666666666667,0.333333333333333,15
"Robyn Vining","vining",20190,"2023_2024","House","HD-014","D",0.582575010960817,58,0.0150350818576679,0.0140936686903729,0,0,0,18,13,0,0,0,0,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0.603329592763698,18,0,0,102
"Paul Melotik","melotik",24954,"2023_2024","House","HD-024","R",0.529063295181161,59,0.00501169395255596,0.00542064180398959,0.00809061488673139,0.00793021411578113,0,6,5,4,2,0,0,0,0,0,0,6,5,4,2,0,0,0,0,0,0,0.58080394193639,6,0.333333333333333,0,71
"Scott Johnson","s. johnson",24125,"2023_2024","House","HD-033","R",0.52475550103546,60,0.00417641162712997,0.00433651344319167,0.00202265372168285,0.00396510705789056,0.0117370892018779,5,4,1,1,1,0,0,0,0,0,5,4,1,1,1,0,0,0,0,0,0.568094965980529,5,0.2,0.2,97
"James Edming","edming",16412,"2023_2024","House","HD-087","R",0.510292787963463,61,0.00501169395255596,0.00650477016478751,0.00606796116504854,0.00793021411578113,0,6,6,3,2,0,0,0,0,0,0,6,6,3,2,0,0,0,0,0,0,0.559639135844091,6,0.333333333333333,0,246
"Warren Petryk","petryk",12300,"2023_2024","House","HD-093","R",0.48973769257979,62,0.00350818576678917,0.00455333911535126,0.00849514563106796,0.00793021411578113,0,4,4,4,1,0,1,1,1,1,0,2,2,2,0,0,1,1,1,0,0,0.429024532907713,4,0.25,0,59
"Tyler August","august",12291,"2023_2024","House","HD-032","R",0.47172650151164,63,0.00167056465085199,0.00216825672159584,0.0040453074433657,0.00396510705789056,0.0117370892018779,2,2,2,1,1,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0.515070188344792,2,0.5,0.5,12
"Adam Neylon","neylon",16023,"2023_2024","House","HD-098","R",0.464684720095023,64,0.00334112930170398,0.00216825672159584,0.00202265372168285,0.00396510705789056,0.0117370892018779,4,2,1,1,1,0,0,0,0,0,4,2,1,1,1,0,0,0,0,0,0.505700321310355,4,0.25,0.25,18
"Christine Sinicki","sinicki",3819,"2023_2024","House","HD-020","D",0.433999076770342,65,0.0108586702305379,0.0108412836079792,0,0,0,13,10,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0.449548459808308,13,0,0,426
"Jodi Emerson","emerson",20179,"2023_2024","House","HD-091","D",0.431087016772082,66,0.0108586702305379,0.00867302688638335,0.00202265372168285,0,0,13,8,1,0,0,0,0,0,0,0,13,8,1,0,0,0,0,0,0,0,0.44811439584411,13,0,0,335
"Michael Schraa","schraa",15098,"2023_2024","House","HD-053","R",0.428464933096797,67,0.00668225860340795,0.00867302688638335,0.00606796116504854,0,0,8,8,3,0,0,0,0,0,0,0,8,8,3,0,0,0,0,0,0,0,0.449657225355805,8,0,0,115
"Ryan Clancy","clancy",23587,"2023_2024","House","HD-019","D",0.387431906017191,68,0.0150350818576679,0.00433651344319167,0,0,0,18,4,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0.399939762255223,18,0,0,265
"Kalan Haywood","haywood",20181,"2023_2024","House","HD-016","D",0.380970077246523,69,0.00835282325425994,0.00867302688638335,0.00202265372168285,0,0,10,8,1,0,0,0,0,0,0,0,10,8,1,0,0,0,0,0,0,0,0.396523682172571,10,0,0,119
"Lee Snodgrass","snodgrass",22002,"2023_2024","House","HD-057","D",0.380680100923548,70,0.0125292348813899,0.00650477016478751,0,0,0,15,6,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0.393546788696679,15,0,0,197
"Treig Pronschinske","pronschinske",18356,"2023_2024","House","HD-092","R",0.370919865865215,71,0.00417641162712997,0.00433651344319167,0.00606796116504854,0.00396510705789056,0,5,4,3,1,0,0,0,0,0,0,5,4,3,1,0,0,0,0,0,0,0.402457761316097,5,0.2,0,27
"Kevin Petersen","petersen",3942,"2023_2024","House","HD-040","R",0.315826005632217,72,0.00250584697627798,0.00325238508239376,0.00606796116504854,0.00396510705789056,0,3,3,3,1,0,0,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0.34546508214524,3,0.333333333333333,0,23
"Mike Bare","bare",23584,"2023_2024","House","HD-080","D",0.315658130111213,73,0.00768459739391914,0.00455333911535126,0.00040453074433657,0.000793021411578113,0.00234741784037559,10,5,1,1,1,0,0,0,0,0,9,4,0,0,0,1,1,1,1,1,0.676678358822925,10,0.1,0.1,259
"Dave Considine","considine",16411,"2023_2024","House","HD-081","D",0.313857514889469,74,0.00918810557968593,0.00650477016478751,0,0,0,11,6,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0.32475917046796,11,0,0,270
"Lori Palmeri","palmeri",23599,"2023_2024","House","HD-054","D",0.29217494767351,75,0.00918810557968593,0.00542064180398959,0,0,0,11,5,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0.302160300411463,11,0,0,373
"Jessie Rodriguez","rodriguez",16062,"2023_2024","House","HD-021","R",0.289552863998225,76,0.00501169395255596,0.00542064180398959,0.0040453074433657,0,0,6,5,2,0,0,0,0,0,0,0,6,5,2,0,0,0,0,0,0,0,0.303703129923157,6,0,0,38
"Travis Tranel","tranel",12269,"2023_2024","House","HD-049","R",0.272847217489705,77,0.00417641162712997,0.00542064180398959,0.0040453074433657,0,0,5,5,2,0,0,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0.286506225365977,5,0,0,61
"Francesca Hong","hong",21995,"2023_2024","House","HD-076","D",0.268856589051818,78,0.0101904443701971,0.00325238508239376,0,0,0,13,3,0,0,0,0,0,0,0,0,12,3,0,0,0,1,0,0,0,0,0.291356369412828,13,0,0,136
"Melissa Ratcliff","ratcliff",23600,"2023_2024","House","HD-046","D",0.265805436073088,79,0.00584697627798196,0.00542064180398959,0.00202265372168285,0,0,7,5,1,0,0,0,0,0,0,0,7,5,1,0,0,0,0,0,0,0,0.27713635833154,7,0,0,332
"Chuck Wichgers","wichgers",18361,"2023_2024","House","HD-082","R",0.263740575363909,80,0.00668225860340795,0.00650477016478751,0,0,0,8,6,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0.273168456796421,8,0,0,189
"Dan Knodl","knodl",3847,"2023_2024","House","HD-024","R",0.253229510982926,81,0.00334112930170398,0.00325238508239376,0.00606796116504854,0,0,4,3,3,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0.2678752568446,4,0,0,46
"Jenna Jacobson","jacobson",23593,"2023_2024","House","HD-043","D",0.215398520224554,82,0.00751754092883395,0.00325238508239376,0,0,0,9,3,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0.222568751184109,9,0,0,329
"Angie Sapik","sapik",23602,"2023_2024","House","HD-073","R",0.212776436549269,83,0.00334112930170398,0.00325238508239376,0.0040453074433657,0,0,4,3,2,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0.224111580695803,4,0,0,66
"Tip McGuire","mcguire",21362,"2023_2024","House","HD-064","D",0.203669794423473,84,0.00584697627798196,0.00433651344319167,0,0,0,7,4,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0.210773812126247,7,0,0,17
"Elijah Behnke","behnke",22924,"2023_2024","House","HD-089","R",0.19400592933157,85,0.00334112930170398,0.00433651344319167,0.00202265372168285,0,0,4,4,1,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0.202946774603504,4,0,0,340
"Deb Andraca","andraca",21987,"2023_2024","House","HD-023","D",0.190305277216657,86,0.00517875041764116,0.00433651344319167,0,0,0,7,4,0,0,0,0,0,0,0,0,6,4,0,0,0,1,0,0,0,0,0.210773812126247,7,0,0,191
"Clinton Anderson","c. anderson",23583,"2023_2024","House","HD-045","D",0.186964147914953,87,0.00501169395255596,0.00433651344319167,0,0,0,6,4,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0.193576907569067,6,0,0,297
"Sue Conley","conley",21992,"2023_2024","House","HD-044","D",0.186964147914953,87,0.00501169395255596,0.00433651344319167,0,0,0,6,4,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0.193576907569067,6,0,0,335
"Steve Doyle","doyle",13126,"2023_2024","House","HD-094","D",0.165281580698994,89,0.00501169395255596,0.00325238508239376,0,0,0,6,3,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0.17097803751257,6,0,0,63
"Dora Drake","drake",21994,"2023_2024","House","HD-011","D",0.153552854897913,90,0.00334112930170398,0.00433651344319167,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0.159183098454708,4,0,0,202
"LaKeshia Myers","myers",20185,"2023_2024","House","HD-012","D",0.148575934190475,91,0.00417641162712997,0.00325238508239376,0,0,0,5,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0.15378113295539,5,0,0,105
"Greta Neubauer","neubauer",19568,"2023_2024","House","HD-066","D",0.105210799758558,92,0.00417641162712997,0.00108412836079792,0,0,0,5,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0.108583392842396,5,0,0,136
"Tod Ohnstad","ohnstad",15721,"2023_2024","House","HD-065","D",0.0934820739574764,93,0.00250584697627798,0.00216825672159584,0,0,0,3,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0.0967884537845335,3,0,0,323
"Janel Brandtjen","brandtjen",16409,"2023_2024","House","HD-022","R",0.0788412881581352,94,0.000835282325425994,0.00108412836079792,0.00202265372168285,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0835594507624734,1,0,0,245
"Samba Baldeh","baldeh",21989,"2023_2024","House","HD-048","D",0.0767764274489565,95,0.00167056465085199,0.00216825672159584,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.0795915492273538,2,0,0,295
"Daniel Riemer","riemer",15723,"2023_2024","House","HD-007","D",0.075140636043222,96,0.00267290344136318,0.00108412836079792,0,0,0,4,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0.091386488285216,4,0,0,30
