"bill_id","ga_num","session","primary_sponsors","act_num","intro_date","cosponsors","title","bill_url","term","session_year","LES_sponsor","bill_type","SS","commem","state","introduced","action_in_comm","action_beyond_comm","passed_chamber","law"
"SB0527","94th","2023-RS","k. hammer",NA,"3/29/2023",NA,"TO IMPOSE ADDITIONAL REQUIREMENTS FOR ENTERING INTO AND DISSOLVING A COVENANT MARRIAGE.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB527&ddBienniumSession=2023%2F2023R","2023_2024","2023","k. hammer","SB",0,0,"AR",1,0,1,0,0
"SB0528","94th","2023-RS","k. hammer",NA,"3/29/2023",NA,"TO PROHIBIT A LOAN OR FINANCING AGREEMENT FOR THE SALE OF A DOG OR CAT; TO CLARIFY THE REGULATION OF THE SALE OF A DOG OR CAT; AND TO PROVIDE PENALTIES FOR PROVIDING A LOAN OR FINANCING AGREEMENT FOR THE SALE OF A DOG OR CAT.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB528&ddBienniumSession=2023%2F2023R","2023_2024","2023","k. hammer","SB",0,0,"AR",1,0,1,0,0
"SB0529","94th","2023-RS","g. leding",NA,"3/29/2023",NA,"TO AMEND THE ARKANSAS SOIL NUTRIENT APPLICATION AND POULTRY LITTER UTILIZATION ACT; AND TO REQUIRE CERTAIN RECORDS BE PROVIDED TO THE ARKANSAS NATURAL RESOURCE COMMISSION.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB529&ddBienniumSession=2023%2F2023R","2023_2024","2023","g. leding","SB",0,0,"AR",1,0,0,0,0
"SB0530","94th","2023-RS","g. leding",NA,"3/29/2023",NA,"TO CREATE A SALES AND USE TAX EXEMPTION FOR CERTAIN SALES TO A CULTIVATION FACILITY.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB530&ddBienniumSession=2023%2F2023R","2023_2024","2023","g. leding","SB",0,0,"AR",1,0,0,0,0
"SB0531","94th","2023-RS","b. king",NA,"3/29/2023",NA,"CONCERNING CHAMPIONSHIP ATHLETIC GAMES HELD BETWEEN PUBLIC SCHOOLS AND PRIVATE SCHOOLS.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB531&ddBienniumSession=2023%2F2023R","2023_2024","2023","b. king","SB",0,0,"AR",1,0,0,0,0
"SB0532","94th","2023-RS","c. penzo",NA,"3/29/2023",NA,"TO AMEND THE LAW CONCERNING NONPARTISAN ELECTIONS; TO AMEND THE LAW CONCERNING LOCAL SCHOOL BOARDS OF DIRECTORS AND SCHOOL BOARD ELECTIONS; AND TO AMEND THE DATE ON WHICH AN ELECTION OF A SCHOOL DISTRICT BOARD OF DIRECTORS IS HELD.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB532&ddBienniumSession=2023%2F2023R","2023_2024","2023","c. penzo","SB",0,0,"AR",1,1,1,1,0
"SB0533","94th","2023-RS","caldwell",718,"3/29/2023",NA,"TO AMEND THE LOCAL GOVERNMENT BOND ACT OF 1985; AND TO AMEND THE DEFINITION OF ""CAPITAL IMPROVEMENTS OF A PUBLIC NATURE"" TO INCLUDE CEMETERY FACILITIES AND APPARATUS.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB533&ddBienniumSession=2023%2F2023R","2023_2024","2023","caldwell","SB",0,0,"AR",1,1,1,1,1
"SB0534","94th","2023-RS","crowell",664,"3/29/2023",NA,"TO CREATE THE ""ARKANSAS ROCKS! MINING AND MINERAL TRAIL"".","https://www.arkleg.state.ar.us/Bills/Detail?id=SB534&ddBienniumSession=2023%2F2023R","2023_2024","2023","crowell","SB",0,0,"AR",1,1,1,1,1
"SB0535","94th","2023-RS","crowell",NA,"3/29/2023",NA,"TO CREATE THE ""GLEN CAMPBELL MEMORIAL HIGHWAY"".","https://www.arkleg.state.ar.us/Bills/Detail?id=SB535&ddBienniumSession=2023%2F2023R","2023_2024","2023","crowell","SB",0,0,"AR",1,0,0,0,0
"SB0536","94th","2023-RS","irvin",717,"3/29/2023",NA,"TO AMEND THE ARKANSAS AFFORDABLE ENERGY ACT; AND TO AMEND THE LAW REGARDING RETIREMENT REVIEW.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB536&ddBienniumSession=2023%2F2023R","2023_2024","2023","irvin","SB",0,0,"AR",1,1,1,1,1
"SB0537","94th","2023-RS","b. king",NA,"3/29/2023",NA,"TO AMEND THE LAW CONCERNING THE APPOINTMENT OF A PART-TIME LAW ENFORCEMENT OFFICER BY A POLITICAL SUBDIVISION.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB537&ddBienniumSession=2023%2F2023R","2023_2024","2023","b. king","SB",0,0,"AR",1,1,1,1,0
"SB0538","94th","2023-RS","b. davis",NA,"3/29/2023",NA,"TO ALLOW A STUDENT TO PARTICIPATE WITH A NON-SCHOOL ATHLETIC TEAM THAT IS OF THE SAME SPORT AS THE PUBLIC SCHOOL ATHLETIC TEAM OF WHICH THE STUDENT IS A MEMBER UNDER CERTAIN CIRCUMSTANCES.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB538&ddBienniumSession=2023%2F2023R","2023_2024","2023","b. davis","SB",0,0,"AR",1,0,0,0,0
"SB0539","94th","2023-RS","j. bryant",NA,"3/29/2023",NA,"TO AMEND THE LAW REGARDING THE ARKANSAS RACING COMMISSION; TO AMEND THE MEMBERSHIP OF THE ARKANSAS RACING COMMISSION; AND TO AMEND THE POWERS AND DUTIES OF THE ARKANSAS RACING COMMISSION.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB539&ddBienniumSession=2023%2F2023R","2023_2024","2023","j. bryant","SB",0,0,"AR",1,1,1,0,0
"SB0540","94th","2023-RS","d. wallace",NA,"3/29/2023",NA,"TO CREATE A SALES AND USE TAX EXEMPTION FOR CERTAIN ITEMS RELATED TO HUMAN BURIAL; AND TO EXEMPT A PORTION OF THE PURCHASE PRICE OF A CASKET, BURIAL VAULT, CASKET INSERT, OR CREMATION URN FROM SALES AND USE TAX.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB540&ddBienniumSession=2023%2F2023R","2023_2024","2023","d. wallace","SB",0,0,"AR",1,0,0,0,0
"SB0541","94th","2023-RS","d. wallace",NA,"3/29/2023",NA,"TO CREATE A SALES AND USE TAX EXEMPTION FOR CERTAIN ITEMS AND SERVICES SOLD TO A CEMETERY.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB541&ddBienniumSession=2023%2F2023R","2023_2024","2023","d. wallace","SB",0,0,"AR",1,0,0,0,0
"SB0542","94th","2023-RS","irvin",559,"3/29/2023",NA,"TO AMEND THE RIGHT-TO-KNOW-AND-SEE ACT; AND TO REQUIRE AN ABORTION PROVIDER WHO KNOWINGLY PERFORMS OR REFERS A PATIENT FOR AN ABORTION TO COMPLY WITH THE RIGHT OF A PATIENT TO VIEW ULTRASOUND IMAGES BEFORE AN ABORTION.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB542&ddBienniumSession=2023%2F2023R","2023_2024","2023","irvin","SB",0,0,"AR",1,1,1,1,1
"SB0543","94th","2023-RS","k. hammer",883,"3/29/2023",NA,"TO AMEND ARKANSAS LAW CONCERNING SCHOOL DISTRICT BOARDS OF DIRECTORS AND AMENDING A PORTION OF LAW RESULTING FROM INITIATED ACT 1 OF 1990.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB543&ddBienniumSession=2023%2F2023R","2023_2024","2023","k. hammer","SB",0,0,"AR",1,1,1,1,1
"SB0544","94th","2023-RS","m. mckee",NA,"3/30/2023",NA,"TO AMEND THE LAW REGARDING ENERGY; TO AMEND THE LAW CONCERNING COAL-POWERED ELECTRICAL GENERATION FACILITIES; TO REQUIRE CERTAIN ACTIONS BEFORE DECOMMISSIONING OR DISPOSAL OF ASSETS; AND TO REQUIRE A STUDY.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB544&ddBienniumSession=2023%2F2023R","2023_2024","2023","m. mckee","SB",0,0,"AR",1,0,1,0,0
"SB0545","94th","2023-RS","j. bryant",NA,"3/30/2023",NA,"TO CREATE STANDARDS FOR THE EVALUATION OF CLAIMS; AND TO ENSURE GOOD FAITH AND FAIR DEALING IN THE BUSINESS OF INSURANCE.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB545&ddBienniumSession=2023%2F2023R","2023_2024","2023","j. bryant","SB",0,0,"AR",1,0,0,0,0
"SB0546","94th","2023-RS","hester",NA,"3/30/2023",NA,"TO AMEND THE LAW CONCERNING MAIL SENT TO A STATE INMATE; AND TO REQUIRE CERTAIN REDACTIONS FROM A CLIENT FILE MAILED TO A STATE INMATE.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB546&ddBienniumSession=2023%2F2023R","2023_2024","2023","hester","SB",0,0,"AR",1,0,0,0,0
"SB0547","94th","2023-RS","hester",884,"3/30/2023",NA,"TO PERMIT A PROPERTY OWNER TO CHOOSE THE MUNICIPAL DEVELOPMENT REGULATIONS FOR CERTAIN PROPERTY THAT IS LOCATED WITHIN MORE THAN ONE MUNICIPALITY.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB547&ddBienniumSession=2023%2F2023R","2023_2024","2023","hester","SB",0,0,"AR",1,1,1,1,1
"SB0548","94th","2023-RS","j. boyd",NA,"3/30/2023",NA,"TO REQUIRE CONSENT TO THE ASSIGNMENT OF BENEFITS TO A HEALTHCARE PROVIDER; AND TO MANDATE NOTICE TO AN ENROLLEE OF THE ASSIGNMENT OF BENEFITS TO A HEALTHCARE PROVIDER.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB548&ddBienniumSession=2023%2F2023R","2023_2024","2023","j. boyd","SB",0,0,"AR",1,1,1,0,0
"SB0549","94th","2023-RS","j. dismang",532,"3/30/2023",NA,"TO REDUCE THE INCOME TAX RATES APPLICABLE TO INDIVIDUALS, TRUSTS, ESTATES, AND CORPORATIONS.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB549&ddBienniumSession=2023%2F2023R","2023_2024","2023","j. dismang","SB",0,0,"AR",1,1,1,1,1
"SB0550","94th","2023-RS","irvin",NA,"3/30/2023",NA,"TO CREATE THE K-12 PUBLIC SCHOOL EDUCATION FUNDING LEGISLATIVE TASK FORCE.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB550&ddBienniumSession=2023%2F2023R","2023_2024","2023","irvin","SB",0,0,"AR",1,0,1,0,0
"SB0551","94th","2023-RS","j. dotson",786,"3/30/2023",NA,"TO AMEND THE ARKANSAS CODE AS IT PERTAINS TO REFERENCES TO THE DIRECTOR OF THE DIVISION OF HIGHER EDUCATION; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB551&ddBienniumSession=2023%2F2023R","2023_2024","2023","j. dotson","SB",0,0,"AR",1,1,1,1,1
"SB0552","94th","2023-RS","hester",NA,"3/30/2023",NA,"TO CREATE THE OFFENSE OF CAPITAL RAPE.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB552&ddBienniumSession=2023%2F2023R","2023_2024","2023","hester","SB",0,0,"AR",1,0,0,0,0
"SB0553","94th","2023-RS","c. penzo",NA,"3/30/2023",NA,"TO ADD AN EXEMPTION TO REAL ESTATE LICENSURE; AND TO CREATE THE ARKANSAS REAL ESTATE WHOLESALE CONSUMER PROTECTION ACT.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB553&ddBienniumSession=2023%2F2023R","2023_2024","2023","c. penzo","SB",0,0,"AR",1,0,0,0,0
"SB0554","94th","2023-RS","j. english",787,"3/30/2023",NA,"TO AMEND THE FIRE PREVENTION ACT; AND TO AMEND THE LAW RELATING TO FIRE DRILLS AND EXTERIOR DOORS AT EDUCATIONAL INSTITUTIONS.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB554&ddBienniumSession=2023%2F2023R","2023_2024","2023","j. english","SB",0,0,"AR",1,1,1,1,1
"SB0555","94th","2023-RS","a. clark",885,"3/31/2023",NA,"TO AUTHORIZE THE ISSUANCE AND RENEWAL OF A SPECIAL LICENSE PLATE TO PROMOTE AND SUPPORT THE ARKANSAS DYSLEXIA SUPPORT ARKANSAS DYSLEXIA SUPPORT GROUP; AND TO REPEAL THE HOSPICE AND PALLIATIVE CARE SPECIAL LICENSE PLATE.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB555&ddBienniumSession=2023%2F2023R","2023_2024","2023","a. clark","SB",0,0,"AR",1,1,1,1,1
"SB0556","94th","2023-RS","j. dotson",788,"3/31/2023",NA,"TO CREATE THE RELIGIOUS VIEWPOINT ANTIDISCRIMINATION ACT.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB556&ddBienniumSession=2023%2F2023R","2023_2024","2023","j. dotson","SB",0,0,"AR",1,1,1,1,1
"SB0557","94th","2023-RS","crowell",665,"3/31/2023",NA,"TO AMEND THE ARKANSAS ENVIRONMENTAL QUALITY ACT OF 1973; AND TO AMEND THE MEMBERSHIP OF THE ARKANSAS NATURAL HERITAGE COMMISSION.","https://www.arkleg.state.ar.us/Bills/Detail?id=SB557&ddBienniumSession=2023%2F2023R","2023_2024","2023","crowell","SB",0,0,"AR",1,1,1,1,1
