bill_id,term,session,title,description,commem
HB1662,2023_2024,2024-RS,NA,Designates several memorial bridges and highways,1
HB1663,2023_2024,2024-RS,NA,Establishes written parental consent requirements for individualized education programs (IEPs),0
HB1664,2023_2024,2024-RS,NA,Modifies provisions relating to the establishment of hospitals,0
HB1665,2023_2024,2024-RS,NA,Modifies provisions relating to the investment of moneys by county hospitals,0
HB1666,2023_2024,2024-RS,NA,Creates provisions relating to temporary licenses for dietitians,0
HB1667,2023_2024,2024-RS,NA,Authorizes taxpayers to submit petitions to reduce local tax rate levies,0
HB1668,2023_2024,2024-RS,NA,Changes the percentage of the cap on the inflationary growth factor for the assessment growth of real or personal property occurring within a political subdivision,0
HB1669,2023_2024,2024-RS,NA,Reduces the assessment percentage of certain personal property and provides a personal property tax exemption for certain personal property upon adoption of a constitutional amendment authorizing such exemption,0
HB1670,2023_2024,2024-RS,NA,"Modifies the ""circuit breaker"" tax credit by increasing the maximum upper limit and property tax credit amounts",0
HB1671,2023_2024,2024-RS,NA,"Changes the definition of ""qualified student"" for the ""Missouri Empowerment Scholarship Accounts Program""",0
HB1672,2023_2024,2024-RS,NA,Changes provisions governing optional home school declarations of enrollment,0
HB1673,2023_2024,2024-RS,NA,Modifies criteria of hazardous waste investigations and increases the hazardous waste fund appropriations,0
HB1674,2023_2024,2024-RS,NA,"Establishes the ""Employee Restroom and Locker Room Access Act""",0
HB1675,2023_2024,2024-RS,NA,Creates provisions relating to minimum nurse staffing requirements,0
HB1676,2023_2024,2024-RS,NA,Prohibits governmental agencies from testing or requiring the use of a central bank digital currency,0
HB1677,2023_2024,2024-RS,NA,Bans using seclusion to confine a student,0
HB1678,2023_2024,2024-RS,NA,Modifies exemptions from section 375.020 for certain insurance producers in regards to educational attainment,0
