bill_id,term,session,title,commem
HB0160,2023_2024,2023-RS,BROADBAND INFRASTRUCTURE,0
HB0161,2023_2024,2023-RS,INTERTRIBAL INDIAN CEREMONIAL ASSOCIATION,0
HB0162,2023_2024,2023-RS,INTERFERENCE WITH FEDERAL IMMIGRATION LAW,0
HB0163,2023_2024,2023-RS,25% GRT DEDUCTION FOR SMALL BUSINESSES,0
HB0164,2023_2024,2023-RS,PERMITLESS CARRY OF FIREARMS,0
HB0165,2023_2024,2023-RS,UNIFORM UNCLAIMED PROPERTY ACT,0
HB0166,2023_2024,2023-RS,NM WORK & SAVE ACT & RETIREMENT CHANGES,0
HB0167,2023_2024,2023-RS,CHILD CRIME VICTIMS SERVICES,0
HB0168,2023_2024,2023-RS,PROHIBIT SMOKING IN RACINOS,0
HB0169,2023_2024,2023-RS,DISCLOSURE OF LEGISLATIVE ETHICS COMPLAINTS,0
HB0170,2023_2024,2023-RS,"TELECOMM ACT ""CRAMMING"" DEFINITION",0
HB0171,2023_2024,2023-RS,CREATE OFFICE OF PEACEBUILDING,0
HB0172,2023_2024,2023-RS,ABATEMENT OF ASSAULT AND BATTERY,0
HB0173,2023_2024,2023-RS,CHILD FORENSIC INTERVIEWS,0
HB0174,2023_2024,2023-RS,UNDERGROUND INJECTION FUND,0
HB0175,2023_2024,2023-RS,CRIME REDUCTION ACT CHANGES & FUND,0
HB0176,2023_2024,2023-RS,CARLSBAD GROSS RECEIPTS DISTRIBUTION,0
HB0177,2023_2024,2023-RS,DRUG PRODUCT SELECTION ACT CHANGES,0
HB0178,2023_2024,2023-RS,ABQ WESTSIDE ANIMAL SHELTER INTERNSHIP,0
HB0179,2023_2024,2023-RS,FILING OF LIENS WITH PROPERTY OWNER,0
HB0180,2023_2024,2023-RS,ELECTRONIC STORAGE OF STATE RECORDS,0
HB0181,2023_2024,2023-RS,NATIONAL BOARD CERTIFIED PROGRAM UNITS,0
HB0182,2023_2024,2023-RS,ADD CAMINO REAL AS OFFICIAL SPANISH PAPER,0
HB0183,2023_2024,2023-RS,TRANSFER GAME & FISH DEPT. & GAME COMMISSION,0
HB0184,2023_2024,2023-RS,STATE GAME COMMISSION CHANGES,0
HB0185,2023_2024,2023-RS,ENVIRO STANDARDS FOR APPLIANCES & FIXTURES,0
HB0186,2023_2024,2023-RS,DISABLED VETERAN PROPERTY TAX  PROOF,0
HB0187,2023_2024,2023-RS,CYFD POLICIES & STATE RULES ACT,0
HB0188,2023_2024,2023-RS,ECONOMIC TRANSITION DIVISION,0
HB0189,2023_2024,2023-RS,EDUCATIONAL RETIREMENT CHANGES,0
