state,chamber,term,sponsor,data_name,legiscan_id,district,party,LES,not_actually_in_chamber
ME,House,2021_2022,David Woodsome,NA,16787,HD-139,R,0,TRUE
ME,House,2021_2022,Gina Melaragno,NA,17273,HD-062,D,0,FALSE
ME,House,2021_2022,James Boyle,NA,14737,HD-027,D,0,FALSE
ME,House,2021_2022,James Thorne,NA,22699,HD-103,R,0,FALSE
ME,House,2021_2022,Jeffery Gifford,NA,8831,HD-142,R,0,FALSE
ME,House,2021_2022,Josanne Dolloff,NA,21202,HD-115,R,0,FALSE
ME,House,2021_2022,Kathy Downes,NA,22721,HD-130,R,0,FALSE
ME,House,2021_2022,Peggy Stanley,NA,22767,HD-143,R,0,FALSE
ME,House,2021_2022,Randall Hall,NA,21212,HD-114,R,0,FALSE
ME,House,2021_2022,Scott Cyrway,NA,16689,HD-063,R,0,TRUE
ME,House,2021_2022,Sheila Lyman,NA,22838,HD-074,R,0,FALSE
ME,House,2021_2022,Susan Austin,NA,8780,HD-067,R,0,FALSE
ME,House,2021_2022,Susan Bernard,NA,22716,HD-149,R,0,FALSE
ME,House,2021_2022,Thomas Martin,NA,21222,HD-057,R,0,FALSE
ME,Senate,2021_2022,Matthew Harrington,NA,17788,SD-033,R,0,TRUE
ME,Senate,2021_2022,Nicole Grohoski,NA,21211,SD-007,D,0,FALSE
ME,Senate,2021_2022,Peter Lyford,NA,17272,SD-010,R,0,TRUE
ME,Senate,2021_2022,Shenna Bellows,NA,18175,SD-014,D,0,TRUE
ME,Senate,2021_2022,Teresa Pierce,NA,17216,SD-025,D,0,TRUE
MI,House,2019_2020,Lee Chatfield,NA,17065,HD-107,R,0,FALSE
MI,House,2021_2022,Jason Wentworth,NA,18768,HD-097,R,0,FALSE
MI,House,2021_2022,Terence Mekoski,NA,23139,HD-036,R,0,FALSE
MN,House,2021_2022,Melissa Hortman,NA,6344,HD-036B,D,0,FALSE
MN,Senate,2021_2022,Cal Bahr,NA,18507,SD-031,R,0,TRUE
MN,Senate,2021_2022,Eric Lucero,NA,16700,SD-030,R,0,TRUE
MN,Senate,2021_2022,Glenn Gruenhagen,NA,10522,SD-017,R,0,TRUE
MN,Senate,2021_2022,Jordan Rasmusson,NA,22653,SD-009,R,0,TRUE
MN,Senate,2021_2022,Kelly Morrison,NA,20456,SD-045,D,0,TRUE
MN,Senate,2021_2022,Liz Boldon,NA,22140,SD-025,D,0,TRUE
MN,Senate,2021_2022,Steve Drazkowski,NA,6384,SD-020,R,0,TRUE
MN,Senate,2021_2022,Steve Green,NA,15367,SD-002,R,0,TRUE
MN,Senate,2021_2022,Tou Xiong,NA,20466,SD-044,D,0,TRUE
MO,House,2019_2020,Elijah Haahr,NA,15509,HD-134,R,0,FALSE
MO,House,2019_2020,Nathan Walker,NA,15385,HD-003,R,0,TRUE
MO,House,2019_2020,Scott Fitzpatrick,NA,14179,HD-158,R,0,TRUE
MO,House,2021_2022,Annette Turnbaugh,NA,22400,HD-037,D,0,FALSE
MO,House,2021_2022,Rob Vescovo,NA,16895,HD-112,R,0,FALSE
MS,House,2020_2023,Perry Bailey,NA,24891,HD-023,R,0,FALSE
MS,House,2020_2023,Ramona Blackledge,NA,21471,HD-088,R,0,FALSE
MT,Senate,2019_2020,Bob Keenan,NA,16673,SD-005,R,0,FALSE
MT,House,2021_2022,Kim Abbott,NA,18026,HD-083,D,0,FALSE
NC,House,2019_2020,Jake Johnson,NA,21377,HD-113,R,0,FALSE
NC,House,2019_2020,Jerry Carter,NA,20506,HD-065,R,0,FALSE
NC,House,2019_2020,Kristin Baker,NA,21632,HD-082,R,0,FALSE
NC,House,2019_2020,Linda Cooper-Suggs,NA,21666,HD-024,D,0,FALSE
NC,House,2019_2020,Wes Schollander,NA,21665,HD-074,R,0,FALSE
NC,Senate,2019_2020,David Craven,NA,21663,SD-026,R,0,FALSE
NC,Senate,2019_2020,Dean Proctor,NA,21664,SD-042,R,0,FALSE
NC,Senate,2019_2020,Henry Michaux,NA,2108,SD-020,D,0,FALSE
NC,Senate,2019_2020,Louis Pate,NA,11936,SD-007,R,0,TRUE
NC,House,2021_2022,Allen Buansi,NA,23148,HD-056,D,0,FALSE
NC,House,2021_2022,Donnie Loftis,NA,22965,HD-109,R,0,FALSE
NC,House,2021_2022,Jerry Carter,NA,20506,HD-065,R,0,FALSE
NC,House,2021_2022,Reece Pyrtle,NA,22946,HD-065,R,0,FALSE
ND,House,2019_2020,Bob Martinson,NA,7747,HD-035,R,0,FALSE
ND,House,2019_2020,Emily O'Brien,NA,18121,HD-042,R,0,FALSE
ND,House,2019_2020,Jay Fisher,NA,20036,HD-005,R,0,FALSE
ND,House,2019_2020,Karen Rohr,NA,10895,HD-031,R,0,FALSE
ND,House,2019_2020,Mark Sanford,NA,10426,HD-017,R,0,FALSE
ND,House,2019_2020,Tracy Boe,NA,7706,HD-009,D,0,FALSE
ND,Senate,2019_2020,Arne Osland,NA,18484,SD-020,R,0,FALSE
ND,Senate,2019_2020,Gary Lee,NA,7814,SD-022,R,0,FALSE
ND,Senate,2019_2020,Jim Roers,NA,18420,SD-046,R,0,FALSE
ND,Senate,2019_2020,Larry Robinson,NA,7822,SD-024,D,0,FALSE
ND,Senate,2019_2020,Randy Lemm,NA,21344,SD-020,R,0,FALSE
ND,Senate,2019_2020,Robert Fors,NA,20176,SD-019,R,0,FALSE
ND,House,2021_2022,Bert Anderson,NA,16602,HD-002,R,0,FALSE
ND,House,2021_2022,Bob Martinson,NA,7747,HD-035,R,0,FALSE
ND,House,2021_2022,Clayton Fegley,NA,20035,HD-004,R,0,FALSE
ND,House,2021_2022,Donald Longmuir,NA,18409,HD-002,R,0,FALSE
ND,House,2021_2022,Dori Hauck,NA,22902,HD-036,R,0,FALSE
ND,House,2021_2022,Greg Stemen,NA,22216,HD-027,R,0,FALSE
ND,House,2021_2022,Jay Fisher,NA,20036,HD-005,R,0,FALSE
ND,House,2021_2022,Karen Karls,NA,7737,HD-035,R,0,FALSE
ND,House,2021_2022,Mike Beltz,NA,21919,HD-020,R,0,FALSE
ND,House,2021_2022,Randy Schobinger,NA,18481,HD-040,R,0,FALSE
ND,House,2021_2022,Tracy Boe,NA,7706,HD-009,D,0,FALSE
ND,Senate,2021_2022,Cole Conley,NA,22213,SD-012,R,0,FALSE
