bill_id,session,version_status,original_sponsor,current_sponsor,requested_by,title,bill_url
HB2828,2023_2024_RS,As introduced,Committee on Taxation,Committee on Taxation,Representative A. Smith on behalf of the Board of County Commissioners of Marshall County,Providing countywide retailers' sales tax authority for Marshall county for the purpose of financing the costs of constructing or remodeling and furnishing a jail facility.,http://kslegislature.org/li/b2023_24/measures/hb2828/
HB2829,2023_2024_RS,As introduced,Committee on Taxation,Committee on Taxation,Representative Ellis,Clarifying the definition of armed forces and updating the definition thereof to include the space force.,http://kslegislature.org/li/b2023_24/measures/hb2829/
HB2830,2023_2024_RS,As introduced,Committee on Taxation,Committee on Taxation,Representative Ellis,Prescribing documentation requirements to determine eligibility for any benefit derived from a service-connected disability.,http://kslegislature.org/li/b2023_24/measures/hb2830/
HB2831,2023_2024_RS,As introduced,Committee on Taxation,Committee on Taxation,Representative Ellis,Requiring that federal disability determinations for veterans be probative.,http://kslegislature.org/li/b2023_24/measures/hb2831/
HB2832,2023_2024_RS,As introduced,Committee on Taxation,Committee on Taxation,Representative Butler on behalf of Friends of Historic Preservation,Providing for transferability of Kansas housing investor tax credits from the year that the credit was issued.,http://kslegislature.org/li/b2023_24/measures/hb2832/
HB2833,2023_2024_RS,{As Amended by House Committee of the Whole}; As Amended by House Committee; As introduced,Committee on Taxation,Committee on Taxation,Representative Ellis,Modifying the definition of veteran and disabled veteran to create a common definition for each term and clarifying disability evaluations for benefits granted to disabled veterans.,http://kslegislature.org/li/b2023_24/measures/hb2833/
HB2834,2023_2024_RS,{As Amended by House Committee of the Whole}; As Amended by House Committee; As introduced,Committee on Appropriations,Committee on Appropriations,Representative Sutton,"Transferring officers, employees, powers, duties and functions relating to the state health care benefits program from the division of the state employee health benefits plan of the department of administration to the insurance department, establishing the commissioner of insurance as the chairperson of the Kansas state employees health care commission, providing that all management functions of such commission be administered by the commissioner of insurance and eliminating a pilot program regarding employer contributions for certain children.",http://kslegislature.org/li/b2023_24/measures/hb2834/
HB2835,2023_2024_RS,As introduced,Committee on Federal and State Affairs,Committee on Federal and State Affairs,Representative Featherston,"Requiring cities of the first class and counties that have cities of the first class to adopt, by ordinance or resolution, respectively, law enforcement vehicle pursuit protocols and requiring chiefs of police and county sheriffs to propose such protocols for adoption or amendment.",http://kslegislature.org/li/b2023_24/measures/hb2835/
HB2836,2023_2024_RS,As introduced,Committee on Taxation,Committee on Taxation,Representative Helgerson,Clarifying the determination of taxable income and providing for the passing through of tax credits to electing pass-through entity owners for purposes of the salt parity act.,http://kslegislature.org/li/b2023_24/measures/hb2836/
HB2837,2023_2024_RS,As introduced,Committee on Taxation,Committee on Taxation,Rep. Awerkamp,"Simplifying income tax rates for individuals, increasing the the Kansas personal exemption, increasing the income limit for an income tax subtraction modification for social security income, increasing the extent of property tax exemption for residential property from the statewide school levy, decreasing the privilege tax normal tax rate and establishing a 0% state rate for sales and use taxes for sales of food and food ingredients on July 1, 2024.",http://kslegislature.org/li/b2023_24/measures/hb2837/
HB2838,2023_2024_RS,As introduced,Committee on Federal and State Affairs,Committee on Federal and State Affairs,Representative Thomas,Authorizing the director of alcoholic beverage control to issue licenses for the sale of alcoholic liquor to persons convicted of a felony if such conviction is more than 10 years old.,http://kslegislature.org/li/b2023_24/measures/hb2838/
HB2839,2023_2024_RS,As Amended by House Committee; As introduced,Committee on Appropriations,Committee on Appropriations,Representative Estes,"Establishing a blueprint for literacy to create a literacy advisory committee, appoint a director of literacy education, require the state board of regents and the state board of education to collaborate on a literacy micro-credential and professional development, authorize the state board of regents to recommend diagnostic and formative literacy assessments, authorize university presidents and deans of education oversight over postsecondary literacy courses and require a plan to establish centers of excellence in reading.",http://kslegislature.org/li/b2023_24/measures/hb2839/
HB2840,2023_2024_RS,As introduced,Committee on Taxation,Committee on Taxation,Representative Hoheisel,"Authorizing governmental units to utilize a public moneys pooled method of securities to secure the deposit of public moneys in excess of the amount insured or guaranteed by the federal deposit insurance corporation and requiring the state treasurer to establish procedures therefor and banks, savings and loan associations and savings banks to make certain reports upon the request of a governmental unit.",http://kslegislature.org/li/b2023_24/measures/hb2840/
HB2841,2023_2024_RS,As introduced,Committee on Taxation,Committee on Taxation,Representative Thompson,Providing for an increased amount of income tax credit for individuals of certain ages for the selective assistance for effective senior relief credit and setting the maximum amount or credit.,http://kslegislature.org/li/b2023_24/measures/hb2841/
