bill_number,session,session_type,primary_sponsor,cosponsors,outchamber_sponsors,status,summary,bill_url
ajr0114,2023,RS,Shelton,,Wimberger,S - Available for Scheduling,Relating to: honoring the success of Ben Chan on Jeopardy!,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr114
ajr0115,2023,RS,Gundrum,Armstrong; Bare; Behnke; Binsfeld; Callahan; Dittrich; Donovan; Drake; Duchow; Edming; Gustafson; Jacobson; Krug; Magnafici; Maxey; Moore Omokunde; Novak; O'Connor; Ohnstad; Ortiz-Velez; Petryk; Ratcliff; Rettinger; Rozar; Tittl; Schmidt; Shankland; Sinicki; Sortwell; Spiros; Tusler; Wittke,Testin; Ballweg; Carpenter; Cowles; Marklein; Nass; Spreitzer; Wirch,S - Calendar,Relating to: commemorating the 80th anniversary of D-Day.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr115
ajr0116,2023,RS,Subeck,Dittrich; C. Anderson; Andraca; Bare; Binsfeld; Clancy; Conley; Drake; Emerson; Joers; Madison; Moore Omokunde; Mursau; Nedweski; O'Connor; Ohnstad; Palmeri; Ratcliff; Schutt; Shankland; Shelton; Sinicki; Stubbs; Jacobson,Ballweg; L. Johnson; Larson; Roys; Spreitzer; Agard,A - Rules,Relating to: proclaiming March 19 to be Wisconsin Celebrating Women in Public Office Day.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr116
ajr0117,2023,RS,Katsma,,Marklein,A - State Affairs,To amend section 5 of article VIII of the constitution;  Relating to: accounting and expenditure of state funds and reduction of deficit (first consideration).,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr117
ajr0118,2023,RS,Vos,Neubauer; August; Binsfeld; Magnafici; Armstrong; Spiros; Wittke; Novak; Bare; Stubbs; Ohnstad; C. Anderson; Steffen; O'Connor; Duchow; Dittrich; Summerfield; Michalski; Zimmerman; Macco; Shelton; Sinicki; S. Johnson; Considine; Palmeri; Subeck; Kitchens; Schraa; Jacobson,LeMahieu; Hesselbein; James; Ballweg; Testin; L. Johnson; Wirch; Roys,A - Rules,Relating to: recognizing and commending the National Conference of State Legislatures on its 50th anniversary in 2025.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr118
ajr0119,2023,RS,Gustafson,Emerson; Bare; Melotik; Jacobson; Andraca; Behnke; Conley; Dittrich; Joers; Mursau; O'Connor; Palmeri; Petryk; Ratcliff; Shankland; Shelton; Sinicki; Stubbs; Subeck; Ohnstad,Feyen; Agard; Spreitzer; Ballweg; Larson; Marklein; Roys; Wirch,A - Rules,"Relating to: declaring March 3, 2024, to March 9, 2024, as Women in Construction Week and celebrating the countless contributions of women in construction.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr119
ajr0120,2023,RS,Gustafson,Magnafici; Ratcliff; Mursau; Clancy; C. Anderson; Sinicki; Jacobson; Krug; Dittrich; Shankland; Emerson; Joers; Subeck; Bare,Carpenter; Roys; Spreitzer; Cabral-Guevara,A - Rules,Relating to: designating April 2024 as Testicular Cancer Awareness Month in Wisconsin.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr120
ajr0121,2023,RS,Billings,Oldenburg; Doyle; Pronschinske; Tranel,Marklein; Smith; Pfaff,A - Tabled,"Relating to: proclaiming June 7, 2024, as Upper Mississippi River National Wildlife and Fish Refuge Day.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr121
ajr0122,2023,RS,Palmeri,Krug; C. Anderson; Conley; Dittrich; Drake; Emerson; Jacobson; Joers; S. Johnson; Moore Omokunde; Mursau; Ohnstad; Shankland; Sinicki; Stubbs; Subeck,Spreitzer; Roys; Jacque; Agard,A - Rules,"Relating to: proclaiming March 26, 2024 as Purple Day for epilepsy.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr122
ajr0123,2023,RS,Moses,August; Behnke; Bodden; Callahan; Donovan; Edming; Goeben; Gundrum; Krug; Magnafici; Murphy; O'Connor; Penterman; Plumer; Rettinger; Schmidt; Steffen; Wichgers; Brandtjen; Schraa,Bradley; Jacque; James; Quinn; Stafsholt; Testin; Felzkowski; Cabral-Guevara,A - Tabled,Relating to: requesting Governor Tony Evers to send aid and resources to the U.S.-Mexico border to assist with immigration efforts.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr123
ajr0124,2023,RS,Emerson,J. Anderson; Bare; Conley; Considine; Drake; Jacobson; Joers; Ohnstad; Moore Omokunde; Palmeri; Ratcliff; Shankland; Sinicki; Snodgrass; Stubbs; Subeck; Clancy,Smith; L. Johnson; Agard; Larson; Pfaff; Roys; Spreitzer,A - Rules,"Relating to:  proclaiming February 4, 2024, as Transit Equity Day.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr124
ajr0125,2023,RS,Mursau,Gundrum; Ratcliff; Wittke,James,A - Rules,"Relating to: proclaiming April 26, 2024, as Shared Parenting Day in Wisconsin.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr125
ajr0126,2023,RS,Kitchens,August; Plumer; Tranel; Billings; McGuire; Allen; Armstrong; Behnke; Binsfeld; Callahan; Dittrich; Edming; Jacobson; Krug; Magnafici; O'Connor; Ortiz-Velez; Penterman; Rettinger; Schmidt; Schutt; Swearingen; Tittl; Wittke,Testin; Jacque; Roys; Larson,S - Calendar,Relating to: reaffirming Wisconsin's commitment to the strengthening and deepening of the sister ties between the State of Wisconsin and Taiwan; reaffirming Wisconsin's support of the Taiwan Relations Act; supporting Taiwan's signing of a Bilateral Trade Agreement with the United States; and continuing support for increasing Taiwan's international profile.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr126
ajr0127,2023,RS,Moses,Rozar; Michalski; Bodden; C. Anderson; Drake; Emerson; Jacobson; Magnafici; Mursau; O'Connor; Ratcliff; Schraa; Shankland; Sinicki; Stubbs; Tittl; Andraca,James; Ballweg; Quinn; Roys; Spreitzer,S - Available for Scheduling,Relating to: proclaiming the month of March 2024 as Multiple Sclerosis Awareness Month throughout the state of Wisconsin.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr127
ajr0128,2023,RS,Moses,Sapik; Allen; Armstrong; Behnke; Binsfeld; Bodden; Callahan; Dittrich; Donovan; Duchow; Edming; Goeben; Green; Gundrum; Hurd; Magnafici; Maxey; Melotik; Michalski; O'Connor; Penterman; Plumer; Rettinger; Rozar; Schraa; Sortwell; Spiros; Steffen; Summerfield; Tusler; Vos; Murphy,Knodl; Stroebel; Cabral-Guevara; Testin; Tomczyk; Stafsholt; Quinn,A - Rules,Relating to: supporting Texas Governor Greg Abbott in his effort to stand up for his state and protect the U.S. border with Mexico.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr128
ajr0129,2023,RS,Vos,Murphy; Doyle,Quinn,S - Calendar,Relating to: celebrating the 100th anniversary of diplomatic relations between Ireland and the United States.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr129
ajr0130,2023,RS,Jacobson,Oldenburg; J. Anderson; Armstrong; Baldeh; Bare; Drake; Emerson; Joers; O'Connor; Ohnstad; Ratcliff; Sinicki,Spreitzer; Pfaff; Agard; Larson; Roys; Wirch,S - Calendar,"Relating to: proclaiming May 17, 18, and 19, 2024, Syttende Mai Weekend.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr130
ajr0131,2023,RS,Haywood,Vos; Drake,Wanggaard; L. Johnson,A - Rules,Relating to: honoring the service of former Wisconsin State Senator Lena C. Taylor.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr131
ajr0132,2023,RS,Moses,Michalski; Armstrong; Bodden; O'Connor; Rettinger; Schmidt; Behnke,Hutton; Knodl,A - Labor and Integrated Employment,"To create section 27 of article I of the constitution;  Relating to: the right of the people to pursue their chosen trades, occupations, businesses, or professions (first consideration).",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr132
ajr0133,2023,RS,Myers,Andraca; Bare; Binsfeld; Conley; Considine; Drake; Emerson; Jacobson; Joers; Moore Omokunde; Murphy; O'Connor; Ohnstad; Ratcliff; Rozar; Shankland; Stubbs; Subeck,Agard; Cowles; Larson; Spreitzer,A - Rules,Relating to: proclaiming March 2024 to be Kidney Month in Wisconsin.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr133
ajr0134,2023,RS,Conley,Andraca; Drake; Emerson; Joers; Moore Omokunde; Ohnstad; Ortiz-Velez; Ratcliff; Shankland; Sinicki; Subeck,Spreitzer; Larson; Roys; Agard,A - Rules,Relating to: designating the month of March as Endosalpingiosis Awareness Month.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr134
ajr0135,2023,RS,Wichgers,Myers; Behnke; Donovan; Gundrum; O'Connor; Ortiz-Velez; Stubbs,,A - Rules,Relating to: recognizing May 1 of each year as St. Joseph the Worker Day in Wisconsin and recognizing and appreciating the dignity of all working men and women in Wisconsin.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr135
ajr0136,2023,RS,Myers,Snodgrass; J. Anderson; Andraca; Conley; Dittrich; Donovan; Emerson; Joers; Mursau; Nedweski; Ratcliff; Schmidt; Shankland; Sinicki; Stubbs,Felzkowski; Ballweg; Larson; Roys; Spreitzer; Wirch; Agard,A - Rules,Relating to: honoring the 112th anniversary of the Girl Scouts of the United States of America.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr136
ajr0137,2023,RS,Dittrich,Subeck; Donovan; C. Anderson; Bare; Rozar; Drake; Emerson; Joers; Binsfeld; Stubbs; Sinicki; Mursau; Ratcliff; Neubauer; Moore Omokunde; O'Connor; Clancy; Shankland; Palmeri; Conley; Tranel; Schutt; Armstrong,Ballweg; Roys; Larson; Spreitzer; Agard; Carpenter; Pfaff,A - Rules,Relating to: proclaiming March 2024 as Women's History Month.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr137
ajr0138,2023,RS,Drake,Baldeh; Myers; Haywood; Stubbs; Moore Omokunde; Madison; Joers; Goyke; Ratcliff; Sinicki; Emerson; Bare; O'Connor; Clancy; Andraca; Shankland; Subeck; Conley; Doyle; Shelton; C. Anderson; Considine; J. Anderson; Vining; Neubauer; Spiros; Riemer; McGuire; Palmeri; Hong; Billings; Jacobson; Snodgrass; Ohnstad; Ortiz-Velez,L. Johnson; Carpenter; Agard; Larson; Roys; Spreitzer; Smith,A - Rules,Relating to: recognizing February 2024 as Black History Month.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr138
ajr0139,2023,RS,Goyke,C. Anderson; J. Anderson; Andraca; Baldeh; Bare; Conley; Considine; Dittrich; Doyle; Drake; Emerson; Hong; Jacobson; Joers; Madison; Myers; Neubauer; Novak; Ortiz-Velez; Ratcliff; Shankland; Shelton; Sinicki; Snodgrass; Spiros; Stubbs; Subeck; Tranel; Vining; Ohnstad,Pfaff; Roys; Carpenter; Spreitzer; Ballweg; L. Johnson; Wirch; Smith,A - Rules,Relating to: honoring the life and legacy of the late Senator Herb Kohl.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr139
ajr0140,2023,RS,Palmeri,Subeck; Snodgrass; McGuire; J. Anderson; Andraca; Baldeh; Bare; Conley; Considine; Emerson; Hong; Jacobson; Joers; Madison; Moore Omokunde; Neubauer; Ohnstad; Ratcliff; Shankland; Shelton; Sinicki; Stubbs; Vining,L. Johnson; Agard; Larson; Smith; Spreitzer; Wirch,A - State Affairs,"To create section 27 of article I of the constitution;  Relating to: equality of rights on the basis of sex, gender identity, race, color, sexual orientation, disability, religion, national origin, marital status, family status, age, ancestry, or any other immutable characteristic and creating a private cause of action for violations of those rights by state actors (first consideration).",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr140
ajr0141,2023,RS,Rozar,Macco; Steffen; O'Connor; Schmidt; Maxey; Goeben; Doyle; Ratcliff; Joers,Cowles; Wimberger; Cabral-Guevara; Wanggaard; Spreitzer; James,A - Rules,Relating to: urging support for a constitutional amendment to provide states with authority to regulate campaign financing.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr141
ajr0142,2023,RS,McGuire,Snodgrass; Doyle; Bare; Considine; Emerson; Jacobson; Joers; Ohnstad; Palmeri; Ratcliff; Shankland; Shelton; Sinicki; Subeck,Pfaff; Wirch; Agard; Roys,A - Government Accountability and Oversight,To amend section 25 of article IV of the constitution;  Relating to: state contracts for stationery and printing (first consideration).,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr142
ajr0143,2023,RS,Stubbs,Madison; Baldeh; Drake; Moore Omokunde; Subeck,Roys,A - Rules,Relating to: supporting the creation of a National Infrastructure Bank.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr143
ajr0144,2023,RS,Madison,Joers; Jacobson; Palmeri; C. Anderson; J. Anderson; Bare; Clancy; Hong; Moore Omokunde; Ratcliff; Stubbs,Spreitzer; Agard; Larson,A - State Affairs,"To create section 27 of article I of the constitution;  Relating to: the right of the people to a clean, safe, and healthy natural environment and to its preservation (first consideration).",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/joint_resolution/ajr144
ar0001,2023,RS,Vos and August,,,A - Adopted,Relating to: notifying the senate and the governor that the 2023-2024 assembly is organized.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar1
ar0002,2023,RS,Vos and August,,,A - Adopted,To repeal and recreate assembly rule 9 (1);  Relating to: establishing the assembly committee structure and names for the 2023-2024 legislative session.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar2
ar0003,2023,RS,Dittrich,Shelton; Armstrong; Sinicki; Gundrum; Billings; Rozar; Cabrera; Subeck; Kitchens; Schraa; Conley; Mursau; Murphy; Drake; Stubbs; Snodgrass; Duchow; Shankland,,A - Adopted,"Relating to: observing February 28, 2023, as Rare Disease Day in Wisconsin.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar3
ar0004,2023,RS,Knodl,,,A - Adopted,Relating to: recognizing February 6 as Ronald Reagan Day in the state of Wisconsin.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar4
ar0005,2023,RS,Murphy,Schraa; Dittrich; Doyle; McGuire; O'Connor; Callahan; Donovan; Armstrong; Baldeh; Conley; Considine; Drake; Green; Joers; S. Johnson; Kitchens; Magnafici; Mursau; Oldenburg; Ortiz-Velez; Sinicki; Snyder; Spiros; Subeck; Jacobson; Haywood; Vos,,A - Adopted,"Relating to: celebrating Saint Patrick's Day on March 17, 2023.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar5
ar0006,2023,RS,Dittrich,,,A - Adopted,Relating to: proclaiming our appreciation and respect for our Grocery and Retail Food Employees.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar6
ar0007,2023,RS,Murphy,Vos; Schraa; Callahan; O'Connor; McGuire; Donovan; Dittrich; Doyle,,A - Adopted,Relating to: commemorating the 25th anniversary of the Good Friday Agreement.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar7
ar0008,2023,RS,Sinicki,Clancy; C. Anderson; J. Anderson; Andraca; Cabrera; Conley; Drake; Baldeh; Emerson; Joers; Madison; Moore Omokunde; Shelton; Subeck; Shankland; Ortiz-Velez,,A - Rules,Relating to: commemorating the date of the Bay View labor strike and tragedy and requiring the permanent removal of the portrait of Jeremiah Rusk from public display in the assembly parlor and instead requiring that a portrait of former Governor Tommy G. Thompson be hung in the assembly parlor.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar8
ar0009,2023,RS,Brandtjen,Knodl; Allen; Conley; Drake; Murphy; Penterman; Sinicki; Stubbs; Subeck; Vos,,A - Engrossed,Relating to: honoring the life and public service of Representative Lolita Schneiders.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar9
ar0010,2023,RS,Behnke,August; Binsfeld; Conley; Donovan; Drake; Macco; Murphy; Mursau; O'Connor; Penterman; Sortwell; Stubbs; Tittl; Tranel; Vos,,A - Engrossed,Relating to: honoring the life and public service of Representative Karl Van Roy.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar10
ar0011,2023,RS,Kurtz,Novak; Spiros; Conley; Murphy; Subeck; Ohnstad,,A - Engrossed,Relating to: honoring the life and public service of Representative Joanne Duren.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar11
ar0012,2023,RS,Petryk,O'Connor; Emerson; Murphy; Subeck,,A - Engrossed,Relating to: honoring the life and public service of Representative Arthur L. Peterson.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar12
ar0013,2023,RS,Vos,Neubauer; Allen; Binsfeld; Duchow; O'Connor; Penterman; Plumer; Schmidt; Spiros; Rettinger; Tittl; Tranel; Baldeh; Ohnstad; Sinicki; Stubbs,,A - Engrossed,Relating to: honoring the life and public service of Representative Jim Ladwig.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar13
ar0014,2023,RS,Considine,Andraca; Bare; Conley; Emerson; Jacobson; Joers; Madison; Moore Omokunde; Myers; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Shankland; Shelton; Sinicki; Stubbs; Vining; Clancy,,A - State Affairs,To create assembly rule 14 (4);  Relating to: order of testimony at public hearings.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar14
ar0015,2023,RS,Katsma,August; Baldeh; Binsfeld; Dittrich; Donovan; Goeben; Krug; Magnafici; Murphy; O'Connor; Ohnstad; Penterman; Rettinger; Sinicki; Spiros; Subeck; Tittl; Tranel,,A - Engrossed,Relating to:  honoring the life and public service of Representative Mike Endsley.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar15
ar0016,2023,RS,Hurd,,,A - Adopted,Relating to: proclaiming September 2023 to be National Service Dog Month in Wisconsin.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar16
ar0017,2023,RS,Committee on Rules,,,A - Adopted,"Relating to: establishing a special order of business for Thursday, September 14, 2023.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar17
ar0018,2023,RS,Brandtjen,Allen; Behnke; Bodden; Wichgers,,A - Government Accountability and Oversight,"Relating to: the impeachment of Meagan Wolfe, the Administrator of the Wisconsin Elections Commission, citing allegations of maladministration in office and potential violations of election laws.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar18
ar0019,2023,RS,Murphy,S. Johnson; Armstrong; Bodden; Brandtjen; Dittrich; Donovan; Goeben; Gundrum; Maxey; Michalski; O'Connor; Rettinger; Schraa,,A - Rules,"Relating to: condemning the Boycott, Divestment, and Sanctions movement and condemning the increasing incidents of anti-Semitism.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar19
ar0020,2023,RS,Murphy,S. Johnson; Bodden; Brandtjen; Dittrich; Donovan; Gundrum; Michalski; O'Connor; Rettinger; Schraa,,A - Rules,Relating to: recognizing Jerusalem as the capital of Israel.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar20
ar0021,2023,RS,Macco,August; Binsfeld; Dittrich; Goyke; Kitchens; Krug; Magnafici; Murphy; Mursau; Ohnstad; Penterman; Petryk; Sinicki; Sortwell; Spiros; Steffen; Tittl; Tranel,,A - Engrossed,Relating to: honoring the life and public service of Representative John L. Klenke.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar21
ar0022,2023,RS,Krug,,,A - Adopted,Relating to: recognizing and commending the Wisconsin Operating Engineers Local 139 and its staff at the Coloma Training Center for their role in fighting the Pallet Fire.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar22
ar0023,2023,RS,Committee on Rules,,,A - Adopted,"Relating to: establishing special orders of business for Thursday, January 25, 2024.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar23
ar0024,2023,RS,Wichgers,Bodden; Allen; Brandtjen,,A - Government Accountability and Oversight,"Relating to: the impeachment of Meagan Wolfe, the administrator of the Wisconsin Elections Commission.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar24
ar0025,2023,RS,Rozar,VanderMeer; Spiros; Baldeh; Joers; Krug; Murphy; O'Connor; Penterman; Sinicki,,A - Engrossed,Relating to: honoring the life and public service of Representative Donald W. Hasenohrl.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar25
ar0026,2023,RS,Petryk,,,A - Adopted,Relating to: designating the month of February 2024 as Career and Technical Education Month in Wisconsin.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar26
ar0027,2023,RS,Allen,Rettinger; O'Connor; Rozar; Schmidt; Penterman,,A - Rules,"Relating to: recognizing September 25, 2024 as See You at the Pole Day in the state of Wisconsin.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar27
ar0028,2023,RS,Committee on Rules,,,A - Adopted,"Relating to: establishing special orders of business for Thursday, February 22, 2024.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar28
ar0029,2023,RS,Committee on Rules,,,A - Adopted,"Relating to: establishing special orders of business for Thursday, February 22, 2024.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/resolution/ar29
sb0001,2023,RS,LeMahieu,Ballweg; Bradley; Cabral-Guevara; Feyen; James; Nass; Stroebel; Tomczyk; Hutton; Kapenga; Felzkowski,Brooks; Allen; Bodden; Brandtjen; Dittrich; Gundrum; Gustafson; Knodl; Magnafici; Murphy; Penterman; Rettinger; Rozar; Spiros; Tusler; Behnke; Schraa; Moses; Donovan,S - Universities and Revenue,"An Act to repeal 71.06 (1q), 71.06 (1r) (a), 71.06 (1r) (b), 71.06 (1r) (c), 71.06 (2) (i), 71.06 (2) (j), 71.06 (2) (k), 71.06 (2) (km), 71.06 (2) (L), 71.06 (2) (Lm), 71.06 (2) (m), 71.06 (2) (mm), 71.06 (2e) (be), 71.06 (2e) (bm), 71.06 (2e) (bs), 71.06 (2s) (e), 71.06 (2s) (f), 71.06 (2s) (g) and 73.03 (71); to renumber 71.06 (1r) (d); to amend 71.06 (1q) (intro.), 71.06 (1r) (title), 71.06 (2) (i) (intro.), 71.06 (2) (j) (intro.), 71.06 (2e) (a), 71.06 (2e) (b), 71.06 (2m), 71.06 (2s) (d), 71.125 (1), 71.125 (2), 71.17 (6), 71.64 (9) (b) (intro.), 71.67 (5) (a), 71.67 (5m), 73.03 (71) (c) 2. and 73.03 (71) (d) 2.; and to create 71.06 (1r), 71.06 (2) (k), 71.06 (2) (km), 71.06 (2) (L), 71.06 (2) (Lm), 71.06 (2) (m), 71.06 (2) (mm), 71.06 (2) (n), 71.06 (2e) (be), 71.06 (2e) (bm), 71.06 (2e) (bs), 71.06 (2s) (e), 71.06 (2s) (f) and 71.06 (2s) (g) of the statutes;  Relating to: establishing a flat individual income tax rate. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb1
sb0002,2023,RS,Stroebel,Testin; Jacque; Feyen; Hutton; James; Bradley; LeMahieu; Nass; Quinn; Tomczyk; Wanggaard; Wimberger; Cabral-Guevara,Knodl; Armstrong; Allen; Callahan; Dittrich; Donovan; Duchow; Edming; Goeben; Green; Gundrum; Gustafson; S. Johnson; Kitchens; Magnafici; Maxey; Moses; Murphy; Mursau; Nedweski; Neylon; Novak; O'Connor; Oldenburg; Penterman; Plumer; Rettinger; Rozar; Sapik; Schraa; Snyder; Sortwell; Steffen; Summerfield; Tittl; Tranel; Tusler; VanderMeer; Wichgers; Zimmerman; Brooks; Brandtjen; Bodden; Krug,S - Available for Scheduling,"An Act to repeal 60.85 (1) (f), 66.1105 (2) (d), 70.043 (2), 70.13 (3), 70.13 (7), 70.18, 70.19, 70.20, 70.21, 70.22, 70.29, 70.30, 70.34, 70.345, 70.35, 70.36, 70.47 (15), 70.53 (1) (a), 70.65 (2) (a) 2., 70.68, 74.11 (4), 74.11 (11) (b), 74.11 (12) (a) 1g., 74.11 (12) (d), 74.12 (6), 74.12 (11) (a) 1g., 74.12 (11) (d), 74.30 (1) (i), 74.42, 74.47 (3) (e), 74.55 and 76.69; to renumber 70.043 (1) and 74.11 (11) (a); to consolidate, renumber and amend 70.65 (2) (a) (intro.) and 1.; to amend 17.14 (1) (g), 26.03 (1m) (b) (intro.), 33.01 (9) (a), 33.01 (9) (am) 1. and 2., 33.01 (9) (ar) 1., 33.01 (9) (b) 1., 60.85 (1) (h) 1. c., 60.85 (1) (o), 66.0435 (3) (c) 1. (intro.), 66.0435 (3) (g), 66.0435 (9), 66.1105 (2) (f) 1. c., 66.1106 (1) (k), 70.02, 70.05 (5) (a) 1., 70.17 (1), 70.174, 70.44 (1), 70.49 (2), 70.52, 70.65 (2) (b) (intro.), 70.73 (1) (b), 70.73 (1) (c), 70.73 (1) (d), 70.84, 70.855 (1) (intro.), 70.855 (1) (a), 70.855 (1) (b), 70.995 (1) (a), 70.995 (1) (b), 70.995 (4), 70.995 (7) (b), 70.995 (8) (b) 1., 70.995 (12) (a), 71.17 (2), 74.05 (1), 74.09 (2), 74.11 (6) (a), 74.11 (10) (a) 1., 74.11 (12) (a) (intro.), 74.11 (12) (b), 74.12 (7) (a), 74.12 (8) (a), 74.12 (9) (a), 74.12 (10) (a), 74.12 (11) (a) (intro.), 74.12 (11) (b), 74.25 (1) (intro.), 74.29 (2), 74.30 (1m), 74.83, 74.87 (3), 76.125 (1), 77.84 (1), 174.065 (3), 815.18 (3) (intro.) and 978.05 (6) (a); and to create 60.85 (5) (j), 66.1105 (5) (j), 66.1106 (4) (e), 70.015, 70.111 (28) and 70.17 (3) of the statutes;  Relating to: eliminating the personal property tax. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb2
sb0003,2023,RS,Joint Committee for Review of Administrative Rules,,,S - Administrative Rules,"An Act to amend 93.07 (24) (e) and 97.67 (1); and to create 97.67 (1d) of the statutes;  Relating to: the regulation of pools located at short-term rentals and the partial suspension of rules promulgated by the Department of Agriculture, Trade and Consumer Protection. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb3
sb0004,2023,RS,Joint Committee for Review of Administrative Rules,,,S - Administrative Rules,"An Act to amend 457.03 (2) of the statutes;  Relating to: rules defining unprofessional conduct by marriage and family therapists, professional counselors, and social workers and suspension of a portion of a rule of the Marriage and Family Therapy, Professional Counseling, and Social Work Examining Board.",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb4
sb0005,2023,RS,Joint Committee for Review of Administrative Rules,,,S - Administrative Rules,An Act to create 5.051 of the statutes;  Relating to: the suspension of a rule of the Elections Commission.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb5
sb0006,2023,RS,Wanggaard,,Nedweski,S - Tabled,An Act to repeal 66.1105 (4) (h) 8. and 66.1105 (17) (c); and to amend 66.1105 (4) (gm) 4. c. and 66.1105 (4) (h) 2. of the statutes;  Relating to: eliminating certain exceptions established for Pleasant Prairie Tax Incremental District Number 2. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb6
