bill_number,session,session_type,primary_sponsor,cosponsors,outchamber_sponsors,status,summary,bill_url
ab0483,2023,RS,Dallman,,,A - State Affairs,"An Act  Relating to: expenditure of $927,428.70 from the general fund in payment of a claim against the state made by Zenith Tech, Inc. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab483
ab0484,2023,RS,Ohnstad,Haywood; Conley; Joers; Hong; Stubbs; Emerson; Cabrera; Doyle; Snodgrass; Shelton; Ratcliff; Ortiz-Velez; J. Anderson; Considine; C. Anderson; Drake; Subeck; Bare; Palmeri; Moore Omokunde,Smith; Carpenter; Hesselbein; Spreitzer; Agard,A - Government Accountability and Oversight,An Act to repeal 103.007 and 109.09 (3) of the statutes;  Relating to: state preemption of local employment regulations. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab484
ab0485,2023,RS,Haywood,J. Anderson; Stubbs; Bare; Ratcliff; Goyke; Myers; Conley; Considine; Shelton; Andraca; Drake,L. Johnson; Smith; Spreitzer,A - Workforce Development and Economic Opportunities,An Act to create 20.445 (1) (bn) and 106.135 of the statutes;  Relating to: an intern placement program administered by the Department of Workforce Development and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab485
ab0486,2023,RS,Goeben,Brandtjen; Brooks; Doyle; Gundrum; Krug; Mursau; O'Connor; Petersen; Plumer; Schmidt; Schutt; Tusler,Feyen; Ballweg; Wanggaard,A - Transportation,"An Act to renumber and amend 84.30 (5r) (a); to amend 84.30 (5r) (title) and 84.30 (5r) (c); to repeal and recreate 84.30 (5r) (b); and to create 84.30 (5r) (a) 1., 84.30 (5r) (a) 2., 84.30 (5r) (a) 3., 84.30 (5r) (be), 84.30 (5r) (bs) and 84.30 (5r) (cm) of the statutes;  Relating to: outdoor advertising signs that do not conform to local ordinances and that are affected by certain transportation-related projects. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab486
ab0487,2023,RS,Vining,Hong; Haywood; C. Anderson; Baldeh; Bare; Cabrera; Conley; Doyle; Drake; Emerson; Goyke; Joers; Madison; Moore Omokunde; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Shankland; Shelton; Sinicki; Snodgrass; Stubbs; Subeck; Clancy,Pfaff; Agard; Carpenter; Hesselbein; L. Johnson; Larson; Spreitzer; Taylor; Wirch,"A - Jobs, Economy and Small Business Development",An Act to create 16.281 of the statutes;  Relating to: online clearinghouse of information for small businesses in Wisconsin. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab487
ab0488,2023,RS,Hong,Emerson; Myers; Cabrera; Moore Omokunde; Ratcliff; Conley; J. Anderson; Bare; Subeck; Ortiz-Velez; Baldeh; Joers; Jacobson; Clancy; Ohnstad; C. Anderson; Sinicki; Haywood,Larson; Carpenter; Roys; Spreitzer; Taylor; Hesselbein,"A - Jobs, Economy and Small Business Development","An Act to repeal 104.01 (7m), 104.035 (3) and 104.045 (1); and to amend 104.035 (1) (b) (intro.), 104.035 (2) (b) (intro.), 104.035 (2m) (a), 104.035 (2m) (b) (intro.) and 104.045 (title) of the statutes;  Relating to: elimination of tipped minimum wage.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab488
ab0489,2023,RS,Hong,Ratcliff; Shelton; Cabrera; Joers; J. Anderson; Sinicki; Subeck; Stubbs; Palmeri; Clancy; C. Anderson; Ortiz-Velez,Larson; Carpenter; Hesselbein; L. Johnson,"A - Health, Aging and Long-Term Care","An Act to amend 111.322 (2m) (a) and 111.322 (2m) (b); and to create 50.373, 103.035, 106.54 (10) (c) and 146.998 of the statutes;  Relating to: minimum nurse staffing ratios in hospitals, registered nurses' right to refuse a work assignment, prohibiting mandatory overtime for registered nurses, and providing a penalty.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab489
ab0490,2023,RS,Bodden,Allen; Behnke; Binsfeld; Brandtjen; Brooks; Goeben; Gundrum; Gustafson; Michalski; O'Connor; Rettinger; Schmidt; Wichgers; Murphy,Stroebel; Felzkowski; Nass; Quinn; Stafsholt; Tomczyk,A - Campaigns and Elections,"An Act to repeal 6.36 (1) (ae) and 343.50 (8) (c) 3.; to amend 6.36 (1) (b) 1. a., 342.06 (1) (eg) and 343.14 (2j); and to create 6.36 (1) (af) of the statutes;  Relating to: Wisconsin's membership agreement with the Electronic Registration Information Center. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab490
ab0491,2023,RS,Novak,Armstrong; Brooks; Goeben; Gundrum; S. Johnson; Michalski; Moses; Murphy; Mursau; Rettinger; Schmidt; Tranel,Knodl; Stroebel,A - Tabled,An Act to renumber and amend 101.16 (2); and to create 101.16 (2) (b) of the statutes;  Relating to: prohibiting certain rules related to dispensing liquefied petroleum gases for vehicle fuel purposes.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab491
ab0492,2023,RS,Mursau and Schmidt,,Jacque,A - Tabled,"An Act to amend 20.370 (4) (dq), 289.41 (3) (c), 289.41 (11) (a) 4. and 289.68 (1); and to create 20.370 (4) (dr), 289.41 (3m) and 289.68 (4m) of the statutes;  Relating to: method for establishing proof of financial responsibility for municipal solid waste facilities; payments for closure, long-term care, and corrective action costs for certain solid or hazardous waste facilities; extending the time limit for emergency rule procedures; providing an exemption from emergency rule procedures; granting rule-making authority; and making an appropriation. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab492
ab0493,2023,RS,Macco,Gundrum; S. Johnson; Michalski; O'Connor; Ortiz-Velez; Rozar,Wanggaard,S - Available for Scheduling,An Act to renumber and amend 7.50 (2) (em) of the statutes;  Relating to: counting write-in votes in the general election.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab493
ab0494,2023,RS,Duchow,Armstrong; Dittrich; Edming; Goeben; Kitchens; Magnafici; Maxey; Murphy; Nedweski; O'Connor; Rettinger,Knodl,A - Veto Sustained,"An Act to repeal 6.87 (4) (b) 2.; to amend 6.18 (intro.), 6.86 (1) (ac), 6.86 (2) (a), 6.86 (2) (b), 6.87 (1), 6.87 (2) (intro.) and 12.60 (1) (b); and to create 6.86 (2) (c) and 12.13 (3) (ig) of the statutes;  Relating to: status as an indefinitely confined voter for purposes of automatically receiving absentee ballots and providing a penalty. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab494
ab0495,2023,RS,Rozar,Snodgrass; Baldeh; Bare; C. Anderson; Conley; Joers; Krug; Michalski; Murphy; Mursau; Ortiz-Velez; Ratcliff; Shelton; Subeck,Knodl; Spreitzer; Jacque; Wirch,A - Rules,An Act to amend 7.52 (3) (a) of the statutes;  Relating to: poll list numbers marked on certain absentee ballots.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab495
