bill_id,term,session,summary,commem
LB0173,2023_2024,RS,Change provisions relating to the taxation of nonresident income,0
LB0174,2023_2024,RS,Eliminate the statute of limitations on certain civil actions for sexual assault of a child,0
LB0175,2023_2024,RS,Adopt the Residential Tenant Clean Slate Act,0
LB0176,2023_2024,RS,State intent regarding appropriations to the Supreme Court for interpreter services,0
LB0177,2023_2024,RS,"Adopt the My Student, My Choice Act",0
LB0178,2023_2024,RS,Require display of the national motto in schools,0
LB0179,2023_2024,RS,Prohibit conversion therapy,0
LB0180,2023_2024,RS,Adopt the Nebraska Biodiesel Tax Credit Act,0
LB0181,2023_2024,RS,Provide for filling and refilling prescriptions in certain circumstances,0
LB0182,2023_2024,RS,Change requirements for a report by the Supreme Court on eviction proceedings and change requirements for complaints for restitution of premises,0
LB0183,2023_2024,RS,Allow petitioners to proceed in forma pauperis in change of name proceedings,0
LB0184,2023_2024,RS,Provide for inadmissibility of statements of juveniles during transfer proceedings,0
LB0185,2023_2024,RS,Require the Department of Revenue to distribute funds to individuals as prescribed,0
LB0186,2023_2024,RS,Adopt the Unlawful Restrictive Covenant Modification Act,0
LB0187,2023_2024,RS,Require appointment of counsel for tenants in eviction proceedings in counties containing a city of the metropolitan class or primary class,0
LB0188,2023_2024,RS,Authorize the Commissioner of Education to issue temporary certificates to teach to veterans as prescribed,0
LB0189,2023_2024,RS,Change and provide exemptions for natural hair braiding and natural hairstyling,0
LB0190,2023_2024,RS,Authorize scheduled extension of county bridge project payments,0
LB0191,2023_2024,RS,"Adopt the Critical Infrastructure Utility Worker Protection Act and change provisions relating to the Contractor Registration Act, the Employment Security Law, the Nebraska Workers' Compensation Act, and the Rural Workforce Housing Investment Act",0
LB0192,2023_2024,RS,Change the definition of household income for homestead exemptions,0
LB0193,2023_2024,RS,Provide requirements for voting systems under the Election Act,0
LB0194,2023_2024,RS,Adopt the Second Amendment Preservation Act,0
LB0195,2023_2024,RS,Adopt the Faithful Delegate to Federal Article V Convention Act,0
LB0196,2023_2024,RS,Change provisions of the In the Line of Duty Compensation Act and the Nebraska State Patrol Retirement Act,0
LB0197,2023_2024,RS,Redefine eligible employees voting in a referendum relating to social security,0
LB0198,2023_2024,RS,Change provisions relating to participation in and implementation of public retirement provisions,0
LB0199,2023_2024,RS,Provide for a driving privilege card for federally authorized aliens,0
LB0200,2023_2024,RS,Adopt the Canadian Prescription Drug Importation Act,0
LB0201,2023_2024,RS,Provide a high school graduation requirement relating to federal student aid,0
LB0202,2023_2024,RS,Provide for vaccine administration by pharmacy technicians,0
LB0203,2023_2024,RS,Provide for a release of employee medical records as prescribed under the Nebraska Workers’ Compensation Act,0
LB0204,2023_2024,RS,Provide for reimbursement for pharmacy dispensing fees under the medical assistance program,0
LB0205,2023_2024,RS,Adopt the Government Neutrality in Contracting Act,0
LB0206,2023_2024,RS,Change provisions relating to the taxation of partnerships,0
LB0207,2023_2024,RS,Change provisions relating to sales under the Nebraska Trust Deeds Act,0
LB0208,2023_2024,RS,Prohibit counties from prohibiting the use of residential property as short-term rentals,0
LB0209,2023_2024,RS,Provide tax exemptions relating to data centers,0
LB0210,2023_2024,RS,Adopt the Prior Authorization Reform Act,0
LB0211,2023_2024,RS,Adopt the Property Tax Circuit Breaker Act,0
LB0212,2023_2024,RS,"Require the Department of Transportation to plan, design, and purchase rights-of-way for U.S. Highway 75 and pave all unpaved state highways",0
LB0213,2023_2024,RS,Change provisions regarding tax credits under the Nebraska Job Creation and Mainstreet Revitalization Act and grants under the Rural Workforce Housing Investment Act,0
LB0214,2023_2024,RS,"Adopt changes to federal law regarding banking and finance and change provisions relating to digital asset depositories, loan brokers, mortgage loan originators, and installment loans",0
LB0215,2023_2024,RS,"Provide, change, eliminate, and transfer provisions regarding the offices of Inspector General of Child Welfare and Inspector General of the Nebraska Correctional System",0
LB0216,2023_2024,RS,Provide certification requirements for optometrists performing certain procedures,0
LB0217,2023_2024,RS,Change a date for certain scrap tire recycling grants,0
LB0218,2023_2024,RS,Change provisions relating to intent to appropriate money for management of vegetation within the banks or flood plain of a natural stream,0
LB0219,2023_2024,RS,Require the Department of Health and Human Services to rebase rates for critical access hospitals,0
LB0220,2023_2024,RS,Change provisions relating to the Board of Pardons’ powers and duties and required notices to crime victims,0
LB0221,2023_2024,RS,Redefine salary under the retirement plan for firefighters of a city of the first class,0
LB0222,2023_2024,RS,Prescribe requirements for the student application and admission process of public colleges and universities regarding criminal history and juvenile court record information,0
LB0223,2023_2024,RS,Provide and change reporting requirements under the Municipal Density and Missing Middle Housing Act,0
LB0224,2023_2024,RS,Adopt the Aid to Municipalities Act,0
LB0225,2023_2024,RS,Change provisions relating to the committee on American civics,0
LB0226,2023_2024,RS,Change provisions relating to construction manager-general contractor contracts and public-private partnerships under the Transportation Innovation Act,0
LB0227,2023_2024,RS,Change provisions relating to public health and welfare,0
LB0227A,2023_2024,RS,Appropriation Bill,0
LB0228,2023_2024,RS,"Create state holidays for statewide primary and general election days, require in-person voting, photographic identification to vote, counting of ballots on election day, and counting of ballots at the precinct level, and allow voting by mail for registered military personnel and residents of nursing homes and assisted-living facilities",0
LB0229,2023_2024,RS,Change registered feedlot inspection requirements under the Livestock Brand Act,0
LB0230,2023_2024,RS,"Require qualifying identification for voter registration and voting, require in-person voting, provide penalties, eliminate certain fees for state identification cards and certified copies of birth certificates, and change provisions relating to operators' licenses and state identification cards",0
LB0231,2023_2024,RS,Change provisions related to student attendance and require plans for excessive absences,0
LB0232,2023_2024,RS,Change provisions relating to keno and provide for the sale of digital-on-premises tickets,0
LB0233,2023_2024,RS,Provide for child support payment disregard under the aid to dependent children program and pass through of certain child support payments,0
LB0234,2023_2024,RS,Require reporting of blocked railroad crossing complaints,0
